"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7eGAQnxbIHHFtS1p9rmAZ0","Kung Fu Fighting","spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8, spotify:artist:0qpMYTgbXRi1ZcX6vend3T","CeeLo Green, Jack Black","spotify:album:1e1TXaL2BLrWwtLD3vteNo","Kung Fu Fighting","spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8, spotify:artist:0qpMYTgbXRi1ZcX6vend3T","CeeLo Green, Jack Black","2008-01-01","https://i.scdn.co/image/ab67616d0000b27327305a9eae4c2f17eb990ab0","1","1","149306","https://p.scdn.co/mp3-preview/2e6ff3ce31ba183fc499aba216cf65846f4e6abc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USUM70812440","spotify:user:","1970-01-01T00:00:00Z","atl hip hop","0.681","0.666","4","-10.905","0","0.0995","0.015","0","0.34","0.239","110.016","4","","Interscope","C © 2008 Interscope Records/Dreamworks Animation L.L.C., P ℗ 2008 DreamWorks Animation L.L.C."
"spotify:track:2PpruBYCo4H7WOBJ7Q2EwM","Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:1UsmQ3bpJTyK6ygoOOjG1r","Speakerboxxx/The Love Below","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2003","https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367","2","9","235213","https://p.scdn.co/mp3-preview/3196afed0e89dcef43923ede55e0587d5542c9ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USAR10300924","spotify:user:","1970-01-01T00:00:00Z","atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop","0.727","0.974","4","-2.261","0","0.0664","0.103","0.000532","0.174","0.965","79.526","4","","Arista","P (P) 2003 Arista Records LLC"
"spotify:track:2Wf0uMfCpwLO1B2Up3NbXH","Don't Worry (feat. Ray Dalton)","spotify:artist:6c4sUNBgdonFJz8Kx2VsGz, spotify:artist:4e0nWw2r4BoQSKPQ2zpU13","Madcon, Ray Dalton","spotify:album:6qL26V6nk5WHC7XO6iYFly","Don't Worry (feat. Ray Dalton)","spotify:artist:6c4sUNBgdonFJz8Kx2VsGz","Madcon","2015-02-20","https://i.scdn.co/image/ab67616d0000b273b5c27797d5adc333e4295502","1","1","214789","https://p.scdn.co/mp3-preview/7cc3ddeb14e9ac26af26a751350bb2f58d6487b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","NO5281501010","spotify:user:","1970-01-01T00:00:00Z","dance pop,norwegian hip hop,pop rap","0.811","0.699","7","-5.211","1","0.114","0.0726","0.00000138","0.148","0.733","122.987","4","","Columbia","P (P) 2015 Icon Recordings. Under exclusive license with Sony Music Entertainment Norway AS"
"spotify:track:3Fzlg5r1IjhLk2qRw667od","Dancing in the Moonlight","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","spotify:album:2ww2PXKiHk7rNv26rjVJ5z","Onka's Big Moka","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","2000","https://i.scdn.co/image/ab67616d0000b273e16a6534cd5a968a5b725d03","1","2","232693","https://p.scdn.co/mp3-preview/d3ebc26617284b756aedf4e9176163ad050a5205?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBBBL9902165","spotify:user:","1970-01-01T00:00:00Z","british alternative rock","0.632","0.856","10","-3.463","1","0.0348","0.0624","0","0.347","0.867","119.397","4","","Sony Soho Square","P (P) 2001 Sony Music Entertainment (UK) Ltd."
"spotify:track:2LcmbuYX7tyR4DWy3b273L","Noodgeval","spotify:artist:6mS5GeFyhea6w9OKo8PO3p","Goldband","spotify:album:2z44b4hwadRlEaNm2SutKO","Betaalbare Romantiek","spotify:artist:6mS5GeFyhea6w9OKo8PO3p","Goldband","2021-08-13","https://i.scdn.co/image/ab67616d0000b2731592b8a03555f62a3463bca5","1","6","214383","https://p.scdn.co/mp3-preview/fad2bcfd59f7b7a008017f8fd7886bef1ef71df2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","NLSB72100302","spotify:user:","1970-01-01T00:00:00Z","piratenmuziek","0.856","0.89","2","-6.463","0","0.0627","0.131","0.0143","0.0614","0.77","139.003","4","","Goldband","C 2021 Goldband, P 2021 Goldband"
"spotify:track:20b1ZBMGOZjuGvNFncIIP7","Time to Groove (feat. Nonô)","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:2izgj6WOKJsuCRCQUKOoVO","Majestic, Nonô","spotify:album:1ku0mbCfEbi3polUL4hYAk","Time to Groove (feat. Nonô)","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:2izgj6WOKJsuCRCQUKOoVO","Majestic, Nonô","2022-04-22","https://i.scdn.co/image/ab67616d0000b27346d9c56e2f422f4f5dac63d1","1","1","146848","https://p.scdn.co/mp3-preview/b7d358cc34b67fda412f92fa0e533e0ebfdc5e50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBCEN2200033","spotify:user:","1970-01-01T00:00:00Z","house,pop dance,tropical house,uk dance","0.624","0.94","11","-3.671","0","0.163","0.000983","0.00409","0.313","0.882","128.014","4","","Ministry of Sound Recordings","P (P) 2022 Under Exclusive Licence to Ministry of Sound Recordings Limited"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/657ab16e3f9b2d47ffbb2bc969db17ffcfc9198c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","USUM72206227","spotify:user:","1970-01-01T00:00:00Z","piano rock,pop","0.704","0.797","0","-5.927","1","0.0475","0.0826","0.000745","0.0546","0.825","139.994","4","","Interscope Records","C © 2022 Paramount Pictures, P ℗ 2022 Mosley Music/Interscope Records"
"spotify:track:3FN7IJMnUMWZXDw08ix3ot","Stop This Flame - Celeste x MK","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","spotify:album:1G6SH7CRZ5qtYVaGnUVhSK","Stop This Flame (Celeste x MK)","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","2021-06-25","https://i.scdn.co/image/ab67616d0000b273b61ad93c3ca363ef040bf226","1","1","203946","https://p.scdn.co/mp3-preview/f0a355b18c22fce0ae1849df4a579414e0472d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBUM72103464","spotify:user:","1970-01-01T00:00:00Z","british soul,dance pop,edm,house,pop dance,tropical house","0.692","0.846","8","-5.72","1","0.0559","0.0194","0.0000291","0.324","0.827","124.007","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P Atlas Artists / Polydor Records; ℗ 2021 Universal Music Operations Limited"
"spotify:track:76hfruVvmfQbw0eYn1nmeC","Cake By The Ocean","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","spotify:album:3Wv4X8OA65pGpFzBkuUgAh","DNCE","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","2016-11-18","https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9","1","3","219146","https://p.scdn.co/mp3-preview/f67040fecb7f04f7e339058a503e60ca37a740c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71514637","spotify:user:","1970-01-01T00:00:00Z","dance pop,edm,pop,post-teen pop","0.774","0.753","4","-5.446","0","0.0517","0.152","0","0.0371","0.896","119.002","4","","Joseph Jonas/Republic Records","C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:4z2ZZU3skkejktx83PbKiR","You Make Me Feel","spotify:artist:0oO1IaDOBSeI96HbnCa5pZ, spotify:artist:2UC2VMVP6wuURHTgns8OoP","Solardo, Comanavago","spotify:album:5BwmV3PN9DS5Yvx8En57as","You Make Me Feel","spotify:artist:0oO1IaDOBSeI96HbnCa5pZ, spotify:artist:2UC2VMVP6wuURHTgns8OoP","Solardo, Comanavago","2022-05-27","https://i.scdn.co/image/ab67616d0000b2736ffcc29655f19166527b90f0","1","1","203909","https://p.scdn.co/mp3-preview/ec73088e2b4198d11c20a910e77660a94e87c4fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USUS12200177","spotify:user:","1970-01-01T00:00:00Z","deep groove house,house,pop dance,uk dance","0.601","0.947","10","-6.398","1","0.0468","0.00322","0.000584","0.236","0.669","132.987","4","","Ultra Records, LLC","P (P) 2022 Ultra Records, LLC"
