"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0hJfuyUwtEYMlGgvr3nzz9","Serotonin Moonbeams","spotify:artist:4TvhRzxIL1le2PWCeUqxQw","The Blessed Madonna","spotify:album:1UTc8WInycl4tVgJ1yODaO","Serotonin Moonbeams","spotify:artist:4TvhRzxIL1le2PWCeUqxQw","The Blessed Madonna","2022-11-11","https://i.scdn.co/image/ab67616d0000b2730688991211910e4774584009","1","1","289471","https://p.scdn.co/mp3-preview/e19518c2ca5cc82fa295a34c660541a3ec427aba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","GBAHT2202800","spotify:user:","2022-12-12T13:43:34Z","","0.817","0.876","8","-7.485","0","0.046","0.0332","0.199","0.412","0.671","131.022","4","","Warner Records","C Under Exclusive Licence to Warner Music UK Limited, © 2022 Margeverse Limited, P Under Exclusive Licence to Warner Music UK Limited, ℗ 2022 Margeverse Limited"
"spotify:track:2xXrexxpF9Q6cVpFSIAj1h","Last Night a D.J. Saved My Life - Smeddles More Ass Mix","spotify:artist:50xejJlMNloQ4PUB7lGP9h, spotify:artist:5HT6hDqzq0B7EFlokN0hK2","Indeep, George Smeddles","spotify:album:5A7o0EoddSSwV3A7nqbjhp","Last Night a D.J. Saved My Life (Smeddles More Ass Mix)","spotify:artist:5HT6hDqzq0B7EFlokN0hK2, spotify:artist:50xejJlMNloQ4PUB7lGP9h","George Smeddles, Indeep","2022-10-07","https://i.scdn.co/image/ab67616d0000b273538c8e35087343ed412528e8","1","2","369963","https://p.scdn.co/mp3-preview/a7d299c9a63b26331a60469b3c38c31b96fe42d4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","CAU112200419","spotify:user:","2022-12-12T13:43:34Z","disco,post-disco,uk tech house","0.834","0.717","6","-7.851","1","0.053","0.0101","0.803","0.0593","0.864","126","4","","KOOKOO RECORDS","C 2022 KOOKOO RECORDS, P 2022 KOOKOO RECORDS"
"spotify:track:4l1k3bK6OGwfRqbW5HiyT3","My Paradise - Vintage Culture Remix","spotify:artist:4admDxmnri5Zco0xYrJ0ji, spotify:artist:28uJnu5EsrGml2tBd7y8ts","Jamie Jones, Vintage Culture","spotify:album:1DtjbG6Y6mma7ZjIqgNKlm","My Paradise (Vintage Culture Remix)","spotify:artist:4admDxmnri5Zco0xYrJ0ji, spotify:artist:28uJnu5EsrGml2tBd7y8ts","Jamie Jones, Vintage Culture","2022-09-02","https://i.scdn.co/image/ab67616d0000b273cafd677f64b6b20015c863d3","1","1","170645","https://p.scdn.co/mp3-preview/e4ebed12eb11ecdfac41a1f6fa0c62ee934296f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBCPZ2221235","spotify:user:","2022-12-12T13:43:34Z","deep disco house,deep house,house,minimal techno,tech house,uk tech house,brazilian edm","0.683","0.892","6","-7.015","1","0.0563","0.0462","0.839","0.0973","0.467","128.008","4","","Defected Records","C © 2022 Defected Records Limited, P ℗ 2022 Defected Records Limited"
"spotify:track:5OJQ7sgz7ZEb9Mxsfqlpiv","Take Me To America","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","spotify:album:0ZlTqa54yd4gXfMSqaF40x","Take Me To America","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","2022-10-27","https://i.scdn.co/image/ab67616d0000b2739aa7e6d1446b6d675bd5993f","1","1","231134","https://p.scdn.co/mp3-preview/cc0e5c3b2169731d955e3f8394e957e68425d345?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QMDA62251164","spotify:user:","2022-12-12T13:43:34Z","basshall,moombahton","0.791","0.894","7","-5.31","1","0.0331","0.000142","0.675","0.223","0.945","134.963","4","","MDLBEAST Records","C (C) 2022 MDLBEAST Records under Exclusive License from Zatara Recordings, P (P) 2022 MDLBEAST Records under exclusive license from Zatara Recordings"
"spotify:track:4S6M5BQxrpP9pRQIBpVzxP","Higher Than You","spotify:artist:4q0N3EI67tVnAeeaXbNQIj","J. Worra","spotify:album:4Ftk1EfLXFqL5aWGfCO3Jz","Higher Than You","spotify:artist:4q0N3EI67tVnAeeaXbNQIj","J. Worra","2022-12-09","https://i.scdn.co/image/ab67616d0000b273a28051b6111e501b64bedf1a","1","1","192755","https://p.scdn.co/mp3-preview/0a41898875637235ee3fd6b29c9ba4b41304d2a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GX6J62200015","spotify:user:","2022-12-12T13:43:34Z","bass house,deep groove house,edm,electro house,house","0.739","0.843","0","-5.93","1","0.0743","0.00272","0.668","0.143","0.648","126.983","4","","Never Worry Records","C (C) 2022 Never Worry Records, P (P) 2022 Never Worry Records"
"spotify:track:7L6ZDYK13nVfc6j3QlKNJj","This Is The Sound","spotify:artist:1TRFAJu3Cw64APToZaGk9D, spotify:artist:3dE92yGWcrboP1kC5SWyqu","Riva Starr, Todd Terry","spotify:album:5UrapwkD5cCjELtr6hcr3u","This Is The Sound","spotify:artist:1TRFAJu3Cw64APToZaGk9D, spotify:artist:3dE92yGWcrboP1kC5SWyqu","Riva Starr, Todd Terry","2022-10-14","https://i.scdn.co/image/ab67616d0000b273c653024d26cfeea046118652","1","1","192401","https://p.scdn.co/mp3-preview/8fc7b2b28e5bbc2508cc9af6af23d85d85913a99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBK6Y2219801","spotify:user:","2022-12-12T13:43:34Z","deep house,disco house,house,tech house,classic house,deep house,disco house,diva house,funky tech house,garage house,hip house,house,tech house,tribal house,vocal house","0.771","0.967","9","-4.65","0","0.124","0.0241","0.226","0.357","0.46","125.999","4","","Hot Creations","C 2022 Hot Creations, P 2022 Hot Creations"
"spotify:track:3ecmX9cdy5NKeoE4GwLoV3","saudade - Edit","spotify:artist:5yHK7mClF5i8Jabk8IKISo","David Bay","spotify:album:71QyRx58NvssqPyzBQq9B3","saudade - Edit","spotify:artist:5yHK7mClF5i8Jabk8IKISo","David Bay","2022-09-09","https://i.scdn.co/image/ab67616d0000b27310ad0ed30442ec87dcef9e5b","1","1","272291","https://p.scdn.co/mp3-preview/cd1ff44a9627b9f1ca24139e678f4d23b4e6bd58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","DECY52201538","spotify:user:","2022-12-12T13:43:34Z","","0.888","0.643","9","-10.079","0","0.0938","0.0584","0.714","0.0337","0.943","120.946","4","","Zissou Records","C 2022 Zissou Records, P 2022 Zissou Records"
"spotify:track:0TBpykY31cnBLMQul2Inet","Calling Out Your Name (I Can't Sleep) - Oden & Fatzo Remix","spotify:artist:1TnMHkjDz4jm8H8QxnyAAC, spotify:artist:2YEnrpAWWaNRFumgde1lLH","Ben Rau, Oden & Fatzo","spotify:album:1bmvVHBaQlQIYzkRxr7RGa","Calling Out Your Name (I Can't Sleep) [Oden & Fatzo Remix]","spotify:artist:1TnMHkjDz4jm8H8QxnyAAC, spotify:artist:2YEnrpAWWaNRFumgde1lLH","Ben Rau, Oden & Fatzo","2022-12-02","https://i.scdn.co/image/ab67616d0000b27341c15503f13a34ce6bce7048","1","1","250272","https://p.scdn.co/mp3-preview/0664f31280f36eb2544a6398a2833558e8ae8b7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","UK74K1400701","spotify:user:","2022-12-12T13:43:34Z","disco house","0.691","0.857","5","-7.713","0","0.0566","0.000302","0.859","0.0915","0.655","130.993","4","","Knee Deep In Sound","C 2022 Knee Deep In Sound, P 2022 Knee Deep In Sound"
"spotify:track:4mK4A2x8gT1WPmxZfrFhXD","More Love - Edit","spotify:artist:6hJtgCB3L5cnJSND7sp6GU","Dam Swindle","spotify:album:04H1Yn2xEQjaD7sdXJqJlU","Keep On Swindling Pt. 3","spotify:artist:6hJtgCB3L5cnJSND7sp6GU","Dam Swindle","2022-12-02","https://i.scdn.co/image/ab67616d0000b273c74e7eff1cd94ea8775c3cf3","1","7","219840","https://p.scdn.co/mp3-preview/d7f4eed5798e200a2bd09e26a4086cc013ac1a82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","NLYV52200056","spotify:user:","2022-12-12T13:43:34Z","deep disco house,deep house,disco house,float house,indie soul","0.724","0.826","5","-8.369","0","0.0455","0.000666","0.36","0.0366","0.832","123.993","4","","Heist Recordings","C 2022 Heist Recordings, P 2022 Heist Recordings"
"spotify:track:6kMcNpSzm7HukVp3j6LnqX","Light A Fire","spotify:artist:764H8zG8sTf5FPHWHW5bvh","CINTHIE","spotify:album:1gG4CWA39Yv55d3H22P91q","Light A Fire","spotify:artist:764H8zG8sTf5FPHWHW5bvh","CINTHIE","2022-10-21","https://i.scdn.co/image/ab67616d0000b273631bc468a10ef45b2ba52eee","1","1","392091","https://p.scdn.co/mp3-preview/12b64970b6de1a51d57dbe4760fdd6dc9fc47040?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","DEG932202631","spotify:user:","2022-12-12T13:43:34Z","acid techno,float house","0.813","0.855","6","-11.758","1","0.0531","0.00209","0.918","0.0345","0.439","124.992","4","","Aus Music","C 2022 Simple Records / AUS Music - a division of K7 Music GmbH, P 2022 Simple Records / AUS Music - a division of K7 Music GmbH"
