"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4tcPIwy0UvLYjhXLrMyx89","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","spotify:album:5Y7ArkpG6klUEQuhTvEEpM","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","2020-03-12","https://i.scdn.co/image/ab67616d0000b273e531450d406375e9ade82725","1","1","150635","https://p.scdn.co/mp3-preview/a8aa97197daea0c1b167a67c8f5585187b1f718d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCPZ1916610","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","scottish rock","0.898","0.893","1","-7.255","1","0.225","0.207","0.0000933","0.061","0.653","129.047","4","","Armada Music","C 2020 Armada Music USA under exclusive license from Defected Records Limited, P 2020 Armada Music USA under exclusive license from Defected Records Limited"
"spotify:track:60qbU5QgEnzBqUfXSUh0mc","Turn Around (Hey What's Wrong With You)","spotify:artist:4WLGcWrkSExCqILxDk7ol6","Phats & Small","spotify:album:5hWljyIu9DZbTeO6yoljXU","Turn Around (Hey What's Wrong With You)","spotify:artist:4WLGcWrkSExCqILxDk7ol6","Phats & Small","2016-05-06","https://i.scdn.co/image/ab67616d0000b2732b1b29cdfbe2542b0c718f8d","1","1","212695","https://p.scdn.co/mp3-preview/ce4a3ff8af03b496dd66669fe9af5ac360c80b52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","NLF711602441","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","disco house,hip house,vocal house","0.739","0.875","6","-3.645","0","0.0507","0.0044","0.112","0.324","0.928","131.98","4","","Armada Music","C 2016 Armada Music B.V., P 2016 Armada Music B.V."
"spotify:track:6YG9ny9p9PmMjIyJ0B1pVw","Set My Mind Free","spotify:artist:09eFtzPTf7Rbkb1z7n7S5B","Matt Guy","spotify:album:3ecx2vhbNcocjrQ0M74TnO","Set My Mind Free","spotify:artist:09eFtzPTf7Rbkb1z7n7S5B","Matt Guy","2022-09-09","https://i.scdn.co/image/ab67616d0000b27346f16eec49b8611b54194b31","1","1","180461","https://p.scdn.co/mp3-preview/14513181c1ac3bc8c243bad5a672149c6f63d2b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","NLF712206958","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","","0.636","0.915","9","-7.468","0","0.0438","0.00953","0.349","0.0967","0.712","130.011","4","","Armada Music","C 2022 Armada Music B.V., P 2022 Armada Music B.V."
"spotify:track:796T2ROxTNibXRjVhjSzCa","Promised Land","spotify:artist:4BIamAD25vwYldaOWTEsXd","Joe Smooth","spotify:album:1oyrymxXmhE2NaYczhS6NR","Promised Land","spotify:artist:4BIamAD25vwYldaOWTEsXd","Joe Smooth","1988-12-11","https://i.scdn.co/image/ab67616d0000b273112c97d1fbd954282943ccb2","1","1","331706","https://p.scdn.co/mp3-preview/65f7ba69e00dd8facd1e0cb40badc94b19bbd12d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QMG9T1300034","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","chicago house,classic house,hip house,vocal house","0.718","0.93","7","-4.532","1","0.038","0.0026","0.0176","0.0363","0.697","128.736","4","","Armada Music","C 1988 Armada Music B.V., P 1988 Armada Music B.V."
"spotify:track:0Y9Nk6diPOleiSqscl3xUk","Long Time","spotify:artist:4Q08msBV0v3oEN91O7ubsD","Static Revenger","spotify:album:5ncy9ZIlgRxDnRqjNeVLlQ","Long Time","spotify:artist:4Q08msBV0v3oEN91O7ubsD","Static Revenger","2022-07-08","https://i.scdn.co/image/ab67616d0000b273c43c1f98b4269e435eed1f27","1","1","232265","https://p.scdn.co/mp3-preview/c3b32e70af16c0bf7b754ae6aac6fceecf5d6094?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","NLF712204697","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","melbourne bounce","0.635","0.954","5","-4.064","0","0.0456","0.00232","0.0249","0.113","0.634","128.006","4","","Armada Music","C 2022 Armada Music B.V., P 2022 Armada Music B.V."
"spotify:track:5QZUVkYQw6DCAxG2dR211z","I'm Watching You (So Many Times)","spotify:artist:28ZtvtD63uuc4Lf81lYWmr","Gadjo","spotify:album:2Cs2xlousFdZ4CFBBln8G9","I'm Watching You (So Many Times)","spotify:artist:28ZtvtD63uuc4Lf81lYWmr","Gadjo","2021-12-10","https://i.scdn.co/image/ab67616d0000b2732df665a3d7d43047014ca69a","1","1","161500","https://p.scdn.co/mp3-preview/26dacad884b3986509722af6838301b964155ece?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","NLF712110033","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","disco house,vocal house","0.57","0.781","0","-8.481","1","0.0322","0.005","0.00253","0.219","0.276","121.079","4","","Armada Music","C 2021 Armada Music B.V., P 2021 Armada Music B.V."
"spotify:track:0eM3yV0jwNuQMltNjrPcgH","None Of Mine","spotify:artist:5eALE6GKSAiBNMyqpsqoeX, spotify:artist:5n8KJvIFfPlC0HiDWVxBnX","GotSome, Sharlene Hector","spotify:album:0hIOVZbdTDQHlWQzX7fMBb","None Of Mine","spotify:artist:5eALE6GKSAiBNMyqpsqoeX, spotify:artist:5n8KJvIFfPlC0HiDWVxBnX","GotSome, Sharlene Hector","2021-12-03","https://i.scdn.co/image/ab67616d0000b273469bb4e9fb165740ff1f473e","1","1","194081","https://p.scdn.co/mp3-preview/b559bdcba9f0595f64499b85d28dc53d342df0da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","NLF712109754","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","deep groove house,house,uk dance,british soul","0.713","0.813","6","-4.939","1","0.0351","0.0535","0.00014","0.0347","0.722","124.917","4","","Armada Music","C 2021 Armada Music B.V., P 2021 Armada Music B.V."
"spotify:track:3WYpdliEpg9xKWP0IhoQiZ","Let Me Take You","spotify:artist:4FCzCS0KEgb0rgySWINItO, spotify:artist:4epc3Bd0DOBA0kDywkRAsu","CID, Westend","spotify:album:7guq8lb7VmSn7ZOZfEKwNV","Armada Subjekt - Ibiza 2022","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-07-22","https://i.scdn.co/image/ab67616d0000b2731cc4ff23e002d8d0c323c616","1","2","154761","https://p.scdn.co/mp3-preview/f399dddfb6238157d4787d4c1bb3e7d56d530c1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","NLF712200076","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","bass house,deep groove house,disco house,edm,electro house,house,pop dance,progressive house,bass house,deep groove house","0.874","0.908","6","-3.573","0","0.0593","0.00839","0.0891","0.343","0.905","125.981","4","","Armada Music Albums","C 2022 Armada Music B.V., P 2022 Armada Music B.V."
"spotify:track:1ap4zdsBydWPSXJqDBqtNL","Like You Do","spotify:artist:0Cs47vvRsPgEfliBU9KDiB, spotify:artist:3rJPS8fYBokXpYw1mS9wr0","D.O.D, Raphaella","spotify:album:1riQFcgbb1smSKeWVarPDx","Like You Do","spotify:artist:0Cs47vvRsPgEfliBU9KDiB, spotify:artist:3rJPS8fYBokXpYw1mS9wr0","D.O.D, Raphaella","2022-09-30","https://i.scdn.co/image/ab67616d0000b2733ecf40507bc8239945461bef","1","1","152224","https://p.scdn.co/mp3-preview/52939101af9a03012159f6fdf0332afa0e0c8c51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","NLF712207554","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","dance pop,edm,electro house,house,pop dance,tropical house,uk dance,uk alternative pop","0.69","0.847","6","-4.565","1","0.0374","0.0145","0.041","0.0777","0.49","124.015","4","","Armada Music","C 2022 Armada Music B.V., P 2022 Armada Music B.V."
"spotify:track:5pWPw4q8b9fMxnAii10mpQ","Runnin'","spotify:artist:5OImcY3khBn9UFjzgaapob, spotify:artist:0m6f0nNS9GEq41eIJ288ff","Low Steppa, Kelli-Leigh","spotify:album:6CyUL4F4TskBlqBYn4ft65","Boiling Point","spotify:artist:5OImcY3khBn9UFjzgaapob","Low Steppa","2020-08-07","https://i.scdn.co/image/ab67616d0000b273abc3cbd35804f8765885f045","1","8","138536","https://p.scdn.co/mp3-preview/459fca3ac80813943c618b74525877c65b8db8c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","NLF711600423","spotify:user:armadamusicofficial","2022-12-08T23:05:41Z","deep groove house,deep house,house,pop dance,uk dance,uk pop","0.551","0.935","0","-4.101","1","0.0368","0.000653","0.0022","0.298","0.324","123.035","4","","Armada Deep","C 2020 Armada Music B.V., P 2020 Armada Music B.V."
