"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2c3KCGq6UojB2c8UAFrRON","New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:5INjqkS1o8h1imAzPqGZBb, spotify:artist:205i7E8fNVfojowcQSfK9m, spotify:artist:6GI3CJjT2bOnMfprCpjT1d","Gorillaz, Tame Impala, Dom Dolla, Bootie Brown","spotify:album:7BVQ5jsPNkmQUnlOU0mg6e","New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix]","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:5INjqkS1o8h1imAzPqGZBb, spotify:artist:205i7E8fNVfojowcQSfK9m","Gorillaz, Tame Impala, Dom Dolla","2022-11-18","https://i.scdn.co/image/ab67616d0000b273a1221f75d0d4e7829557b8f5","1","1","274141","https://p.scdn.co/mp3-preview/d0c7d918c5e8f33dbc9177a28295ee6d9eb21eca?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","GBAYE2202518","spotify:user:","2022-12-12T19:16:51Z","alternative hip hop,australian psych,neo-psychedelic,australian house,deep groove house,edm,house,pop dance","0.716","0.897","4","-7.185","0","0.0629","0.012","0.262","0.325","0.358","127.03","4","","Parlophone UK","C Under exclusive licence to Parlophone Records Limited., © 2022 Gorillaz Partnership, P ℗ 2022 Parlophone Records Limited."
"spotify:track:1ZPIAYtvvyABpEVj6l2YK2","Yeah The Girls","spotify:artist:1VJ0briNOlXRtJUAzoUJdt, spotify:artist:4pqY01dGuzojomnVCXYbXC","FISHER, MERYLL","spotify:album:1hORN42YAkaq1a67CGyciN","Yeah The Girls","spotify:artist:1VJ0briNOlXRtJUAzoUJdt, spotify:artist:4pqY01dGuzojomnVCXYbXC","FISHER, MERYLL","2022-09-02","https://i.scdn.co/image/ab67616d0000b2736c90c750085b0e0a2557b473","1","1","194310","https://p.scdn.co/mp3-preview/aec85e33243486a9105f7d089efe4f04121dac03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QM24S2203777","spotify:user:","2022-09-02T04:01:00Z","australian house","0.755","0.968","8","-5.282","1","0.0422","0.00114","0.761","0.103","0.786","126.001","4","","Virgin","C © 2022 Follow The FISH, LLC, under exclusive license to Universal Music GmbH, P A Virgin Records release; ℗ 2022 Follow The FISH, LLC, under exclusive license to Universal Music GmbH"
"spotify:track:6Zw43K3igjQwkht1panjDE","Rhythm (Of the Night)","spotify:artist:0g5BdWwyb5SWkGnz9p4neX","Something Good","spotify:album:74OW2EPlMAzzhf4lhpasIC","Rhythm (Of the Night)","spotify:artist:0g5BdWwyb5SWkGnz9p4neX","Something Good","2022-10-14","https://i.scdn.co/image/ab67616d0000b273df158b43079c31b5f8360687","1","1","201621","https://p.scdn.co/mp3-preview/ad0c376a3616fcdc4cb73f5636d07aec9b478bc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","NLF712207543","spotify:user:","2022-10-28T10:06:08Z","progressive trance house","0.534","0.946","10","-6.632","1","0.0383","0.000404","0.698","0.348","0.173","121.951","4","","Kontor Records","C 2022 Kontor Records GmbH / Armada Music B.V. under exclusive license from Odd One Out, P 2022 Kontor Records GmbH / Armada Music B.V. under exclusive license from Odd One Out"
"spotify:track:1mpD4bXO4r3xilu12Kaf5Q","It's Quiet Now (feat. Dope Earth Alien)","spotify:artist:0XfQBWgzisaS9ltDV9bXAS, spotify:artist:2wajUFt1bQDrz8A73tQrkN","Honey Dijon, Dope Earth Alien","spotify:album:27hbmfsdUp1BKsCu2N4AFN","Black Girl Magic","spotify:artist:0XfQBWgzisaS9ltDV9bXAS","Honey Dijon","2022-11-18","https://i.scdn.co/image/ab67616d0000b2737e175b7f630ee1ece9954fa8","1","3","182750","https://p.scdn.co/mp3-preview/1736af13f8d02329b3b9575cbe708ac8fa3356c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCPZ2220784","spotify:user:","2022-11-18T05:00:00Z","deep house,vocal house","0.703","0.818","5","-7.905","0","0.037","0.000569","0.0792","0.0964","0.63","123.009","4","","Classic Music Company","C © 2022 Classic Music Company, P ℗ 2022 Classic Music Company"
"spotify:track:1635wWSdp29PO3GxYhy991","Bel Mercy","spotify:artist:4lgrPvofm0IT605L9OrOTN","Jengi","spotify:album:7kJhB3zZiALyIaWRGO3rwE","Bel Mercy","spotify:artist:4lgrPvofm0IT605L9OrOTN","Jengi","2022-12-02","https://i.scdn.co/image/ab67616d0000b2733e75596f88233d659836bf4e","1","1","169606","https://p.scdn.co/mp3-preview/d43f32c2eab69b6beb5d5b6341d5fe8ea93b04c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYE2202575","spotify:user:","2022-12-02T17:13:03Z","dutch pop","0.941","0.753","6","-4.905","1","0.0905","0.458","0.61","0.109","0.681","127.02","4","","FFRR","C Under exclusive License to Parlophone Records Limited / FFRR., © 2022 Jengi, P Under exclusive License to Parlophone Records Limited / FFRR., ℗ 2022 Jengi"
"spotify:track:0UFJLWij7K8AXM5sVDFCLj","Tra Tra","spotify:artist:5PlfkPxwCpRRWQJBxCa0By, spotify:artist:6zsJjoCtL1WByG0VsuFWzR, spotify:artist:5ypEYwWaSgtjBPCPcredFM","HUGEL, BLOND:ISH, Nfasis","spotify:album:5CTxLQdrDgcvEXuqEFOnPt","Tra Tra","spotify:artist:5PlfkPxwCpRRWQJBxCa0By, spotify:artist:6zsJjoCtL1WByG0VsuFWzR, spotify:artist:5ypEYwWaSgtjBPCPcredFM","HUGEL, BLOND:ISH, Nfasis","2022-11-04","https://i.scdn.co/image/ab67616d0000b273b4289f9e26c490ac46428807","1","1","126774","https://p.scdn.co/mp3-preview/6c69dfc8c20ca31eaa84e2dcf8a0caf46dc9f96f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DEA622201550","spotify:user:","2022-11-11T05:00:00Z","deep house,edm,pop dance,tropical house,afro house,deep disco house,organic house,dembow,dominican pop,perreo,rap dominicano","0.797","0.942","1","-6.194","1","0.0656","0.00373","0.563","0.425","0.178","124.014","4","","WM Germany","C Under exclusive license to Warner Music Group Germany Holding GmbH, © 2022 HUGEL, P Under exclusive license to Warner Music Group Germany Holding GmbH, ℗ 2022 HUGEL"
"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","spotify:album:060SvgMzLKrNzpvVLK5gSo","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","2022-09-16","https://i.scdn.co/image/ab67616d0000b273a8270fb7bd24767babe59423","1","1","235785","https://p.scdn.co/mp3-preview/2821aaabf84159313db20566c5822d3993ef54ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBK6Y2251421","spotify:user:","2022-08-23T16:47:20Z","","0.683","0.932","8","-10.402","1","0.0513","0.0389","0.605","0.0615","0.553","125.002","4","","Island Records UK / Republic Records / Virgin Records Germany","C © 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited, P Island Records UK / Republic Records / Virgin Records Germany; ℗ 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited"
"spotify:track:7jrMFjEq0t09f7m3HnnWXl","Tell Me Why - MEDUZA Remix","spotify:artist:7urnl0uH1w3NCoErxw7AUK, spotify:artist:0xRXCcSX89eobfrshSVdyu","Supermode, MEDUZA","spotify:album:6CTjQWx50yUs4wNu95cnlM","Tell Me Why (MEDUZA Remix)","spotify:artist:7urnl0uH1w3NCoErxw7AUK, spotify:artist:0xRXCcSX89eobfrshSVdyu","Supermode, MEDUZA","2022-09-02","https://i.scdn.co/image/ab67616d0000b273010a5f4abb5bc82685e30137","1","1","171428","https://p.scdn.co/mp3-preview/c7368863849e84c185fc81610fbb0b4b450d78b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBKCF2201098","spotify:user:","2022-09-26T20:23:20Z","dance pop,edm,electro house,pop,pop dance,pop house,tropical house","0.561","0.928","6","-5.812","0","0.0371","0.087","0.894","0.332","0.182","125.988","4","","Axtone Records","C 2022 Axtone Records Ltd., P 2022 Axtone Records Ltd."
"spotify:track:2UdCQIDwFvGhslUYZH5tRR","Smack Yo'","spotify:artist:1jgSqmZTBltb5O2L7ErmEP","Beltran","spotify:album:22zxJTlAohxTyPwxjrfwqm","Smack Yo'","spotify:artist:1jgSqmZTBltb5O2L7ErmEP","Beltran","2022-09-30","https://i.scdn.co/image/ab67616d0000b2736dcfcf7e021ccc5791eb2a29","1","1","245669","https://p.scdn.co/mp3-preview/b14a428cd8f5e220d780d2999f3aa1b38d12c5c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBKQU2286551","spotify:user:","2022-10-11T14:25:54Z","","0.884","0.745","7","-7.892","1","0.135","0.00321","0.357","0.0921","0.735","126.992","4","","Solid Grooves Raw","C 2022 Solid Grooves Raw, P 2022 Solid Grooves Raw"
"spotify:track:7lxbCUxQXJRkPQ1eErYZd3","Raw - Tony Romera Remix","spotify:artist:1xTuChuImQkqK7A0aGaZqr, spotify:artist:3COgt6jQqmGpT8vM79C7R9, spotify:artist:6hnD17Gw6ohwryCf3D2AwD, spotify:artist:7GQsOji7pfixzkLt63awo5","Julio Navas, Gustavo Bravetti, David Amo, Tony Romera","spotify:album:05RVsgf3zkK6pcTHFmoNkZ","Raw (Tony Romera Remix)","spotify:artist:1xTuChuImQkqK7A0aGaZqr, spotify:artist:3COgt6jQqmGpT8vM79C7R9, spotify:artist:6hnD17Gw6ohwryCf3D2AwD","Julio Navas, Gustavo Bravetti, David Amo","2022-08-05","https://i.scdn.co/image/ab67616d0000b273faeb14fa0ce4449367f77345","1","1","217500","https://p.scdn.co/mp3-preview/4c9baf7bda21f0508a04bdd2c0e9c4db2f9f3068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBJAJ2201017","spotify:user:","2022-09-26T20:23:20Z","funky tech house,electro house,gaming edm","0.865","0.967","0","-5.03","1","0.087","0.392","0.877","0.353","0.163","128.005","4","","Toolroom","C 2022 Toolroom Productions Ltd, P 2022 Toolroom Productions Ltd"
