"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1cSXzDZt8vzuUp2XREQEJN","Atemlos durch die Nacht","spotify:artist:7MzHPIXAqIOCnvK0sVY72W","Helene Fischer","spotify:album:7MTjxNeS3N8XNuUm4BxjSx","Farbenspiel","spotify:artist:7MzHPIXAqIOCnvK0sVY72W","Helene Fischer","2013-01-01","https://i.scdn.co/image/ab67616d0000b273f20892c96efa6375c5fd1527","1","5","219720","https://p.scdn.co/mp3-preview/ba9bf7900ef6ca32d1009bd8a337bdf5ede0431e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","DEUM71303188","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:54:49Z","","0.798","0.74","11","-4.865","1","0.0458","0.0419","0.00000184","0.157","0.834","128.054","4","","Polydor","C © 2013 Polydor/Island, a division of Universal Music GmbH, P ℗ 2013 Jean Frankfurter, under exclusive license to Polydor/Island, a division of Universal Music GmbH"
"spotify:track:1kmhdq0RfZFdfSLaTsiTVi","Relax, Take It Easy","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:2FgwL1GHWKTbuHzAIjEeFa","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2007-02-05","https://i.scdn.co/image/ab67616d0000b2732b16992e49be4a199e7dad2c","1","5","270000","https://p.scdn.co/mp3-preview/e1b761d5a06fa0893eba51a40c7e2b8ffb7c5589?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USC7R0600114","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:54:55Z","dance pop,europop,pop","0.698","0.693","6","-8.218","0","0.0329","0.0567","0.0161","0.129","0.608","121.859","4","","Casablanca Records/Island UK","C © 2007 Casablanca Music, LLC, P ℗ 2007 Casablanca Music, LLC"
"spotify:track:3239OdTeQMBphegyNvF8F3","Pour the Milk","spotify:artist:2WuXRwEjXIjW5uVZOSxqYS, spotify:artist:5FzFuIi6RVngFoIwTdawDd","Robbie Doherty, Keees.","spotify:album:1RN9XFMVqqw4BD5dgLigpP","Pour the Milk","spotify:artist:2WuXRwEjXIjW5uVZOSxqYS, spotify:artist:5FzFuIi6RVngFoIwTdawDd","Robbie Doherty, Keees.","2019-11-08","https://i.scdn.co/image/ab67616d0000b273ed1a52850aeadda4da46ecb0","1","1","172285","https://p.scdn.co/mp3-preview/f025ab2f2f5a9ab6b394f75c3aff3ac3323df744?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBHAD1902177","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:55:08Z","","0.928","0.681","9","-8.554","1","0.0728","0.026","0.00373","0.0491","0.878","126.988","4","","Relentless Records","P (P) 2020 Relentless Records under exclusive licence from Cr2 Records Limited"
"spotify:track:0IQu5vSlswSNhZBc22MNy3","6 Degrees - Tale Of Us Remix","spotify:artist:5p4nIs3UHcE5qIJQsG7wjP, spotify:artist:2r7POU2f5jV6x3k4vsNwrM, spotify:artist:6NHI8u9P4xsuYfXmh0GMV6","Audiofly, Fiora, Tale Of Us","spotify:album:34iPRweaM3MNGsG9aBrXIE","6 Degrees","spotify:artist:5p4nIs3UHcE5qIJQsG7wjP","Audiofly","2011-07-29","https://i.scdn.co/image/ab67616d0000b273fac4be385acb4014183834cd","1","2","473550","","false","22","DEBE71100079","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:55:03Z","vocal trance","0.801","0.472","4","-9.948","1","0.077","0.128","0.381","0.103","0.467","120.005","4","","Get Physical Music","C 2011 Get Physical Music under licence from Supernature, P 2011 Get Physical Music under licence from Supernature"
"spotify:track:3GZD6HmiNUhxXYf8Gch723","Lost","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2012-07-10","https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5","1","11","234093","https://p.scdn.co/mp3-preview/412725e176d00fdf6c30c3085ff02f46faf4939d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUM71207186","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:55:13Z","hip hop,lgbtq+ hip hop,neo soul,pop","0.913","0.603","8","-4.892","1","0.226","0.0272","0.000503","0.167","0.497","123.061","4","","Red Zone Entertainment / IDJ","C © 2012 The Island Def Jam Music Group, P ℗ 2012 The Island Def Jam Music Group"
"spotify:track:1FCQEg7wOK9IIBuxx63krr","And We Danced (feat. Ziggy Stardust)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY","Macklemore","spotify:album:0Oy5pcr8Ijx4TqNn9AbC2k","The Unplanned Mixtape","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY","Macklemore","2010-01-05","https://i.scdn.co/image/ab67616d0000b2735496715382983b17b7b9f8f1","1","5","246213","https://p.scdn.co/mp3-preview/037d6f83502326a6e659ac4114dbdf5a441ee9af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","usx9p0979406","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:55:43Z","pop rap,seattle hip hop","0.758","0.677","5","-6.598","1","0.0782","0.456","0","0.0954","0.713","124.998","4","","Macklemore","C 2010 Macklemore, P 2010 Macklemore"
"spotify:track:2bCQHF9gdG5BNDVuEIEnNk","Smooth Criminal - 2012 Remaster","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:24TAupSNVWSAHL0R7n71vm","Bad 25th Anniversary","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","2012-09-18","https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d","1","10","257760","https://p.scdn.co/mp3-preview/9935079cbd61d8c6e2d6a17054b0960d7148ff4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM11204989","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T17:55:42Z","pop,r&b,soul","0.853","0.981","8","-3.947","1","0.0751","0.247","0.468","0.306","0.595","118.193","4","","Epic/Legacy","P (P) 1993 MJJ Productions Inc./(P) 2012 MJJ Productions Inc./(P) 2012 MJJ Productions Inc."
"spotify:track:3bidbhpOYeV4knp8AIu8Xn","Can't Hold Us (feat. Ray Dalton)","spotify:artist:5BcAKTbp20cv7tC5VqPFoC, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp, spotify:artist:4e0nWw2r4BoQSKPQ2zpU13","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","spotify:album:76FXHQhTuT4QMIxfL09gX8","The Heist","spotify:artist:5BcAKTbp20cv7tC5VqPFoC, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis","2012-10-09","https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec","1","2","258342","https://p.scdn.co/mp3-preview/2923c8550698ef521c6766f14eacc7c19ddae8b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GMM881200021","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:55:49Z","dance pop,pop,pop rap,seattle hip hop,pop rap,seattle hip hop","0.641","0.922","2","-4.457","1","0.0786","0.0291","0","0.0862","0.847","146.078","4","","Macklemore","C © 2012 Macklemore, LLC., P ℗ 2012 Macklemore, LLC."
"spotify:track:2EBCVPNAG46nbgs6jXPGvv","Starships","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ef9ad61e2a4f15606fd4ab15","2","10","210626","https://p.scdn.co/mp3-preview/7a6940a6299a256dbbecaf890c69f0f06ad757d6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USCM51200060","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T18:05:44Z","dance pop,hip pop,pop,queens hip hop,rap","0.747","0.716","11","-2.457","0","0.075","0.135","0","0.251","0.751","125.008","4","","Nicki Minaj/Cash Money","C © 2012 Cash Money Records Inc., P ℗ 2012 Cash Money Records Inc."
"spotify:track:4CWJ6V6Y5XBjM2STX6z9a0","I Never Thought","spotify:artist:0TQgpQgq7wSCeohL4uc1pL","Quasar","spotify:album:0UKVDIgbRWbthlDXEYWlzr","Lovesongs (White Ones)","spotify:artist:0TQgpQgq7wSCeohL4uc1pL","Quasar","2017-09-03","https://i.scdn.co/image/ab67616d0000b273b83933fd80fad8f63ab2d1a4","1","2","426944","https://p.scdn.co/mp3-preview/0dbf6d917394f2c459d93959bd9c16874d1bb575?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZFYY1950312","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-08T16:56:17Z","","0.773","0.647","11","-11.726","0","0.076","0.0192","0.879","0.108","0.348","122.008","4","","Quasar White","C 2019 Quasar White, P 2019 Quasar White"
