"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6YUTL4dYpB9xZO5qExPf05","Summer","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756","1","8","222533","https://p.scdn.co/mp3-preview/738c08036fd5a89bdcdae396f6687d9b0ebfff10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBARL1400296","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T08:55:13Z","dance pop,edm,electro house,house,pop,progressive house,uk dance","0.596","0.856","4","-3.556","0","0.0346","0.0211","0.0178","0.141","0.743","127.949","4","","Columbia","P (P) 2014 Sony Music Entertainment UK Limited"
"spotify:track:1TWfkGrhF7ob0nwB2M6knb","Animals","spotify:artist:60d24wfXkVzDSfLS6hyCjZ","Martin Garrix","spotify:album:1eZMpxx8AbnGo0qKSWzpT5","Animals","spotify:artist:60d24wfXkVzDSfLS6hyCjZ","Martin Garrix","2013-07-01","https://i.scdn.co/image/ab67616d0000b273eb6f61d93514dfe530616a68","1","1","304228","https://p.scdn.co/mp3-preview/9b97e779922a5379e1ad0f6f33ccae1e15385e37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","14","NLZ541300467","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T16:17:15Z","dance pop,dutch edm,edm,electro house,pop,pop dance,progressive house,tropical house","0.675","0.868","1","-6.36","1","0.0392","0.00107","0.715","0.374","0.0376","128.007","4","","Spinnin' Records","C © 2013 SpinninRecords.com, P ℗ 2013 SpinninRecords.com"
"spotify:track:07nH4ifBxUB4lZcsf44Brn","Blame (feat. John Newman)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","Calvin Harris, John Newman","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756","1","3","212960","https://p.scdn.co/mp3-preview/5112b468031ea96f5b42d9aecd91cd1654fb44e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBARL1400567","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T16:21:11Z","dance pop,edm,electro house,house,pop,progressive house,uk dance,dance pop","0.414","0.857","0","-4.078","0","0.0808","0.0287","0.00574","0.343","0.348","128.024","4","","Columbia","P (P) 2014 Sony Music Entertainment UK Limited"
"spotify:track:2ej1A2Ze6P2EOW7KfIosZR","Feather (feat. Cise Starr & Akin from CYNE)","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ, spotify:artist:33U7NALGE1kDIhgwofWG2s, spotify:artist:5BY7uwdKwTd7ZZRFLUxhcw","Nujabes, Cise Star, Akin Yai","spotify:album:6nVACH6a27eOWiumAJhDWS","Modal Soul","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ","Nujabes","2005-11-11","https://i.scdn.co/image/ab67616d0000b273912cc8fe2e9a53d328757a41","1","1","175360","https://p.scdn.co/mp3-preview/9a808dd8728a66c81006ad2f08c08157c968956a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","JPH491605000","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T16:25:14Z","chillhop,downtempo,japanese chillhop,japanese old school hip hop,jazz rap","0.565","0.749","10","-6.629","0","0.0769","0.655","0.432","0.106","0.881","180.598","4","","Hydeout Productions","C Hydeout Productions, P Hydeout Productions"
"spotify:track:6SNGzhVrisdq63Ndz58ovT","Luv (sic)","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ","Nujabes","spotify:album:4oT4YRVe43ESrT9rx2LKCM","Luv(sic) Hexalogy","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ","Nujabes","2015-12-09","https://i.scdn.co/image/ab67616d0000b2731a1ba7785a4b91c8aee7a79c","1","1","286320","https://p.scdn.co/mp3-preview/15ba7c806292cbdde1ea0c3f23f5ddcdcbe8b315?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","JPH491605019","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T16:26:52Z","chillhop,downtempo,japanese chillhop,japanese old school hip hop,jazz rap","0.906","0.677","1","-5.558","1","0.215","0.437","0.0272","0.652","0.869","93.016","4","","Hydeout Productions","C Hydeout Productions, P Hydeout Productions"
"spotify:track:5kw78SJw2iL3tr3yo5nIHn","Ma Chérie - DJ Antoine Vs Mad Mark 2K12 Radio Edit","spotify:artist:6yTYR09WCvsgdnurDW4WQo, spotify:artist:2vJfU7tjaOVFyh7oZF8L0J","DJ Antoine, The Beatshakers","spotify:album:0Gjr3UYirjm0iOaaCdRtxX","Welcome to DJ Antoine","spotify:artist:6yTYR09WCvsgdnurDW4WQo","DJ Antoine","2011-08-12","https://i.scdn.co/image/ab67616d0000b273b7e76b42f2e7e8fc6cf6db25","1","5","191090","https://p.scdn.co/mp3-preview/e7f43df7999db4915d08a8c45e68bfb6b9503273?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DEN061101853","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T16:27:39Z","dance pop,pop dance,pop rap,tropical house,fake","0.749","0.589","8","-5.032","1","0.26","0.0279","0.000217","0.0396","0.814","128.003","4","","Kontor Records","C 2011 Kontor Records GmbH / Global Productions GmbH / Houseworks, P 2011 Kontor Records GmbH / Global Productions GmbH / Houseworks"
"spotify:track:3cHyrEgdyYRjgJKSOiOtcS","Timber (feat. Ke$ha)","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:6LqNN22kT3074XbTVUrhzX","Pitbull, Kesha","spotify:album:2F7tejLHzTqFq2XLol9ZGy","Global Warming: Meltdown (Deluxe Version)","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","2012","https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90","1","13","204160","https://p.scdn.co/mp3-preview/9c744f3343092c3b52930c6010e0b4b9b8d93765?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRC11301695","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T16:31:31Z","dance pop,miami hip hop,pop,pop rap,dance pop,pop,post-teen pop","0.581","0.963","11","-4.087","1","0.0981","0.0295","0","0.139","0.788","129.992","4","","Mr.305/Polo Grounds Music/RCA Records","P (P) 2013 RCA Records, a division of Sony Music Entertainment"
"spotify:track:08d1uFAAtQgLbuvyP2AkoH","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","spotify:album:2zL3pun7npuBMHeBPr7mtz","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","2017-12-22","https://i.scdn.co/image/ab67616d0000b2732fed09099502884eab4b4d77","1","1","272394","https://p.scdn.co/mp3-preview/e95d94778a24e694d3d9e5ca3752ea210bbc60e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBLV61724940","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T17:24:37Z","house","0.8","0.846","5","-7.518","1","0.0624","0.0277","0.877","0.0896","0.211","127.008","4","","PAWZ","C 2017 PAWZ, P Copyright Control"
"spotify:track:3XGwtkpu07l4L2toIauC7v","Spiritual Thang","spotify:artist:6yeeXqk3RxV7l5DxmlXMnw","Bellaire","spotify:album:4x7dEWywrb0HsnaKQbVRrq","Spiritual Thang","spotify:artist:6yeeXqk3RxV7l5DxmlXMnw","Bellaire","2018-09-07","https://i.scdn.co/image/ab67616d0000b27382589576bc9bb28702f6316a","1","1","307512","https://p.scdn.co/mp3-preview/0201e39ae8fb3b5a4ad8931eb17b64c380078837?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","FR59R1873000","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-04T17:56:43Z","disco house","0.748","0.941","5","-7.345","0","0.0705","0.0042","0.168","0.163","0.513","125.981","4","","AOC Records","C (C) 2018 Triple-Double Production & Filature Publishing, P (P) 2018 AOC Records, a subdivision of Triple-Double Production"
"spotify:track:6E4Y6Lh9tGWezuWf2XzBwq","Get Lucky","spotify:artist:2d5lQo9YQ1DkAsBKTRp7Iu","Karen Souza","spotify:album:2P1XQhzD17UWhOAC1yvjAY","Get Lucky - EP","spotify:artist:2d5lQo9YQ1DkAsBKTRp7Iu","Karen Souza","2013-09-12","https://i.scdn.co/image/ab67616d0000b2731aa21e5c4ea26bedc7ea88ca","1","1","198000","https://p.scdn.co/mp3-preview/984374f581692f76840217615911c2de3b090b94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ARF411300336","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-05T12:39:14Z","bossa nova cover,coverchill,jazz cover","0.498","0.468","6","-10.297","0","0.038","0.758","0.0000399","0.111","0.416","84.576","4","","Music Brokers","C (C) 2013 Music Brokers"
"spotify:track:325vLO3EtvYrhVnw7MY2FS","Stairway to Heaven","spotify:artist:0IdWDHqu9vAilcEhb3Q0tN","Sublime Reggae Kings","spotify:album:03VM3cShllRQ3uuCSASDwe","Stairway to Heaven","spotify:artist:0IdWDHqu9vAilcEhb3Q0tN","Sublime Reggae Kings","2020-12-25","https://i.scdn.co/image/ab67616d0000b27317f83fbf2b04530c2cc85eab","1","1","237840","https://p.scdn.co/mp3-preview/05f328e0d83cdc66ad468aa3d6e449e74d797259?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ARF412000307","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-05T13:44:16Z","coverchill,reggae cover","0.645","0.662","9","-9.143","0","0.0415","0.224","0.00921","0.0911","0.596","165.991","4","","Music Brokers","C (C) 2020 Music Brokers, P (P) 2020 Music Brokers"
"spotify:track:2prnn41CblB8B4yWACDljP","Love Tonight - David Guetta Remix Edit","spotify:artist:2TcGJdSOiOvITBzhvfX8XB, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Shouse, David Guetta","spotify:album:2HYufzr6XUqSurRZdY0D9w","Love Tonight (David Guetta Remix)","spotify:artist:2TcGJdSOiOvITBzhvfX8XB, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Shouse, David Guetta","2021-06-11","https://i.scdn.co/image/ab67616d0000b27328eec1bed4fe754299ea1e96","1","1","158095","https://p.scdn.co/mp3-preview/f5247d3eee64efba8a0f84bcdc5dff650a26f351?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USA2P2120718","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-05T14:14:49Z","aussietronica,edm,pop dance,tropical house,big room,dance pop,edm,pop,pop dance","0.621","0.989","10","-4.225","0","0.0434","0.015","0.357","0.184","0.0348","126.002","4","","Hell Beach","C © 2021 Hell Beach, a division of ONELOVE Recordings, P ℗ 2021 Hell Beach, a division of ONELOVE Recordings"
"spotify:track:0DiWol3AO6WpXZgp0goxAV","One More Time","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","1","320357","https://p.scdn.co/mp3-preview/18781de52205d9ade22904945510161feab085ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBDUW0000053","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-06T14:00:02Z","electro,filter house","0.613","0.697","2","-8.618","1","0.133","0.0194","0","0.332","0.476","122.746","4","","Daft Life Ltd./ADA France","C Distributed exclusively by Warner Music France / ADA France, © 2001 Daft Life Ltd., P Distributed exclusively by Warner Music France / ADA France, ℗ 2001 Daft Life Ltd."
