"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5FxE7lQoBhfdW3h9P8qDdO","For The Same Man - Nic Fanciulli Remix","spotify:artist:5m6iVyo0EmmzDe7xxyp10a, spotify:artist:7btR5VXutQv39SDEzcfXEk","B Beat Girls, Nic Fanciulli","spotify:album:4zW1H6EF5S6bAY5bipHck4","For The Same Man (Nic Fanciulli Remix)","spotify:artist:5m6iVyo0EmmzDe7xxyp10a, spotify:artist:7btR5VXutQv39SDEzcfXEk","B Beat Girls, Nic Fanciulli","2022-05-06","https://i.scdn.co/image/ab67616d0000b27327135d700dbf4ae71879cde0","1","1","214036","https://p.scdn.co/mp3-preview/94c860e596a131aeb2f7da3f756ba5ad1fc73db5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBCPZ2220896","spotify:user:","2022-08-26T18:16:00Z","tech house","0.778","0.877","11","-8.96","0","0.0463","0.000351","0.712","0.114","0.792","127.015","4","","Defected Records","C © 2022 Defected Records Limited, P ℗ 2022 Defected Records Limited"
"spotify:track:6WLZljpPR8EiUT2LDubJ6T","Aguila ft. Cumbiafrica","spotify:artist:5PlfkPxwCpRRWQJBxCa0By, spotify:artist:4epc3Bd0DOBA0kDywkRAsu, spotify:artist:72zmP13MQQhZHt4Kl0FOTs","HUGEL, Westend, Cumbiafrica","spotify:album:3E02tEWunwSUsnGYw09IJs","Aguila ft. Cumbiafrica","spotify:artist:5PlfkPxwCpRRWQJBxCa0By, spotify:artist:4epc3Bd0DOBA0kDywkRAsu, spotify:artist:72zmP13MQQhZHt4Kl0FOTs","HUGEL, Westend, Cumbiafrica","2022-07-22","https://i.scdn.co/image/ab67616d0000b273a97c56c99f3892cb037885f0","1","1","168600","https://p.scdn.co/mp3-preview/8625b3a298e71dadaa703f117a23c7cbaeb439ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","DEA622200893","spotify:user:","2022-08-26T18:16:00Z","deep house,edm,pop dance,tropical house,bass house,deep groove house","0.812","0.816","6","-5.584","0","0.0432","0.00304","0.000128","0.112","0.211","125.001","4","","Repopulate Mars","C 2022 Repopulate Mars, P 2022 Repopulate Mars"
"spotify:track:6gdDu39yYqPcaTgCwYEW8i","Turn On The Lights again.. (feat. Future)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Fred again.., Swedish House Mafia, Future","spotify:album:2jiMeC1iUWVYmvXSIiO8ks","Turn On The Lights again.. (feat. Future)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Fred again.., Swedish House Mafia","2022-07-29","https://i.scdn.co/image/ab67616d0000b27312a4dc46531cda7b6e954223","1","1","267946","https://p.scdn.co/mp3-preview/b2d10bf2886b4b4c74788ef94e0ecfe87e2466bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBAHS2201001","spotify:user:","2022-08-26T18:16:00Z","edm,house,dance pop,edm,electro house,pop,pop dance,progressive electro house,atl hip hop,rap,southern hip hop,trap","0.683","0.887","6","-4.944","0","0.0497","0.0125","0.446","0.318","0.551","132.007","4","","Atlantic Records UK","C An Atlantic Records UK release, © 2022 Warner Music UK Limited, P An Atlantic Records UK release., ℗ 2022 Warner Music UK Limited"
"spotify:track:4vyG9ZhHT8MKJE5mTICMFC","Still Sleepless","spotify:artist:0Cs47vvRsPgEfliBU9KDiB, spotify:artist:4S9LNSZusH3XflT3g32bqB","D.O.D, Carla Monroe","spotify:album:0R8Q1Ssj8x17w30NUas7yu","Still Sleepless","spotify:artist:0Cs47vvRsPgEfliBU9KDiB, spotify:artist:4S9LNSZusH3XflT3g32bqB","D.O.D, Carla Monroe","2021-09-17","https://i.scdn.co/image/ab67616d0000b273ce09321ad586bf258a394f43","1","1","162879","https://p.scdn.co/mp3-preview/8134036ee63dacee366d003fa5dd315e98478718?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBKCF2101056","spotify:user:","2022-08-26T18:16:00Z","dance pop,edm,electro house,house,pop dance,tropical house,uk dance","0.628","0.738","6","-5.045","0","0.0367","0.0156","0.281","0.153","0.699","125.928","4","","Axtone Records","C 2021 Axtone Records Ltd., P 2021 Axtone Records Ltd."
"spotify:track:0F2BxpbxH8Yc3pLub48hrb","Pjanoo - Radio Edit","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","spotify:album:7zlMxh1NR0Shklu48L4e7x","Pjanoo","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","2008-08-29","https://i.scdn.co/image/ab67616d0000b273bf82130ce529153496038461","1","1","157432","https://p.scdn.co/mp3-preview/47007fb4cdd23f23045e3abdc2593ad66759a0fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBCEN0800951","spotify:user:","2022-08-26T18:16:00Z","disco house,edm,electro house,pop dance,progressive house,vocal house","0.605","0.874","7","-4.949","0","0.0295","0.000563","0.812","0.112","0.836","125.99","4","","Pryda Presents","P (P) 2008 Data Records|Ministry of Sound Recordings Ltd"
"spotify:track:3Z9qdV9SOWHuTxNbyOwXIa","Burning In My Arms - Edit","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","spotify:album:6WdHT5YZeHkKkCUZe5ka1B","Burning In My Arms (Edit)","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","2022-08-26","https://i.scdn.co/image/ab67616d0000b273648e0f539c494e8112703b67","1","1","211200","https://p.scdn.co/mp3-preview/443eb21ff4745d1aaff4489ddc9f7f4203b743d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBAYE2200643","spotify:user:","2022-08-26T18:16:00Z","house,la pop","0.72","0.96","0","-3.23","1","0.0349","0.0414","0.14","0.11","0.666","124.988","4","","FFRR","C under exclusive license to Parlophone Records Limited / FFRR.., © 2021 Glow Ent, LLC, P under exclusive license to Parlophone Records Limited / FFRR., ℗ 2021 Glow Ent, LLC"
"spotify:track:5Q4MxA344M8VyFieIC4YTk","365 (Thr33 6ix 5ive)","spotify:artist:1sl3gVNz3Nxd4poA8f76sl","HoneyLuv","spotify:album:2CPEiNpmYAciWrkFNPUgQC","365 (Thr33 6ix 5ive)","spotify:artist:1sl3gVNz3Nxd4poA8f76sl","HoneyLuv","2022-04-22","https://i.scdn.co/image/ab67616d0000b273211e7fd1bc00c7ff3b5a8df9","1","1","151283","https://p.scdn.co/mp3-preview/6ddaedc1b5289b044a17a2f357ad0247ae7a31fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","QZA742204364","spotify:user:","2022-08-26T18:16:00Z","","0.788","0.96","7","-4.684","1","0.0499","0.00629","0.00673","0.0878","0.8","123.99","4","","Black Book Records","C © 2022 Black Book Records, P ℗ 2022 Black Book Records"
"spotify:track:1MeYeeJV7BUmp3Kf0wEmQe","Poison","spotify:artist:1tRBmMtER4fGrzrt8O9VpS","Hot Since 82","spotify:album:6WONhOrTC1hMcjVSPuAcr6","Poison","spotify:artist:1tRBmMtER4fGrzrt8O9VpS","Hot Since 82","2022-08-12","https://i.scdn.co/image/ab67616d0000b2736579d2cf5c7df2d7a5e80f1f","1","1","206378","https://p.scdn.co/mp3-preview/a3215a7d44ea28162bf91420e4ca53d61f33f30b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","UK74K1400679","spotify:user:","2022-08-26T18:16:00Z","deep disco house,house,uk house","0.606","0.876","0","-9.218","1","0.0303","0.0107","0.856","0.0846","0.493","127.007","4","","Knee Deep In Sound","C 2022 Knee Deep In Sound, P 2022 Knee Deep In Sound"
"spotify:track:4xMbBESczlHPUO8QeYi56p","My Heart Goes (La Di Da) (feat. Topic)","spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:0u6GtibW46tFX7koQ6uNJZ","Becky Hill, Topic","spotify:album:3xDukGLEHBX2uylxb6S9jc","My Heart Goes (La Di Da) (feat. Topic)","spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:0u6GtibW46tFX7koQ6uNJZ","Becky Hill, Topic","2021-08-24","https://i.scdn.co/image/ab67616d0000b27309c5735e9ed63de615e98afc","1","1","148960","https://p.scdn.co/mp3-preview/4a5cdfadc9f7175837af42b8381f71b011c40132?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM72102422","spotify:user:","2022-08-26T18:16:00Z","dance pop,edm,pop,pop dance,pop house,tropical house,uk dance,dance pop,edm,electro house,german dance,pop dance,pop edm,tropical house","0.695","0.781","7","-5.578","0","0.0452","0.0185","0.0000312","0.295","0.456","124.04","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor / Eko Records Release; ℗ 2021 Universal Music Operations Limited"
"spotify:track:1eKSPMRzGdglxelX3kyrqc","Under The Sun","spotify:artist:3IG3Ub4ra8AuSxCFDVkVco, spotify:artist:7mGI9Sd66FqHjIkwzkgbG7","Franky Wah, AR/CO","spotify:album:0nOe03llpGGQNH6Zjyj20Z","Under The Sun","spotify:artist:3IG3Ub4ra8AuSxCFDVkVco, spotify:artist:7mGI9Sd66FqHjIkwzkgbG7","Franky Wah, AR/CO","2022-05-06","https://i.scdn.co/image/ab67616d0000b2737e5c9563458843e645bd4815","1","1","208374","https://p.scdn.co/mp3-preview/98f4509b0f1b4a2b444f9358fe2b71074bfaec5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ZZOPM2229118","spotify:user:","2022-08-26T18:16:00Z","house,uk dance,uk house","0.633","0.916","7","-6.699","0","0.0357","0.0127","0.35","0.13","0.095","121.99","4","","Terracotta Records","C © 2022 Terracotta Records, P ℗ 2022 Terracotta Records"
