"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2WRFD9WczJ975X2K1Y9YVs","Heads Will Roll","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","spotify:album:6w21zEx5okRPCYJejLVRdR","It's Blitz!","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","2009-01-01","https://i.scdn.co/image/ab67616d0000b273e922211eede5ae8017ff802f","1","2","221000","https://p.scdn.co/mp3-preview/f88ebee1ee11b8dd4a25d64d02d98b6f46e86151?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBUM70900924","spotify:user:","2022-11-17T12:30:25Z","alternative dance,alternative rock,dance-punk,indie rock,modern rock,new rave,rock","0.562","0.903","8","-4.46","0","0.0296","0.000187","0.0939","0.298","0.791","132.009","4","","Polydor Records","C © 2009 Polydor Ltd. (UK), P ℗ 2009 Polydor Ltd. (UK)"
"spotify:track:1bx7OUl2UmAnA5oZkm9If7","Jerk It Out","spotify:artist:4rGrN4XDYhP6dUAZMvcuHr","Caesars","spotify:album:1D5ebxOCFrG8U6p98zZHCi","Jerk It Out","spotify:artist:4rGrN4XDYhP6dUAZMvcuHr","Caesars","2005-01-14","https://i.scdn.co/image/ab67616d0000b273b2bf866a8c5bd281353ea1f1","1","1","195666","https://p.scdn.co/mp3-preview/87b10840ca78132605d0c191b0502f09cba6d7e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","SEVBU0200002","spotify:user:","2022-11-17T12:30:25Z","swedish indie rock","0.58","0.981","8","-2.603","0","0.06","0.0171","0.0000107","0.386","0.861","134.007","4","","Parlophone Sweden","C © 2005 Woah Dad/Telegram Music distributed by Warner Music Sweden AB, P ℗ 2005 Woah Dad/Telegram Music distributed by Warner Music Sweden AB"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/8ecd2e3646697c859c14bd0c2adbc291fab3ded2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM10702135","spotify:user:","2022-11-17T12:30:25Z","alternative dance,indietronica,modern rock,rock","0.451","0.931","9","-3.871","1","0.0719","0.00076","0.0049","0.361","0.172","122.961","4","","Red Ink/Columbia","P (P) 2007 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:5BncQXZqKNmcoy6TRN0IYi","Dance With Somebody - Radio Version","spotify:artist:5I4eibDkC7gg0hmczTZuND","Mando Diao","spotify:album:2Od9xgd0by2QciJyDcapjn","Dance With Somebody","spotify:artist:5I4eibDkC7gg0hmczTZuND","Mando Diao","2009-01-01","https://i.scdn.co/image/ab67616d0000b273f18145c7b83a6b0965ccb196","1","1","241520","https://p.scdn.co/mp3-preview/4ab9a74eb345e314c75514f1f0fdc2905457657a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","SEYBD0800201","spotify:user:","2022-11-17T12:30:25Z","dalarna indie,swedish garage rock,swedish indie rock","0.552","0.899","1","-4.03","0","0.0882","0.00206","0","0.15","0.609","150.032","4","","Vertigo Berlin","C © 2009 Musica De la Santa, under exclusive license to Universal Music Domestic Rock/Urban, a division of Universal Music GmbH, P ℗ 2009 Musica De la Santa, under exclusive license to Universal Music Domestic Rock/Urban, a division of Universal Music GmbH"
"spotify:track:244AvzGQ4Ksa5637JQu5Gy","You've Got The Love","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:1rLLyY5p6HXNl2lKzINWp5","Lungs (Deluxe Version)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d","1","13","168666","https://p.scdn.co/mp3-preview/9027cb9974c874aa575ea0c93f786a3fbb203f45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM70900237","spotify:user:","2022-11-17T12:30:25Z","baroque pop,pop,uk alternative pop","0.574","0.694","6","-4.697","1","0.0327","0.00481","0","0.102","0.401","109.85","4","","Universal-Island Records Ltd.","C © 2011 Universal Island Records Ltd. A Universal Music Company., P ℗ 2011 Universal Island Records Ltd. A Universal Music Company."
"spotify:track:0SbMdEc3vUpYyG7Od1Outj","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","spotify:album:7IymIe6TAiOWhAKRgFOAPw","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","2008-01-01","https://i.scdn.co/image/ab67616d0000b2732da2d2cfc369d2d4c96d7bee","1","1","196346","https://p.scdn.co/mp3-preview/8869151e397b3fec7312e313179ab94260c6b3c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","AUEI10800039","spotify:user:","2022-11-17T12:30:25Z","alternative dance,australian dance,australian electropop,dance rock,electropop,indietronica,neo-synthpop","0.866","0.692","5","-5.785","0","0.0458","0.246","0.00000485","0.0878","0.737","126.955","4","","Capitol Records","C © 2009 The Sleepy Jackson Pty Ltd and Nick Littlemore, P ℗ 2008 The Sleepy Jackson Pty Ltd and Nick Littlemore"
"spotify:track:1bCmvezFg5MRcENzCGG1Cy","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:7avNT7QnpWXl1Khqnsguaw","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b273adba877024420660db2f124e","1","4","215306","https://p.scdn.co/mp3-preview/d99c2f345ece217f10103e789de3aded6d4be325?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBUM70601571","spotify:user:","2022-11-17T12:30:25Z","alternative rock,garage rock,modern rock,rock,scottish rock","0.511","0.815","7","-3.14","1","0.144","0.0491","0","0.0826","0.586","154.514","4","","Universal-Island Records Ltd.","C © 2006 Universal Island Records Ltd. A Universal Music Company., P ℗ 2006 Universal Island Records Ltd. A Universal Music Company."
"spotify:track:6BqWhxll86CGGE6WxgdRqG","Golden Skans","spotify:artist:2qlAMLpUyBjZgnzuFXXZXI","Klaxons","spotify:album:6NfykVXaIiJG0JkkNI3Ubg","Myths Of The Near Future","spotify:artist:2qlAMLpUyBjZgnzuFXXZXI","Klaxons","2007","https://i.scdn.co/image/ab67616d0000b273a6ba454df44d588fbc6bc983","1","3","165120","https://p.scdn.co/mp3-preview/a9b68afbfc91437e7af9d47e20775b0789c141ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBUM70605901","spotify:user:","2022-11-17T12:30:25Z","alternative dance,dance-punk,indie rock,modern rock,new rave,rock","0.463","0.836","2","-2.776","0","0.0381","0.000418","0.00000738","0.25","0.713","141.955","4","","Polydor Records","C © 2006 Klaxons, Under exclusive license to Polydor Records Ltd. (UK), P ℗ 2006 Klaxons, Under exclusive license to Polydor Records Ltd. (UK)"
"spotify:track:4juzduULFJiZVIcrC1tkxE","Banquet","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","spotify:album:1VpqO2dBJdAS3YAimXlhEM","Silent Alarm","spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ","Bloc Party","2005-02-02","https://i.scdn.co/image/ab67616d0000b273ded3c4e9455c059ac109989f","1","4","201360","https://p.scdn.co/mp3-preview/38b54a40d825424d746ba3add62a63259655fa77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBDNH0400385","spotify:user:","2022-11-17T12:30:25Z","alternative dance,indie rock,modern rock,new rave,rock","0.575","0.936","10","-4.913","0","0.0512","0.000128","0.0146","0.0828","0.879","150.234","4","","Wichita Recordings","C 2005 Bloc Party, under exclusive license to Wichita Recordings, P 2005 Bloc Party, under exclusive license to Wichita Recordings"
"spotify:track:2q6Na4axOEIe46qufv98G3","Little Numbers","spotify:artist:7I7ObCLzhAnOchc4fCQiRX","BOY","spotify:album:63KKJvkCc2SE6xAwAqnl48","Little Numbers","spotify:artist:7I7ObCLzhAnOchc4fCQiRX","BOY","2011-08-26","https://i.scdn.co/image/ab67616d0000b273e8716d0c4cb8f331be38a4c3","1","1","219840","https://p.scdn.co/mp3-preview/426bea5505f0fa7777d3de95f3e427e62a038415?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBLAZ1100317","spotify:user:","2022-11-17T12:30:25Z","german indie,german pop","0.537","0.781","1","-4.848","1","0.0387","0.139","0","0.0968","0.712","191.807","4","","Grönland","C 2011 NEU Grönland Records, P 2011 NEU Grönland Records"
