"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7jk7gqyEonmVVYahZN5zhW","Circus","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:2tve5DGwub1TtbX1khPX5j","Circus (Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2008-12-02","https://i.scdn.co/image/ab67616d0000b27354c6edd554935d73e159e199","1","2","192360","https://p.scdn.co/mp3-preview/78cf44dc9e484e4653f6c55792e6082e5f54ffee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USJI10801081","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-20T12:46:34Z","dance pop,pop","0.791","0.733","6","-5.215","0","0.052","0.147","0.000381","0.0713","0.761","114.98","4","","Jive","P (P) 2008 Zomba Recording LLC"
"spotify:track:5wqlRFdpJ1a4kMIBSWeCnN","Voodoo People - Pendulum Mix","spotify:artist:4k1ELeJKT1ISyDv8JivPpB, spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","The Prodigy, Pendulum","spotify:album:6U4ZmwVyOh7EAwIxXK2Ici","Voodoo People / Out of Space","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2005-10-03","https://i.scdn.co/image/ab67616d0000b27379db1226fbacb5a279aa42e3","1","1","307813","https://p.scdn.co/mp3-preview/659580784a8af5aef9f59f5789119b45eca6700c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBBKS0562618","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-22T08:49:15Z","big beat,breakbeat,dance rock,hardcore techno,rave,australian dance,dancefloor dnb,drum and bass","0.443","0.96","1","-5.481","1","0.0661","0.000127","0.875","0.194","0.533","174.011","4","","XL Recordings","C 2005 XL Recordings Ltd, P 2005 XL Recordings Ltd"
"spotify:track:7GpgT7sHaTg9nHUM8g888k","Light Up the Sky","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:6DAq2tDWMqPP7MTdb3aIDi","No Tourists","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2018-11-02","https://i.scdn.co/image/ab67616d0000b2737c13addc6b19119c18fff960","1","2","199715","https://p.scdn.co/mp3-preview/174d0c877c8062a5273960effdb1200e82ad3d0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GB5KW1802031","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-22T08:49:42Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.198","0.951","1","-5.786","1","0.122","0.00168","0.783","0.312","0.326","159.872","5","","BMG Rights Management (UK) Ltd","C © 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited, P ℗ 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited"
"spotify:track:2mt1IqcFyY1zmYZT8Q3xw9","hot girl bummer","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:0fxhOwMkj9lfSIAyTJVnfc","everything means nothing","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2020-08-21","https://i.scdn.co/image/ab67616d0000b2730b7c6d46885f7434c99e6d8b","1","1","188343","","true","3","USUG11902959","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-22T08:49:56Z","pop,pop rap","0.782","0.559","6","-7.106","0","0.0767","0.125","0","0.385","0.685","129.992","1","","Beartrap / Alamo / Interscope Records","C © 2020 Beartrap, LLC, under exclusive license to Alamo / Interscope Records, P ℗ 2020 Beartrap, LLC, under exclusive license to Alamo / Interscope Records"
"spotify:track:3gkSQbWTDBh0ZKq85WmJDz","You Don’t Get Me High Anymore","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH","Phantogram","spotify:album:0NQ6Dn9si4mgFKoRoBGkn8","Three","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH","Phantogram","2016-10-07","https://i.scdn.co/image/ab67616d0000b273d99618fc2eed49eb1b67d6af","1","3","219506","https://p.scdn.co/mp3-preview/a0ae8e374696df5cb4ea8be0f47fdd87f07e46bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USUM71603912","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-23T17:03:12Z","indietronica,metropopolis,modern rock","0.504","0.945","7","-4.625","1","0.0504","0.00242","0.00257","0.536","0.744","97.972","4","","Universal Records","C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:2SKhlPbGKIddb6lt0C2Plb","Skip To The Good Bit","spotify:artist:2ajhZ7EA6Dec0kaWiKCApF","Rizzle Kicks","spotify:album:0FmdT7UUop9TUBPmJphI0s","Roaring 20s (Deluxe)","spotify:artist:2ajhZ7EA6Dec0kaWiKCApF","Rizzle Kicks","2013-01-01","https://i.scdn.co/image/ab67616d0000b273549252495ef72e98781b3f7c","1","4","232920","https://p.scdn.co/mp3-preview/3ecb0be1cce59b0ada55b4b5e586b7b12b2a0ddf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBUM71302509","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-23T17:05:42Z","dance pop,uk hip hop","0.611","0.636","1","-6.677","1","0.16","0.0058","0.00000682","0.105","0.697","104.615","4","","Universal-Island Records Ltd.","C © 2013 Universal Island Records, a division of Universal Music Operations Limited, P ℗ 2013 Universal Island Records, a division of Universal Music Operations Limited"
"spotify:track:3Pj6u2KTgepyyidp5xfbHp","Ashes","spotify:artist:5yw4tA8D5uG7tT3NaDvq10","Stellar","spotify:album:41gMZm0ib3Je8hU0eFNUwS","Ashes","spotify:artist:5yw4tA8D5uG7tT3NaDvq10","Stellar","2020-05-03","https://i.scdn.co/image/ab67616d0000b2730db4898026f2f0d478abf0e7","1","1","166355","https://p.scdn.co/mp3-preview/56490c28f112e28af920f47bc7b9d4a0cf9d84a9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","QZDA52012875","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-26T22:47:36Z","social media pop","0.712","0.568","5","-7.864","0","0.0546","0.0947","0","0.169","0.46","130.019","4","","Arista Records","P (P) 2020 Greater Boston Records LLC under exclusive license to Arista Records, a division of Sony Music Entertainment"
"spotify:track:5cw39FV9eXL3IuLxwpG8Z1","Slam","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","spotify:album:5wHNla8BT8KcqMhAbvqoPU","Hold Your Colour","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","2007-05-19","https://i.scdn.co/image/ab67616d0000b27396bdaeb1e48a312ae3859ebe","1","2","344973","https://p.scdn.co/mp3-preview/26fc2b4e08b235c375fc2f6e16ad44996613fb1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBKBH0502202","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-26T23:09:17Z","australian dance,dancefloor dnb,drum and bass","0.428","0.983","10","-4.104","0","0.0478","0.0000304","0.824","0.322","0.3","173.996","4","","Breakbeat Kaos","C 2007 Breakbeat Kaos, P 2007 Breakbeat Kaos"
"spotify:track:6tC2iHfUlzB2W4ntXXL2BH","Propane Nightmares","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","spotify:album:6eRDE48ttoLqN2VfkEpPOJ","In Silico","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","2008-05-09","https://i.scdn.co/image/ab67616d0000b27361d099fde6c64dc5a90742a4","1","3","313346","https://p.scdn.co/mp3-preview/800559aca68e9cb1d9ccfcaa52577fca44837189?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBAHT0800150","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-26T23:09:25Z","australian dance,dancefloor dnb,drum and bass","0.356","0.966","7","-4.13","0","0.0825","0.000262","0.148","0.192","0.215","173.992","4","","WM UK","C © 2008 Warner Music UK Ltd., P ℗ 2008 Warner Music UK Ltd."
"spotify:track:7E6b2SANgI6n5z8My0w8DP","Wanna Guess","spotify:artist:2MF61c7UiiR7j9yBrCQLe0, spotify:artist:1yGWAhLF6t8wXiVYVom7sY","From Space, Grooveroz","spotify:album:2nLPlOrdvMbTx37NJaubjT","Wanna Guess","spotify:artist:2MF61c7UiiR7j9yBrCQLe0, spotify:artist:1yGWAhLF6t8wXiVYVom7sY","From Space, Grooveroz","2022-04-15","https://i.scdn.co/image/ab67616d0000b2731ca6c1fb1d31b288412b7458","1","1","288000","https://p.scdn.co/mp3-preview/c75d14c611e5ee703ec659c33e5eac590442c418?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZMHK2285406","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-27T10:49:47Z","trance brasileiro","0.753","0.862","7","-5.327","1","0.14","0.0134","0.0818","0.354","0.381","145.032","4","","From Space & Grooveroz","C 2022 From Space & Grooveroz, P 2022 From Space & Grooveroz"
