"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:20on25jryn53hWghthWWW3","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd, spotify:artist:1c70yCa8sRgIiQxl3HOEFo","ACRAZE, Cherish","spotify:album:58cd90Jkrovggh556JPN9L","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd","ACRAZE","2021-08-20","https://i.scdn.co/image/ab67616d0000b27384d413b195aac8a69cc6e5c6","1","1","157890","https://p.scdn.co/mp3-preview/187aea9020bb024adfbb0e19e7b6022a2996e4ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","QZFPL2100100","spotify:user:","2022-12-02T05:00:00Z","atl hip hop,dance pop,girl group,hip pop,pop r&b,r&b,southern hip hop,urban contemporary","0.854","0.806","11","-8.262","0","0.0886","0.0209","0.0542","0.0703","0.637","124.927","4","","Thrive Music, LLC","C © 2021 Thrive Music, LLC, P ℗ 2021 Thrive Music, LLC"
"spotify:track:44xO8889yUQHn70P73NILS","Believe Me","spotify:artist:6YCM9JwkqdEFQSzztmh4Kb","Navos","spotify:album:7GJVQX2wiktNMP4QV20Y3E","Believe Me","spotify:artist:6YCM9JwkqdEFQSzztmh4Kb","Navos","2021-01-22","https://i.scdn.co/image/ab67616d0000b273ddc685f76ffabc0e9aea6aab","1","1","188260","https://p.scdn.co/mp3-preview/cfe4d0e91d5b0f05e8ebdc30c2bf448ee7141cc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBUM72100423","spotify:user:","2022-12-02T05:00:00Z","dance pop,deep groove house,edm,house,pop dance,tropical house,uk dance","0.629","0.876","5","-5.572","0","0.0408","0.129","0.00000139","0.29","0.645","124.999","4","","Universal-Island Records Ltd.","C © 2021 Navos, under exclusive licence to Universal Music Operations Limited, P An Island Records release; ℗ 2021 Navos, under exclusive licence to Universal Music Operations Limited"
"spotify:track:6Sy9BUbgFse0n0LPA5lwy5","Sandstorm","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","spotify:album:0Xks5v0dve8Gh2tRHIekjo","Before the Storm, Special Edition","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f9ef39657ba18c612641ee6d","1","4","225493","https://p.scdn.co/mp3-preview/29369068078c2a088aa3fed0917eb712c5a594c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","FISGC9900001","spotify:user:","2022-12-02T05:00:00Z","eurodance,europop,finnish edm,trance","0.528","0.965","11","-7.984","0","0.0465","0.141","0.985","0.0797","0.587","136.065","4","","16 Inch Records","C (C) 2008 16 Inch Records, P (P) 2000 16 Inch Records"
"spotify:track:4rHIGjDTXXL9Eudf3YF036","Drank & Drugs","spotify:artist:3AlRiyjMywTVNzTcHbf9QT, spotify:artist:5eir5zFJpES4j7gsymbVyl","Lil Kleine, Ronnie Flex","spotify:album:6yNagpRsQLiEsNts3ft9Ow","New Wave","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-04-07","https://i.scdn.co/image/ab67616d0000b2731023b2ada2a08dc63f5106e5","1","11","145978","https://p.scdn.co/mp3-preview/2fd1942906657b5a3d64f1b22b24c6d2a79362ea?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","NLG661500224","spotify:user:","2022-12-02T05:00:00Z","dutch hip hop,dutch rap pop,dutch hip hop,dutch pop,dutch rap pop","0.923","0.742","11","-5.047","0","0.0495","0.0494","0.0000179","0.0829","0.784","120.038","4","","Top Notch Music BV","C © 2015 Top Notch Music BV, P This Compilation ℗ 2015 Top Notch Music BV"
"spotify:track:3aA6xB0tOilDDX17fIJ0Bl","Freak","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:3jCcsG6jkQTnUJyCACAg0r","Freak","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2020-08-07","https://i.scdn.co/image/ab67616d0000b27363a175ab64de0b0ada98700e","1","1","284480","https://p.scdn.co/mp3-preview/5b9fb135b32865c833e6d497fec89ce084e596fc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USRC12002580","spotify:user:","2022-12-02T05:00:00Z","dance pop,pop","0.688","0.716","7","-5.702","1","0.0385","0.0969","0","0.0989","0.373","116.912","3","","Kemosabe Records/RCA Records","P (P) 2020 Kemosabe Records/RCA Records"
"spotify:track:4wH4dJgrsxONID6KS2tDQM","Maneater","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","spotify:album:2yboV2QBcVGEhcRlYuPpDT","Loose","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","2006-01-01","https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2","1","2","258893","https://p.scdn.co/mp3-preview/1afa7912eae098e01f3317d10ab074b319823f60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM70601449","spotify:user:","2022-12-02T05:00:00Z","canadian latin,canadian pop,dance pop,pop,pop rap","0.796","0.777","6","-4.81","1","0.0397","0.0261","0.000358","0.121","0.787","132.722","4","","Mosley / Geffen","C © 2006 Geffen Records, P ℗ 2006 Geffen Records"
"spotify:track:7eJMfftS33KTjuF7lTsMCx","death bed (coffee for your head)","spotify:artist:6bmlMHgSheBauioMgKv2tn, spotify:artist:35l9BRT7MXmM8bv2WDQiyB","Powfu, beabadoobee","spotify:album:2p9gK2BcdrloHNJwarc9gc","death bed (coffee for your head)","spotify:artist:6bmlMHgSheBauioMgKv2tn, spotify:artist:35l9BRT7MXmM8bv2WDQiyB","Powfu, beabadoobee","2020-02-08","https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167","1","1","173333","https://p.scdn.co/mp3-preview/eb52a920dd6fafb07ae1f9e5e60f9279ee854b89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USSM12000925","spotify:user:","2022-12-02T05:00:00Z","sad rap,bedroom pop,bubblegrunge,indie pop,pop","0.726","0.431","8","-8.765","0","0.135","0.731","0","0.696","0.348","144.026","4","","Columbia","P (P) 2020 Columbia Records [Robots and Humans]."
"spotify:track:3kMrazSvILsgcwtidZd1Qd","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA","La Roux","spotify:album:3CcCqXsbyjCDDSA3omcGoy","La Roux","spotify:artist:3K2zB87GZv1krx031en5VA","La Roux","2009","https://i.scdn.co/image/ab67616d0000b27387a7b0bb506cb4416d8f8256","1","4","205733","https://p.scdn.co/mp3-preview/e97d75905c7f6c939568c713bf2d0d9d6676637a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBUM70903779","spotify:user:","2022-12-02T05:00:00Z","alternative dance,dance pop,electropop,neo-synthpop","0.674","0.882","3","-2.771","0","0.0477","0.000441","0.0000647","0.068","0.682","123.016","4","","Polydor Records","C © 2008 Polydor Ltd. (UK), P ℗ 2008 Polydor Ltd. (UK)"
"spotify:track:2GYHyAoLWpkxLVa4oYTVko","Alors on danse - Radio Edit","spotify:artist:5j4HeCoUlzhfWtjAfM1acR","Stromae","spotify:album:4kEbcH3VT6NYfpv8Wkkk80","Cheese","spotify:artist:5j4HeCoUlzhfWtjAfM1acR","Stromae","2010-01-01","https://i.scdn.co/image/ab67616d0000b273ae373174b14e3eac81554402","1","5","206066","https://p.scdn.co/mp3-preview/6f72b5cb2c2c046f9d1d525b8b2389947e3ed193?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","FRUM70902424","spotify:user:","2022-12-02T05:00:00Z","belgian pop,g-house","0.791","0.59","1","-9.206","0","0.0793","0.0994","0.00203","0.065","0.714","119.951","4","","Universal Music Distributed Labels","C © 2010 Mosaert Label, P ℗ 2010 Mosaert Label"
"spotify:track:2D0dj3hVkRQJCp63cxCPEx","Stunnin' (feat. Harm Franklin)","spotify:artist:2JbE7jUIGtpXSzytnyMg6U, spotify:artist:44rJuOJLavqhY6qGgpQW4U","Curtis Waters, Harm Franklin","spotify:album:0ZC4lUnfcEFekGFELwHjZZ","Stunnin' (feat. Harm Franklin)","spotify:artist:2JbE7jUIGtpXSzytnyMg6U, spotify:artist:44rJuOJLavqhY6qGgpQW4U","Curtis Waters, Harm Franklin","2020-05-19","https://i.scdn.co/image/ab67616d0000b273c8e201b69f790a7c6e7e1429","1","1","144000","https://p.scdn.co/mp3-preview/8922b8a638a2ab00e3fa462f9e813412187a374e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","QZES82074435","spotify:user:","2022-12-02T05:00:00Z","alberta hip hop","0.885","0.685","11","-6.429","0","0.0627","0.33","0","0.148","0.937","99.954","4","","BMG Rights Management (US) LLC","C © 2020 Curtis Waters, Inc under exclusive license to BMG Rights Management (US) LLC, P ℗ 2020 Curtis Waters, Inc under exclusive license to BMG Rights Management (US) LLC"
"spotify:track:5rF6YUIlgiat22OT1lWspJ","Seventeen Going Under","spotify:artist:6zlR5ttMfMNmwf2lecU9Cc","Sam Fender","spotify:album:4FKOLaEGqA7ZFYYW5r4X9z","Seventeen Going Under (Deluxe)","spotify:artist:6zlR5ttMfMNmwf2lecU9Cc","Sam Fender","2021-10-08","https://i.scdn.co/image/ab67616d0000b2735918af42c697829fd84de59f","1","1","297933","https://p.scdn.co/mp3-preview/96071ff2396bbc5b809a4a9490678c304d128601?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","GBUM72103036","spotify:user:","2022-12-02T05:00:00Z","modern rock,north east england indie","0.48","0.87","1","-4.792","1","0.0362","0.00438","0.00603","0.0826","0.584","161.953","4","","Polydor Records","C © 2021 Sam Fender, under exclusive licence to Universal Music Operations Limited, P A Polydor Records Release; ℗ 2021 Sam Fender, under exclusive licence to Universal Music Operations Limited"
"spotify:track:2grjqo0Frpf2okIBiifQKs","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:2FW0uQ4WL25umm5p2VrZO7","The Best Of Earth, Wind & Fire Vol. 1","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1978-11-23","https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69","1","7","215093","https://p.scdn.co/mp3-preview/0537091c76250e4c5909f088134788a5c4101985?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM17800845","spotify:user:","2022-12-02T05:00:00Z","disco,funk,jazz funk,quiet storm,soul","0.697","0.832","9","-7.264","1","0.0298","0.168","0.00131","0.269","0.979","125.926","4","","Columbia/Legacy","P This compilation (P) 1978 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:22wKQbMH8n7wZfso2VcLJL","Opposite of Adults","spotify:artist:40giwFcTQtv9ezxW8yqxJU","Chiddy Bang","spotify:album:5OjzRDl141Fndlh0ex0Bv8","The Preview","spotify:artist:40giwFcTQtv9ezxW8yqxJU","Chiddy Bang","2010-10-01","https://i.scdn.co/image/ab67616d0000b273a6482b51bae0928bb3985885","1","3","193706","https://p.scdn.co/mp3-preview/a9f95a8170d33f4553937ebef53c47a44c5bed55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","US8Z30900001","spotify:user:","2022-12-02T05:00:00Z","indie pop rap,philly rap,pop rap","0.677","0.89","6","-5.46","0","0.159","0.0123","0","0.321","0.622","96.009","4","","Parlophone UK","C © 2010 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2010 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:1c5CllrZr45UBhWpIqM332","Funny Thing","spotify:artist:4frXpPxQQZwbCu3eTGnZEw","Thundercat","spotify:album:59GRmAvlGs7KjLizFnV7Y9","It Is What It Is","spotify:artist:4frXpPxQQZwbCu3eTGnZEw","Thundercat","2020-04-03","https://i.scdn.co/image/ab67616d0000b27323fb02f383f3bef16ab9d092","1","7","116630","https://p.scdn.co/mp3-preview/b1c4339db3f8f7e0f6a4b1f713e9c22f92fa954f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBCFB2000016","spotify:user:","2022-12-02T05:00:00Z","afrofuturism","0.586","0.893","7","-8.772","1","0.439","0.827","0.642","0.212","0.65","140.023","3","","Brainfeeder","C 2020 Brainfeeder, P 2020 Brainfeeder"
"spotify:track:3EaJDYHA0KnX88JvDhL9oa","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:7vrsFZNVhrriKh0SZKJW41","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2017-02-20","https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979","1","1","173104","https://p.scdn.co/mp3-preview/f1cb993064ab6a0419a24dfa19e564d79359f216?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBKPL1778015","spotify:user:","2022-12-02T05:00:00Z","afrofuturism","0.603","0.784","6","-4.023","1","0.062","0.446","0.00000832","0.119","0.769","172.041","4","","Three Quarter","C (C) 2017 3qtr, P (P) 2017 3qtr"
"spotify:track:1uMHCAyGmHqyygoNRuo7MV","edamame (feat. Rich Brian)","spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz, spotify:artist:2IDLDx25HU1nQMKde4n61a","bbno$, Rich Brian","spotify:album:1YrACh9xDRGpjrkdWz4MfP","edamame (feat. Rich Brian)","spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz, spotify:artist:2IDLDx25HU1nQMKde4n61a","bbno$, Rich Brian","2021-07-24","https://i.scdn.co/image/ab67616d0000b273545a202ab06885cf2c6621ca","1","1","133706","https://p.scdn.co/mp3-preview/f98f3318817a12e36bcd4c17569b52b0be5643d5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","QMUY42100151","spotify:user:","2022-12-02T05:00:00Z","canadian hip hop,dark trap,vapor trap,indonesian hip hop","0.815","0.848","4","-4.704","0","0.115","0.023","0.000162","0.0265","0.684","106.032","4","","bbno$, Rich Brian appears courtesy of 88Rising","C 2021 bbno$, Rich Brian appears courtesy of 88Rising, P 2021 bbno$, Rich Brian appears courtesy of 88Rising"
"spotify:track:2gam98EZKrF9XuOkU13ApN","Promiscuous","spotify:artist:2jw70GZXlAI8QzWeY2bgRc, spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ","Nelly Furtado, Timbaland","spotify:album:2yboV2QBcVGEhcRlYuPpDT","Loose","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","2006-01-01","https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2","1","4","242293","https://p.scdn.co/mp3-preview/e8b16c3ce9aae42dc071f533b0a5e59b08387016?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM70603473","spotify:user:","2022-12-02T05:00:00Z","canadian latin,canadian pop,dance pop,pop,pop rap,dance pop,hip hop,pop,pop rap,urban contemporary","0.808","0.97","10","-6.098","0","0.0506","0.0569","0.0000613","0.154","0.868","114.328","4","","Mosley / Geffen","C © 2006 Geffen Records, P ℗ 2006 Geffen Records"
"spotify:track:6pRlNmiZ15mI0D0Y9VBjDe","Who's That What's That","spotify:artist:3GViqleny7XZGug7Ym2Fjk","Niko B","spotify:album:0S4RAXnFOUI8q1LREr7uRr","Who's That What's That","spotify:artist:3GViqleny7XZGug7Ym2Fjk","Niko B","2020-05-29","https://i.scdn.co/image/ab67616d0000b2736e7759500726fbd5c4e30938","1","1","240000","https://p.scdn.co/mp3-preview/5649fd06f351783f978708978049a8d566edd616?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","QM6MZ2004571","spotify:user:","2022-12-02T05:00:00Z","","0.86","0.668","7","-8.512","1","0.221","0.423","0.00000185","0.096","0.237","128.096","4","","WEAREBLK","P (P) 2020 WEAREBLK2020 / Ministry of Sound Recordings Limited"
