"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4CL7IheP2ryGEcMVOoAOUZ","Modern Romance","spotify:artist:5tYqFEuFELxnJZgGmmsfSh, spotify:artist:4jLpm91Tyk2TRgv43bMfZO","Catz 'n Dogz, Gerd Janson","spotify:album:5JPxDmfJuWSErtOyRTeYuz","Modern Romance","spotify:artist:5tYqFEuFELxnJZgGmmsfSh, spotify:artist:4jLpm91Tyk2TRgv43bMfZO","Catz 'n Dogz, Gerd Janson","2020-11-06","https://i.scdn.co/image/ab67616d0000b2733ce83740ce3e06ebcbc0a432","1","1","214049","https://p.scdn.co/mp3-preview/215b8d880294047f04b242fc82ddb854fc34a8df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","DEVY92000187","spotify:user:","2021-08-27T15:45:01Z","deep disco house,german techno,house,minimal tech house,minimal techno,tech house,frankfurt electronic,german house","0.677","0.934","7","-6.244","0","0.0402","0.00105","0.867","0.0427","0.866","128.002","4","","Misfit Melodies","C 2020 Misfit Melodies, P 2020 Misfit Melodies"
"spotify:track:45ITwtPzk2n7XBWGD32NZb","Divine Reality","spotify:artist:1GIv2BGriYO1IdownXWWac","Demi Riquísimo","spotify:album:15eAEjJ4qWNLbtTACrb0oK","Divine Reality","spotify:artist:1GIv2BGriYO1IdownXWWac","Demi Riquísimo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273b9b821d48771f4dc402723a4","1","1","459250","https://p.scdn.co/mp3-preview/e00dd397bdcf81ee87d2364557e68d7926574b81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","UKN6K2002648","spotify:user:","2021-08-27T15:45:01Z","","0.691","0.778","7","-7.674","1","0.0421","0.0000485","0.884","0.0526","0.73","126.011","4","","Lost Palms","C 2021 Shall Not Fade LTD, P 2021 Shall Not Fade LTD"
"spotify:track:2nFHaucEPE1dJp6A1AaBgV","Groove Society","spotify:artist:3TaUSUXn41GixL7zbvrIDt, spotify:artist:7yx47vjNgvQXPtHis6Hi91","A-Trak, Wongo","spotify:album:2Wo73jPoFsRo6LNldU3GnP","Groove Society","spotify:artist:3TaUSUXn41GixL7zbvrIDt, spotify:artist:7yx47vjNgvQXPtHis6Hi91","A-Trak, Wongo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273345002d18b89c063ba0b9b5b","1","1","183372","https://p.scdn.co/mp3-preview/79d622ea85c17171821988c7fac2c7aa2a36aca4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QMBZ92195101","spotify:user:","2021-08-27T15:45:01Z","canadian electronic,electro house,electronic trap,turntablism,australian house,bass house,fidget house","0.845","0.862","1","-7.96","1","0.068","0.0149","0.861","0.103","0.482","129.001","4","","Fool's Gold Records","C (C) 2021 Fool's Gold Records, P (P) 2021 Fool's Gold Records"
"spotify:track:0uiIyFYTBXh6BChzj1raAE","80s In My Blood","spotify:artist:7hLLMguIT8ttH9UAl4A46o","VIGI","spotify:album:6ShFGI0zCBtjpvtb3Bf0cc","Rhodes Island","spotify:artist:7hLLMguIT8ttH9UAl4A46o","VIGI","2020-12-04","https://i.scdn.co/image/ab67616d0000b273448a22fffcdfa3de019d2726","1","7","274285","https://p.scdn.co/mp3-preview/24201a95c0a322ad23f8b440b10dc6611d1b9c9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","DECY52002639","spotify:user:","2021-08-27T15:45:01Z","","0.961","0.635","9","-6.672","0","0.141","0.0000965","0.0000389","0.039","0.258","115.54","4","","NDYD Records","C 2020 NDYD Records, P 2020 NDYD Records"
"spotify:track:6aBqWnfEdFIolhzPwp1XuQ","Lille Vals","spotify:artist:2o1hHXIXOjhZpIY7V49HNi","Storken","spotify:album:04zfihfCFBkSpPUUzsDr5x","Lille Vals","spotify:artist:2o1hHXIXOjhZpIY7V49HNi","Storken","2019-09-20","https://i.scdn.co/image/ab67616d0000b273877a6286670b3a4a99aba4a8","1","1","235176","https://p.scdn.co/mp3-preview/0f55bb62b5649fbc72540bbebf4b141c96875941?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","DEVY91900127","spotify:user:","2021-08-27T15:45:01Z","swedish house","0.704","0.796","11","-9.711","0","0.0506","0.000206","0.929","0.0296","0.84","124.006","4","","Running Back","C 2019 Running Back, P 2019 Running Back"
"spotify:track:3LtOC0fsGjmhOg5E78lIFW","In My Element - Skream Remix","spotify:artist:7KpYPnMoADYtIMt1XPvmzZ, spotify:artist:2jbP92oFLWqPqogflK1wlW","The Clause, Skream","spotify:album:615KSINGHRzvojc2VGQ97U","In My Element (Skream Remix)","spotify:artist:7KpYPnMoADYtIMt1XPvmzZ, spotify:artist:2jbP92oFLWqPqogflK1wlW","The Clause, Skream","2020-12-04","https://i.scdn.co/image/ab67616d0000b273438d83e29384ff8577a6de87","1","1","360000","https://p.scdn.co/mp3-preview/5ea20c8c8236ff44ee60b9de7b95370b2e1ea3a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBUM72006263","spotify:user:","2021-08-27T15:45:01Z","birmingham indie,english indie rock,classic dubstep,uk bass","0.625","0.921","2","-5.958","1","0.0307","0.00541","0.0535","0.0621","0.618","124.999","4","","UMOD (Universal Music On Demand)","C © 2020 Universal Music on Demand, a division of Universal Music Operations ltd., P ℗ 2020 Universal Music on Demand, a division of Universal Music Operations ltd."
"spotify:track:6CBJ7na2t7S6dx1MCDpS73","Place And Time","spotify:artist:7DpsCj5MSS01dxB3aG4Wx6","Walk Then Dance","spotify:album:6FbKm2ygSB2fq7Hl51RsaW","Place And Time","spotify:artist:7DpsCj5MSS01dxB3aG4Wx6","Walk Then Dance","2021-05-20","https://i.scdn.co/image/ab67616d0000b2739444a8456a15dd7602110241","1","1","244351","https://p.scdn.co/mp3-preview/61ada634a03ffd086beae8f98ea2339b4ca2ecac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBMJG2110653","spotify:user:","2021-08-27T15:45:01Z","","0.6","0.681","5","-11.18","0","0.0296","0.00103","0.649","0.116","0.267","120.001","4","","Walk Then Dance","C 2021 Walk Then Dance, P 2021 Walk Then Dance"
"spotify:track:6ezKiq5uvUlNlxCzQzZZ9n","Love Divide","spotify:artist:0Dcbqd0bkwytdhGS8Zvuky","PADDY","spotify:album:362ceaJQRuOKtYw8xsGIa3","Love Divide","spotify:artist:0Dcbqd0bkwytdhGS8Zvuky","PADDY","2021-05-21","https://i.scdn.co/image/ab67616d0000b2733e1e9f9a25d424f47c037797","2","1","232320","https://p.scdn.co/mp3-preview/c2b2e317cca943d042279cbae272c0681dc24aa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBKQU2155111","spotify:user:","2021-08-27T15:45:01Z","","0.513","0.954","5","-7.928","0","0.0335","0.000741","0.859","0.162","0.137","124.962","4","","United Dance Club","C 2021 Patrick Holly, P 2021 Patrick Holly"
"spotify:track:0oqga82uitzPVW5TR8SKVx","Deleters - Palms Trax Remix","spotify:artist:6Q0gMZJNIebNFFaJeonc11, spotify:artist:4sKeiukDMta5llXZ8v4Vdu, spotify:artist:52XSRQqTAfZ8ZrIqkQvQyA","Holy Fuck, Angus Andrew, Palms Trax","spotify:album:6zys7HVqBqIlAHqQM1eruT","Deleter Remixed","spotify:artist:6Q0gMZJNIebNFFaJeonc11","Holy Fuck","2020-07-22","https://i.scdn.co/image/ab67616d0000b273d15cc4986f0e62fdd678cfa9","1","2","255858","https://p.scdn.co/mp3-preview/fb7986651300f289f6a0a51cf052cf50ae0ae3b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBKPL2002262","spotify:user:","2021-08-27T15:45:01Z","alternative dance,chamber psych,dance-punk,electronic rock,electronica,new rave,float house,lo-fi house","0.752","0.442","7","-8.512","0","0.0463","0.00127","0.842","0.0866","0.84","121.997","4","","Holy EF Music","C (C) 2020 Holy EF Music, P (P) 2020 Holy EF Music"
"spotify:track:6jE1Qo5DBq6ij0eg36top0","Lemonade - The Magician Italo '85' remix","spotify:artist:7aSsnDTH11xS2yIn6cNtsF, spotify:artist:4WUGQykLBGFfsl0Qjl6TDM","Mercer, The Magician","spotify:album:5KYMm8CqIacDxfisj3A16B","Lemonade (The Magician Italo '85' Remix)","spotify:artist:7aSsnDTH11xS2yIn6cNtsF, spotify:artist:4WUGQykLBGFfsl0Qjl6TDM","Mercer, The Magician","2020-11-06","https://i.scdn.co/image/ab67616d0000b2738e578d2976093314e535bf38","1","1","195483","https://p.scdn.co/mp3-preview/c4e4ee0b70fcee2777d5dd995d747fbdcbdfce0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBLV62010781","spotify:user:","2021-08-27T15:45:01Z","belgian edm,edm,house,pop dance,tropical house","0.67","0.986","6","-4.239","1","0.0912","0.000705","0.283","0.0971","0.523","124.035","4","","Black Jack Records","C 2020 Black Jack Records, P 2020 Black Jack Records"
