"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","13","292613","https://p.scdn.co/mp3-preview/afa4046ded9f2958de457a2d1ebcfbb9bd2d1a53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","SEAYD7901120","spotify:user:","2022-01-21T11:38:49Z","europop,swedish pop","0.749","0.491","10","-9.655","1","0.0403","0.02","0.00899","0.159","0.536","119.528","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:31MOjWj3CT3dCQsMV2b8Wu","Blue Monday '88","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:6cjugjFHB3T1alJxAffyxQ","The Best of New Order","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","1994-01-01","https://i.scdn.co/image/ab67616d0000b273c621e025f32cc28a1ec86e3b","1","15","244720","https://p.scdn.co/mp3-preview/833b2049d14b6de144658f3cd77a3ee482c3e187?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBANP9400071","spotify:user:","2022-01-21T11:38:49Z","alternative rock,art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,pop rock,post-punk,rock,synthpop,uk post-punk","0.681","0.893","7","-8.485","1","0.0378","0.0000647","0.383","0.0626","0.951","130.475","4","","London Records","C © 1994 Warner Music UK Limited, P ℗ 1994 This compilation: Warner Music UK Limited"
"spotify:track:2AkmdLbVKS1steeZdy8H1l","I Want To Break Free - Single Remix","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:61foK8xa76FEOk36uOxoc9","The Works (Deluxe Edition 2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1984-02-27","https://i.scdn.co/image/ab67616d0000b273d1e7c0e1bf0980298428a1ae","2","2","258013","https://p.scdn.co/mp3-preview/442643e82676d1ea51a0164194fb5924c5e24621?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM71029625","spotify:user:","2022-01-21T11:38:49Z","classic rock,glam rock,rock","0.795","0.435","4","-8.927","1","0.0324","0.0841","0.00026","0.0763","0.596","108.95","4","","EMI","C © 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV, P ℗ 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV"
"spotify:track:4sf4Lq52b2iCoAgpge7a9g","Ca Plane Pour Moi","spotify:artist:1KeIof0zqga5ojkmOKg88P","Plastic Bertrand","spotify:album:1hbQEk8Dpx3OS6MrZZ4wbq","Plastic Bertrand","spotify:artist:1KeIof0zqga5ojkmOKg88P","Plastic Bertrand","1998","https://i.scdn.co/image/ab67616d0000b273c5bdf02c0445b7f439a60ea0","1","1","182133","https://p.scdn.co/mp3-preview/de419a3f67ea80d4f2aff8f212b7cebbe5a3aaed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","BEB017765001","spotify:user:","2022-01-21T11:38:49Z","classic belgian pop","0.421","0.943","10","-4.365","1","0.0951","0.0741","0.0000668","0.105","0.845","165.77","4","","[PIAS] AMC","C 1998 [PIAS] AMC, P 1998 [PIAS] AMC"
"spotify:track:0cGG2EouYCEEC3xfa0tDFV","Tainted Love","spotify:artist:6aq8T2RcspxVOGgMrTzjWc","Soft Cell","spotify:album:3KFWViJ1wIHAdOVLFTVzjD","Non-Stop Erotic Cabaret","spotify:artist:6aq8T2RcspxVOGgMrTzjWc","Soft Cell","1981","https://i.scdn.co/image/ab67616d0000b27349c982dae436bac27c336f45","1","2","153800","https://p.scdn.co/mp3-preview/fc3173b5c73eba573c339b258cead279cde8e6c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBF088100017","spotify:user:","2022-01-21T11:38:49Z","new romantic,new wave,new wave pop,synthpop","0.5","0.501","0","-8.284","0","0.0376","0.462","0","0.26","0.623","144.438","4","","EMI","C © 1996 Mercury Records Limited, P This Compilation ℗ 1996 Mercury Records Limited"
"spotify:track:01gDLZsi0j5fWC28FLPNO8","Move on Up - Extended Version","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","spotify:album:3tgJmEz0R0ZsRSrpwafp4R","Curtis (Expanded Edition)","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","1970","https://i.scdn.co/image/ab67616d0000b273775a6bee6c704ec29aec00f4","1","5","535333","https://p.scdn.co/mp3-preview/319029bada67463527fbab00a034ab1c673a5557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USRH10401528","spotify:user:","2022-01-21T11:38:49Z","chicago soul,classic soul,funk,soul","0.584","0.975","11","-6.534","0","0.0651","0.141","0.501","0.101","0.876","138.341","4","","Rhino","C © 2000 Warner Strategic Marketing, P ℗ 2000 Warner Strategic Marketing"
"spotify:track:0qi4b1l0eT3jpzeNHeFXDT","Just Can't Get Enough","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","spotify:album:0Zp2eVzR9FW6lKX05lRpcu","Speak And Spell (Deluxe)","spotify:artist:762310PdDnwsDxAQxzQkfX","Depeche Mode","1981-11-02","https://i.scdn.co/image/ab67616d0000b27388ffe8c41647856e6fa5e1ab","1","11","220893","https://p.scdn.co/mp3-preview/523881adc3cd763fb61cdf0771ba7eefbab21e9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAJH0600205","spotify:user:","2022-01-21T11:38:49Z","dance rock,new romantic,new wave,permanent wave,synthpop","0.766","0.772","0","-9.362","1","0.0353","0.403","0.0584","0.183","0.919","128.168","4","","Venusnote Ltd.","P (P) 1981 Venusnote Ltd. under exclusive license to Sony Music Entertainment International Ltd"
"spotify:track:0gdmDP6xy3ZV7JNoHWAN9k","Town Called Malice","spotify:artist:2P560DaOMNDUACoH8ZhOCR","The Jam","spotify:album:71OyKSCFX7DGsJc6qAhhQG","The Gift","spotify:artist:2P560DaOMNDUACoH8ZhOCR","The Jam","1982-03-12","https://i.scdn.co/image/ab67616d0000b2733cb7b96b66eeb42c6a74ebb3","1","10","173320","https://p.scdn.co/mp3-preview/716f5df9c46809a4456b1bcc0e6b1e7e5385c50f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBAKW8201004","spotify:user:","2022-01-21T11:38:49Z","mod revival,new wave,pub rock,punk,rock,ska","0.542","0.91","7","-8.924","1","0.0873","0.00228","0.00524","0.0686","0.775","101.774","4","","Polydor Records","C © 1997 Polydor Ltd. (UK), P ℗ 1982 Polydor Ltd. (UK)"
"spotify:track:254bXAqt3zP6P50BdQvEsq","Everywhere - 2017 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:4AsXQ17Arq1cUVoa9dKJ3F","Tango In the Night (Deluxe Edition)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1987-04-13","https://i.scdn.co/image/ab67616d0000b273aaba065944cd82a6f15c86b6","1","3","226653","https://p.scdn.co/mp3-preview/9f7ca4c61f18a45d800c1242d377b4c787896a7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRH11602189","spotify:user:","2022-01-21T11:38:49Z","album rock,classic rock,rock,soft rock,yacht rock","0.73","0.487","4","-10.991","1","0.0303","0.258","0.01","0.0852","0.731","114.965","4","","Rhino/Warner Records","C © 2017 Warner Records Inc. for the U.S. and WEA International Inc. for the world outside the U.S. All Rights Reserved., P ℗ 2017 Warner Records Inc. Marketed by Warner Strategic Marketing, a Warner Music Group Company."
"spotify:track:56KqaFSGTb7ifpt16t5Y1N","Rock the Casbah - Remastered","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","spotify:album:1ZH5g1RDq3GY1OvyD0w0s2","Combat Rock (Remastered)","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","1982","https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b","1","4","222426","https://p.scdn.co/mp3-preview/bdf46cb32073a61981d1d5134e33e37a82f7346b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBARL1200671","spotify:user:","2022-01-21T11:38:49Z","classic rock,permanent wave,punk,rock","0.797","0.872","9","-6.727","0","0.0575","0.291","0","0.284","0.866","129.885","4","","Sony Music UK","P (P) 2013 Sony Music Entertainment UK Limited"
