"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5xMw6qCcpd2gBXPGTegC4W","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:07w0rG5TETcyihsEIZR3qG","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-09","https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1","1","1","117773","https://p.scdn.co/mp3-preview/585c348fd8a7a0c21b58a7c9efaf459b3104a27c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USRC12204583","spotify:user:","2022-12-09T05:00:00Z","pop,r&b,rap","0.507","0.657","7","-7.356","0","0.233","0.669","0.00000697","0.0947","0.506","119.159","1","","Top Dawg Entertainment/RCA Records","P (P) 2022 Top Dawg Entertainment, under exclusive license to RCA Records"
"spotify:track:26hOm7dTtBi0TdpDGl141t","Die For You","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:2hEnymoejldpuxSdTnkard","SMITHEREENS","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2022-11-04","https://i.scdn.co/image/ab67616d0000b273eaac2a7955f5b8967991cacb","1","3","211666","https://p.scdn.co/mp3-preview/08f184dce9270b6829b53b7158dc42733211d568?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","USWB12203732","spotify:user:","2022-11-11T23:07:15Z","viral pop","0.472","0.518","8","-7.379","1","0.051","0.383","0.127","0.289","0.154","147.805","4","","88rising Music/Warner Records","C © 2022 88rising Records/Warner Records Inc., P ℗ 2022 88rising Records/Warner Records Inc."
"spotify:track:3nEHrvNNtgLv9rneTAYVr4","Heaven Takes You Home (feat. Connie Constance)","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:4RB2kk5dmocmMiHFBlmOEt","Swedish House Mafia, Connie Constance","spotify:album:2Dbe9L757CSQbhnbW5PVSH","Paradise Again","spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","2022-04-15","https://i.scdn.co/image/ab67616d0000b273bd6f8ac82dc5fe1028c14f7d","1","2","214071","https://p.scdn.co/mp3-preview/c299c6b6f1bf917147e9068a26931419aec4d656?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUG12202132","spotify:user:","2022-11-11T23:07:15Z","dance pop,edm,electro house,pop,pop dance,progressive electro house,uk contemporary r&b","0.665","0.738","0","-5.931","0","0.0379","0.0124","0.00598","0.0923","0.0389","125.037","4","","Republic Records","C © 2022 SSA Recording, LLP, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ℗ 2022 SSA Recording, LLP, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
"spotify:track:78Sw5GDo6AlGwTwanjXbGh","Here With Me","spotify:artist:5y8tKLUfMvliMe8IKamR32","d4vd","spotify:album:0OuoHWf8yB0TPzoBWw1R1S","Here With Me","spotify:artist:5y8tKLUfMvliMe8IKamR32","d4vd","2022-09-22","https://i.scdn.co/image/ab67616d0000b273efbe96040319db682b438f11","1","1","242484","https://p.scdn.co/mp3-preview/aec0239f7c9afdbfd103b85dc6f7d3d808355bec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","QZMEM2209263","spotify:user:","2022-11-11T23:07:15Z","bedroom pop","0.574","0.469","4","-8.209","1","0.0254","0.534","0.0000921","0.128","0.288","132.023","4","","Darkroom/Interscope Records","C © 2022 Darkroom/Interscope Records, P ℗ 2022 Darkroom/Interscope Records"
"spotify:track:06eFWpksA3M9qg8GeOGGBX","LET’S DO IT AGAIN - Radio Edit","spotify:artist:7A0awCXkE1FtSU8B0qwOJQ","Jamie xx","spotify:album:1pBQcc31ztdgf8dXeZlLKZ","LET’S DO IT AGAIN","spotify:artist:7A0awCXkE1FtSU8B0qwOJQ","Jamie xx","2022-04-12","https://i.scdn.co/image/ab67616d0000b273801d91b175c14bd0bf6faedd","1","1","225494","https://p.scdn.co/mp3-preview/9cb136baae7b5e00ec7cc5046404865a57742152?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","UK7MC2200061","spotify:user:","2022-11-11T23:07:15Z","electronica,future garage,new rave","0.66","0.837","2","-7.415","0","0.0294","0.242","0.876","0.0704","0.302","123.991","4","","Young","C 2022 Young, P 2022 Young"
"spotify:track:5r5cp9IpziiIsR6b93vcnQ","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","spotify:album:5B6XfyHHYawyLkEvNvhSPh","Walking On A Dream (10th Anniversary Edition)","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","2008-10-03","https://i.scdn.co/image/ab67616d0000b273f3aa0e6ca22a382007f61e4d","1","2","198440","https://p.scdn.co/mp3-preview/edc56029c09193c9c72d3f1450ebcf9fcaf2f434?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AUEI10800039","spotify:user:","2022-11-11T23:07:15Z","alternative dance,australian dance,australian electropop,dance rock,electropop,indietronica,neo-synthpop","0.871","0.701","5","-5.594","0","0.0458","0.257","0.00000752","0.0589","0.716","126.975","4","","EMI Recorded Music Australia Pty Ltd","C © 2008 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd, P An EMI Recorded Music Australia Production; ℗ 2019 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd"
"spotify:track:3W2ZcrRsInZbjWylOi6KhZ","You & Me - Flume Remix","spotify:artist:6nS5roXSAGhTGr34W6n7Et, spotify:artist:14L5rpGTLVUz1pD8fUeJB1, spotify:artist:6nxWCVXbOlEVRexSbLsTer","Disclosure, Eliza Doolittle, Flume","spotify:album:7bdjtx1RTkWoSoOaIl7a8E","Settle (Special Edition)","spotify:artist:6nS5roXSAGhTGr34W6n7Et","Disclosure","2013-06-03","https://i.scdn.co/image/ab67616d0000b273786201dca187d2b0c956c24b","1","34","282812","https://p.scdn.co/mp3-preview/3178061070eb09af499e125c866ec9f1bdb5b943?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM71303827","spotify:user:","2022-11-11T23:07:15Z","edm,house,pop,uk dance,lilith,australian dance,australian electropop,australian indie,downtempo,edm","0.593","0.392","10","-6.872","0","0.0257","0.382","0.000114","0.131","0.25","75.065","4","","Universal-Island Records Ltd.","C © 2014 Universal Island Records, a division of Universal Music Operations Limited, P ℗ 2014 Universal Island Records, a division of Universal Music Operations Limited"
"spotify:track:4AFsRbaLKRWo3dDtjDFA2V","Me and Your Mama","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:7caGY3YPOchIO8xLvTKWN4","""Awaken, My Love!""","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2016-12-02","https://i.scdn.co/image/ab67616d0000b2737582716b3666a5235d5af4ea","1","1","379226","https://p.scdn.co/mp3-preview/f6dbe2aef98f9ece01ebd4e9c176c1045e6f08af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USYAH1600102","spotify:user:","2022-11-11T23:07:15Z","atl hip hop,hip hop,pop,rap","0.545","0.442","5","-12.111","1","0.0352","0.0104","0.0271","0.0664","0.242","118.073","3","","Glassnote Entertainment Group LLC","C (C) 2016 McDJ Entertainment under exclusive license to Glassnote Entertainment Group LLC, distributed by AWAL, P (P) 2016 McDJ Entertainment under exclusive license to Glassnote Entertainment Group LLC, distributed by AWAL"
"spotify:track:4nlvKIIetOWGIMyhjQXgOZ","The Difference","spotify:artist:6nxWCVXbOlEVRexSbLsTer, spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Flume, Toro y Moi","spotify:album:3QgFzksD4J43TnGIJOOrRV","The Difference","spotify:artist:6nxWCVXbOlEVRexSbLsTer, spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Flume, Toro y Moi","2020-03-11","https://i.scdn.co/image/ab67616d0000b273a8d74e789b99484e0e169001","1","1","139662","https://p.scdn.co/mp3-preview/7c66c1c81961e6f889865462dd16ed6ab40309aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","AUFF02000008","spotify:user:","2022-11-11T23:07:15Z","australian dance,australian electropop,australian indie,downtempo,edm,alternative dance,chillwave,indie soul,indietronica,new rave","0.56","0.865","1","-1.148","1","0.0909","0.255","0.000153","0.083","0.424","159.96","4","","Future Classic","C 2020 Future Classic, P 2020 Future Classic"
"spotify:track:4XeIiGpUBshIfs9yrBDVZC","The Last Goodbye (feat. Bettye LaVette)","spotify:artist:21mKp7DqtSNHhCAU2ugvUw, spotify:artist:55U998XxmxjicLMKDSz6R3","ODESZA, Bettye LaVette","spotify:album:4vpnU0Hu4c0KNq2p4nz4U2","The Last Goodbye (feat. Bettye LaVette)","spotify:artist:21mKp7DqtSNHhCAU2ugvUw, spotify:artist:55U998XxmxjicLMKDSz6R3","ODESZA, Bettye LaVette","2022-02-08","https://i.scdn.co/image/ab67616d0000b273b2feeaf1e3991813aa208409","1","1","358983","https://p.scdn.co/mp3-preview/e2dd54665096b2e3e9106b8b57e624641ef2d6bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBCFB2100832","spotify:user:","2022-11-11T23:07:15Z","chillwave,edm,ninja,soul,soul blues","0.667","0.92","9","-2.71","1","0.0773","0.00752","0.00232","0.126","0.146","114.977","4","","Foreign Family Collective/Ninja Tune","C 2022 Foreign Family Collective under exclusive license to Ninja Tune, P 2022 Foreign Family Collective under exclusive license to Ninja Tune"
"spotify:track:6zJUp1ihdid6Kn3Ndgcy82","Sabrina (i am a party)","spotify:artist:4oLeXFyACqeem2VImYeBFe","Fred again..","spotify:album:6o86bV7TAt5x4exc2qLDqC","Actual Life (April 14 - December 17 2020)","spotify:artist:4oLeXFyACqeem2VImYeBFe","Fred again..","2021-04-15","https://i.scdn.co/image/ab67616d0000b2730f0e63e38a0ea92314ab9d7f","1","11","199062","https://p.scdn.co/mp3-preview/58cd910a98dc78983b5b519b47e200fd0a740c40?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","GBAHS2100152","spotify:user:","2022-11-11T23:07:15Z","edm,house","0.683","0.819","7","-7.825","1","0.0517","0.00826","0.748","0.495","0.127","104.012","4","","Atlantic Records UK","C Under exclusive licence to Warner Music UK Limited .An Atlantic Records UK release, © 2021 Fred Gibson, P Under exclusive licence to Warner Music UK Limited.An Atlantic Records UK release, ℗ 2021 Fred Gibson"
"spotify:track:4CGORuRtjSK6xMy8s1VvSS","The Mission","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","spotify:album:0jsaa9MWnJM4EUG81Ja2fn","The Mission","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","2021-08-19","https://i.scdn.co/image/ab67616d0000b273a445ffda1c36e333d3d433fb","1","1","191478","https://p.scdn.co/mp3-preview/2835feaf88d00bc26097874fddb0ee54dd5cb70a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBARL2100686","spotify:user:","2022-11-11T23:07:15Z","uk alternative hip hop","0.708","0.437","10","-6.982","0","0.0807","0.188","0","0.0976","0.393","94.053","4","","Black Butter","P (P) 2021 Bakar"
"spotify:track:3G9DXOdZHws7eFslJrJvKY","Pharaohs","spotify:artist:1O10apSOoAPjOu6UhUNmeI, spotify:artist:2gcdX1NqiPU2F4QxSlBo7r","SBTRKT, Roses Gabor","spotify:album:35xfQriUFj6M2AVq78OsEq","SBTRKT (Deluxe Version)","spotify:artist:1O10apSOoAPjOu6UhUNmeI","SBTRKT","2011","https://i.scdn.co/image/ab67616d0000b273779c4164a3cb1e610a757c41","1","8","218146","https://p.scdn.co/mp3-preview/a8baa0df514de699bc95627338376ddd49df4d15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBBKS1100056","spotify:user:","2022-11-11T23:07:15Z","electronica,electropop,future garage,new rave,uk bass,shiver pop","0.794","0.578","5","-8.507","0","0.0571","0.00972","0.748","0.115","0.636","127.013","4","","Young","C 2011 Young, P 2011 Young"
