"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2jOUGHGNinAz91azBP7ssW","The Day Is My Enemy","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:0X2qiCeTf2xiqazPB3SZDh","The Day Is My Enemy (Expanded Edition)","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2015-11-20","https://i.scdn.co/image/ab67616d0000b27346183ee83976df5bbb416789","1","1","265066","https://p.scdn.co/mp3-preview/ebbb2e9ba484d5c28a372f2556d6a1f241e9ab70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBCEJ1400351","","2022-12-12T18:59:56Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.543","0.962","11","-3.893","0","0.0545","0.00192","0.00723","0.419","0.554","105.986","4","","Vertigo Berlin","C © 2015 Cooking Vinyl, under exclusive license to Vertigo/Capitol, a division of Universal Music GmbH, P ℗ 2015 Cooking Vinyl, under exclusive license to Vertigo/Capitol, a division of Universal Music GmbH"
"spotify:track:2sifRHahNmhTR7a3BjKc9u","Timebomb Zone","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:6DAq2tDWMqPP7MTdb3aIDi","No Tourists","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2018-11-02","https://i.scdn.co/image/ab67616d0000b2737c13addc6b19119c18fff960","1","6","204914","https://p.scdn.co/mp3-preview/b86c805e604e51c3201a85a8b30c5cd5a51ab7cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GB5KW1802035","","2022-12-12T18:57:17Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.524","0.898","7","-6.543","1","0.0409","0.000328","0.796","0.102","0.229","130.016","4","","BMG Rights Management (UK) Ltd","C © 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited, P ℗ 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited"
"spotify:track:5OUxpgFmz54y95OZVeyP8z","The Rockafeller Skank - Short Edit","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:7vVjgY4U7n4ZwGEKUBOIU7","Rockafeller Skank","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","1998-06-01","https://i.scdn.co/image/ab67616d0000b2736a3121449cddac7b484f51ef","1","4","241466","https://p.scdn.co/mp3-preview/a1fd39ccbb8d190e5025d029d2c5b88fa3a5b7d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBBMQ9800051","","2022-12-12T18:49:45Z","big beat","0.586","0.983","7","-6.264","1","0.255","0.00503","0.00643","0.293","0.145","152.573","4","","Skint Records","C © 1998 Skint Records Limited, a BMG Company, P ℗ 1998 Skint Records Limited, a BMG Company"
"spotify:track:0qnqsfFYgBo0sPHM2JmfTq","Right Here, Right Now","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:7Avi8h7vv4Ustd6DsN2jYx","You've Come a Long Way Baby (10th Anniversary Edition)","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","1998-10-19","https://i.scdn.co/image/ab67616d0000b273b7d8ddd7450a7db80d201d6e","1","1","387706","https://p.scdn.co/mp3-preview/3d175d6cddaa4a2e9152a7e441b422900f150421?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBBMQ9800077","","2022-12-12T18:43:50Z","big beat","0.56","0.859","4","-8.037","0","0.141","0.0136","0.521","0.672","0.114","124.663","4","","Skint Records","C © 2008 Skint Records Limited, a BMG Company, P ℗ 2008 Skint Records Limited, a BMG Company"
"spotify:track:4tVhBXOhSlqYCL2IjyoUNu","Blue Lines - 2012 Mix/Master","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:5mAPk4qeNqVLtNydaWbWlf","Blue Lines (2012 Mix/Master)","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1991-06-10","https://i.scdn.co/image/ab67616d0000b273af5beb00d940f5ede452d6b5","1","3","261826","https://p.scdn.co/mp3-preview/2dd46e8b892384b896b9eb2b6311d12434dc5b07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAAA1200646","","2022-12-12T18:23:08Z","big beat,downtempo,electronica,trip hop","0.855","0.496","5","-10.572","1","0.0824","0.0778","0.451","0.12","0.947","95.494","4","","Virgin Catalogue","C © 2012 Virgin Records Ltd, P ℗ 2012 Virgin Records Ltd"
"spotify:track:1eXDhV76Gea8XuPqcAw0s5","Spicy Snapper","spotify:artist:1m4GViPjIy4T8Pd0Iz6hRS","Ian Pooley","spotify:album:74FdEWxQOWLu9lBEuMmdmM","Since Then. 2017","spotify:artist:1m4GViPjIy4T8Pd0Iz6hRS","Ian Pooley","2017-11-17","https://i.scdn.co/image/ab67616d0000b2732db86cc8632c1f3de087bc00","1","8","336586","https://p.scdn.co/mp3-preview/29a74dc3e4aa2e3261765762f87259950dc2aeb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","DECY51736428","","2022-12-12T18:19:26Z","deep house,disco house,filter house,tech house","0.805","0.789","10","-6.804","0","0.0547","0.00503","0.728","0.415","0.657","93.013","4","","Pooled Music","C 2017 Pooled Music, P 2017 Pooled Music"
"spotify:track:1HqGdj6ILAotfu9G6e4R3I","Glow - Radio Edit","spotify:artist:6c4sUNBgdonFJz8Kx2VsGz","Madcon","spotify:album:4bQ4FXwBC4DYEmRZPuv4oZ","Contraband","spotify:artist:6c4sUNBgdonFJz8Kx2VsGz","Madcon","2010-12-03","https://i.scdn.co/image/ab67616d0000b27372d1cf2413b8a62aae3694c7","1","12","228786","","false","0","NOBLV1005010","","2022-12-12T18:07:58Z","dance pop,norwegian hip hop,pop rap","0.701","0.875","8","-3.638","0","0.0643","0.0701","0","0.264","0.787","125.945","4","","Columbia","P (P) 2010 Bonnier Amigo Music Norway - a division of Bonnier Amigo Music Group"
"spotify:track:6TSDRzJGwbK9cajVbtqlPV","Que Sera","spotify:artist:3qwxSif06Qwzykdln8ZGfG","Wax Tailor","spotify:album:15fB97DqVW1K7Jy1vpkYRZ","Tales of the Forgotten Melodies","spotify:artist:3qwxSif06Qwzykdln8ZGfG","Wax Tailor","2005-02-22","https://i.scdn.co/image/ab67616d0000b273ba54ef939a9b21c14111d1c2","1","2","164093","https://p.scdn.co/mp3-preview/4dbbb4286484417ba079643bce54157abbedd9dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRP180400180","","2022-12-12T17:44:20Z","electronica,hip-hop experimental,ninja,nu jazz,trip hop,turntablism","0.714","0.721","9","-5.049","1","0.0783","0.273","0.245","0.174","0.415","83.021","4","","Lab'Oratoire","C 2005 Lab'Oratoire, P 2005 Lab'Oratoire"
"spotify:track:3a6baEh0mz5BIK2bxZlzH1","Enchantica","spotify:artist:0quxTLpktFyiRP853em5Fn","Jon Kennedy","spotify:album:7tM0Vtw9Ws3gvxET3AuT5E","Enchantica","spotify:artist:0quxTLpktFyiRP853em5Fn","Jon Kennedy","2017-03-24","https://i.scdn.co/image/ab67616d0000b2730f8d037d83dd71940a297c31","1","1","144149","https://p.scdn.co/mp3-preview/24c1860fce7ae21e6047049cf0e0af5ae530002a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FR2X41728177","","2022-12-12T17:40:16Z","electronica,ninja,nu jazz,trip hop,turntablism","0.75","0.354","6","-16.664","1","0.165","0.416","0.791","0.119","0.21","127.761","5","","Jon Kennedy Federation","C Jon Kennedy 2017, P Jon Kennedy Federation"
"spotify:track:1EWyFFUCC3UgaliycAiKDR","Old Love","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","spotify:album:6wgayK52wIkMa1XacI8R3B","Journeyman","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","1989-11-07","https://i.scdn.co/image/ab67616d0000b273f1e4230a291bd8d1c8e25ca1","1","9","384466","https://p.scdn.co/mp3-preview/0907bc8b95989e9d613bd341d734412f7be2d88d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USRE19900644","","2022-12-12T17:32:40Z","blues rock,classic rock,electric blues,rock","0.71","0.388","9","-13.037","0","0.0349","0.631","0.00461","0.12","0.527","142.023","4","","Bushbranch / Surfdog Records","C (C) 1989 EPC Enterprises, LLP. Under exclusive license to Surfdog Records, P (P) 1989 EPC Enterprises, LLP. Under exclusive license to Surfdog Records"
