"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6NWpK4ilfdSjK0SO7vUeJ3","Deconstruct","spotify:artist:6lp2VnIRXXpC9Wz7hSX6RE","Culture Shock","spotify:album:2twWMxGa518buHpuBb0DEz","Deconstruct","spotify:artist:6lp2VnIRXXpC9Wz7hSX6RE","Culture Shock","2021-02-25","https://i.scdn.co/image/ab67616d0000b2735da496c006dcf2b54230edf2","1","1","281379","https://p.scdn.co/mp3-preview/4a6b1d220037ddb78fd9ebe65a36b8a5e5862f8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GB5KW2100494","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2021-02-26T20:21:36Z","dancefloor dnb,drum and bass,jump up,uk dnb","0.494","0.968","8","-2.59","1","0.0497","0.00066","0.874","0.539","0.133","173.912","4","","RAM Records","C 2021 RAM Records Limited, P 2021 RAM Records Limited"
"spotify:track:4iVbJevT9JbstqPIRDSlgp","Save Somebody - SPY Vs. High Contrast Remix","spotify:artist:0bxHci3JIhhKA53n8rH3tT, spotify:artist:4uFxymnU41sM7ytUCjuYTN, spotify:artist:6aJAd8zM1s3Slw64KfsmaF","High Contrast, Callum Beattie, S.P.Y","spotify:album:2NdwPtGWR6IBFmOksbRZtz","Save Somebody (SPY Vs. High Contrast Remix)","spotify:artist:0bxHci3JIhhKA53n8rH3tT","High Contrast","2018-01-12","https://i.scdn.co/image/ab67616d0000b2738da82ae00e39f64e8276737e","1","1","295667","https://p.scdn.co/mp3-preview/001240eba14815bb1f8f0db1aae65849bbd63c59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBSXS1700208","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:55:39Z","drum and bass,jump up,uk dance,uk dnb,scottish singer-songwriter,brazilian dnb,drum and bass,jump up,jungle,liquid funk,uk dnb","0.516","0.9","6","-3.338","1","0.0549","0.0041","0.082","0.661","0.115","170.041","4","","All Around The World","C © 2018 3Beat Productions Limited, P ℗ 2018 3Beat Productions Limited"
"spotify:track:2FjKa1YG4rHkboNHsWO3iB","Long Distance","spotify:artist:1wzBqAvtFexgKHjt7i3ena","Fred V & Grafix","spotify:album:3nClIadYKB05qMqmKLAvnS","Long Distance","spotify:artist:1wzBqAvtFexgKHjt7i3ena","Fred V & Grafix","2011-06-13","https://i.scdn.co/image/ab67616d0000b27359db842b23444aefa66680f0","1","1","335531","https://p.scdn.co/mp3-preview/f3777164d2d1555f24bee4e898867fb6aa0025b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBYEY1100048","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:56:20Z","dancefloor dnb,drum and bass,liquid funk","0.407","0.914","5","-4.531","0","0.0471","0.0000812","0.233","0.186","0.277","174.064","4","","Allsorts","C 2011 Grid Recordings Ltd, P 2011 Grid Recordings Ltd"
"spotify:track:6TaAiBVm5ppjCLDbiXx8bg","Searching","spotify:artist:4cxzGdmQtUZJL1WYOdFQ5F","Kove","spotify:album:3y91ykwogkhOGiBbNXonXe","Searching","spotify:artist:4cxzGdmQtUZJL1WYOdFQ5F","Kove","2013-01-01","https://i.scdn.co/image/ab67616d0000b2737b97b0e3777b4cd4360d8d7c","1","1","253793","","false","0","GBUM71300339","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:57:14Z","drum and bass,liquid funk,neurostep","0.458","0.947","3","-2.65","0","0.0626","0.00634","0.63","0.431","0.22","174.03","4","","Universal Music Group","C © 2013 MTA Records LLP, under exclusive license to Mercury Records Limited, P ℗ 2013 MTA Records LLP, under exclusive license to Mercury Records Limited"
"spotify:track:7dFJsQQMwSlelur7tPuwnr","Remind Me","spotify:artist:0bxHci3JIhhKA53n8rH3tT","High Contrast","spotify:album:4hzruXvXyUg5hJwP37CJrF","Night Gallery","spotify:artist:0bxHci3JIhhKA53n8rH3tT","High Contrast","2017-10-06","https://i.scdn.co/image/ab67616d0000b2736e5492a25e67c5932981b03a","1","2","241586","https://p.scdn.co/mp3-preview/aa909d85b482788b3cdb9426ce9fd8be6a4aa736?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBSXS1600053","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:58:20Z","drum and bass,jump up,uk dance,uk dnb","0.481","0.839","5","-2.856","0","0.0325","0.00153","0.133","0.356","0.0453","173.095","4","","All Around The World","C © 2017 3Beat Productions Limited, P ℗ 2017 3Beat Productions Limited"
"spotify:track:5ami95W9OOWQPwrBb5tud5","Watercolour - Full Version; Single","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","spotify:album:3XtEGVx9uh7J46nBzEc1VS","Immersion","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","2010-05-21","https://i.scdn.co/image/ab67616d0000b27330f8e0f777376780c4077507","1","3","304106","https://p.scdn.co/mp3-preview/f0bc8344bfa4cd2fcb46b3e724e765270fa396c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBAHT1000072","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:56:27Z","australian dance,dancefloor dnb,drum and bass","0.421","0.896","5","-5.696","0","0.103","0.000174","0.039","0.323","0.169","174.065","4","","WM UK","C © 2010 Warner Music UK Limited, P ℗ 2010 Warner Music UK Limited"
"spotify:track:0amRGXM9FgoVH7onIHYMoO","Hopelessly Coping","spotify:artist:6m8itYST9ADjBIYevXSb1r, spotify:artist:0Xby6OpjBTxkbiGyhJU8RA","Wilkinson, THABO","spotify:album:3TrEeO5zgs8khRC2oDCuqm","Hopelessly Coping","spotify:artist:6m8itYST9ADjBIYevXSb1r","Wilkinson","2015-05-17","https://i.scdn.co/image/ab67616d0000b2732496ec5e9bb55a0253fa0ce7","1","1","223473","","false","35","GBBZH1500093","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:55:29Z","dancefloor dnb,drum and bass,house","0.506","0.923","9","-4.195","0","0.144","0.00411","0.0000303","0.0888","0.226","173.92","4","","EMI","C © 2015 RAM Records Ltd., under exclusive licence to Virgin EMI Records, a division of Universal Music Operations Ltd, P ℗ 2015 RAM Records Ltd., under exclusive licence to Virgin EMI Records, a division of Universal Music Operations Ltd"
"spotify:track:0OS7gsqsYZvFYjYM6SgZMk","Somebody To Love - Sigma Remix","spotify:artist:4BTcOR2hEQZQQL5AMo5u10","Rusko","spotify:album:1p8dqWzPQAuS6PU9KQABg8","Somebody To Love","spotify:artist:4BTcOR2hEQZQQL5AMo5u10","Rusko","2012-01-23","https://i.scdn.co/image/ab67616d0000b273058da5de3ef1bcd986799a96","1","2","351085","","false","0","USZ4V1200001","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:56:56Z","bassline,brostep,classic dubstep,edm,electro house,electronic trap","0.328","0.958","11","-3.558","0","0.0603","0.000145","0.864","0.343","0.436","175.084","4","","Downtown Records","C 2012 Mad Decent/Downtown Music, P 2012 Mad Decent/Downtown Music"
"spotify:track:7rYVaZ4sJTwmJzjqEdMGOU","Souvenirs","spotify:artist:3GEUIa3Z0Qlivy3EcJm5RX, spotify:artist:1RlBDEXSFnqeYBx70UxZn2","Etherwood, Zara Kershaw","spotify:album:1QcB9fU1IsCRVkeHKTP1U0","Blue Leaves","spotify:artist:3GEUIa3Z0Qlivy3EcJm5RX","Etherwood","2015-09-04","https://i.scdn.co/image/ab67616d0000b2739124fc85c2a6d11db6b7b4a2","1","1","250695","https://p.scdn.co/mp3-preview/3124e92652a44445bc3b21c13a1b5ebb388f07d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBCJY1500129","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:57:06Z","chillstep,deep liquid,drum and bass,liquid funk","0.597","0.831","2","-3.815","0","0.0423","0.0101","0.181","0.08","0.161","87.459","4","","Medschool","C 2015 Med School Music, P 2015 Med School Music"
"spotify:track:2Rs0skCIDXUFnDacEfzyKZ","Blk & Blu","spotify:artist:3jNkaOXasoc7RsxdchvEVq, spotify:artist:6SLFgb1SlDvGfX0WAZSHDc","Chase & Status, Ed Thomas","spotify:album:34Pxr45ESaUvUvqD7LPVZD","Brand New Machine (Deluxe Version)","spotify:artist:3jNkaOXasoc7RsxdchvEVq","Chase & Status","2013-01-01","https://i.scdn.co/image/ab67616d0000b273c6209e18c0e363f87ec48cc7","1","4","320000","","false","0","GBUM71306088","spotify:user:n6b63t98pqgv7pfy49sjenfn4","2019-10-26T13:57:52Z","dancefloor dnb,drum and bass","0.76","0.683","5","-6.87","0","0.043","0.109","0.00341","0.109","0.539","125.974","4","","Universal Music Group","C © 2013 Chase & Status, under exclusive licence to Mercury Records Limited, P ℗ 2013 Chase & Status, under exclusive licence to Mercury Records Limited"
