"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3a94TbZOxhkI9xuNwYL53b","Black Summer","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:4a6LkeTXHKjMQgf42wQnbH","Black Summer","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2022-02-04","https://i.scdn.co/image/ab67616d0000b273579b9602ae484950d95d0ab8","1","1","232412","https://p.scdn.co/mp3-preview/f4f2f6d275f2129616af282ab49ebab9920ec045?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB12105880","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:28:28Z","alternative rock,funk metal,funk rock,permanent wave","0.417","0.682","1","-5.071","1","0.0295","0.0267","0.000669","0.109","0.351","105.542","4","","Warner Records","C © 2022 Warner Records Inc., P ℗ 2022 Warner Records Inc."
"spotify:track:07GvNcU1WdyZJq3XxP0kZa","Go Your Own Way - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:1bt6q2SruMsBtcerNVtpZB","Rumours","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b2730001af4f80be77069fc8fd41","1","5","223613","https://p.scdn.co/mp3-preview/eb79c81b8ad502f603124c24606cf81bf91cc98d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB10400050","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:34:01Z","album rock,classic rock,rock,soft rock,yacht rock","0.583","0.947","5","-5.12","1","0.0378","0.0185","0.00109","0.0679","0.803","135.448","4","","Rhino/Warner Records","C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
"spotify:track:63rva3TBizr6x1Yp5uwKfD","California Dreamin'","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","spotify:album:6zK7GV2JCqLknAdTeIhooB","If You Can Believe Your Eyes And Ears","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","1966-03","https://i.scdn.co/image/ab67616d0000b273e2597ecbaa6fec8d3c58e34c","1","7","157960","https://p.scdn.co/mp3-preview/f1e2310e5b96f9d45967343bba0077d6e2c1c38b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USMC16532697","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:43:20Z","bubblegum pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop","0.554","0.667","1","-10.226","0","0.0342","0.628","0","0.0486","0.597","112.749","4","","Geffen*","C © 1989 MCA Records Inc., P ℗ 1966 Dunhill Records Inc."
"spotify:track:4mn2kNTqiGLwaUR8JdhJ1l","House of the Rising Sun","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","spotify:album:1v4O55JGou3T0Vlj06fdXz","The Singles Plus","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","1987-10-19","https://i.scdn.co/image/ab67616d0000b273015c484a7aca592df1a77828","1","3","269906","https://p.scdn.co/mp3-preview/3f5ed575e67b66ef0c40ac1c52b3c11e022d8499?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAYE6400209","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:50:50Z","album rock,blues rock,british invasion,classic rock,folk rock,protopunk,psychedelic rock,rock","0.316","0.484","9","-9.11","0","0.0308","0.000334","0.00445","0.0912","0.299","117.363","3","","Parlophone UK","C © 1987 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 1987 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:0pQskrTITgmCMyr85tb9qq","Starman - 2012 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:48D1hRORqJq52qsnUYZX56","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1972-06-06","https://i.scdn.co/image/ab67616d0000b273c41f4e1133b0e6c5fcf58680","1","4","254293","https://p.scdn.co/mp3-preview/2e8bf798b95dc3d0a3770c2e7c694f5a23be6455?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USJT11200004","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:56:16Z","art rock,classic rock,glam rock,permanent wave,rock","0.486","0.449","5","-10.298","1","0.0267","0.166","0.00000223","0.54","0.549","100.456","4","","Parlophone UK","C © 2015 Jones/Tintoretto Entertainment Co, LLC, P ℗ 2012 Jones/Tintoretto Entertainment Co, LLC under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:19HjHUjCfDrEYhVSIKG6nK","I'd Love to Change the World - 2004 Remaster","spotify:artist:7nkLRaWHImCvWGHdNGnhVE","Ten Years After","spotify:album:6C2AlxVFIfvLsuWOJB1UKo","A Space in Time (Deluxe Version)","spotify:artist:7nkLRaWHImCvWGHdNGnhVE","Ten Years After","1971-11-11","https://i.scdn.co/image/ab67616d0000b273d46cb4df89f44f370e83d8cd","1","3","224133","","false","15","GBAYK0400087","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:42:50Z","album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,roots rock,symphonic rock","0.384","0.516","9","-12.032","0","0.0345","0.202","0.18","0.114","0.371","118.129","4","","Chrysalis Records","C 2016 Chrysalis Records Limited, P 2012 Chrysalis Records Limited"
"spotify:track:7L3b6iaVhDVjfo52Hbvh9Z","Edge of Seventeen - 2016 Remaster","spotify:artist:7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","spotify:album:0IomjU2bXFng4LQBYn7Het","Bella Donna (2016 Remastered)","spotify:artist:7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","1981-07-27","https://i.scdn.co/image/ab67616d0000b273af14d74d5e308ce2f3ec22f8","1","6","329413","https://p.scdn.co/mp3-preview/abb0fd1b61b63ce4023c8f6dd26f5381d1ce5c42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRH11604198","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:48:40Z","album rock,heartland rock,mellow gold,rock","0.591","0.804","0","-7.299","1","0.0454","0.327","0.00000598","0.0818","0.658","111.457","4","","Rhino Atlantic","C © 1981 Modern Records, Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company. All Rights Reserved., P ℗ 1981 Modern Records, Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company. All Rights Reserved."
"spotify:track:2VQw2ysxGt86apjFyrUDdx","Starman - Top Of The Pops Version - 2022 Mix","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:2u783bAiCnO0wwxjlSjJ4c","Starman (Top Of The Pops Version - 2022 Mix)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","2022-06-16","https://i.scdn.co/image/ab67616d0000b273e893a1161c09ecc401af25f6","1","1","241541","https://p.scdn.co/mp3-preview/21017decd2ea1bcd051d2f6ae3afcbe2223b280c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USJT12200160","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:25:39Z","art rock,classic rock,glam rock,permanent wave,rock","0.611","0.745","5","-6.595","1","0.061","0.224","0","0.221","0.584","104.484","4","","Parlophone UK","C © 2022 Jones/Tintoretto Entertainment Company LLC, P Under exclusive licence to Parlophone Records Limited, ℗ 2022 Jones/Tintoretto Entertainment Company LLC"
"spotify:track:6F6DxQ3XjToEHX1e2KKSbg","Simple Man","spotify:artist:4MVyzYMgTwdP7Z49wAZHx0","Lynyrd Skynyrd","spotify:album:3THuBNp86ScbTXwpTmAbdw","Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition)","spotify:artist:4MVyzYMgTwdP7Z49wAZHx0","Lynyrd Skynyrd","1973","https://i.scdn.co/image/ab67616d0000b273ed9531fd3add18804cd6d7c1","1","4","357933","https://p.scdn.co/mp3-preview/a9e43fa4bd37def70e9164f632f966b205240f55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USMC17301726","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-12T19:56:06Z","album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock","0.461","0.734","1","-9.379","1","0.0374","0.00079","0.00554","0.22","0.423","120.55","4","","Geffen*","C © 2001 Geffen Records, P ℗ 2001 Geffen Records"
"spotify:track:4lUyWsk8qd2N9M4yAxKpHs","Where Do You Think You're Going? - Alternative Mix / Remastered 2022","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:2GU13jRAYoBgYExvDvFnUU","Money For Nothing (Remastered 2022)","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","2022-06-17","https://i.scdn.co/image/ab67616d0000b273242ef7d0c515ac9a3e76c17c","1","7","213800","https://p.scdn.co/mp3-preview/d2696aeaa7d658dd3419e67b9dd887972d48c696?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBUM72201785","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-23T19:48:21Z","album rock,classic rock,mellow gold,rock,soft rock","0.521","0.61","9","-9.375","0","0.0365","0.603","0.147","0.076","0.543","79.207","4","","UMC (Universal Music Catalogue)","C © 2022 Mercury Records Limited, P An EMI release; This Compilation ℗ 2022 Mercury Records Limited"
