"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7sxNIBN7lyjt2p6a9a9AwH","Muzik","spotify:artist:1si6WHnb1ywwJ2lpFRUHcc","Fergie","spotify:album:5keWp7LxxbvDKdsR6k1lwK","Muzik","spotify:artist:1si6WHnb1ywwJ2lpFRUHcc","Fergie","2022-11-11","https://i.scdn.co/image/ab67616d0000b273383617a8dad8787c20e854a2","1","1","243692","https://p.scdn.co/mp3-preview/a0602a44f46d2551531f5adce0d7cdb66b6e15ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","NLF712208131","spotify:user:dannyavila","2022-11-23T09:05:16Z","","0.67","0.958","6","-5.492","0","0.0574","0.00931","0.784","0.623","0.124","129.992","4","","Armind","C 2022 Armada Music B.V., P 2022 Armada Music B.V."
"spotify:track:6AarVsIJlZ6Qr2MNY9rsbm","Made in Heaven","spotify:artist:5Fdf2Nh6PMwIEWVp0HCrNe, spotify:artist:34cHgeYxmWatcFd0Mmx2ky","Rohan (IT), Fabrizio Murgia","spotify:album:7vtqUbIXkeKYJzNA12N0ap","Missing You","spotify:artist:5Fdf2Nh6PMwIEWVp0HCrNe, spotify:artist:34cHgeYxmWatcFd0Mmx2ky","Rohan (IT), Fabrizio Murgia","2022-10-28","https://i.scdn.co/image/ab67616d0000b273e3bcc8669dbb01d23306da65","1","2","368000","https://p.scdn.co/mp3-preview/54f734440e2129de599ac09651bd9acdcb6d2b63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","UKU932261010","spotify:user:dannyavila","2022-11-23T09:05:53Z","","0.793","0.777","1","-6.738","0","0.0749","0.00558","0.911","0.122","0.184","129.996","4","","Orange Recordings","C 2022 Orange Recordings Limited, P 2022 Orange Recordings Limited"
"spotify:track:3R1bRaYry190CnzxdDQsVy","In My Soul - Original Mix","spotify:artist:5VMXbzLVkLd4Cq4rBzx4T3","Mha Iri","spotify:album:7FpzZ4YR2MyNwcN8uQYaX8","You Are Mine EP","spotify:artist:5VMXbzLVkLd4Cq4rBzx4T3","Mha Iri","2022-10-07","https://i.scdn.co/image/ab67616d0000b2734fc671923f17ffe1a42feb27","1","2","414135","https://p.scdn.co/mp3-preview/a45686c913519955ecbae4c441eb215c4256cd50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","SIB152200023","spotify:user:dannyavila","2022-11-23T09:06:08Z","scottish techno","0.687","0.983","9","-4.986","1","0.0638","0.0213","0.896","0.171","0.411","132.997","4","","1605","C 2022 Sixteenofive, P 2022 Sixteenofive"
"spotify:track:39xy3OnzXE5iFwV67uSuya","Brethren","spotify:artist:5Hini2nQyoglzpdKe41cZt","UMEK","spotify:album:2TQNqH5QE1nku9AfegZ6p7","Brethren","spotify:artist:5Hini2nQyoglzpdKe41cZt","UMEK","2019-03-22","https://i.scdn.co/image/ab67616d0000b273b331de0df4171261b57a9827","1","1","454331","https://p.scdn.co/mp3-preview/b8d90c3da637e3910234acb84e478e300af77343?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBKQU1918310","spotify:user:dannyavila","2022-11-23T09:06:18Z","dark techno,minimal techno,raw techno,slovenian electronic,tech house,techno","0.795","0.907","6","-9.357","0","0.0977","0.00194","0.876","0.104","0.328","128.032","4","","Filth on Acid","C Filth on Acid VOF, P Copyright Control"
"spotify:track:6Rh7Z7HgjzxouMzlXMN75U","Silence","spotify:artist:3SEw2qamdOWyVZtzKxWTTg, spotify:artist:1EtIq8lnoAOKoVf8ryhcmQ","The YellowHeads, HLGRMS","spotify:album:2gwA0bOrpxqNwx8zI9PzRT","Silence","spotify:artist:3SEw2qamdOWyVZtzKxWTTg, spotify:artist:1EtIq8lnoAOKoVf8ryhcmQ","The YellowHeads, HLGRMS","2022-11-11","https://i.scdn.co/image/ab67616d0000b273939c416612a1620138e20885","1","1","383471","https://p.scdn.co/mp3-preview/76149c3ee9f46f4b693fe536ccff8377a38131b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBKQU2294790","spotify:user:dannyavila","2022-11-23T09:06:44Z","german dark minimal techno","0.786","0.746","1","-7.991","1","0.0689","0.0273","0.899","0.074","0.0457","132.007","4","","Reload Records","C 2022 Reload Records, P 2022 Reload Records"
"spotify:track:2v8JiQVX5wdyf2kamL7jpi","Progression","spotify:artist:3s0LSxCNu3UkFuJZ1PcGJa","Gonzalo F","spotify:album:6uHXuPdia9qbPD3DEm4gnX","High Frequency","spotify:artist:3s0LSxCNu3UkFuJZ1PcGJa","Gonzalo F","2022-11-04","https://i.scdn.co/image/ab67616d0000b273048d20e9acea8d33fbe77966","1","2","339692","https://p.scdn.co/mp3-preview/ec06a37abd019e492c6d8f5e519676a0b89dc975?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","GBKQU2292341","spotify:user:dannyavila","2022-11-23T09:07:00Z","","0.783","0.952","6","-5.553","0","0.0398","0.00113","0.881","0.0884","0.162","129.992","4","","Reload Records","C 2022 Reload Records, P 2022 Reload Records"
"spotify:track:3ILoKaswj3CFSD9ZlZDwkY","The Reason","spotify:artist:0DlU4o8v7xq5AnJTFb6onr","Kos:mo","spotify:album:58D5Bo0B2JnaxFwBfyCA9Y","The Reason","spotify:artist:0DlU4o8v7xq5AnJTFb6onr","Kos:mo","2022-11-04","https://i.scdn.co/image/ab67616d0000b2734ec8c9425ca10c7a90ed959e","1","1","282220","https://p.scdn.co/mp3-preview/b55800a11e484e81eaca23189822464d587a5e76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","GBKQU2293167","spotify:user:dannyavila","2022-11-23T09:07:29Z","","0.617","0.944","6","-4.784","1","0.0622","0.000157","0.836","0.369","0.446","132.98","4","","Respekt Recordings","C 2022 Respekt Ltd, P 2022 Respekt Ltd"
"spotify:track:7A3ar2Fj19WzXJqxicrOjz","Robotic Swarms","spotify:artist:1xmsILg4EMNUiaXjx1N43k","Ryan Michael Robbins","spotify:album:1g5ey6XiLuW1Bh0nFjXiLb","Robotic Swarms","spotify:artist:1xmsILg4EMNUiaXjx1N43k","Ryan Michael Robbins","2022-10-07","https://i.scdn.co/image/ab67616d0000b273714f9018ee948f5275760e42","1","1","406153","https://p.scdn.co/mp3-preview/efd1195c20dfee94b6784a1bbfff6e962872365e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","US83Z2228757","spotify:user:dannyavila","2022-11-23T09:07:43Z","","0.732","0.994","6","-5.243","1","0.0856","0.00086","0.914","0.104","0.195","129.991","4","","EXTIMA","C 2022 EXTIMA, P 2022 EXTIMA"
"spotify:track:5AFkCBXvHXIVR8T1Eao82A","Night Train","spotify:artist:02Xwu1VHleFBI3MZ73qyyz, spotify:artist:4HBqTMsxMf2Y64yxJDyQp4","Bastet, Samuel Well","spotify:album:3mIBoio4m4D0zpuLEo2rdg","Night Train / Radion","spotify:artist:02Xwu1VHleFBI3MZ73qyyz, spotify:artist:4HBqTMsxMf2Y64yxJDyQp4","Bastet, Samuel Well","2022-10-28","https://i.scdn.co/image/ab67616d0000b2736bdd8565c68837e533de611b","1","1","428815","https://p.scdn.co/mp3-preview/b58a8ba75065f1838d85816af5a3b0de822f8e48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","NLCK42219315","spotify:user:dannyavila","2022-11-23T09:07:58Z","","0.78","0.98","7","-7.579","1","0.0401","0.00166","0.885","0.134","0.685","136.003","4","","Planet Rhythm","C 2022 Planet Rhythm, P 2022 Planet Rhythm"
"spotify:track:0ihobYmU0yxWaw0GpZFSpY","Breathe","spotify:artist:5RwXcpTt7Fr8S8yG3Tbr9b","Loco & Jam","spotify:album:1VxPsvoY1SE2wWG6hStEpG","Breathe","spotify:artist:5RwXcpTt7Fr8S8yG3Tbr9b","Loco & Jam","2022-10-21","https://i.scdn.co/image/ab67616d0000b273aa965223e792fb271a26341e","1","1","407000","https://p.scdn.co/mp3-preview/0b3162fee669fee5f3355900f3c8f63379294d53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","CA5KR2297369","spotify:user:dannyavila","2022-11-23T09:08:09Z","deep minimal techno,funky tech house,tech house","0.798","0.726","7","-5.907","1","0.0486","0.00173","0.916","0.0876","0.38","128.025","4","","There Is A Light","C 2022 There Is A Light, P 2022 There Is A Light"
"spotify:track:6ohzW6SWk4erB5DWFGUPaK","UFOs & LFOs","spotify:artist:7mC3RkNNTV6p2j9w4F8Ip4","Layton Giordani","spotify:album:1FS174VHssFFCmZajvmQ6t","Digital Age","spotify:artist:7mC3RkNNTV6p2j9w4F8Ip4","Layton Giordani","2022-08-19","https://i.scdn.co/image/ab67616d0000b273dd5bbbe57dc9953186f52979","1","2","296812","https://p.scdn.co/mp3-preview/5167ae5272f60479304c8196e918e55eff3d564e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBUR62000438","spotify:user:dannyavila","2022-11-23T09:08:23Z","dark techno,minimal techno","0.725","0.808","1","-6.859","1","0.0756","0.0121","0.682","0.134","0.0694","131.019","4","","Drumcode","C 2022 Drumcode, P 2022 Drumcode"
"spotify:track:5n5bVGk7hQHwomQlU4IYsT","Access - Matt Smallwood & Polarised Remix","spotify:artist:3GKyfn5Iyo8i5TxoV9jPms, spotify:artist:04VoCQzRyRw8P2jo52hqja","DJ Misjah, DJ Tim","spotify:album:2fs9z9i1c87dvOwoWrpd4H","Toolroom Selector Series 37: Christian Cambas","spotify:artist:0xTHDDgrTLK87pC4blqD6j","Christian Cambas","2015-12-11","https://i.scdn.co/image/ab67616d0000b273835d5655b07e11cbec3dea0b","1","3","422398","https://p.scdn.co/mp3-preview/769d2c393f708f951129fea953f3562f104dfa88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBJAJ1400626","spotify:user:dannyavila","2022-11-23T09:09:19Z","hardcore techno","0.782","0.944","2","-6.936","1","0.0666","0.000192","0.755","0.652","0.275","125.007","4","","Toolroom Longplayer","C 2015 Toolroom Productions, P 2015 Toolroom Productions"
"spotify:track:72WVqQHlWVs3Rx8ByHbqQD","Multiverse","spotify:artist:1kHUaFTAX3cs3kH4cXvqpm","Danny Fontana","spotify:album:2sWHQTGAmF006xN1nTRXJM","Vision Series 3","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-11-04","https://i.scdn.co/image/ab67616d0000b2736c06526320d9dd2eea409833","1","1","357505","https://p.scdn.co/mp3-preview/37ee600b0fcaf8a5b54b471f5d1a89b0f36e9c9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","DEH742226144","spotify:user:dannyavila","2022-11-28T13:05:22Z","italian techno","0.748","0.781","7","-8.687","1","0.0842","0.000821","0.915","0.113","0.0373","129.998","4","","SubVision","C 2022 SubVision, P 2022 SubVision"
"spotify:track:3IgI5dXe1u1xFC9c2NxHBt","Indigo","spotify:artist:32LzV8uY2Zf8Nda9Rvjx5U, spotify:artist:0tE5uhIK2tSierQTyLi9ci","Timmo, Weska","spotify:album:6cTjMtKl6METd4Q90Wm5aL","Indigo","spotify:artist:32LzV8uY2Zf8Nda9Rvjx5U, spotify:artist:0tE5uhIK2tSierQTyLi9ci","Timmo, Weska","2022-10-21","https://i.scdn.co/image/ab67616d0000b2732549727e6695b8222deb80ff","1","1","491187","https://p.scdn.co/mp3-preview/7e556c5d5c9f750a6de09bff9d9e0e38ea534577?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","UKU932273069","spotify:user:dannyavila","2022-11-28T13:05:40Z","bulgarian electronic,deep minimal techno","0.742","0.93","7","-5.405","1","0.042","0.000621","0.882","0.104","0.605","129.991","4","","Hypnostate","C 2022 Hypnostate, P 2022 Hypnostate"
"spotify:track:2X9UVKfJqthwCrfL41wkmM","Higher","spotify:artist:6bQjjM7IF0eLgxjiJHwhOt","Tony Romanello","spotify:album:0YT5K6zQwQ5LJFRDuLt4M1","Higher","spotify:artist:6bQjjM7IF0eLgxjiJHwhOt","Tony Romanello","2020","https://i.scdn.co/image/ab67616d0000b27326b7441ab3c98993876038dd","1","1","420917","https://p.scdn.co/mp3-preview/6b78ad369e46aee669f99232582d4d266282b03d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","GBKQU2284066","spotify:user:dannyavila","2022-11-28T13:05:58Z","","0.759","0.985","11","-4.301","0","0.0549","0.00156","0.834","0.107","0.308","130.008","4","","Unity Records","C 2020 Unity records, P 2020 Unity records"
"spotify:track:7wkXDxQyx86qpvpxD6GZH5","What's That Called?","spotify:artist:0xgdNNa5mIbnJKp8AG8S4z","Victor Ruiz","spotify:album:6kZN30YG45TPTCe9IVt95T","Pura Vida","spotify:artist:0xgdNNa5mIbnJKp8AG8S4z","Victor Ruiz","2022-10-14","https://i.scdn.co/image/ab67616d0000b27303c7a04d31778d8ff06983de","1","1","257777","https://p.scdn.co/mp3-preview/365e6088b01c3a397f284d88157afa96fffbed61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","DEY472277781","spotify:user:dannyavila","2022-11-28T13:06:14Z","brazilian techno,dark techno,deep minimal techno,deep techno,minimal techno,tech house","0.605","0.882","9","-5.544","0","0.0416","0.0277","0.365","0.139","0.489","135.005","4","","VOLTA","C 2022 VOLTA, P 2022 VOLTA"
"spotify:track:1LPuj0lzNDfxLnVDyD1iVp","Awakenings","spotify:artist:02Xwu1VHleFBI3MZ73qyyz","Bastet","spotify:album:1QwD9WkDXMvOvaBc2MlnZT","Back To The Life","spotify:artist:02Xwu1VHleFBI3MZ73qyyz","Bastet","2021-11-19","https://i.scdn.co/image/ab67616d0000b2739b5a261becfe9706e960c74d","1","2","350271","https://p.scdn.co/mp3-preview/487a1983313afeca76f10712f6c55e2117129f9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","ITS252100089","spotify:user:dannyavila","2022-11-28T13:06:25Z","","0.644","0.949","0","-7.991","1","0.0431","0.00111","0.894","0.0976","0.064","133.01","4","","Unrilis","C 2021 Unrilis, P 2021 Unrilis"
"spotify:track:6HOsFY1ygOG1C5SB5jjy8H","Mental Cinema","spotify:artist:3jcvzSheHd14vjraXHLGPN","Belocca","spotify:album:0GrJWZOB7nHueIoCn8p2B1","Mental Cinema","spotify:artist:3jcvzSheHd14vjraXHLGPN","Belocca","2019-12-13","https://i.scdn.co/image/ab67616d0000b273787102e3a69da8d8fff86420","1","1","422070","https://p.scdn.co/mp3-preview/14bdf6e5b57cf27470d937eb8ed4a6fc385be691?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","NLUP61900139","spotify:user:dannyavila","2022-11-28T13:06:36Z","dark techno,funky tech house,hungarian techno,tech house","0.722","0.808","7","-7.936","1","0.0978","0.000521","0.865","0.0707","0.323","127.989","4","","Mainground Music","C 2019 Mainground Music, P 2019 Mainground Music"
"spotify:track:1KBN4OdtRaYhuTSLiAcWGv","Mass Effect - Original Mix","spotify:artist:7dOFFyV8UVZqmapj8yUDRT","NoNameLeft","spotify:album:4Qjh8GEts794C4Q2xelR2r","Exaltation EP","spotify:artist:7dOFFyV8UVZqmapj8yUDRT","NoNameLeft","2022-11-04","https://i.scdn.co/image/ab67616d0000b27388e89c3e83172050b2eae7f1","1","2","401250","https://p.scdn.co/mp3-preview/73627496a3127fdd5df534df164c83d05c3a8e19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","SIB152200025","spotify:user:dannyavila","2022-11-28T13:06:57Z","","0.693","0.739","1","-7.312","1","0.0586","0.00164","0.848","0.188","0.397","128.005","4","","1605","C 2022 Sixteenofive, P 2022 Sixteenofive"
