"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:46tPGzCXCI2oKsemztDA9u","Parce Mihi Domine","spotify:artist:7MEyCD4G0Zl6kmikEAZsym, spotify:artist:18oieUOKaB87vkVcV6GX89, spotify:artist:0L8W3JzyTX29RLKZgc3bqS","Jan Garbarek, Cristobal de Morales, The Hilliard Ensemble","spotify:album:6EZ4ZARjmbOF8M9yRzxMxE","Officium","spotify:artist:7MEyCD4G0Zl6kmikEAZsym, spotify:artist:0L8W3JzyTX29RLKZgc3bqS","Jan Garbarek, The Hilliard Ensemble","1994-09-01","https://i.scdn.co/image/ab67616d0000b2735d584ff8b11e730555e302af","1","1","402493","https://p.scdn.co/mp3-preview/9b6bb8f10cb2f556b1dba1c0e8fb718e40ea7daf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","DEB339352501","spotify:user:ms8r","2021-12-30T01:27:36Z","classical saxophone,contemporary jazz,ecm-style jazz,jazz fusion,jazz saxophone,norwegian jazz,renaissance,spanish renaissance,choral,classical,classical performance,early music,early music choir,early music ensemble,madrigal,polyphony,renaissance,vocal ensemble","0.193","0.0656","10","-19.239","1","0.0471","0.995","0.829","0.119","0.0359","128.975","3","","ECM New Series","C © 1994 ECM Records GmbH, under exclusive license to Deutsche Grammophon GmbH, Berlin, P ℗ 1994 ECM Records GmbH, under exclusive license to Deutsche Grammophon GmbH, Berlin"
"spotify:track:4JL6c1RL7MHcwNh0LEkmjw","Rock the Casbah - Bob Clearmountain Mix","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","spotify:album:3Zkggi5I9uH5x94DuN6u1S","Hits Back","spotify:artist:3RGLhK1IP9jnYFH4BRFJBS","The Clash","2013-08-26","https://i.scdn.co/image/ab67616d0000b27357f627f712e7060d287dd732","1","12","222720","https://p.scdn.co/mp3-preview/0e23052e37735a07e866dc5f303ebb4f54d5fcaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBARL1201015","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:49:17Z","classic rock,permanent wave,punk,rock","0.747","0.913","9","-7.1","0","0.0398","0.289","0","0.184","0.884","129.037","4","","Sony Music UK","P This compilation (P) 2013 Sony Music Entertainment UK Limited"
"spotify:track:36mDXM4JS6ovRFGwSpK2KW","Roll over Beethoven","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","spotify:album:0wzmqCoQ3rZTuCuIwK1jKp","The Essential Electric Light Orchestra","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","2011-10-10","https://i.scdn.co/image/ab67616d0000b273308ccdc2a4be8fda99f739b6","1","2","271906","https://p.scdn.co/mp3-preview/cd29c9f9c72828910183575739e75ce465119515?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USSM17800859","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:50:33Z","album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock","0.369","0.891","11","-8.892","0","0.26","0.0538","0.0013","0.0991","0.707","175.965","4","","Epic","P (P) 2011 Sony Music Entertainment"
"spotify:track:5c33j1xFVOL4G24zxYhssB","This Old Heart Of Mine (Is Weak For You)","spotify:artist:53QzNeFpzAaXYnrDBbDrIp","The Isley Brothers","spotify:album:6iIk47TPgtfIxzL2ALdBSN","This Old Heart Of Mine","spotify:artist:53QzNeFpzAaXYnrDBbDrIp","The Isley Brothers","1966","https://i.scdn.co/image/ab67616d0000b27363509e860d6373c622b3cc8c","1","3","172733","https://p.scdn.co/mp3-preview/90dfacf13e8ba4e7f3be0fde410922609d5ade06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USMO16600488","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:50:43Z","classic soul,disco,funk,motown,quiet storm,soul","0.632","0.59","5","-10.206","1","0.0305","0.346","0","0.24","0.953","130.287","4","","Motown","C © 2004 Motown Records, a Division of UMG Recordings, Inc., P ℗ 2004 Motown Records, a Division of UMG Recordings, Inc."
"spotify:track:0Jl5bIEve3A4axcjY3EgDZ","Feelin' Alright","spotify:artist:3pFCERyEiP5xeN2EsPXhjI","Joe Cocker","spotify:album:74sIm8QdXqFwYeDS7OfYVw","With A Little Help From My Friends","spotify:artist:3pFCERyEiP5xeN2EsPXhjI","Joe Cocker","1969-05-01","https://i.scdn.co/image/ab67616d0000b2735bb09aa81ffb17ccf902629f","1","1","250840","https://p.scdn.co/mp3-preview/2901d2c9d040f22be0531e7a326b14881ed68f4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAM16900372","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:50:44Z","blues rock,classic rock,mellow gold,rock,soft rock","0.535","0.824","5","-10.142","1","0.0391","0.625","0.0379","0.299","0.895","90.12","4","","A&M","C © 1999 UMG Recordings, Inc., P An A&M Records Release; ℗ 1969 UMG Recordings, Inc."
"spotify:track:4w7nHS3WCD0u25SkMUvq3a","Hit The Road Jack","spotify:artist:3wlGboM57eZwqMIM2o31GL, spotify:artist:4fnabfYrvg3fMDspxKcGRl","Jeff Zavac, The Craetts","spotify:album:5j7NYV0Nk1lPR70kqIDvDF","Miami Lighthouse for the Blind Presents: Instrumental Magic","spotify:artist:3wlGboM57eZwqMIM2o31GL","Jeff Zavac","2006-10-01","https://i.scdn.co/image/ab67616d0000b27318370586c1d82a4e4db168d1","1","6","129906","https://p.scdn.co/mp3-preview/36ec67dd0cf7a2f70bccbf0acc28d8a2cc08b808?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USBEN0680107","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:50:45Z","fake","0.591","0.758","8","-6.596","0","0.033","0.079","0.00246","0.199","0.936","172.061","4","","Stone Music Family, LLC","C 2006 Henstone Music, Inc., P 2006 Henstone Music USA, Inc"
"spotify:track:4LQtQV5HHTdVBCBJYaEuUr","Beggin' - 2007 Remaster","spotify:artist:6mcrZQmgzFGRWf7C0SObou","Frankie Valli & The Four Seasons","spotify:album:0sEAJ8QdJQPRNL2km3NYqg","Jersey Beat: The Music Of Frankie Valli and The Four Seasons","spotify:artist:6mcrZQmgzFGRWf7C0SObou","Frankie Valli & The Four Seasons","2007-06-04","https://i.scdn.co/image/ab67616d0000b273c1651e7b595a3c334dfce018","1","40","168706","https://p.scdn.co/mp3-preview/9a35debae56d93111ceeea717ab00bbe1def44fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USRH10720925","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:50:50Z","adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll","0.534","0.5","2","-8.591","0","0.0346","0.278","0","0.0523","0.447","128.909","4","","Rhino","C © 2007 Rhino Entertainment Company, a Warner Music Group Company, P ℗ 2007 Rhino Entertainment Company, a Warner Music Group Company"
"spotify:track:3mXexrmtPJ1KdWN37rYePx","I Get Around","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:6cSZPNsr3tMEHo5QrMjk1F","50 Big Ones: Greatest Hits","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","2012-01-01","https://i.scdn.co/image/ab67616d0000b273f6de355783e42c7c357cfc93","1","11","133760","https://p.scdn.co/mp3-preview/4faeacb06588ba883d5c5b68e75c9bc5790851e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USCA21202039","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:50:52Z","baroque pop,classic rock,psychedelic rock,rock,sunshine pop","0.388","0.63","9","-6.292","0","0.0453","0.32","0","0.0738","0.774","145.931","4","","Capitol Records","C © 2012 Capitol Records, LLC, P This Compilation ℗ 2012 Capitol Records, LLC"
"spotify:track:7FNIEfhhBlzsZFxCwI5Nwh","A Little Less Conversation - JXL Radio Edit Remix","spotify:artist:43ZHCT0cAZBISjO8DG9PnE, spotify:artist:5svDnd8joFhbpbA3Ar0CfN","Elvis Presley, Junkie XL","spotify:album:0QVoYzGd1p8Z3ohEaM0lsc","Elvis 30 #1 Hits","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","2002-09-24","https://i.scdn.co/image/ab67616d0000b273a0b8a1ce10fddbba6879262e","1","31","213240","https://p.scdn.co/mp3-preview/b4edbb13f6783c703f5b8406baae7dde7906c33b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRC10200288","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:51:05Z","rock-and-roll,rockabilly,big beat,soundtrack","0.59","0.976","11","-4.866","0","0.0488","0.000154","0.293","0.155","0.686","114.996","4","","RCA Records Label","P This Compilation (P) 2002 Sony Music Entertainment"
"spotify:track:2CDNjonGoGIrfGzAdhbOAF","A Fifth Of Beethoven","spotify:artist:73JBR5s2PVvUjGu6tIqjqx, spotify:artist:3JMRq98LrEi2ezxixzN2Is","Walter Murphy, The Big Apple Band","spotify:album:23zvBBS5QteJrQ2xVDUC1I","House Of Gucci (Music taken from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-12-08","https://i.scdn.co/image/ab67616d0000b27342ea4917d8e3aa442614b072","1","14","183400","https://p.scdn.co/mp3-preview/98f5f09fa0e6655939e1c6054f780bb01c8b9696?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QMRSZ1301132","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:51:08Z","disco,hammond organ","0.718","0.669","5","-7.283","0","0.0446","0.176","0.822","0.0581","0.824","108.856","4","","Decca (UMO) (Classics)","C © 2021 Universal Music Operations Limited, P This Compilation ℗ 2021 Metro-Goldwyn-Mayer Music Inc, under exclusive licence to Universal Music Operations Limited"
"spotify:track:2He3NOyqtLNE3RQPpeDdSb","Groove Is in the Heart","spotify:artist:4eQJIXFEujzhTVVS1gIfu5","Deee-Lite","spotify:album:4sTAgYLZy5zwqR3kT1g0oh","World Clique","spotify:artist:4eQJIXFEujzhTVVS1gIfu5","Deee-Lite","1990-08-07","https://i.scdn.co/image/ab67616d0000b273cbcb5083c56df2a557625bca","1","9","231786","https://p.scdn.co/mp3-preview/4bd4aca0f8d8a6304956ee45dad0830696fe9bbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USEE19687204","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T01:51:18Z","hip house","0.694","0.881","1","-4.053","0","0.0701","0.0153","0.0196","0.0851","0.924","121.554","4","","Elektra Records","C © 1990 Elektra Entertainment., P ℗ 1990 Elektra Entertainment. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
