"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1vNNfTgHsrpOXeiaXQBlH7","Safe From Harm - 2012 Mix/Master","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:5mAPk4qeNqVLtNydaWbWlf","Blue Lines (2012 Mix/Master)","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1991-06-10","https://i.scdn.co/image/ab67616d0000b273af5beb00d940f5ede452d6b5","1","1","319000","https://p.scdn.co/mp3-preview/b874cc2902bb1ab6c72deba6e8ec86e19fcaeb7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAAA1200644","spotify:user:","1970-01-01T00:00:00Z","big beat,downtempo,electronica,trip hop","0.677","0.83","6","-6.604","0","0.0469","0.0438","0.312","0.0766","0.842","82.274","4","","Virgin Catalogue","C © 2012 Virgin Records Ltd, P ℗ 2012 Virgin Records Ltd"
"spotify:track:1hEh8Hc9lBAFWUghHBsCel","Porcelain","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:1xB1tmm50ZhXwrNs89u7Jx","Play","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","1999-05-17","https://i.scdn.co/image/ab67616d0000b27373b063d18cd9be91eb12284a","1","3","238920","https://p.scdn.co/mp3-preview/047b6fde73eebeaf69c9641799f2c5852579f1c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAJH9900036","spotify:user:","1970-01-01T00:00:00Z","downtempo,electronica","0.515","0.613","0","-8.423","0","0.0305","0.00147","0.202","0.449","0.357","94.925","4","","Mute, a BMG Company","C © 1999 Mute Records Ltd., a BMG Company, P ℗ 1999 Mute Records Ltd., a BMG Company"
"spotify:track:3Ty7OTBNSigGEpeW2PqcsC","Glory Box","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3539EbNgIdEDGBKkUf4wno","Dummy","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1994-01-01","https://i.scdn.co/image/ab67616d0000b273dc20397b139223620af148f6","1","11","308626","https://p.scdn.co/mp3-preview/d24242f85219c0d9604ef4e6fc73424703b621d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAQT9400066","spotify:user:","1970-01-01T00:00:00Z","dark pop,electronica,laboratorio,trip hop","0.51","0.434","1","-10.004","1","0.0361","0.177","0.516","0.0603","0.207","119.695","4","","Polydor Associated Labels","C © 1994 Go! Discs Ltd., P An Island Records Release; ℗ 1994 Go! Discs Ltd."
"spotify:track:7GpgT7sHaTg9nHUM8g888k","Light Up the Sky","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:6DAq2tDWMqPP7MTdb3aIDi","No Tourists","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2018-11-02","https://i.scdn.co/image/ab67616d0000b2737c13addc6b19119c18fff960","1","2","199715","https://p.scdn.co/mp3-preview/174d0c877c8062a5273960effdb1200e82ad3d0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GB5KW1802031","spotify:user:","1970-01-01T00:00:00Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.198","0.951","1","-5.786","1","0.122","0.00168","0.783","0.312","0.326","159.872","5","","BMG Rights Management (UK) Ltd","C © 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited, P ℗ 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited"
"spotify:track:19w9G6lavtFD3ww38pZz4U","Milk (Massive Attack Trance Mix) - 2015 - Remaster","spotify:artist:6S0GHTqz5sxK5f9HtLXn9q, spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Garbage, Massive Attack","spotify:album:1zMVQsor2FNTEMdEhsQ48S","Garbage (20th Anniversary Super Deluxe Edition)","spotify:artist:6S0GHTqz5sxK5f9HtLXn9q","Garbage","1995-08-15","https://i.scdn.co/image/ab67616d0000b2732434a49ee6ab7a094f316f5f","2","24","409029","https://p.scdn.co/mp3-preview/dfcc3deee6ae09405ad59e5d8c3cdcf4b8b977a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","GBPVV1501108","spotify:user:","1970-01-01T00:00:00Z","alternative dance,alternative rock,dance pop,dance rock,electronic rock,lilith,permanent wave,pop rock,rock,big beat,downtempo,electronica,trip hop","0.719","0.516","2","-13.814","1","0.0585","0.00254","0.771","0.0952","0.399","95.017","4","","Infectious Music","C © 2015 Garbage Unlimited, LLC d/b/a STUNVOLUME under exclusive license to Infectious Music, a division of BMG Rights Management (UK) Limited, P ℗ 2015 Garbage Unlimited, LLC d/b/a STUNVOLUME under exclusive license to Infectious Music, a division of BMG Rights Management (UK) Limited"
"spotify:track:6lsumzVFKP9SnfKcuGwqVp","Rome Wasn't Built in a Day","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","spotify:album:1QneuYN3b0JteZNmLse2uA","Fragments of Freedom","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","2000-07-10","https://i.scdn.co/image/ab67616d0000b273b7b9e596d4836113a4b2d8ed","1","2","214719","https://p.scdn.co/mp3-preview/92fc7963172ad4e767eb7cc723e60a89d04327d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAHS0004193","spotify:user:","1970-01-01T00:00:00Z","downtempo,electronica,nu jazz,trip hop","0.61","0.807","5","-4.997","1","0.0305","0.0769","0.00000264","0.376","0.689","112.031","4","","EastWest U.K.","C © 2000 China Records Ltd, P ℗ 2000 China Records Ltd"
"spotify:track:2BndJYJQ17UcEeUFJP5JmY","Paradise Circus","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:1F8y2bg9V9nRoy8zuxo3Jt","Heligoland","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","2010-02-08","https://i.scdn.co/image/ab67616d0000b273852aaa233e122f1dbfefcf00","1","7","297774","https://p.scdn.co/mp3-preview/0f4452634f1938ff2d783248a99647ace7641854?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAAA0900963","spotify:user:","1970-01-01T00:00:00Z","big beat,downtempo,electronica,trip hop","0.81","0.591","8","-13.385","1","0.0638","0.414","0.799","0.072","0.297","136.028","4","","Virgin Records","C © 2010 Virgin Records Limited, P ℗ 2010 Virgin Records Limited"
"spotify:track:5ARrtxJLVCeTv5TWo1oKgC","In The Waiting Line","spotify:artist:14H7ag1wpQOsPPQJOD6Dqr, spotify:artist:5338nAeek8WVCOPNnT7Qv2","Zero 7, Sophie Barker","spotify:album:1VRBB9iu84o3g16CczH9iH","Simple Things","spotify:artist:14H7ag1wpQOsPPQJOD6Dqr","Zero 7","2001","https://i.scdn.co/image/ab67616d0000b2730f387fd18dfdc5f0c18b80d3","1","8","271520","https://p.scdn.co/mp3-preview/d4ca13eab8414ee7377940ac281f47bce1e8579a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBCHV0150168","spotify:user:","1970-01-01T00:00:00Z","downtempo,electronica,nu jazz,trip hop,downtempo,etherpop","0.561","0.33","5","-13.51","1","0.0268","0.76","0.134","0.106","0.378","79.01","4","","New State Music","C 2017 New State Entertainment Ltd, P 2001 New State Music"
"spotify:track:2OnqLGs0xZvr8ZNzWJELGo","Extreme Ways","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:4nNRmcno83xJnzFWl8uYyJ","18","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","2002-05-13","https://i.scdn.co/image/ab67616d0000b27384ddf84bc3c45781554b7f65","1","9","237640","https://p.scdn.co/mp3-preview/64105bbc521853773c7ca577cc65dd483125f7d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAJH0200051","spotify:user:","1970-01-01T00:00:00Z","downtempo,electronica","0.504","0.777","9","-7.916","0","0.0583","0.00106","0.00109","0.12","0.549","100.006","4","","Mute, a BMG Company","C © 2002 Mute Records Ltd., a BMG Company, P ℗ 2002 Mute Records Ltd., a BMG Company"
"spotify:track:0w6kuQOr4jP1w9Kon0Yv4j","Mustt Mustt - Massive Attack Remix","spotify:artist:5HcunTidTUrOaf8V0iJcvl, spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Nusrat Fateh Ali Khan, Massive Attack","spotify:album:57ObW7qW6CN1CWLXV5DOGb","Mustt Mustt (Real World Gold)","spotify:artist:5HcunTidTUrOaf8V0iJcvl","Nusrat Fateh Ali Khan","1990","https://i.scdn.co/image/ab67616d0000b2737096466879391c0cc0d83eda","1","11","267400","https://p.scdn.co/mp3-preview/be2607c4d694f158641ac0351df721e0cf51087b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBCPA9000067","spotify:user:","1970-01-01T00:00:00Z","indian fusion,pakistani folk,qawwali,sufi,world,big beat,downtempo,electronica,trip hop","0.662","0.186","2","-22.3","1","0.122","0.0192","0.815","0.0775","0.392","80.211","4","","Real World Records","C 1990 Real World Records Ltd, P 1990 Real World Records Ltd"
