"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2gcgwomqMF4Z92EZAPv3Ic","Only You","spotify:artist:6QYdXToMo4XHnG1AnEVZYJ, spotify:artist:51ferxocEKt0vjxzUsqyFX","K Motionz, Emily Makis","spotify:album:4IdRKmgd3lPeH5NuwDpi6i","Only You","spotify:artist:6QYdXToMo4XHnG1AnEVZYJ, spotify:artist:51ferxocEKt0vjxzUsqyFX","K Motionz, Emily Makis","2022-12-01","https://i.scdn.co/image/ab67616d0000b2733c71753980b91170f77c1069","1","1","209482","https://p.scdn.co/mp3-preview/eff9612bcb2170a29f0d84d4b1db8f74bea8a3b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GB2LD2210377","spotify:user:","2022-12-02T14:55:42Z","bass house,drum and bass","0.436","0.943","8","-2.174","0","0.0987","0.0239","0","0.175","0.15","86.993","4","","UKF","C 2022 UKF, P 2022 UKF"
"spotify:track:0a2cA9H6KuOsoHLCnjl6YL","Ready To Fly - Sub Focus & Dimension","spotify:artist:0QaSiI5TLA4N7mcsdxShDO, spotify:artist:1QMgre3BHX161ZHtWMUu6S","Sub Focus, Dimension","spotify:album:0Gt9NV2s7pSvP7g2F1nXGc","Ready To Fly (Sub Focus & Dimension)","spotify:artist:0QaSiI5TLA4N7mcsdxShDO, spotify:artist:1QMgre3BHX161ZHtWMUu6S","Sub Focus, Dimension","2022-10-07","https://i.scdn.co/image/ab67616d0000b273b496a5def7e67052028cde20","1","1","204500","https://p.scdn.co/mp3-preview/1613d8fed25c29bdcfa2681f74a2a29b2de9e43c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBUM72206309","spotify:user:","2022-12-02T14:55:42Z","dancefloor dnb,drum and bass,uk dance,uk dnb,dancefloor dnb,drum and bass,uk dnb","0.485","0.969","8","-0.517","0","0.0561","0.0485","0.664","0.192","0.448","173.941","4","","EMI","C © 2022 Sub Focus, under exclusive licence to Universal Music Operations Limited, P An EMI release; ℗ 2022 Sub Focus, under exclusive licence to Universal Music Operations Limited"
"spotify:track:6D1v5PAr6RKuJ8VuaS5aIO","FLUTE","spotify:artist:54cUSKoWHHsLuuX2JuCAKz","MONSS","spotify:album:5wd6GqCH0LfjgoklXABWxF","FLUTE","spotify:artist:54cUSKoWHHsLuuX2JuCAKz","MONSS","2022-09-23","https://i.scdn.co/image/ab67616d0000b2733c19a104a9dc1553d89a5b09","1","1","197489","https://p.scdn.co/mp3-preview/e08e9bb2964c6c93da2cec8bd3dd15ad7f947cc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","CAN132200147","spotify:user:","2022-12-02T14:55:42Z","belgian dnb","0.75","0.863","7","-3.208","1","0.0451","0.0402","0.593","0.162","0.192","87.513","4","","NUFORM","C 2022 NUFORM, P 2022 NUFORM"
"spotify:track:5RobAV5ROH5KARimi7n3cO","messy in heaven","spotify:artist:4UWWa5dKgTLAx8mv6Ju6X1, spotify:artist:3yDDYheQFqfhKZXdjFQuuP","venbee, goddard.","spotify:album:0a9uNlopPXGg37OC20qDk6","messy in heaven","spotify:artist:4UWWa5dKgTLAx8mv6Ju6X1, spotify:artist:3yDDYheQFqfhKZXdjFQuuP","venbee, goddard.","2022-09-23","https://i.scdn.co/image/ab67616d0000b27302402656bca0b5b39489f39a","1","1","170437","https://p.scdn.co/mp3-preview/39f0684b09b7b6e48c93f1fc9f89b2fdec8cef22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBARL2201891","spotify:user:","2022-12-02T14:55:42Z","uk dnb","0.62","0.837","8","-4.356","0","0.13","0.128","0.000242","0.242","0.433","172.081","4","","Columbia","P (P) 2022 Sony Music Entertainment UK Limited"
"spotify:track:3uyEfOe9WtKJztamx4FaUL","Clart","spotify:artist:7GDrXlpRrdG29o4n0pNR5D, spotify:artist:22I9QWygJ2IfxR855VsA3t","Bru-C, Hedex","spotify:album:4rF8XTOzNlvz7rovZE9jX4","Clart","spotify:artist:7GDrXlpRrdG29o4n0pNR5D, spotify:artist:22I9QWygJ2IfxR855VsA3t","Bru-C, Hedex","2022-12-08","https://i.scdn.co/image/ab67616d0000b273732b6ac476bdde2757f2e13f","1","1","126258","https://p.scdn.co/mp3-preview/03b4a247e760f0375a94214e909e4392be83e041?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","GBUM72207786","spotify:user:","2022-12-12T19:21:58Z","nottingham hip hop,bass house,belgian dnb,jump up","0.602","0.932","11","-2.205","1","0.343","0.00953","0.00134","0.337","0.572","174.895","4","","0207 Def Jam","C © 2022 Universal Music Operations Limited, P An 0207 Def Jam release; ℗ 2022 Universal Music Operations Limited"
"spotify:track:7B0gxo0jQCy5Lk93RIODAC","Baianá","spotify:artist:7BMR0fwtEvzGtK4rNGdoiQ","Nia Archives","spotify:album:4fnmyznELge41MnyNpUp78","Baianá","spotify:artist:7BMR0fwtEvzGtK4rNGdoiQ","Nia Archives","2022-09-30","https://i.scdn.co/image/ab67616d0000b273ed8761730439da61f8a67ae3","1","1","152558","https://p.scdn.co/mp3-preview/324584b5655d95a9c5c0f2153a9532007e21065d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBUM72205349","spotify:user:","2022-12-02T14:55:42Z","uk alternative hip hop","0.531","0.89","2","-6.308","1","0.144","0.00198","0.497","0.0913","0.411","169.963","4","","HIJINXX/Island","C © 2022 Nia Archives, under exclusive licence to Universal Music Operations Limited, P An Island / HIJINXX Release; ℗ 2022 Nia Archives, under exclusive licence to Universal Music Operations Limited"
"spotify:track:293nhbAyhi2OfLmk1ECSxE","Time","spotify:artist:4jrJBSg0c2qx8SMGa7ququ","SOLAH","spotify:album:3l9BJmxZoTTzjRVJ1iqi8d","King","spotify:artist:4jrJBSg0c2qx8SMGa7ququ","SOLAH","2022-10-14","https://i.scdn.co/image/ab67616d0000b2730cbbb66b9c624988f465a83f","1","13","273103","https://p.scdn.co/mp3-preview/fd85ae8df4c864acc17b31719b396f1ac1c09800?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBCJY2200296","spotify:user:","2022-12-02T14:55:42Z","","0.477","0.679","4","-6.226","0","0.045","0.00852","0.0127","0.107","0.0599","173.985","4","","Hospital Records","C 2022 Hospital Records Limited, P 2022 Hospital Records Limited"
"spotify:track:4Ow9QWuxBbjB29FnLka9dp","Before You - goddard. Remix","spotify:artist:3wdwWQXJbqpJJbMdp7KfEJ, spotify:artist:3yDDYheQFqfhKZXdjFQuuP, spotify:artist:2XRjIwgD0UiJXtx7Xzfy7w, spotify:artist:5scIsOrV9flbeOPUtdv24H","BCee, goddard., Charlotte Haining, Emba","spotify:album:3el1Y1U0U1kOCHCaA4lWGN","Before You (goddard. Remix)","spotify:artist:3wdwWQXJbqpJJbMdp7KfEJ, spotify:artist:2XRjIwgD0UiJXtx7Xzfy7w, spotify:artist:3yDDYheQFqfhKZXdjFQuuP","BCee, Charlotte Haining, goddard.","2022-09-30","https://i.scdn.co/image/ab67616d0000b273b8d77dd1a4bf15b8f0792795","1","1","187586","https://p.scdn.co/mp3-preview/388525da7737655f9d4b627fe8a0ece85ca79c73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GB2LD2210321","spotify:user:","2022-12-02T14:55:42Z","drum and bass,liquid funk,uk dnb,uk dnb,liquid funk,uk dnb","0.425","0.757","8","-2.85","0","0.0623","0.0216","0.00000129","0.207","0.153","87","4","","Drum&BassArena","C 2022 Drum&BassArena, P 2022 Drum&BassArena"
"spotify:track:4j8x59izlukiKfPgW4rGHq","Every Time That I Land - Skibadee Version","spotify:artist:4thIP9ruwthrnBaBU9Wz8U, spotify:artist:5gXXODq8Y20txFk5hJxBUa","Gardna, Skibadee","spotify:album:6vEGi0naSYvX8MWyPJOSJp","Every Time That I Land (Skibadee Version)","spotify:artist:4thIP9ruwthrnBaBU9Wz8U, spotify:artist:5gXXODq8Y20txFk5hJxBUa","Gardna, Skibadee","2022-12-09","https://i.scdn.co/image/ab67616d0000b27309f7821a974ab76f95d21826","1","1","199502","https://p.scdn.co/mp3-preview/aa167c576a6fe06552254aba67d957713727cc18?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","DGA062270717","spotify:user:","2022-12-12T19:21:58Z","ragga jungle","0.708","0.679","8","-6.016","1","0.107","0.00748","0.0000598","0.106","0.584","159.976","4","","Boom Sound Recordings","C 2022 L Gardiner, A Bondzie, B Ellis, J Baker, P 2022 L Gardiner, A Bondzie, B Ellis, J Baker"
"spotify:track:04ttAGx5UtdhWyhkiOa5Ls","Loca","spotify:artist:1L5GuSYb4gktP74dqFkJpi","Vibe Chemistry","spotify:album:0WVC6CKv5i5Hh3OWqXlat8","Loca","spotify:artist:1L5GuSYb4gktP74dqFkJpi","Vibe Chemistry","2022-12-08","https://i.scdn.co/image/ab67616d0000b273772f21c6a64685325ec4df44","1","1","134305","https://p.scdn.co/mp3-preview/d2ec3ea3564161c58450d682ab58ba6162a5b237?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","US39N2203664","spotify:user:","2022-12-12T19:21:58Z","","0.744","0.762","5","-5.786","1","0.0975","0.0798","0.00733","0.105","0.621","86.988","4","","DnB Allstars Records","C 2022 DnB Allstars Records, P 2022 DnB Allstars Records"
