"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1t0Jmqg1pKVBbxjQFZebeR","Marea (we’ve lost dancing)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:4TvhRzxIL1le2PWCeUqxQw","Fred again.., The Blessed Madonna","spotify:album:3AAwKutHRWyftJ2GrFdPX9","Marea (we’ve lost dancing)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:4TvhRzxIL1le2PWCeUqxQw","Fred again.., The Blessed Madonna","2021-02-22","https://i.scdn.co/image/ab67616d0000b273f9062eccd2f7244b38158af0","1","1","285375","https://p.scdn.co/mp3-preview/c39ab780789382b38e1ee70268a44071d88420df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAHS2100041","spotify:user:","2022-11-25T16:48:26Z","edm,house","0.761","0.781","5","-6.778","0","0.141","0.0681","0.108","0.0607","0.473","123.023","4","","Atlantic Records UK","C © 2021 again..Records, P ℗ 2021 again..Records"
"spotify:track:664jBL8NgKFYdiMK9bnCcz","Atlas","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:7g8PeQGSlZUlWCr3heIJJb","Atlas","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2020-03-24","https://i.scdn.co/image/ab67616d0000b273671b30e0bcda7e36c841fcb4","1","1","352945","https://p.scdn.co/mp3-preview/414c471b645669610f5384a3b293012f2a007542?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBCFB2000044","spotify:user:","2022-11-25T16:48:26Z","ambient house,electronica","0.539","0.844","3","-4.848","0","0.032","0.0926","0.943","0.212","0.127","129.006","4","","Ninja Tune","C 2020 Ninja Tune, P 2020 Ninja Tune"
"spotify:track:7rRYiBxeudiHMNmgptnne9","Tides","spotify:artist:0cmWgDlu9CwTgxPhf403hb, spotify:artist:4UodukR17NIQfNu5uaqm9B","Bonobo, Jamila Woods","spotify:album:2ygrwR30mOdEfqh2eJcGNY","Tides","spotify:artist:0cmWgDlu9CwTgxPhf403hb, spotify:artist:4UodukR17NIQfNu5uaqm9B","Bonobo, Jamila Woods","2021-10-20","https://i.scdn.co/image/ab67616d0000b2735f45a9cb2b0a297f76ae49d5","1","1","226146","https://p.scdn.co/mp3-preview/f9237ae5904bdffb4ce88ae3cbc539749f5ba8f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBCFB2100679","spotify:user:","2022-11-25T16:48:26Z","downtempo,electronica,jazztronica,ninja,nu jazz,trip hop,afrofuturism,alternative r&b,escape room,indie soul","0.6","0.314","4","-9.109","0","0.0351","0.791","0.419","0.0681","0.201","126.948","4","","Ninja Tune","C 2021 Ninja Tune, P 2021 Ninja Tune"
"spotify:track:5dv0oirEwweEZtMkjpabnz","Someone Else","spotify:artist:2ABBMkcUeM9hdpimo86mo6","Tourist","spotify:album:678mCpmrntPuc6iHc7wvLc","Everyday","spotify:artist:2ABBMkcUeM9hdpimo86mo6","Tourist","2019-02-15","https://i.scdn.co/image/ab67616d0000b273c81eab52fc0f0437318c49c4","1","3","247266","https://p.scdn.co/mp3-preview/ba8648bef0b6f9ed63662cd34a6c538432d41f79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QMUY41800131","spotify:user:","2022-11-25T16:48:26Z","electronica,indie soul,tropical house,vapor soul","0.338","0.441","1","-12.593","1","0.0369","0.348","0.954","0.233","0.0464","132.041","3","","Monday Records","C (C) 2019 Monday Records, P (P) 2019 Monday Records"
"spotify:track:5kh2JLQ3XdBTU6Jd5qWPwx","We Thought You Were Sleeping","spotify:artist:2ABBMkcUeM9hdpimo86mo6","Tourist","spotify:album:5VSjUsRU41obhoHo0ghMO0","Inside Out","spotify:artist:2ABBMkcUeM9hdpimo86mo6","Tourist","2022-05-20","https://i.scdn.co/image/ab67616d0000b273b612dd83fcd8ca724ba54382","1","7","227913","https://p.scdn.co/mp3-preview/fd061123d1556278dd72f8533bfbe1fbffedff85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM4TW2220710","spotify:user:","2022-11-25T16:48:26Z","electronica,indie soul,tropical house,vapor soul","0.628","0.75","0","-8.523","1","0.0338","0.627","0.922","0.225","0.277","122.963","4","","Monday Records","C (C) 2022 Monday Records, P (P) 2022 Monday Records"
"spotify:track:4Uk9Xnh8RzS9O8SlY6XirP","Afterglo","spotify:artist:6EbSbVKlRuKxfIfr8H7mCo","ELLES","spotify:album:2afxG4ppn5YXesFLZbWFxa","A Celebration Of The Euphoria Of Life","spotify:artist:6EbSbVKlRuKxfIfr8H7mCo","ELLES","2022-05-27","https://i.scdn.co/image/ab67616d0000b273331750028f0ff8e225e080b6","1","11","231543","https://p.scdn.co/mp3-preview/af398e9b86b9abad0569edc6477599108f4af764?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","UKN6K2200638","spotify:user:","2022-11-25T16:48:26Z","","0.427","0.646","2","-12.844","0","0.0719","0.489","0.877","0.0858","0.566","114.737","4","","Naive","C 2022 Eleanor Pinfold, P 2022 Eleanor Pinfold"
"spotify:track:20cNDRUVuayveIRgcYdwYL","Escape","spotify:artist:0hySaVBazHTHIRvnsxGvHx","Matt Ryder","spotify:album:6oc7OKNAXGt9qOpBoekO3t","Escape EP","spotify:artist:0hySaVBazHTHIRvnsxGvHx","Matt Ryder","2021-12-03","https://i.scdn.co/image/ab67616d0000b273c0fdbfa00626b8387822efc2","1","5","289330","https://p.scdn.co/mp3-preview/92e6e1b5eb8e9ac4b9659b529947286faf3b68e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QMDA72146893","spotify:user:","2022-11-25T16:48:26Z","","0.597","0.615","3","-9.769","0","0.0351","0.248","0.425","0.109","0.218","121.967","4","","Melo / EC30","C (C) 2021 Melo / EC30, P (P) 2021 Melo / EC30"
"spotify:track:7zuMvkTqp8RQpJqSHCFofp","Opening Credits","spotify:artist:5x0R3zoC09GMiRJomoexLV","nimino","spotify:album:70ObWOtpXMsBBbYLNmRIgm","Opening Credits","spotify:artist:5x0R3zoC09GMiRJomoexLV","nimino","2022-09-07","https://i.scdn.co/image/ab67616d0000b273e789a81511df65cd59a3adc6","1","1","243008","https://p.scdn.co/mp3-preview/8c2c81bc4e53b7a8e77fbb0c4266d49c774a85b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBKPL2209810","spotify:user:","2022-11-25T16:48:26Z","vapor soul,vapor twitch","0.858","0.357","3","-10.205","1","0.0905","0.133","0.691","0.0985","0.283","120.051","4","","TH3RD BRAIN","C (C) 2022 TH3RD BRAIN, P (P) 2022 TH3RD BRAIN"
"spotify:track:7tAdygVC6mUtOv6eIjm71O","So Good to Me - Radio Edit","spotify:artist:5UVzX8pQe6bb5ueNdfViih","Chris Malinchak","spotify:album:2TjAf27haLtDU9SNF24VBV","So Good to Me","spotify:artist:5UVzX8pQe6bb5ueNdfViih","Chris Malinchak","2013-05-17","https://i.scdn.co/image/ab67616d0000b273e9677f3116ca95ea706b0818","1","1","158677","https://p.scdn.co/mp3-preview/4e8ffc0f1b3ca184a7832dbc1538d19396f2e570?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBCEN1300221","spotify:user:","2022-11-25T16:48:26Z","nu disco,tropical house","0.716","0.465","11","-12.776","1","0.0377","0.166","0.0171","0.147","0.416","120.988","4","","Kontor Records","C 2013 Kontor Records GmbH / Ministry of Sound Recordings Ltd under exclusive license from French Express Records., P 2013 Kontor Records GmbH / Ministry of Sound Recordings Ltd under exclusive license from French Express Records."
"spotify:track:3wgCA7ikyME6ac6AMN5jCf","Try","spotify:artist:4pUwtnbS6FdBniLp410AOu","Godford","spotify:album:7tBQBS0T6plojk62SkKyvm","I YOU SHE","spotify:artist:4pUwtnbS6FdBniLp410AOu","Godford","2021-12-03","https://i.scdn.co/image/ab67616d0000b273f4df89a82445ee6632e61c54","1","8","212869","https://p.scdn.co/mp3-preview/f95defb3a927aca1df7b41ce650409b4c99931cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QMBZ92168113","spotify:user:","2022-11-25T16:48:26Z","","0.734","0.673","8","-12.614","1","0.0431","0.644","0.806","0.13","0.162","114.92","4","","Pack Records","C (C) 2021 Unity Records under exclusive license to Pack Records, Inc., P (P) 2021 Unity Records under exclusive license to Pack Records, Inc."
