"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7Mm5GLCX3Euywif7hcYkB4","We Are Number One (From ""Lazy Town"")","spotify:artist:4TkCMPznXOjlsYLfzIU1rw","Geek Music","spotify:album:0ocvxVgNGLvxApWHnNSKna","We Are Number One (From ""Lazy Town"")","spotify:artist:4TkCMPznXOjlsYLfzIU1rw","Geek Music","2020-10-13","https://i.scdn.co/image/ab67616d0000b27313e96f741a6a56caa900f449","1","1","140185","https://p.scdn.co/mp3-preview/0ee78d4f33427c192fc58dac3f1b00a665bee569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USLZJ2046884","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:09:43Z","","0.823","0.741","5","-6.78","0","0.119","0.18","0.0000563","0.16","0.924","162.034","4","","Geek Music","C 2020 Geek Music, P 2020 Geek Music"
"spotify:track:3cfOd4CMv2snFaKAnMdnvK","All Star","spotify:artist:2iEvnFsWxR0Syqu2JNopAd","Smash Mouth","spotify:album:2kyTLcEZe6nc1s6ve0zW9P","Astro Lounge","spotify:artist:2iEvnFsWxR0Syqu2JNopAd","Smash Mouth","1999-06-08","https://i.scdn.co/image/ab67616d0000b2734f3bbf9631faeb8de9912a23","1","5","200373","https://p.scdn.co/mp3-preview/efee01ec7dfdb79972a30561ddcabbf0b5a936ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USIR19902220","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:10:21Z","alternative rock,pop rock","0.731","0.867","11","-5.881","1","0.032","0.0395","0","0.0861","0.776","104.019","4","","Interscope","C © 1999 Interscope Records, P ℗ 1999 Interscope Geffen (A&M) Records A Division of UMG Recordings Inc."
"spotify:track:665AK0ovB11McZRwfa852G","Astronomia","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:2jpQ0ywffgVHhZFQNWaWYW","Vicetone, Tony Igy","spotify:album:72jP2oTZj5eZnyqGqhdBLU","Astronomia","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:2jpQ0ywffgVHhZFQNWaWYW","Vicetone, Tony Igy","2016-09-16","https://i.scdn.co/image/ab67616d0000b273b45312f9f00736c3b3f72038","1","1","198095","https://p.scdn.co/mp3-preview/711c45481737ce1504d0308e5e689dd425ba2281?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DK4YA1609401","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:10:37Z","edm,electro house,pop dance,pop edm,progressive electro house,tropical house,russian dance","0.653","0.945","5","-2.634","1","0.096","0.00561","0.915","0.439","0.325","126.093","4","","Columbia International","P (P) 2020 Tony Igy/Kamila Lyuban, under exclusive license to B1 Recordings GmbH, a Sony Music Entertainment company."
"spotify:track:05yBNLdvoytvStNTsgQTdv","Jax the Epic Sax Guy","spotify:artist:5HtMPLlo9BheHNl2Vl4pPL","Little Jacob","spotify:album:6Ua3C22dtOQWBcKXyIjKBH","Jax the Epic Sax Guy","spotify:artist:5HtMPLlo9BheHNl2Vl4pPL","Little Jacob","2020-10-19","https://i.scdn.co/image/ab67616d0000b2739ad500b7c58fe3f3c9c91c51","1","1","64391","https://p.scdn.co/mp3-preview/07f7b771cea26e85bc0dabd1fc840cebe4faf5a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QZMEQ2007343","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:10:56Z","","0.587","0.5","5","-17.179","1","0.0349","0.0000579","0.00000104","0.27","0.933","119.884","4","","1819665 Records DK","C 2020 1819665 Records DK, P 2020 1819665 Records DK"
"spotify:track:6DlPa2rrVK3BygXJ48WYo3","RUNNING IN THE 90'S","spotify:artist:4aFf48VQYRT631OJGgVwUv","Max Coveri","spotify:album:1BbK1fKw0xg1HK3G0zVNTW","SUPER EUROBEAT presents INITIAL D 〜D SELECTION〜","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998-07-29","https://i.scdn.co/image/ab67616d0000b273c27e997313531dbc7b01b247","1","9","283833","https://p.scdn.co/mp3-preview/0084b4dc7bfedfb4b6c0aba9a24db048d3076b79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","ITB119700121","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:11:42Z","eurobeat,super eurobeat","0.541","0.931","1","-5.484","1","0.0416","0.00482","0.0127","0.0919","0.86","158.517","4","","avex trax","P RODGERS & CONTINI RECORDS"
"spotify:track:1sUdq3kWa9dJXHu3eYOUll","Spooky, Scary Skeletons - Undead Tombstone Remix","spotify:artist:5fmvGUlMVgmnCn45f1he7d","Andrew Gold","spotify:album:2kAB6U6XJQ9lXK7TPsmaR4","Halloween Howls: Fun & Scary Music (Deluxe Edition)","spotify:artist:5fmvGUlMVgmnCn45f1he7d","Andrew Gold","2019-10-18","https://i.scdn.co/image/ab67616d0000b273a3cf7d524baed9e303302918","1","13","125624","https://p.scdn.co/mp3-preview/e0d51cfe100d5c91a8c0b902a8507a992aed27c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USC4R1902694","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:12:37Z","soft rock,underground power pop","0.772","0.788","9","-5.414","0","0.0619","0.0027","0.000583","0.353","0.574","127.91","4","","Craft Recordings","C © 2019 Craft Recordings., Distributed by Concord., P ℗ 2019 Craft Recordings., Distributed by Concord."
"spotify:track:0z3XcxcrqvWe36Dtgiqrh0","Revenge","spotify:artist:6P9aim24wqJZ3SdoCWYwGT, spotify:artist:0B7Y5KDNScTBzeN7DY74YG","Captainsparklez, Tryhardninja","spotify:album:2rpIKa3fNS6ijq0bu8v32S","Revenge","spotify:artist:6P9aim24wqJZ3SdoCWYwGT, spotify:artist:0B7Y5KDNScTBzeN7DY74YG","Captainsparklez, Tryhardninja","2022-03-20","https://i.scdn.co/image/ab67616d0000b27323fc10dbce448da4c35df20e","1","1","220208","https://p.scdn.co/mp3-preview/247ed258a96a4096808f3d0b93a36cb50bc14b8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","QZES72218029","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:13:09Z","antiviral pop,antiviral pop,fnaf,minecraft,otacore","0.748","0.83","7","-3.2","0","0.0527","0.227","0","0.0564","0.761","119.939","4","","CaptainSparklez","C 2022 CaptainSparklez, P 2022 CaptainSparklez"
"spotify:track:6tMdpUXfT70TD6Eh3XfB1p","My Ordinary Life","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","spotify:album:4AmFZET7RGujQAhG80kjwu","My Ordinary Life","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","2017-11-23","https://i.scdn.co/image/ab67616d0000b27339be979ae33894ef46f263f9","1","1","230894","https://p.scdn.co/mp3-preview/53c6e96fe7077e819bae4fa6aa56f0666bd32de5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","QZANL1777908","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:14:11Z","fnaf","0.648","0.827","9","-4.78","0","0.042","0.00533","0.338","0.217","0.598","176.005","4","","628798 Records DK2","C 2017 The Living Tombstone, P 2017 The Living Tombstone"
"spotify:track:2ItNKt19iqefEe590Z9GeE","Five Nights at Freddy's","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","spotify:album:1dq5N7M7pxFso51oa79BTI","Five Nights at Freddy's","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","2014-09-19","https://i.scdn.co/image/ab67616d0000b2733f753699bc7ef8a7945d8bb0","1","1","165831","https://p.scdn.co/mp3-preview/bfb395177e85c63dbb19d4a6d2efec3388e37ede?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USDHM1521091","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:14:15Z","fnaf","0.491","0.771","9","-5.037","1","0.041","0.00149","0.000262","0.232","0.242","103.005","4","","Ghost Pixel Records","C © 2014 Yoav Landau, P ℗ 2014 Yoav Landau"
"spotify:track:1J03Vp93ybKIxfzYI4YJtL","MEGALOVANIA","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","spotify:album:2M2Ae2SvZe3fmzUtlVOV5Z","UNDERTALE Soundtrack","spotify:artist:57DlMWmbVIf2ssJ8QBpBau","Toby Fox","2015-09-15","https://i.scdn.co/image/ab67616d0000b27324edb22d068eb245a924b7f2","1","100","156000","https://p.scdn.co/mp3-preview/42e4486d444a743bfdec7b7be3147c651f2543a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USE831569698","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-20T19:15:19Z","dream smp,indie game soundtrack,undertale","0.719","0.632","7","-9.849","1","0.0602","0.000377","0.855","0.0362","0.934","119.987","4","","Materia Collective","C 2017 Toby Fox under license to Materia Collective, P 2017 Toby Fox under license to Materia Collective"
