"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1pea4MX31SSMy0PeQsme33","Bocat - Michael Bibi Remix","spotify:artist:3bqBkAzdPwEDe1JUvb7ZeC, spotify:artist:5Xr5eX0ZFi76JHaRDGh8pq, spotify:artist:4cvdQRyHmkSQSakUrW2oxv","Guy Gerber, Albertina, Michael Bibi","spotify:album:7eFCcNOJPqwfcHfdfygATF","Bocat (Michael Bibi Remix)","spotify:artist:3bqBkAzdPwEDe1JUvb7ZeC, spotify:artist:5Xr5eX0ZFi76JHaRDGh8pq, spotify:artist:4cvdQRyHmkSQSakUrW2oxv","Guy Gerber, Albertina, Michael Bibi","2022-09-23","https://i.scdn.co/image/ab67616d0000b2734672a6fbc7f77c81c4d7ed86","1","1","367086","https://p.scdn.co/mp3-preview/ee051d6ddccfa74617ad6684ca2be24f0f90a14d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","CH7532200005","spotify:user:","2022-10-12T18:33:51Z","israeli techno,microhouse,minimal techno,organic electronic,organic house,tech house,house","0.807","0.766","0","-6.425","1","0.0783","0.0145","0.749","0.0812","0.599","126.997","4","","Rumors","C 2022 Rumors, P 2022 Rumors"
"spotify:track:4J7cSix3jYkSc6n76TgxEJ","We Bring It","spotify:artist:4admDxmnri5Zco0xYrJ0ji, spotify:artist:6PDUdAoMV9dMy0wOt09Rsf","Jamie Jones, Darius Syrossian","spotify:album:4rKPPgUL5T28e6YPPsTz5Y","We Bring It","spotify:artist:4admDxmnri5Zco0xYrJ0ji, spotify:artist:6PDUdAoMV9dMy0wOt09Rsf","Jamie Jones, Darius Syrossian","2022-09-16","https://i.scdn.co/image/ab67616d0000b273b11988d62d1c850175bb2b7b","1","1","368372","https://p.scdn.co/mp3-preview/cb4120b16a3e0ddb9943ad17c0a07a31edf2cf80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBK6Y2219601","spotify:user:","2022-09-16T04:00:00Z","deep disco house,deep house,house,minimal techno,tech house,uk tech house,deep disco house,deep groove house,deep house,disco house,funky tech house,house,minimal tech house,uk tech house","0.802","0.913","9","-8.508","1","0.0471","0.00104","0.667","0.0616","0.653","128.984","4","","Hot Creations","C 2022 Hot Creations, P 2022 Hot Creations"
"spotify:track:1BbKe9iPRe5ZNFKdhzv82N","Heart Of Jazz","spotify:artist:7GyRA9n7JVslQGcbo72Dil","Fleur Shore","spotify:album:70DEmkfKbQq971gDSdXo3r","Heart Of Jazz","spotify:artist:7GyRA9n7JVslQGcbo72Dil","Fleur Shore","2022-07-08","https://i.scdn.co/image/ab67616d0000b2731bd82b5ff47baec887fdc36c","1","1","360000","https://p.scdn.co/mp3-preview/e0bbadf1c2643a3e7db5106d2ad74028bc9fbae6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","GBJX32263503","spotify:user:","2022-07-08T17:12:43Z","","0.725","0.835","7","-9.141","0","0.0443","0.0255","0.866","0.0739","0.959","127.984","4","","Boogeyman","C 2022 Boogeyman, P 2022 Boogeyman"
"spotify:track:4yqFS96Lf0ktp4oauOuWAN","Okay Alright","spotify:artist:0gwCVstfKWPEMibFf3MnyG","Alan Nieves","spotify:album:653heyRt50TTV4QNhIYLEv","Okay Alright","spotify:artist:0gwCVstfKWPEMibFf3MnyG","Alan Nieves","2022-08-26","https://i.scdn.co/image/ab67616d0000b27350567d5e368ee9b15f56e5f0","1","1","368034","https://p.scdn.co/mp3-preview/7d6eb4067963e9a48a90d4ef933de6fc7a553307?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","UK74K1400684","spotify:user:","2022-08-26T04:02:00Z","","0.805","0.847","4","-9.775","0","0.06","0.0056","0.361","0.106","0.566","126.037","4","","Knee Deep In Sound","C 2022 Knee Deep In Sound, P 2022 Knee Deep In Sound"
"spotify:track:11fsAfyLE6m6j1Zay5hpvF","Small Things","spotify:artist:7h9yW5sJS4vddfJ8nBSpxP, spotify:artist:0CCV0w2pytcnTSGanKFJxB","Steve Darko, Nik Thrine","spotify:album:69kWU5hSeKRyZkhsh5snWS","Small Things","spotify:artist:7h9yW5sJS4vddfJ8nBSpxP, spotify:artist:0CCV0w2pytcnTSGanKFJxB","Steve Darko, Nik Thrine","2021-04-23","https://i.scdn.co/image/ab67616d0000b273372d013ef1eb834b631a8bcf","1","1","289752","https://p.scdn.co/mp3-preview/98f80523e1ecc5ca5ff03f7b2e57346663535899?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBKQU2140940","spotify:user:","2022-06-03T18:11:27Z","bass house,boston electronic,boston electronic","0.823","0.668","7","-6.172","1","0.0556","0.00015","0.303","0.092","0.331","125.998","4","","DIRTYBIRD","C 2021 DIRTYBIRD, P 2021 DIRTYBIRD"
"spotify:track:5hj2rvMtaOkhrkAaPvqvL6","World Is Empty","spotify:artist:2jbP92oFLWqPqogflK1wlW, spotify:artist:0gztzLIt9uRDJd4Jl9TSLY","Skream, Jansons","spotify:album:5cx3KsmqYxXUEm63MGODda","World Is Empty","spotify:artist:2jbP92oFLWqPqogflK1wlW, spotify:artist:0gztzLIt9uRDJd4Jl9TSLY","Skream, Jansons","2022-11-04","https://i.scdn.co/image/ab67616d0000b2736acfb9ffee305710afe6fc76","1","1","196030","https://p.scdn.co/mp3-preview/042eaa824b72ba30797d4ee22738d34761cd4b30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBJX32257015","spotify:user:","2022-11-11T05:00:00Z","classic dubstep,uk bass,uk tech house","0.772","0.814","11","-6.07","0","0.0825","0.101","0.0033","0.186","0.239","130.876","4","","CircoLoco Records","C Rockstar Records LLC. (p)2022, this compilation Take-Two Interactive, P Rockstar Records LLC. (p)2022, this compilation Take-Two Interactive."
"spotify:track:4Quui2la1NwpqLDXUgi5tm","The Attention Deficit Track - Edit","spotify:artist:2jbP92oFLWqPqogflK1wlW, spotify:artist:1VQgvnkH9rOB2YkNr1ovuB","Skream, Jackmaster","spotify:album:20PFDRbltmy3mHCn7vPl2Y","The Attention Deficit Track","spotify:artist:2jbP92oFLWqPqogflK1wlW, spotify:artist:1VQgvnkH9rOB2YkNr1ovuB","Skream, Jackmaster","2022-06-24","https://i.scdn.co/image/ab67616d0000b273d2846e14088dda8546b166f5","1","1","228420","https://p.scdn.co/mp3-preview/48b9eed57da34fe51e8f44ae47033dee7f111221?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBJX32257004","spotify:user:","2022-06-24T04:01:00Z","classic dubstep,uk bass,uk house","0.789","0.973","6","-7.872","1","0.0531","0.0000136","0.855","0.103","0.0897","130.014","4","","CircoLoco Records","C Rockstar Records LLC. (p)2022, this album Take-Two Interactive., P Rockstar Records LLC. (p)2022, this album Take-Two Interactive."
"spotify:track:3FWy6mQGJt44v0YmLU6ieG","Connect the Dots - Oliver Schories & Gorge Remix","spotify:artist:7gOIcm4Mhn5wiKDUt7vY36, spotify:artist:0iTjLBepeGaLgZS18kxgRq, spotify:artist:6Y3FCZA50anf3ukg9O7ZLq","Dilby, Oliver Schories, Gorge","spotify:album:2h2On3mD6WD2TTgeVjJxSj","Connect the Dots","spotify:artist:7gOIcm4Mhn5wiKDUt7vY36, spotify:artist:0iTjLBepeGaLgZS18kxgRq, spotify:artist:6Y3FCZA50anf3ukg9O7ZLq","Dilby, Oliver Schories, Gorge","2022-08-26","https://i.scdn.co/image/ab67616d0000b2737762229db5c6dd8dd9a13e53","1","1","403772","https://p.scdn.co/mp3-preview/aacee5cf80fe8b06a99de6beb5d18db2ce21066b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","DEY472272931","spotify:user:","2022-08-26T04:02:00Z","nz electronic,deep euro house,hamburg electronic,minimal techno,tech house,minimal tech house,organic house,tech house","0.813","0.837","11","-7.907","0","0.0526","0.000997","0.779","0.0755","0.691","123.998","4","","Pracht","C 2022 Pracht, P 2022 Pracht"
"spotify:track:1MeYeeJV7BUmp3Kf0wEmQe","Poison","spotify:artist:1tRBmMtER4fGrzrt8O9VpS","Hot Since 82","spotify:album:6WONhOrTC1hMcjVSPuAcr6","Poison","spotify:artist:1tRBmMtER4fGrzrt8O9VpS","Hot Since 82","2022-08-12","https://i.scdn.co/image/ab67616d0000b2736579d2cf5c7df2d7a5e80f1f","1","1","206378","https://p.scdn.co/mp3-preview/a3215a7d44ea28162bf91420e4ca53d61f33f30b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","UK74K1400679","spotify:user:","2022-08-12T04:02:00Z","deep disco house,house,uk house","0.606","0.876","0","-9.218","1","0.0303","0.0107","0.856","0.0846","0.493","127.007","4","","Knee Deep In Sound","C 2022 Knee Deep In Sound, P 2022 Knee Deep In Sound"
"spotify:track:6vOr19HgqGzzCMv040ePVq","Strung Up","spotify:artist:3apneou0OdagGBkXZxmpaj","Sorley","spotify:album:66FblVKMFIsHhvIB6mRt5p","Strung Up","spotify:artist:3apneou0OdagGBkXZxmpaj","Sorley","2022-04-29","https://i.scdn.co/image/ab67616d0000b2734d9b2dfd3ad5571f667826e4","1","1","200625","https://p.scdn.co/mp3-preview/6e6598458b73db75e6ba439e6a0249df6dfbf0cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QM24S2201597","spotify:user:","2022-06-03T18:11:27Z","uk tech house","0.87","0.71","1","-7.157","1","0.032","0.00295","0.913","0.094","0.26","128.018","4","","Catch & Release","P 2022 Catch & Release"
