"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3Ws8j16fKE1jj74XksiyV6","Sweet About Me","spotify:artist:5v2GEv1pQaCp6oeOQROdKE","Gabriella Cilmi","spotify:album:24mdmYfLkOYeM65OVV97Iz","Lessons To Be Learned","spotify:artist:5v2GEv1pQaCp6oeOQROdKE","Gabriella Cilmi","2008-01-01","https://i.scdn.co/image/ab67616d0000b27335163392302fdbce025b6342","1","2","202946","https://p.scdn.co/mp3-preview/f5b9f978eca9fe05629c5cfcde2d160e2be82b56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBUM70709626","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T20:18:29Z","australian pop,australian r&b","0.67","0.704","6","-5.333","1","0.0296","0.0734","0","0.147","0.542","132.062","4","","Universal-Island Records Ltd.","C © 2008 Universal Island Records Ltd. A Universal Music Company., P ℗ 2008 Universal Island Records Ltd. A Universal Music Company."
"spotify:track:76hfruVvmfQbw0eYn1nmeC","Cake By The Ocean","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","spotify:album:3Wv4X8OA65pGpFzBkuUgAh","DNCE","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","2016-11-18","https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9","1","3","219146","https://p.scdn.co/mp3-preview/f67040fecb7f04f7e339058a503e60ca37a740c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71514637","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T20:19:26Z","dance pop,edm,pop,post-teen pop","0.774","0.753","4","-5.446","0","0.0517","0.152","0","0.0371","0.896","119.002","4","","Joseph Jonas/Republic Records","C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:6xdLJrVj4vIXwhuG8TMopk","Crazy Little Thing Called Love - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:58alCatewkjNm9IM1Ucj67","The Game (2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1980-06-27","https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba","1","5","163373","https://p.scdn.co/mp3-preview/34cdfb0dd1fddd0b26752d6ea6c2d606b1a88c6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71029612","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T20:19:29Z","classic rock,glam rock,rock","0.599","0.761","0","-6.887","1","0.0421","0.713","0.00000474","0.349","0.712","77.015","4","","EMI","C © 2011 Raincloud Productions Ltd. under exclusive licence to Universal International Music BV, P ℗ 2011 Raincloud Productions Ltd. under exclusive licence to Universal International Music BV"
"spotify:track:3FN7IJMnUMWZXDw08ix3ot","Stop This Flame - Celeste x MK","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","spotify:album:1G6SH7CRZ5qtYVaGnUVhSK","Stop This Flame (Celeste x MK)","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","2021-06-25","https://i.scdn.co/image/ab67616d0000b273b61ad93c3ca363ef040bf226","1","1","203946","https://p.scdn.co/mp3-preview/f0a355b18c22fce0ae1849df4a579414e0472d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBUM72103464","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T20:19:49Z","british soul,dance pop,edm,house,pop dance,tropical house","0.692","0.846","8","-5.72","1","0.0559","0.0194","0.0000291","0.324","0.827","124.007","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P Atlas Artists / Polydor Records; ℗ 2021 Universal Music Operations Limited"
"spotify:track:3gdewACMIVMEWVbyb8O9sY","Rocket Man (I Think It's Going To Be A Long, Long Time)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:2ei2X6ghPnw7YRwQtAH075","Honky Chateau","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1972-05-19","https://i.scdn.co/image/ab67616d0000b2733009007708ab5134936a58b3","1","5","281613","https://p.scdn.co/mp3-preview/652a986bf8a76adf4d83254389d6aceea584175d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAMB7200006","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T23:22:13Z","glam rock,mellow gold,piano rock","0.601","0.532","10","-9.119","1","0.0286","0.432","0.00000625","0.0925","0.341","136.571","4","","EMI","C © 1995 Mercury Records Limited, P This Compilation ℗ 1972 This Record Company Ltd."
"spotify:track:7DD7eSuYSC5xk2ArU62esN","Help! - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0PT5m6hwPRrpBwIHVnvbFX","Help! (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1965-08-06","https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa","1","1","139560","https://p.scdn.co/mp3-preview/e39e9715ae4f810114f32680de7ec1fea744f58d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAYE0601465","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T23:19:31Z","beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock","0.534","0.725","6","-7.576","0","0.0332","0.188","0","0.0994","0.763","95.003","4","","EMI Catalogue","C © 2015 Apple Corps Ltd, P ℗ 2015 Calderstone Productions Limited (a division of Universal Music Group)"
"spotify:track:6BqWhxll86CGGE6WxgdRqG","Golden Skans","spotify:artist:2qlAMLpUyBjZgnzuFXXZXI","Klaxons","spotify:album:6NfykVXaIiJG0JkkNI3Ubg","Myths Of The Near Future","spotify:artist:2qlAMLpUyBjZgnzuFXXZXI","Klaxons","2007","https://i.scdn.co/image/ab67616d0000b273a6ba454df44d588fbc6bc983","1","3","165120","https://p.scdn.co/mp3-preview/a9b68afbfc91437e7af9d47e20775b0789c141ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBUM70605901","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-15T11:01:53Z","alternative dance,dance-punk,indie rock,modern rock,new rave,rock","0.463","0.836","2","-2.776","0","0.0381","0.000418","0.00000738","0.25","0.713","141.955","4","","Polydor Records","C © 2006 Klaxons, Under exclusive license to Polydor Records Ltd. (UK), P ℗ 2006 Klaxons, Under exclusive license to Polydor Records Ltd. (UK)"
"spotify:track:07GvNcU1WdyZJq3XxP0kZa","Go Your Own Way - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:1bt6q2SruMsBtcerNVtpZB","Rumours","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b2730001af4f80be77069fc8fd41","1","5","223613","https://p.scdn.co/mp3-preview/eb79c81b8ad502f603124c24606cf81bf91cc98d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB10400050","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T23:19:51Z","album rock,classic rock,rock,soft rock,yacht rock","0.583","0.947","5","-5.12","1","0.0378","0.0185","0.00109","0.0679","0.803","135.448","4","","Rhino/Warner Records","C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
"spotify:track:3Fzlg5r1IjhLk2qRw667od","Dancing in the Moonlight","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","spotify:album:2ww2PXKiHk7rNv26rjVJ5z","Onka's Big Moka","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","2000","https://i.scdn.co/image/ab67616d0000b273e16a6534cd5a968a5b725d03","1","2","232693","https://p.scdn.co/mp3-preview/d3ebc26617284b756aedf4e9176163ad050a5205?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBBBL9902165","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-13T20:22:29Z","british alternative rock","0.632","0.856","10","-3.463","1","0.0348","0.0624","0","0.347","0.867","119.397","4","","Sony Soho Square","P (P) 2001 Sony Music Entertainment (UK) Ltd."
"spotify:track:5tf1VVWniHgryyumXyJM7w","Sugar (feat. Francesco Yates)","spotify:artist:3t5xRXzsuZmMDkQzgOX35S, spotify:artist:5X1JzPIIonP3u9lA580pPT","Robin Schulz, Francesco Yates","spotify:album:5XyJzEROSmup2TcWmVjTIt","Sugar","spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","2015-09-25","https://i.scdn.co/image/ab67616d0000b2733c9047f9aa5d0d1e03827039","1","2","219043","https://p.scdn.co/mp3-preview/1a09c6373682009cbf981f0678ff2f8a1a950a44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","DEA621501057","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-15T10:16:08Z","dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,pop rap,tropical house,canadian pop","0.636","0.815","5","-5.098","0","0.0581","0.0185","0","0.163","0.636","123.063","4","","Tonspiel","C © 2015 TONSPIEL under exclusive license to Warner Music Group Germany Holding GmbH / A Warner Music Group Company, P ℗ 2015 TONSPIEL under exclusive license to Warner Music Group Germany Holding GmbH / A Warner Music Group Company"
