"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2w0TmCC0w8SASWpfvdXnxi","BLACKOUT","spotify:artist:07SFzTMeYf5P8Rd32a9Zzw","AK AUSSERKONTROLLE","spotify:album:3mQWgJfQS2BpZZ9XSHBNlP","BLACKOUT","spotify:artist:07SFzTMeYf5P8Rd32a9Zzw","AK AUSSERKONTROLLE","2022-11-10","https://i.scdn.co/image/ab67616d0000b273fa4afa4a6166e78619c3cef8","1","1","166560","https://p.scdn.co/mp3-preview/4005e2b3d3473540cb2769359c62846cf6f22303?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","DECE72203126","spotify:user:","2022-12-09T06:52:18Z","german hip hop","0.829","0.598","2","-5.662","1","0.248","0.0691","0","0.0847","0.158","130.15","4","","XY Records","C © 2022 XY Records, P ℗ 2022 XY Records"
"spotify:track:1ukq3qBP7zOokVa3nEc9bR","BIELEFELD","spotify:artist:3drqpTL4sQOckmAfF9i1wg","Summer Cem","spotify:album:6ysRaaGCT2wG16jga7XjyT","BIELEFELD","spotify:artist:3drqpTL4sQOckmAfF9i1wg","Summer Cem","2022-12-02","https://i.scdn.co/image/ab67616d0000b2737f3fc2c166ec05c0c5ddb73a","1","1","135424","https://p.scdn.co/mp3-preview/d204984523023f183ed9005c90762e358b132def?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","DEA622201561","spotify:user:","2022-12-09T06:52:18Z","german hip hop,german trap","0.766","0.539","1","-6.61","0","0.416","0.271","0","0.0904","0.716","99.881","4","","Banger Musik/WM Germany","C © 2022 Banger Musik GmbH, P ℗ 2022 Banger Musik GmbH"
"spotify:track:57uSoeDMpTFn6Mu6ucXKmW","Rede mit mir (feat. Luciano)","spotify:artist:2NJWI8byqTSqDaJRnqJY2z, spotify:artist:3CJKkU0XuElRT1z8rEtIYg","KALIM, Luciano","spotify:album:6bp3WvyOFynXop1YtZX9IL","B2B","spotify:artist:2NJWI8byqTSqDaJRnqJY2z","KALIM","2022-12-08","https://i.scdn.co/image/ab67616d0000b2738f2736bb15dac5d045467a79","1","8","146358","https://p.scdn.co/mp3-preview/b2c0b3b6ccb34abe57b2c0fd23882f2516fe3901?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DECE72203535","spotify:user:","2022-12-09T06:52:18Z","german hip hop,german trap,hamburg hip hop,german drill","0.866","0.59","1","-7.648","0","0.513","0.0803","0.0000108","0.0532","0.808","86.325","4","","Urban","C © 2022 KALIM, P Distributed by URBAN; ℗ 2022 KALIM"
"spotify:track:5reUV4Jv5GBY1W15E4J9w9","Du Fehlst","spotify:artist:2Diqn1jFkehRd9MVDGKGdq","Eddin","spotify:album:64qMewtyTkU86GlyUdDrwF","Du Fehlst","spotify:artist:2Diqn1jFkehRd9MVDGKGdq","Eddin","2022-10-14","https://i.scdn.co/image/ab67616d0000b273174e6c58dc1bab7562d4c2d6","1","1","155597","https://p.scdn.co/mp3-preview/4643f19202b16fc15757f7db54b64e656856e2ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","DEKF22200928","spotify:user:","2022-12-09T06:52:18Z","german hip hop,german trap","0.638","0.442","0","-10.121","0","0.052","0.0993","0.00344","0.173","0.376","138.859","4","","Epic/Eddin","P (P) 2022 Eddin distributed by Epic Records Germany - a division of Sony Music Entertainment Germany GmbH"
"spotify:track:54UzTpjETcayBbZIqeXS2C","2000 EURO","spotify:artist:4sVieJlKgpZ2k9ESNS5IdN, spotify:artist:1SnSPHBs8l5iAvoWF0aO05","Jamule, FOURTY","spotify:album:54cTUMcICp6BAEk5G49m3z","KIDS WITH ATTITUDE","spotify:artist:4sVieJlKgpZ2k9ESNS5IdN, spotify:artist:1SnSPHBs8l5iAvoWF0aO05","Jamule, FOURTY","2022-11-24","https://i.scdn.co/image/ab67616d0000b273b6fb7a8a97b5918af6402821","1","10","165270","https://p.scdn.co/mp3-preview/59afab0359ac14251b84f3be8e76e62014fd8169?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","DECE72202505","spotify:user:","2022-12-09T06:52:18Z","german hip hop,german hip hop,german r&b,german trap","0.699","0.487","1","-7.82","1","0.483","0.0927","0.0000713","0.11","0.647","84.889","4","","Life Is Pain","C © 2022 Life is Pain, P ℗ 2022 Life is Pain"
"spotify:track:7nFJSfGvvV0WjatTZN6QYi","Bamba (feat. Aitch & BIA)","spotify:artist:3CJKkU0XuElRT1z8rEtIYg, spotify:artist:2PJEagPIxaBugeMjIyKVXF, spotify:artist:6veh5zbFpm31XsPdjBgPER","Luciano, Aitch, BIA","spotify:album:3cOBmVLauHdg4S3F7sJHyF","Bamba (feat. Aitch & BIA)","spotify:artist:3CJKkU0XuElRT1z8rEtIYg, spotify:artist:2PJEagPIxaBugeMjIyKVXF","Luciano, Aitch","2022-09-22","https://i.scdn.co/image/ab67616d0000b273e708ec797e40cf7d04713c19","1","1","203255","https://p.scdn.co/mp3-preview/89fb9b3e10d23599df3967ba6866e6b119ac0edb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","DECE72202389","spotify:user:","2022-12-09T06:52:18Z","german drill,manchester hip hop,alternative r&b,pop,r&b,rap,rap latina,trap queen,viral rap","0.798","0.806","10","-5.841","1","0.355","0.145","0","0.13","0.82","138.082","4","","URBAN","C © 2022 Locosquad GmbH, P Distributed by URBAN; ℗ 2022 Locosquad GmbH"
"spotify:track:7Je6BkJF9PnQ3lefOw1RrT","Buzz Down","spotify:artist:1aS5tqEs9ci5P9KD9tZWa6","Bonez MC","spotify:album:6UXiwMwG846ghIK9nJm29R","Buzz Down","spotify:artist:1aS5tqEs9ci5P9KD9tZWa6","Bonez MC","2022-12-08","https://i.scdn.co/image/ab67616d0000b2735f30f648ac68d7e69bb2df2a","1","1","161867","https://p.scdn.co/mp3-preview/0d55b860a8635f20026988fd785359393990a876?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","DECE72203302","spotify:user:","2022-12-09T06:52:18Z","german hip hop,hamburg hip hop","0.837","0.513","1","-8.651","1","0.483","0.473","0.0178","0.117","0.557","159.966","4","","187 Strassenbande","C © 2022 187 Strassenbande, P Distributed by Vertigo/Capitol; ℗ 2022 187 Strassenbande"
"spotify:track:2IvrIIvwA3zEPXmJitBlJD","Der Berg ruft","spotify:artist:13bDjug9N0pyv3ZUINjkDV, spotify:artist:0b62itBWBdLgiecXjXCqKC, spotify:artist:03bmDyr8klGV17DKQnPZVA","Bausa, Maxwell, Joshi Mizu","spotify:album:3leCnTtw97kdDi649uKIoW","Der Berg ruft","spotify:artist:13bDjug9N0pyv3ZUINjkDV, spotify:artist:0b62itBWBdLgiecXjXCqKC, spotify:artist:03bmDyr8klGV17DKQnPZVA","Bausa, Maxwell, Joshi Mizu","2022-11-25","https://i.scdn.co/image/ab67616d0000b2733be5179b9a7264c2c2a76159","1","1","194445","https://p.scdn.co/mp3-preview/bcaea85445fca881fd5a60f95e8b5f27c69f8846?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","DEA622201865","spotify:user:","2022-12-09T06:52:18Z","german hip hop,german hip hop,deep german hip hop,german hip hop","0.895","0.763","0","-7.267","1","0.261","0.239","0.00000272","0.314","0.525","129.994","4","","Bausa Distribution","C © 2022 A Million, P ℗ 2022 A Million"
"spotify:track:5f0jN8csP6MQ5kY9XPkd5M","Nur Dich","spotify:artist:3ZuBEj9ppJe8GSdKaMTfMN, spotify:artist:3pjq2pDV9RR6VY55wBjVnp","Nimo, Dardan","spotify:album:3F3rcasqctTETwECH5VSAa","Nur Dich","spotify:artist:3ZuBEj9ppJe8GSdKaMTfMN, spotify:artist:3pjq2pDV9RR6VY55wBjVnp","Nimo, Dardan","2022-12-01","https://i.scdn.co/image/ab67616d0000b273347660f103ac3d4244d1702b","1","1","192000","https://p.scdn.co/mp3-preview/dbbb1048c80ad47c67b556f9c55f78693ac29b86?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QMEU32206726","spotify:user:","2022-12-09T06:52:18Z","german hip hop,swedish hip hop,albanian hip hop,german hip hop","0.816","0.612","1","-5.015","0","0.084","0.0659","0","0.102","0.536","131.054","4","","Hypnotize Entertainment","C © 2022 Hypnotize Entertainment & MOONBOYS ENT., P Distributed by URBAN; ℗ 2022 Hypnotize Entertainment & MOONBOYS ENT."
"spotify:track:08mqF80M4AvAF0pGbR2ETA","Mood - RAF Camora Remix","spotify:artist:4PUr4W5mWlzMkyVpSiX2ZN, spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L","Makar, RAF Camora","spotify:album:5sYrQiWPO0Vhq6An7WiIMA","Mood (RAF Camora Remix)","spotify:artist:4PUr4W5mWlzMkyVpSiX2ZN, spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L","Makar, RAF Camora","2022-10-07","https://i.scdn.co/image/ab67616d0000b273d40db2f6408e5d9d2cd06212","1","1","147360","https://p.scdn.co/mp3-preview/10212c3d91f54151e32d074130aab45458c305a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","DECE72202488","spotify:user:","2022-12-09T06:52:18Z","belgian hip hop,german hip hop","0.687","0.564","1","-9.881","1","0.105","0.56","0.0408","0.182","0.564","125.017","4","","Virgin","C © 2022 Mayfaro, under exclusive license to Universal Music GmbH, P A Virgin Records release; ℗ 2022 Mayfaro, under exclusive license to Universal Music GmbH"
