"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7tqhbajSfrz2F7E1Z75ASX","Ain't No Mountain High Enough","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","spotify:album:5LqviduT0g0J0ypFrFSwCE","United","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","1967-08-29","https://i.scdn.co/image/ab67616d0000b2739173e50e99bdea2400222f02","1","1","151666","https://p.scdn.co/mp3-preview/090809c54f002e1493e134d36f5ff3efed0b934c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USMO16700534","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:33:46Z","classic soul,funk,motown,northern soul,quiet storm,soul,motown","0.663","0.6","7","-10.87","1","0.032","0.43","0","0.184","0.8","129.991","4","","UNI/MOTOWN","C © 1967 UMG Recordings, Inc., P A Motown Records Release; ℗ 1967 UMG Recordings, Inc."
"spotify:track:4xmjDH6auBwuZ4GHimjXGe","I Will Survive - Single Version","spotify:artist:6V6WCgi7waF55bJmylC4H5","Gloria Gaynor","spotify:album:2wV72iMZZu677uYCw2giDC","Colour Collection","spotify:artist:6V6WCgi7waF55bJmylC4H5","Gloria Gaynor","1999-01-01","https://i.scdn.co/image/ab67616d0000b273d950c529be4f36a4c962fde6","1","3","197573","https://p.scdn.co/mp3-preview/7e8e761cc2b1da1668a490c3b34bd7eb8d05c03d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USPR37800083","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:38:27Z","disco","0.771","0.649","0","-10.375","1","0.0434","0.0137","0.00111","0.324","0.653","116.286","4","","Polydor","C © 2007 Universal Music International Division, a division of Universal Music GmbH, P This Compilation ℗ 1999 Universal Music International Division, a division of Universal Music GmbH"
"spotify:track:5kfQK1Vb1mKSwzVn32Tarj","The Boss","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","spotify:album:7jqe6yQ9qtHqahli8WSYH4","The Boss (Expanded Edition)","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","1979-05-23","https://i.scdn.co/image/ab67616d0000b273303a1d40609b8aa537b607c1","1","4","241333","https://p.scdn.co/mp3-preview/c81ba37f5e0824add66dc72e0d172ab82e3ba005?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USMO17984678","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:46:21Z","adult standards,dance pop,disco,motown,quiet storm,soul","0.639","0.905","4","-4.215","0","0.0543","0.235","0.0000493","0.206","0.825","123.66","4","","Motown","C © 1999 Motown Record Company L.P., a Universal Records Company, P ℗ 1979 UMG Recordings, Inc., a Universal Records Company"
"spotify:track:5rJjib4hv7JD1fpf5TzRcr","Back In The U.S.S.R","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:1Ye7yrA7vAlQnoooj8yDXb","Love","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2006-11-17","https://i.scdn.co/image/ab67616d0000b27330503dbc30e621c96913379b","1","21","154392","https://p.scdn.co/mp3-preview/1cde71b6fac5b81353e786f592db999cf346f91d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBAYE0601563","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:54:57Z","beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock","0.533","0.937","2","-7.51","1","0.0397","0.00173","0.000103","0.185","0.862","142.399","4","","EMI Catalogue","C © 2011 Cirque Apple Creative Partnership/Apple Corps Ltd, P ℗ 2011 EMI Records Ltd/Apple Corps Ltd"
"spotify:track:4LQtQV5HHTdVBCBJYaEuUr","Beggin' - 2007 Remaster","spotify:artist:6mcrZQmgzFGRWf7C0SObou","Frankie Valli & The Four Seasons","spotify:album:0sEAJ8QdJQPRNL2km3NYqg","Jersey Beat: The Music Of Frankie Valli and The Four Seasons","spotify:artist:6mcrZQmgzFGRWf7C0SObou","Frankie Valli & The Four Seasons","2007-06-04","https://i.scdn.co/image/ab67616d0000b273c1651e7b595a3c334dfce018","1","40","168706","https://p.scdn.co/mp3-preview/9a35debae56d93111ceeea717ab00bbe1def44fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USRH10720925","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:55:14Z","adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll","0.534","0.5","2","-8.591","0","0.0346","0.278","0","0.0523","0.447","128.909","4","","Rhino","C © 2007 Rhino Entertainment Company, a Warner Music Group Company, P ℗ 2007 Rhino Entertainment Company, a Warner Music Group Company"
"spotify:track:4hn3L3nBvl82haD8fgdqgA","This Old Heart Of Mine (Is Weak For You)","spotify:artist:57bUPid8xztkieZfS7OlEV","The Supremes","spotify:album:5fpOmAuZaVyEXPlQ4oOqJ6","The Supremes A' Go-Go (Expanded Edition)","spotify:artist:57bUPid8xztkieZfS7OlEV","The Supremes","1966-08-25","https://i.scdn.co/image/ab67616d0000b273a16ea5e673cc4c6e8f91d5ca","1","14","156000","https://p.scdn.co/mp3-preview/e9505f2d549d1b3d50c5fe9f9c6ccb7414fc5d45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USMO16682866","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:57:27Z","classic girl group,disco,funk,motown,quiet storm,soul","0.587","0.583","0","-9.022","0","0.0504","0.222","0","0.209","0.742","137.478","4","","UNI/MOTOWN","C © 2017 Motown Records, a Division of UMG Recordings, Inc., P This Compilation ℗ 2017 Motown Records, a Division of UMG Recordings, Inc."
"spotify:track:4yGpxgy078xYTPxWAnDh8U","Let the Sunshine In","spotify:artist:3zZNG4PLU2SshTX3je1YNi","Heavy Tiger","spotify:album:5jC7syqYIXJuwprJZmXxdQ","Let the Sunshine In","spotify:artist:3zZNG4PLU2SshTX3je1YNi","Heavy Tiger","2016-11-25","https://i.scdn.co/image/ab67616d0000b27325cb09a29e7e0a87895ac0e8","1","1","122383","https://p.scdn.co/mp3-preview/959a6aefdcf6ec869120c87767d900827e46d707?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","SEVVF1602716","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:58:02Z","swedish hard rock","0.513","0.696","4","-13.367","0","0.0433","0.0702","0.0000957","0.111","0.151","120.196","4","","Wild Kingdom","C (C) 2016 Wild Kingdom"
"spotify:track:1ip1ULxxvAzaqH3VqKObdu","Can't Take My Eyes Off of You - Black Box Mix","spotify:artist:6V6WCgi7waF55bJmylC4H5","Gloria Gaynor","spotify:album:3mn5uMVqqN1WPA2Jwd8lfk","Gloria Gaynor '90 (All New Versions)","spotify:artist:6V6WCgi7waF55bJmylC4H5","Gloria Gaynor","1990","https://i.scdn.co/image/ab67616d0000b27374a9415776fe535089e85cf3","1","6","316000","https://p.scdn.co/mp3-preview/887ae938dd4694aa374e682203fa3a8db3711403?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ITQ039000016","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-18T07:29:03Z","disco","0.719","0.547","10","-13.19","1","0.0362","0.0679","0.00000293","0.229","0.554","121.724","4","","Saifam/Nar","C Saifam/Nar, P Saifam/Nar"
"spotify:track:1c5KZhtOAOH7eFOlBekNhS","I Like It","spotify:artist:6is2U7I1jlI8PjxNZOHIMV","DeBarge","spotify:album:0idikg3MAbtPVfX7wwfBBW","All This Love","spotify:artist:6is2U7I1jlI8PjxNZOHIMV","DeBarge","1982-04-28","https://i.scdn.co/image/ab67616d0000b2733e0fdb66fe1b2f43496eb3a7","1","3","279400","https://p.scdn.co/mp3-preview/034c9422d826581feae704f7e5c790a42117fc22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USMO18500567","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-23T20:29:32Z","contemporary r&b,disco,funk,post-disco,quiet storm,r&b,soul,urban contemporary","0.675","0.733","9","-4.5","1","0.0443","0.446","0.000018","0.201","0.83","175.011","4","","UNI/MOTOWN","C © 1982 Motown Records, a Division of UMG Recordings, Inc., P ℗ 2015 Motown Records, a Division of UMG Recordings, Inc."
"spotify:track:20aIE1E2mAoDcSWGnnLPRR","Get off the Phone","spotify:artist:3w4FwUyrFv29eAKSYQvWYr","Epicentre","spotify:album:0STlQOEHRO9dUU8a0ohOd5","Wheedle's Groove: Seattle Funk, Modern Soul & Boogie Volume II 1972-1987","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-05-20","https://i.scdn.co/image/ab67616d0000b273b913bf21755d75578cd55c45","1","1","191826","https://p.scdn.co/mp3-preview/2460a5f66d6747d2a8fc7d606142fa625be93086?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USDEA1410801","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-23T20:55:26Z","jungle","0.7","0.562","0","-9.586","1","0.0697","0.471","0","0.0747","0.756","105.669","4","","Light In The Attic","C (C) 2014 Light in the Attic Records & Distribution"
