"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2VGDntFPvgvqSiUf9ITEfW","Someone Great","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","4","390013","https://p.scdn.co/mp3-preview/5d692aaf783f910e8676e972a3d656823ce9bd9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","US4GE0600017","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-07T20:25:49Z","alternative dance,alternative rock,dance rock,dance-punk,electronic rock,electronica,indie rock,indietronica,modern rock,new rave,rock","0.722","0.894","7","-5.903","1","0.0325","0.0418","0.00374","0.11","0.396","113.003","4","","Parlophone UK","C © 2007 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2007 DFA LLC under exclusive licence to Parlophone Records Ltd"
"spotify:track:2Ud3deeqLAG988pfW0Kwcl","All My Friends","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","5","462266","https://p.scdn.co/mp3-preview/64cd0a577db652592fc2a00d9896ba5c52b2fe22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","US4GE0600018","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-07T20:28:55Z","alternative dance,alternative rock,dance rock,dance-punk,electronic rock,electronica,indie rock,indietronica,modern rock,new rave,rock","0.701","0.788","2","-5.611","1","0.0425","0.148","0.625","0.0977","0.795","142.584","4","","Parlophone UK","C © 2007 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2007 DFA LLC under exclusive licence to Parlophone Records Ltd"
"spotify:track:2cmRpmO04TLaKPzmAzySYZ","Dance Yrself Clean","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:4hnqM0JK4CM1phwfq1Ldyz","This Is Happening","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2010-05-17","https://i.scdn.co/image/ab67616d0000b273ee0d0dce888c6c8a70db6e8b","1","1","536471","https://p.scdn.co/mp3-preview/cfaf8a0c3cf2da46518b3094a1e73e6509bd9e50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","US4GE1000019","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-07T20:29:12Z","alternative dance,alternative rock,dance rock,dance-punk,electronic rock,electronica,indie rock,indietronica,modern rock,new rave,rock","0.739","0.611","11","-9.829","1","0.0622","0.00557","0.725","0.04","0.794","98.004","4","","Parlophone UK","C © 2010 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2010 The copyright in this sound recording is owned by DFA LLC under exclusive licence to Parlophone Records Ltd"
"spotify:track:7JccrXRMQmrEOUmB0DsZtm","Small Town","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","spotify:album:5hoYuQl3lpjq4wSB1m7v7n","Who Can You Trust?","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","1996-09-20","https://i.scdn.co/image/ab67616d0000b2733cd4b060bb01f387f4f4c3fe","1","7","310159","https://p.scdn.co/mp3-preview/a307246fa7c5861f60f9fce91421e227c00fffc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBAHS0104841","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-08T15:12:30Z","downtempo,electronica,nu jazz,trip hop","0.698","0.358","9","-12.947","0","0.0437","0.0441","0.173","0.0845","0.381","63.029","4","","EastWest U.K.","C © 1996 China Records Ltd, P ℗ 1996 China Records Ltd"
"spotify:track:6KgT9vDjy8uqTsbbfnvaht","End Theme","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","spotify:album:5hoYuQl3lpjq4wSB1m7v7n","Who Can You Trust?","spotify:artist:6bWxFw65IEJzBYjx3SxUXd","Morcheeba","1996-09-20","https://i.scdn.co/image/ab67616d0000b2733cd4b060bb01f387f4f4c3fe","1","12","148239","https://p.scdn.co/mp3-preview/b339366ae454e7075d78d57acb2dc1f57b6e864c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBAHS0104846","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-08T15:24:36Z","downtempo,electronica,nu jazz,trip hop","0.795","0.666","7","-10.643","1","0.0507","0.0475","0.789","0.0624","0.5","112.056","4","","EastWest U.K.","C © 1996 China Records Ltd, P ℗ 1996 China Records Ltd"
"spotify:track:5yAu4njFSdM47dfsTkQPZ2","Runnin' Down A Dream","spotify:artist:2UZMlIwnkgAEDBsw1Rejkn","Tom Petty","spotify:album:32OhZ2CWxc259H9w52JMTH","The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016","spotify:artist:2UZMlIwnkgAEDBsw1Rejkn, spotify:artist:4tX2TplrkIP4v05BNC903e","Tom Petty, Tom Petty and the Heartbreakers","2019-03-01","https://i.scdn.co/image/ab67616d0000b273a2bc5fd7e51b61a904e7c20c","2","8","261813","https://p.scdn.co/mp3-preview/436d5b5ce4982e47a908dcf74c789c66ddc554a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USMC18925680","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-09T21:44:17Z","album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock","0.471","0.956","9","-6.371","1","0.0403","0.000596","0.62","0.624","0.715","169.798","4","","Tom Petty - Greatest Hits","C © 2018 UMG Recordings, Inc., P A Geffen Records Release; This Compilation ℗ 2018 UMG Recordings, Inc."
"spotify:track:5cZQ33YXXZgLXwc0egqPl3","MORBID FASCINATION","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:3QMNASdVriKoYo0LZPr2Vq","MORBID FASCINATION","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2021-10-28","https://i.scdn.co/image/ab67616d0000b2735b5cd56b67cbfd50f57b89d0","1","1","226622","","false","7","UK95T2000012","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-14T16:04:52Z","alternative dance,brighton indie,garage rock,indie rock,modern alternative rock,modern rock,new rave,rock","0.53","0.848","4","-6.851","1","0.0665","0.123","0.632","0.114","0.253","93.994","4","","Velveteen Records","C 2021 Velveteen Records, P 2021 Velveteen Records"
"spotify:track:5jHilrZDaP1vJMZfdN1He3","The Recipe - Bonus Track","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","Kendrick Lamar, Dr. Dre","spotify:album:748dZDqSZy6aPXKcI9H80u","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012-10-22","https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5","2","1","352853","https://p.scdn.co/mp3-preview/042a844c8a9468494880164dcdaea9b70993c1d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USUM71203149","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-15T17:46:20Z","conscious hip hop,hip hop,rap,west coast rap,g funk,gangster rap,hip hop,rap,west coast rap","0.759","0.782","11","-6.975","0","0.0741","0.000589","0","0.35","0.507","131.04","4","","Aftermath","C © 2013 Aftermath/Interscope Records, P ℗ 2013 Aftermath/Interscope Records"
"spotify:track:2wAJTrFhCnQyNSD3oUgTZO","Work Out","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0fhmJYVhW0e4i33pCLPA5i","Cole World: The Sideline Story","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2011-09-27","https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc","1","16","235320","https://p.scdn.co/mp3-preview/30f1192ba45a1b65935e916999d091c78cb844d7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USQX91100801","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-16T11:35:10Z","conscious hip hop,hip hop,north carolina hip hop,rap","0.831","0.427","2","-6.903","1","0.106","0.0531","0","0.307","0.216","93.004","4","","Roc Nation LLC","C © 2011 Cole World/Interscope Records, P ℗ 2011 Cole World/Interscope Records"
"spotify:track:4qO03RMQm88DdpTJcxlglY","Call Me","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","spotify:album:5HRB9TeaIHRBxfIm4XZTj6","Atomic/Atomix","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","1999-01-01","https://i.scdn.co/image/ab67616d0000b273ebc918cfb51e9ced7349f436","1","4","212600","https://p.scdn.co/mp3-preview/d65ed6ada6a0a02027e795ec7c36ffeb150492fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USCH38900008","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-16T11:35:34Z","candy pop,new wave,new wave pop,permanent wave,power pop,rock","0.56","0.825","2","-6.711","0","0.0347","0.000785","0.00246","0.0892","0.74","142.669","4","","Parlophone Catalogue","C © 1999 EMI Records Ltd, P This Compilation ℗ 1999 EMI Records Ltd"
