"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4pJ9shfcBs2BCpbD6IwzeC","Glamour Girl","spotify:artist:41ITYFOUrXrzWhudmBYC0X","Louie Austen","spotify:album:0Zmj2c0w8Guh4sSblM068O","Iguana","spotify:artist:41ITYFOUrXrzWhudmBYC0X","Louie Austen","2006-10-20","https://i.scdn.co/image/ab67616d0000b273b976de5996d907766b5e6476","1","8","301800","https://p.scdn.co/mp3-preview/c54d97c4315bd0332ff7cf6b7089e4f4dd086a4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","ATK430608408","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-19T23:21:06Z","electro jazz","0.785","0.559","7","-8.024","0","0.0426","0.0153","0.124","0.21","0.414","123.881","4","","klein records","C (C) 2006 klein records, P (P) 2006 klein records"
"spotify:track:2mjV7oifQYTd9pA8vCm98u","Loving You(live版)","spotify:artist:7qJmFr579WC8MMGj4PiWdu","Jane Zhang","spotify:album:7IQ1a2DQVxmzAbW4TbZR1K","BANG THE WORLD(現場版)","spotify:artist:7qJmFr579WC8MMGj4PiWdu","Jane Zhang","2017-03-29","https://i.scdn.co/image/ab67616d0000b273961f76eb19fc570e42aaca0e","1","15","316435","","false","0","TWDL71701107","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-19T23:21:12Z","mainland chinese pop","0.633","0.461","7","-10.797","1","0.0518","0.712","0.0000267","0.504","0.279","111.973","4","","北京少城時代文化傳播有限公司","C (C) 2018 北京眾水之音文化傳播有限公司, P (P) 2018 北京眾水之音文化傳播有限公司"
"spotify:track:4CWJ6V6Y5XBjM2STX6z9a0","I Never Thought","spotify:artist:0TQgpQgq7wSCeohL4uc1pL","Quasar","spotify:album:0UKVDIgbRWbthlDXEYWlzr","Lovesongs (White Ones)","spotify:artist:0TQgpQgq7wSCeohL4uc1pL","Quasar","2017-09-03","https://i.scdn.co/image/ab67616d0000b273b83933fd80fad8f63ab2d1a4","1","2","426944","https://p.scdn.co/mp3-preview/0dbf6d917394f2c459d93959bd9c16874d1bb575?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZFYY1950312","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-02T08:03:55Z","","0.773","0.647","11","-11.726","0","0.076","0.0192","0.879","0.108","0.348","122.008","4","","Quasar White","C 2019 Quasar White, P 2019 Quasar White"
"spotify:track:37NAoeF7EpSDLzofyZFmOR","California Dreamin - Radio Edit","spotify:artist:185m2EJWTIm36MdqguiU8T","Freischwimmer","spotify:album:10wPP2SEMj9uGKo7SCYhoI","California Dreamin","spotify:artist:185m2EJWTIm36MdqguiU8T","Freischwimmer","2015-09-11","https://i.scdn.co/image/ab67616d0000b273928be95caa49af2b662192b5","1","1","212466","https://p.scdn.co/mp3-preview/710671d0af8220d56a8e47c923644c0f68395533?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","DEMA61500900","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-19T23:21:39Z","german dance,slap house","0.842","0.812","9","-4.682","1","0.0347","0.0277","0.0774","0.371","0.749","122.006","3","","Polystar","C © 2015 Universal Music Strategic Marketing, a division of Universal Music GmbH, P ℗ 2015 Dusty Desert Music, a division of Planet Punk Music, under exclusive license to Universal Music Strategic Marketing, a division of Universal Music GmbH"
"spotify:track:3jMh9sR3WEnSS8bYnKIEZU","Summertime Sadness - Asadinho Vocal Mix","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:24EM06t8FHF2hyDdHurfrf","Summertime Sadness (Asadinho Remixes)","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2013-04-15","https://i.scdn.co/image/ab67616d0000b2738fd914e04e46d7750c352d48","1","1","514737","https://p.scdn.co/mp3-preview/ed4b8ba1c70b8ff9dc55acc4cd26602459c68c94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GB7EJ1300201","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-24T15:55:57Z","art pop,pop","0.855","0.516","1","-7.461","1","0.0557","0.00326","0.151","0.265","0.413","118.01","4","","RvS","C RvS, P RvS"
"spotify:track:3F1hU8F97UoVouQRgasdM4","I Can Never Be Yours - Hot Version","spotify:artist:3OoNpyvA82LedOZWG3WE8Z","Coeo","spotify:album:77oqJ7YEGeK3cffhlu5gIA","I Can Never Be Yours (Hot Version)","spotify:artist:3OoNpyvA82LedOZWG3WE8Z","Coeo","2021-03-05","https://i.scdn.co/image/ab67616d0000b2735f4b34784668f6523415ea9e","1","1","214285","https://p.scdn.co/mp3-preview/73fd628564116502e916b4810955549551ed4689?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEBY41200517","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-24T15:56:50Z","deep house,disco house,float house,munich electronic","0.63","0.905","5","-8.352","1","0.0361","0.000401","0.944","0.0657","0.145","125.988","4","","Toy Tonics","C 2020 Toy Tonics, P 2020 Toy Tonics"
"spotify:track:4yQyOJmUbS6KnOEClfllsj","Hoping - Herbert's High Dub","spotify:artist:41ITYFOUrXrzWhudmBYC0X, spotify:artist:0zdn1nNmOZXHZ9K28FvcFp","Louie Austen, Matthew Herbert","spotify:album:0oZUCMMSdUg7sibMvaPNax","Hoping (Herbert’s High Dub)","spotify:artist:41ITYFOUrXrzWhudmBYC0X, spotify:artist:6wXFUcaG7779tb1Ok72GBn, spotify:artist:0zdn1nNmOZXHZ9K28FvcFp","Louie Austen, Herbert, Matthew Herbert","2021-11-12","https://i.scdn.co/image/ab67616d0000b273791387ab2e8adc02fae64652","1","1","394200","https://p.scdn.co/mp3-preview/390437e2ddf5a13c0237991092e5fbe7ab0e1788?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBDJX2100173","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-24T15:56:58Z","electro jazz,microhouse","0.925","0.49","4","-8.632","0","0.0526","0.133","0.0467","0.109","0.969","124.003","4","","Accidental Jnr","C 2021 Accidental Ltd, P 2021 Accidental Ltd"
"spotify:track:5HliY8CleMWKhHm2josNx4","Feel What You Want","spotify:artist:3pVm0ttbAah6dTDher8dSz","Phonique","spotify:album:6vHZpFvjPAPNtOjQX94z3c","Kissing Strangers","spotify:artist:3pVm0ttbAah6dTDher8dSz","Phonique","2010-06-07","https://i.scdn.co/image/ab67616d0000b2731121ca1bc71e8cda1b8ddafb","1","9","385760","https://p.scdn.co/mp3-preview/1103cdb720c5c71e2b270fa2fcc268999bde308e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","DEL021080026","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-24T15:57:10Z","german house","0.836","0.643","9","-10.389","0","0.0611","0.0203","0.0471","0.0906","0.447","122.995","4","","Dessous Recordings","C 2010 Dessous Recordings, P 2010 Dessous Recordings"
"spotify:track:7uzmuLMIGx9Z1DIoniHxQN","Romance in Great Britain","spotify:artist:5hgZ7PGI0EM2UfiWAIKdFc","mustbejohn","spotify:album:1eiKiydXTyESi3t63W0FLW","New Gen","spotify:artist:5hgZ7PGI0EM2UfiWAIKdFc","mustbejohn","2022-05-03","https://i.scdn.co/image/ab67616d0000b273626de87bd2c18ef49f3b043f","1","2","201455","","true","0","QM4TW2281746","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-19T23:21:17Z","","0.824","0.56","2","-10.285","0","0.101","0.0511","0.00544","0.321","0.376","112.01","4","","mustbejohn","C (C) 2022 mustbejohn, P (P) 2022 mustbejohn"
"spotify:track:5zZaxeRo4e09KUJ5sbEC7Q","ilomilo","spotify:artist:0ZXntjSej6WUvpEMkRgwKJ, spotify:artist:4IPKNc0sHqlSECkJNX7moj","MBNN, Rowald Steyn","spotify:album:2OcIdyZT6qespG0S1MuxYY","ilomilo","spotify:artist:0ZXntjSej6WUvpEMkRgwKJ, spotify:artist:4IPKNc0sHqlSECkJNX7moj","MBNN, Rowald Steyn","2022-01-21","https://i.scdn.co/image/ab67616d0000b273967bee5c61a66e7ad7876434","1","1","181045","https://p.scdn.co/mp3-preview/82e19dd2c772309c5fdc325298441f6cd67435f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","NLZ542101948","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-24T15:56:42Z","russian edm,progressive house","0.828","0.687","5","-6.24","0","0.0509","0.0843","0.0074","0.124","0.208","119.006","4","","Spinnin' Records","C © 2022 SpinninRecords.com, P ℗ 2022 SpinninRecords.com"
"spotify:track:6U7DCvIA93YYzyFYwmiIIe","Mi Amor","spotify:artist:7MdlXmq2HViAJWo9cf30sR, spotify:artist:09iEIVQVBtTVjiuEdqqkIR","Cloonee, Wade","spotify:album:0V6keHGPNpTYW9OEcL7PBu","Mi Amor","spotify:artist:7MdlXmq2HViAJWo9cf30sR, spotify:artist:09iEIVQVBtTVjiuEdqqkIR","Cloonee, Wade","2021-05-28","https://i.scdn.co/image/ab67616d0000b273cac2eaa294a8f2663bebfc61","1","1","195952","https://p.scdn.co/mp3-preview/5700203b89a091a1fd130e9fbe4650178cd4a242?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","UKACT2130984","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-24T15:58:14Z","","0.824","0.511","8","-9.049","0","0.151","0.0187","0.834","0.309","0.0858","127.959","4","","CLNE","C 2021 CLNE, P 2021 CLNE"
"spotify:track:57A4BpDmy1OK8Ja9gm8XBk","Little Bit","spotify:artist:5hgZ7PGI0EM2UfiWAIKdFc","mustbejohn","spotify:album:6YKCps9PmwktK4gol1TUW7","Little Bit","spotify:artist:5hgZ7PGI0EM2UfiWAIKdFc","mustbejohn","2021-06-17","https://i.scdn.co/image/ab67616d0000b273ca07b0e89b69d2e41b8d4e14","1","1","149647","https://p.scdn.co/mp3-preview/93a85df7db0bccd6fd273186fa61bfcad7e853f0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","GBLFP2038800","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-19T23:21:22Z","","0.688","0.746","4","-10.095","0","0.13","0.115","0","0.11","0.963","170.062","4","","mustbejohn","C 2021 mustbejohn, P 2021 mustbejohn"
"spotify:track:3239OdTeQMBphegyNvF8F3","Pour the Milk","spotify:artist:2WuXRwEjXIjW5uVZOSxqYS, spotify:artist:5FzFuIi6RVngFoIwTdawDd","Robbie Doherty, Keees.","spotify:album:1RN9XFMVqqw4BD5dgLigpP","Pour the Milk","spotify:artist:2WuXRwEjXIjW5uVZOSxqYS, spotify:artist:5FzFuIi6RVngFoIwTdawDd","Robbie Doherty, Keees.","2019-11-08","https://i.scdn.co/image/ab67616d0000b273ed1a52850aeadda4da46ecb0","1","1","172285","https://p.scdn.co/mp3-preview/f025ab2f2f5a9ab6b394f75c3aff3ac3323df744?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBHAD1902177","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-31T11:08:05Z","","0.928","0.681","9","-8.554","1","0.0728","0.026","0.00373","0.0491","0.878","126.988","4","","Relentless Records","P (P) 2020 Relentless Records under exclusive licence from Cr2 Records Limited"
"spotify:track:2NcQic8JxdjAlAHuNbOIRE","Keep Driving","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","10","140241","https://p.scdn.co/mp3-preview/09ea3680de35c0030f202bf04787698557927bdb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM12200618","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-19T23:21:52Z","pop","0.721","0.479","9","-9.669","1","0.226","0.321","0.00156","0.182","0.902","164.948","3","","Columbia","P (P) 2022 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:08d1uFAAtQgLbuvyP2AkoH","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","spotify:album:2zL3pun7npuBMHeBPr7mtz","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","2017-12-22","https://i.scdn.co/image/ab67616d0000b2732fed09099502884eab4b4d77","1","1","272394","https://p.scdn.co/mp3-preview/e95d94778a24e694d3d9e5ca3752ea210bbc60e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBLV61724940","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-31T11:08:45Z","house","0.8","0.846","5","-7.518","1","0.0624","0.0277","0.877","0.0896","0.211","127.008","4","","PAWZ","C 2017 PAWZ, P Copyright Control"
"spotify:track:0IQu5vSlswSNhZBc22MNy3","6 Degrees - Tale Of Us Remix","spotify:artist:5p4nIs3UHcE5qIJQsG7wjP, spotify:artist:2r7POU2f5jV6x3k4vsNwrM, spotify:artist:6NHI8u9P4xsuYfXmh0GMV6","Audiofly, Fiora, Tale Of Us","spotify:album:34iPRweaM3MNGsG9aBrXIE","6 Degrees","spotify:artist:5p4nIs3UHcE5qIJQsG7wjP","Audiofly","2011-07-29","https://i.scdn.co/image/ab67616d0000b273fac4be385acb4014183834cd","1","2","473550","","false","22","DEBE71100079","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-01T15:41:08Z","vocal trance","0.801","0.472","4","-9.948","1","0.077","0.128","0.381","0.103","0.467","120.005","4","","Get Physical Music","C 2011 Get Physical Music under licence from Supernature, P 2011 Get Physical Music under licence from Supernature"
"spotify:track:1YPkBfrRCpvBrwJU66LQWq","Osama","spotify:artist:5mZLaYqN0ZkjxfeUUmiuqL, spotify:artist:3jteNJj8zf2v4qYMGDXa8r","Zakes Bantwini, Kasango","spotify:album:08FzfT91jguU5Odn4bHc7T","Osama","spotify:artist:5mZLaYqN0ZkjxfeUUmiuqL, spotify:artist:3jteNJj8zf2v4qYMGDXa8r","Zakes Bantwini, Kasango","2021-09-10","https://i.scdn.co/image/ab67616d0000b273fb5bfb362427fbf134591d1f","1","1","409180","https://p.scdn.co/mp3-preview/cd290866216d91193c93d8c062a05a50558e3d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ZAZ642100007","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-02T07:36:07Z","afro house,afro soul,deep house,south african house,south african pop,south african house","0.669","0.704","5","-10.207","0","0.0347","0.0669","0.602","0.103","0.262","122.012","4","","Universal Music (Pty) Ltd.","C © 2021 Mayonie Productions CC, under exclusive licence to Universal Music (Pty) Ltd, P ℗ 2021 Mayonie Productions CC, under exclusive licence to Universal Music (Pty) Ltd"
"spotify:track:1cSXzDZt8vzuUp2XREQEJN","Atemlos durch die Nacht","spotify:artist:7MzHPIXAqIOCnvK0sVY72W","Helene Fischer","spotify:album:7MTjxNeS3N8XNuUm4BxjSx","Farbenspiel","spotify:artist:7MzHPIXAqIOCnvK0sVY72W","Helene Fischer","2013-01-01","https://i.scdn.co/image/ab67616d0000b273f20892c96efa6375c5fd1527","1","5","219720","https://p.scdn.co/mp3-preview/ba9bf7900ef6ca32d1009bd8a337bdf5ede0431e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","DEUM71303188","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-06-19T23:24:08Z","","0.798","0.74","11","-4.865","1","0.0458","0.0419","0.00000184","0.157","0.834","128.054","4","","Polydor","C © 2013 Polydor/Island, a division of Universal Music GmbH, P ℗ 2013 Jean Frankfurter, under exclusive license to Polydor/Island, a division of Universal Music GmbH"
"spotify:track:1kmhdq0RfZFdfSLaTsiTVi","Relax, Take It Easy","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:2FgwL1GHWKTbuHzAIjEeFa","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2007-02-05","https://i.scdn.co/image/ab67616d0000b2732b16992e49be4a199e7dad2c","1","5","270000","https://p.scdn.co/mp3-preview/e1b761d5a06fa0893eba51a40c7e2b8ffb7c5589?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USC7R0600114","spotify:user:312pyxxfi5eunev3qy36eunn666q","2022-05-31T21:17:26Z","dance pop,europop,pop","0.698","0.693","6","-8.218","0","0.0329","0.0567","0.0161","0.129","0.608","121.859","4","","Casablanca Records/Island UK","C © 2007 Casablanca Music, LLC, P ℗ 2007 Casablanca Music, LLC"
