"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:48HSUrDZQPVeWuVckLb902","Remember Me","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:58rVVNfX3nGIMcaC1Zf2qe","Sundown Syndrome / Remember Me","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2009-01-01","https://i.scdn.co/image/ab67616d0000b273c43d64f48b4aa5a0b86cc760","1","2","261040","https://p.scdn.co/mp3-preview/6a41e0d1e22029f482b33aa5e12737de2a87b5a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","AUUM70901603","spotify:user:","2021-11-12T05:23:58Z","australian psych,neo-psychedelic","0.631","0.851","7","-5.871","1","0.04","0.392","0.0647","0.57","0.469","107.008","4","","Modular","C © 2009 Modular Recordings, P ℗ 2009 Modular Recordings"
"spotify:track:3Pk8ZaUsbzUt4UaCuBh9Mc","Fuzz Jam","spotify:artist:5ZCOgPpZNvlJEBnUZnDqW8","The Lazy Eyes","spotify:album:1w73ipVNe04ERHc8bwEQG0","SongBook","spotify:artist:5ZCOgPpZNvlJEBnUZnDqW8","The Lazy Eyes","2022-04-21","https://i.scdn.co/image/ab67616d0000b27349993d34ac62a38d215b7815","1","7","266992","https://p.scdn.co/mp3-preview/83b4a7103536e78341dd681203c7c855a57deecc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QMDA62115608","spotify:user:","2022-01-28T02:59:48Z","neo-psychedelic","0.685","0.747","4","-5.493","0","0.111","0.071","0.34","0.067","0.487","118.974","4","","The Lazy Eyes","C (C) 2022 The Lazy Eyes, P (P) 2022 The Lazy Eyes"
"spotify:track:7Eu6PeKZpGJdOOe2aatrHJ","Red Sun","spotify:artist:0PxzGnCYBpSuaI49OR94cA","Big Wild","spotify:album:1URVqxp9YmQ8i32dCjlsUA","The Efferusphere","spotify:artist:0PxzGnCYBpSuaI49OR94cA","Big Wild","2022-09-09","https://i.scdn.co/image/ab67616d0000b273b28b42c68f70cbd8d8c316c4","1","2","232444","https://p.scdn.co/mp3-preview/b58123f7a14e539797291a33f3a937353ecb92d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","CA5KR2251933","spotify:user:","2022-09-11T03:25:01Z","indie poptimism","0.594","0.867","11","-3.876","0","0.0429","0.03","0.000916","0.0769","0.416","113.988","4","","Opposition","C 2022 Big Wild / Opposition, P 2022 Big Wild / Opposition"
"spotify:track:5gt61IZfHsjowiK4QX1Hc7","Monolithium","spotify:artist:3pMZZzAKwSIftJmwtEx56W","SCALPING","spotify:album:5zrudWt7tuOToc9FZPLgc6","Flood","spotify:artist:3pMZZzAKwSIftJmwtEx56W","SCALPING","2021-06-18","https://i.scdn.co/image/ab67616d0000b2734ecd339893f879569dd54244","1","1","275600","https://p.scdn.co/mp3-preview/332f03814aa89043ed870020382df4ea3740baf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBEXH2000240","spotify:user:","2021-11-12T05:23:58Z","bristol indie,uk post-punk revival","0.54","0.979","11","-2.535","1","0.0794","0.0000343","0.735","0.326","0.43","127.985","4","","Houndstooth","C 2021 Houndstooth, P 2021 Houndstooth"
"spotify:track:0ZnswvbOB3b5i4N5so9dad","Fantôme","spotify:artist:3bleTECnmOHmAXDHp057aj","Hippie Hourrah","spotify:album:28zKoIAguk9AaZWVChjg5J","Hippie Hourrah!","spotify:artist:3bleTECnmOHmAXDHp057aj","Hippie Hourrah","2021-06-11","https://i.scdn.co/image/ab67616d0000b2733cb3a0fd36c86cc0b6584363","1","2","306453","https://p.scdn.co/mp3-preview/ca588c0a891ff43195f976b867959ed146bbb735?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","CAOUG2000002","spotify:user:","2022-11-15T16:39:12Z","","0.549","0.724","4","-7.833","1","0.028","0.11","0.135","0.0478","0.538","163.988","3","","Simone Records","C (C) 2021 Simone Records, P (P) 2021 Hippie Hourrah sous licence Simone Records"
"spotify:track:28c8ZDVltaCcs4OfIAuI8Z","Intrasport","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","spotify:album:6uuQKwM3fRETiscHqlnxuo","K.G.","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","2020-11-20","https://i.scdn.co/image/ab67616d0000b273237586c54940111fce760ff1","1","7","252630","https://p.scdn.co/mp3-preview/301edf0623d6d33d176a0510b71effae6c071e7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","AUTZK2000058","spotify:user:","2021-11-12T05:23:58Z","australian indie,australian psych,double drumming,microtonal,neo-psychedelic","0.655","0.9","7","-6.267","1","0.0423","0.0447","0.205","0.269","0.885","109.984","4","","KGLW (King Gizzard & the Lizard Wizard)","C © 2020 KGLW, P ℗ 2020 KGLW"
"spotify:track:75wCRzBwolcOkpB4OsRVnL","Angel Dust","spotify:artist:4A2XLQQao9kRsNKf4YfKxJ","Andreotti","spotify:album:7qCoXlzYUSkTNP6q5qkh8l","Angel Dust","spotify:artist:4A2XLQQao9kRsNKf4YfKxJ","Andreotti","2022-11-24","https://i.scdn.co/image/ab67616d0000b2732a7339a035faca29d979c1aa","1","1","417777","https://p.scdn.co/mp3-preview/a3a536ee2817cb34058e3062663ebbacea5ed6d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","CH6542282555","spotify:user:","2022-11-25T03:31:31Z","","0.399","0.883","2","-6.329","0","0.104","0.000501","0.0258","0.303","0.598","215.907","4","","iMD- Dischi Indipendenti","C 2022 Andreotti, P 2022 Andreotti"
"spotify:track:6bO1ZRc6JEvIhBgVQH4VPh","Human Touch","spotify:artist:4skJp5OKvcc9eKokiuhi2s","Pond","spotify:album:7mTPROFhQbXPcVobbPXV3h","Human Touch","spotify:artist:4skJp5OKvcc9eKokiuhi2s","Pond","2021-09-01","https://i.scdn.co/image/ab67616d0000b273f81471dcb3a87d78a31c0437","1","1","200382","https://p.scdn.co/mp3-preview/00f265337ec11937488f196b1c54d087edeeb178?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","AU9Z12100026","spotify:user:","2021-11-12T05:23:58Z","indie rock,neo-psychedelic","0.508","0.979","8","-6.923","1","0.115","0.0526","0.00931","0.137","0.149","147.968","4","","Spinning Top Records","C 2021 Spinning Top Records Pty Ltd, P 2021 Spinning Top Records Pty Ltd"
"spotify:track:16k2KM42CJEZ8uOC4v1vGV","Sally Go Round the Sun","spotify:artist:47bokO26f4LIt4zaAlCQwo","Elephant Stone","spotify:album:41HLlu4L2IDH7n9rHk8Yix","Elephant Stone","spotify:artist:47bokO26f4LIt4zaAlCQwo","Elephant Stone","2013-02-05","https://i.scdn.co/image/ab67616d0000b273dda8174e13d259a7b4f51169","1","7","104786","https://p.scdn.co/mp3-preview/30105a9eb41ed14d618ad5f5f2a80b12a2161fbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","CAA171230071","spotify:user:","2021-11-12T05:23:58Z","canadian psychedelic rock,neo-psychedelic","0.483","0.596","0","-7.601","1","0.0426","0.0000559","0.984","0.088","0.073","127.423","4","","Elephants on Parade","C (C) 2012 Elephants On Parade, P (P) 2013 Elephants On Parade"
"spotify:track:4BO3RC8xxcf9Jpvkl6UVJg","Time Bazaar","spotify:artist:6ahs4UAnYtpgTHHdiojFHt","The Holydrug Couple","spotify:album:2hFeS1xcEQx1vQA19nBfcR","Time Bazaar","spotify:artist:6ahs4UAnYtpgTHHdiojFHt","The Holydrug Couple","2022-04-01","https://i.scdn.co/image/ab67616d0000b2737eab88c91f12225e5f2f2b4b","1","1","236000","https://p.scdn.co/mp3-preview/5feea0c6acd625ca937c591cb389a373521f0945?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZGLS2295331","spotify:user:","2022-04-06T03:33:39Z","indie garage rock,neo-psychedelic,psicodelia chilena","0.581","0.714","3","-8.458","0","0.0282","0.0016","0.83","0.191","0.55","93.96","4","","Locus Amoenus","C 2022 Locus Amoenus, P 2022 Locus Amoenus"
"spotify:track:6qZjm61s6u8Ead9sWxCDro","Elephant","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:3C2MFZ2iHotUQOSBzdSvM7","Lonerism","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2012-01-01","https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193","1","9","211226","https://p.scdn.co/mp3-preview/bb55c4920c3cf48b6d8cca3bfedfdeb54809f847?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","AUUM71200495","spotify:user:","2022-04-12T18:03:13Z","australian psych,neo-psychedelic","0.598","0.553","9","-6.742","0","0.0397","0.562","0.157","0.257","0.533","123.075","4","","Modular","C © 2012 Modular Recordings, P ℗ 2012 Modular Recordings"
