"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2J2hVpwVV25EK8Bvd3OgCK","Don't Mess With My Man","spotify:artist:0OUXTnqjvTg4iZ7Lhq6vv7","Lucy Pearl","spotify:album:5cT0D5QzJo8coTaeT4OynR","Lucy Pearl","spotify:artist:0OUXTnqjvTg4iZ7Lhq6vv7","Lucy Pearl","2000","https://i.scdn.co/image/ab67616d0000b2737faa4455bdba540c4599ed6c","1","9","217666","https://p.scdn.co/mp3-preview/4eebc7993ebda50d4818efe176cbddae732873e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","CAU110013890","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T21:52:19Z","contemporary r&b,hip pop,neo soul,r&b,urban contemporary","0.904","0.655","6","-5.102","0","0.087","0.111","0.000167","0.0779","0.83","106.005","4","","UNIDISC MUSIC INC.","C 2000 Unidisc Music Inc., P 2000 Unidisc Music Inc."
"spotify:track:5sPoju3oZHg9Wq5KXxBH3a","Followers","spotify:artist:76YIoWHp3Ri3q1ocOPtFzp, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3XcCT5MPlQPWFTJyzXbfuX","AREA21, Martin Garrix, Maejor","spotify:album:3YRKOtLYysmk04YlzvpnU3","Followers","spotify:artist:76YIoWHp3Ri3q1ocOPtFzp, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3XcCT5MPlQPWFTJyzXbfuX","AREA21, Martin Garrix, Maejor","2021-09-17","https://i.scdn.co/image/ab67616d0000b27317ed0930fbee767857aea8bf","1","1","177206","https://p.scdn.co/mp3-preview/d15024a265708845e916cc15e2988c2eb5aca3f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USHR12142090","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-26T18:10:49Z","edm,pop dance,dance pop,dutch edm,edm,electro house,pop,pop dance,progressive house,tropical house,detroit hip hop","0.557","0.798","11","-4.162","1","0.0362","0.163","0.0000359","0.295","0.347","144.969","4","","Hollywood Records","C © 2021 STMPD RCRDS B.V. exclusively licensed to Hollywood Records, Inc., P ℗ 2021 STMPD RCRDS B.V. exclusively licensed to Hollywood Records, Inc."
"spotify:track:3Fzlg5r1IjhLk2qRw667od","Dancing in the Moonlight","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","spotify:album:2ww2PXKiHk7rNv26rjVJ5z","Onka's Big Moka","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","2000","https://i.scdn.co/image/ab67616d0000b273e16a6534cd5a968a5b725d03","1","2","232693","https://p.scdn.co/mp3-preview/d3ebc26617284b756aedf4e9176163ad050a5205?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBBBL9902165","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T21:28:55Z","british alternative rock","0.632","0.856","10","-3.463","1","0.0348","0.0624","0","0.347","0.867","119.397","4","","Sony Soho Square","P (P) 2001 Sony Music Entertainment (UK) Ltd."
"spotify:track:1zneM1cLjM6w8BFmukl2Lr","Fuck You","spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8","CeeLo Green","spotify:album:3MnOoZGbCDAjLf8jOImSbg","The Lady Killer (The Platinum Edition)","spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8","CeeLo Green","2010-11-09","https://i.scdn.co/image/ab67616d0000b273e0e33df58a7b008049dbefde","1","17","223066","https://p.scdn.co/mp3-preview/a01cd31d7b4ca5bfdcc58d065bf24d00c9ca01ec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USAT21001785","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-16T14:56:05Z","atl hip hop","0.689","0.836","0","-6.058","1","0.0559","0.187","0","0.162","0.749","127.411","4","","Radiculture/Elektra","C © 2010 Elektra Entertainment Group Inc. for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved., P ℗ 2010 Elektra Entertainment Group Inc. for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved."
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/657ab16e3f9b2d47ffbb2bc969db17ffcfc9198c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","USUM72206227","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T21:29:00Z","piano rock,pop","0.704","0.797","0","-5.927","1","0.0475","0.0826","0.000745","0.0546","0.825","139.994","4","","Interscope Records","C © 2022 Paramount Pictures, P ℗ 2022 Mosley Music/Interscope Records"
"spotify:track:3Ws8j16fKE1jj74XksiyV6","Sweet About Me","spotify:artist:5v2GEv1pQaCp6oeOQROdKE","Gabriella Cilmi","spotify:album:24mdmYfLkOYeM65OVV97Iz","Lessons To Be Learned","spotify:artist:5v2GEv1pQaCp6oeOQROdKE","Gabriella Cilmi","2008-01-01","https://i.scdn.co/image/ab67616d0000b27335163392302fdbce025b6342","1","2","202946","https://p.scdn.co/mp3-preview/f5b9f978eca9fe05629c5cfcde2d160e2be82b56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBUM70709626","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T21:53:09Z","australian pop,australian r&b","0.67","0.704","6","-5.333","1","0.0296","0.0734","0","0.147","0.542","132.062","4","","Universal-Island Records Ltd.","C © 2008 Universal Island Records Ltd. A Universal Music Company., P ℗ 2008 Universal Island Records Ltd. A Universal Music Company."
"spotify:track:3oobWqIgYrSRg18uqRuPIF","Superstar","spotify:artist:3f5W9NEwkc1SAIPFuumcaf","Jamelia","spotify:album:0XUV61T420G79IxYhTzrX7","Thank You","spotify:artist:3f5W9NEwkc1SAIPFuumcaf","Jamelia","2003-06-30","https://i.scdn.co/image/ab67616d0000b2733c0f5882f5ad3bc6fa4e2b8d","1","1","215480","","false","48","GBAYE0202055","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T21:56:11Z","dance pop,europop","0.801","0.645","1","-6.93","1","0.0356","0.0457","0","0.0357","0.824","110.01","4","","Woah Dad!","C 2003 Woah Dad!, P 2003 Woah Dad!"
"spotify:track:1qEHgdFqUxFebMPk8s2HLY","I Don't Feel Like Dancin' - Radio Edit","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","spotify:album:6LPpLYrjQYKtMfDUT1qjOz","I Don't Feel Like Dancin'","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","2006-01-01","https://i.scdn.co/image/ab67616d0000b273d0a50cacfb47854fa416cd6c","1","1","248640","https://p.scdn.co/mp3-preview/4378588f9193db051896bf43d8209b3d4bb29efd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBUM70602112","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T22:05:32Z","dance pop,dance rock,electropop","0.711","0.924","7","-3.398","1","0.0282","0.0156","0","0.114","0.912","108.033","4","","Polydor Records","C © 2006 Polydor Ltd. (UK), P ℗ 2006 Polydor Ltd. (UK)"
"spotify:track:5DLEOfuHbW3S6YXNKUX8h8","Street Dancer - Sgt Slick's Discotizer 2022 Remix","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:64rqoVt9ShRtUCU0bPKQll","Avicii, Sgt Slick","spotify:album:2fhQ63mzH0H68B0xpIbLqC","Street Dancer (Sgt Slick's Discotizer 2022 Remix)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:64rqoVt9ShRtUCU0bPKQll","Avicii, Sgt Slick","2022-08-05","https://i.scdn.co/image/ab67616d0000b2738b2b52634e050d6c3efc4524","1","1","173161","https://p.scdn.co/mp3-preview/fd41b7b13e2bd98c8a88aa5071bc15f5b32b5c14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","AUVC02201610","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T22:02:41Z","dance pop,edm,pop,pop dance,pop rap","0.657","0.935","2","-6.03","0","0.0676","0.00922","0.653","0.0536","0.92","124.007","4","","Vicious","C 2022 Vicious, a division of Vicious Recordings Pty Ltd, P 2022 Vicious, a division of Vicious Recordings Pty Ltd"
"spotify:track:5tf1VVWniHgryyumXyJM7w","Sugar (feat. Francesco Yates)","spotify:artist:3t5xRXzsuZmMDkQzgOX35S, spotify:artist:5X1JzPIIonP3u9lA580pPT","Robin Schulz, Francesco Yates","spotify:album:5XyJzEROSmup2TcWmVjTIt","Sugar","spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Robin Schulz","2015-09-25","https://i.scdn.co/image/ab67616d0000b2733c9047f9aa5d0d1e03827039","1","2","219043","https://p.scdn.co/mp3-preview/1a09c6373682009cbf981f0678ff2f8a1a950a44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","DEA621501057","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-27T21:00:30Z","dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,pop rap,tropical house,canadian pop","0.636","0.815","5","-5.098","0","0.0581","0.0185","0","0.163","0.636","123.063","4","","Tonspiel","C © 2015 TONSPIEL under exclusive license to Warner Music Group Germany Holding GmbH / A Warner Music Group Company, P ℗ 2015 TONSPIEL under exclusive license to Warner Music Group Germany Holding GmbH / A Warner Music Group Company"
