"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7HXBG0W8gFJwHUh5mVF9tf","Rise","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","spotify:album:48rrtJw6xklCA9GIV3Eb2L","Rise","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","2021-03-19","https://i.scdn.co/image/ab67616d0000b27397af9e1f4cee5d4e16925042","1","1","193018","https://p.scdn.co/mp3-preview/1f7184c389f836c9ae072d2d48de7cacbba56f7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","BEHP42100024","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:17:15Z","belgian edm,edm,pop,pop dance,tropical house","0.689","0.612","6","-6.014","1","0.0387","0.228","0.00000777","0.368","0.461","122.076","4","","Epic Amsterdam","P (P) 2021 Lost & Cie Music SPRL exclusively licensed to Epic Amsterdam, with courtesy of Sony Music Entertainment Belgium NV/SA"
"spotify:track:0ybwuh7d9YF7dVWBqDgpzd","Too Soon","spotify:artist:5MDZ4Vx0HejqeFJXMDBYIG","Benwah","spotify:album:72lIoWchPeGzLPUZXhgZHs","Too Soon","spotify:artist:5MDZ4Vx0HejqeFJXMDBYIG","Benwah","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a504254b5527a4c8baed0661","1","1","249919","https://p.scdn.co/mp3-preview/ee50bdaf32a658fc7237c1fcbcf5bed364597388?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBKQU2134681","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:17:40Z","","0.714","0.6","8","-10.429","1","0.0484","0.322","0.744","0.122","0.598","123.973","4","","Brooklyn Fire","C 2021 Brooklyn Fire, P 2021 Brooklyn Fire"
"spotify:track:0j5FJJOmmnXPd0XajFWkMF","Unfinished Sympathy - 2012 Mix/Master","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:5mAPk4qeNqVLtNydaWbWlf","Blue Lines (2012 Mix/Master)","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1991-06-10","https://i.scdn.co/image/ab67616d0000b273af5beb00d940f5ede452d6b5","1","6","308426","https://p.scdn.co/mp3-preview/9fa36b680178bd5619229743dd4527ffbf63ad86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAAA1200649","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:17:57Z","big beat,downtempo,electronica,trip hop","0.592","0.835","7","-8.475","1","0.032","0.0393","0.209","0.665","0.703","114.436","4","","Virgin Catalogue","C © 2012 Virgin Records Ltd, P ℗ 2012 Virgin Records Ltd"
"spotify:track:2cGxRwrMyEAp8dEbuZaVv6","Instant Crush (feat. Julian Casablancas)","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:1rAv1GhTQ2rmG94p9lU3rB","Daft Punk, Julian Casablancas","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-17","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","5","337560","https://p.scdn.co/mp3-preview/dff4261ee7fffc03993467ece3f29c9f4d553e52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USQX91300105","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:18:03Z","electro,filter house,indie rock","0.775","0.585","10","-9.516","0","0.0271","0.0422","0.619","0.077","0.518","109.942","4","","Columbia","P (P) 2013 Daft Life Limited under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2mkBHN67xLpHrpqOuj79Yz","Chase the Sun","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","spotify:album:4DcIgdBbqm0Fqhmh5RcoCD","Non Zero Sumness Plus One","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","2003-01-01","https://i.scdn.co/image/ab67616d0000b2730eae7423e0918e5699af1545","1","2","233040","https://p.scdn.co/mp3-preview/50285ee90a94064c4144888311f1d0fd10161c7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITB150200002","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:18:30Z","big beat,electronic rock","0.591","0.765","9","-7.511","0","0.0305","0.0152","0.028","0.357","0.485","128.014","4","","JE | Just Entertainment","C 2020 JE | Just Entertainment under exclusive license of Wisemama srl, P 2020 JE | Just Entertainment under exclusive license of Wisemama srl"
"spotify:track:5n9DJWUiwuKuPE9sCVbQ0n","Something About You","spotify:artist:4csQIMQm6vI2A2SCVDuM2z","Hayden James","spotify:album:5gOU7SYwgPAmw6tDUdsT9Q","Something About You","spotify:artist:4csQIMQm6vI2A2SCVDuM2z","Hayden James","2015-04-22","https://i.scdn.co/image/ab67616d0000b27312be0d681f5fb61d7a27e993","1","1","225181","https://p.scdn.co/mp3-preview/2edf3bff109991e99605d465a966d2194de61d42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","AUFF01400668","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:19:27Z","aussietronica,edm,gauze pop,house,pop dance,tropical house","0.861","0.602","2","-7.314","0","0.0617","0.369","0.0644","0.0751","0.684","114.978","4","","EMI","C © 2015 Future Classic Pty Ltd, under exclusive licence to Virgin EMI Records a division of Universal Music Operations Ltd, P ℗ 2015 Future Classic Pty Ltd, under exclusive licence to Virgin EMI Records a division of Universal Music Operations Ltd"
"spotify:track:6hgIDN5RsdT3ujELVkZKGO","Safe & Sound - Radio Edit","spotify:artist:2XiiUuK68XNdHaHOAF5hnT","Curbi","spotify:album:2ycU4CH1H9bT73DQnd2EpX","Safe & Sound","spotify:artist:2XiiUuK68XNdHaHOAF5hnT","Curbi","2021-10-01","https://i.scdn.co/image/ab67616d0000b273f7ac9f49848c81b79639b5fa","1","1","200166","https://p.scdn.co/mp3-preview/9c83888a289472fda0d1d1146d96a03cdbf9a064?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","BE5KW2100011","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:19:32Z","edm,electro house,future house,house,pop dance,progressive house","0.607","0.743","1","-7.01","0","0.035","0.0796","0.87","0.246","0.0871","119.978","4","","Tomorrowland Music","C © 2021 Tomorrowland Music, P ℗ 2021 Tomorrowland Music"
"spotify:track:6TO82rF4nqsBTwhHoSvnue","Mouthful of Diamonds","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH","Phantogram","spotify:album:4EbDqql0TmQPSDaSgDnoEZ","Eyelid Movies","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH","Phantogram","2010","https://i.scdn.co/image/ab67616d0000b27342ddb6b17d5a7ebbeb37051d","1","1","253426","https://p.scdn.co/mp3-preview/c70971dfdffc24da0ba1c5d05a5acdc2c01a8335?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USBS51300074","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:25:24Z","indietronica,metropopolis,modern rock","0.613","0.815","0","-4.541","1","0.0295","0.138","0.821","0.113","0.219","99.983","4","","Barsuk Records","C 2010 Barsuk Records, P 2010 Barsuk Records"
"spotify:track:6roBK59UIWUDEbaJniWxjb","Calypso Beach","spotify:artist:500YRyClzP6Z7HtWd1BIje","Northeast Party House","spotify:album:51Osp1nRdataUeiVpSKGJM","Dare","spotify:artist:500YRyClzP6Z7HtWd1BIje","Northeast Party House","2016-09-09","https://i.scdn.co/image/ab67616d0000b27321507b0b0716ad83ba57dac8","1","8","233169","https://p.scdn.co/mp3-preview/601e1dc57b629b1a8cd0c0229537bf8f93629c19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","AUSA31600009","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:25:44Z","australian indie","0.399","0.677","8","-7.562","0","0.0377","0.0171","0.294","0.129","0.378","122.022","4","","Stop Start Music","C 2016 Stop Start Music, P 2016 Stop Start Music"
"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Miss You","spotify:artist:6TLwD7HPWuiOzvXEa3oCNe, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Oliver Tree, Robin Schulz","spotify:album:32G4vFNwLJQjpzkOoGEUUo","Miss You","spotify:artist:6TLwD7HPWuiOzvXEa3oCNe, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Oliver Tree, Robin Schulz","2022-08-05","https://i.scdn.co/image/ab67616d0000b2735b1bff1152ef6d402c9b75a8","1","1","206000","https://p.scdn.co/mp3-preview/524ace4f6ea6cbbd8a192a402597a781210be07d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","94","USAT22211992","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:26:22Z","alternative hip hop,dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,pop rap,tropical house","0.587","0.742","6","-6.64","0","0.0529","0.0128","0.00107","0.146","0.199","145.007","4","","Atlantic Records","C © 2022 Atlantic Recording Corporation, P ℗ 2022 Atlantic Recording Corporation"
