"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2tn9zXqIZJbgL1swqwOktz","Praise You - Radio Edit","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","spotify:album:5vpSQUagobcDEf6IVcmM1m","Why Try Harder - The Greatest Hits","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2006-06-18","https://i.scdn.co/image/ab67616d0000b2739737959b4ac5694679793e66","1","2","227973","https://p.scdn.co/mp3-preview/e02d7d8d4f13937038fbf445ef62eea764bed8fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBBMQ0600005","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:38:14Z","big beat","0.622","0.884","1","-6.715","1","0.0467","0.0403","0.371","0.282","0.561","109.722","4","","Skint Records","C © 2006 Skint Records Limited, a BMG Company, P ℗ 2006 Skint Records Limited, a BMG Company"
"spotify:track:3hgdCqTrU786DoKcqMGsA8","A Taste of Hope","spotify:artist:5Y7rFm0tiJTVDzGLMzz0W1","IMANU","spotify:album:3jz1d9Z24nYiD9dFuL5m4S","A Taste of Hope","spotify:artist:5Y7rFm0tiJTVDzGLMzz0W1","IMANU","2021-02-24","https://i.scdn.co/image/ab67616d0000b273424c16d08937369f725ed626","1","1","223281","","false","0","GB2LD2110033","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:39:58Z","dutch dnb,future bass,vapor twitch","0.422","0.772","1","-4.674","1","0.0875","0.0264","0.555","0.0741","0.0791","75.66","1","","UKF","C 2021 UKF, P 2021 UKF"
"spotify:track:0awYObOk6SaUF1HovGwrVI","Never Be Mine","spotify:artist:72heZIc2iMXdpDwsTjTcCQ, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Biicla, Rome in Silver","spotify:album:7hJjm7oazb7hP0lTmLEuWF","Never Be Mine","spotify:artist:72heZIc2iMXdpDwsTjTcCQ, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Biicla, Rome in Silver","2022-04-07","https://i.scdn.co/image/ab67616d0000b273b232a69da803a15123a23ffc","1","1","154029","https://p.scdn.co/mp3-preview/a6dff579789a5e3eec72f9889ad889956b529819?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QM24S2201413","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:50:19Z","vapor twitch,future bass,vapor twitch","0.63","0.957","9","-4.029","0","0.051","0.00988","0.674","0.321","0.0369","133.986","4","","Good Luck Have Fun","P 2022 Good Luck Have Fun"
"spotify:track:6bUNEbXT7HovLW6BgPCBsb","Roses","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:1UsmQ3bpJTyK6ygoOOjG1r","Speakerboxxx/The Love Below","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2003","https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367","2","10","369573","https://p.scdn.co/mp3-preview/a2f7ec168b828b861bddaa67d3deec3c2914aa88?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USAR10301000","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T16:08:46Z","atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop","0.751","0.708","0","-5.653","1","0.0545","0.0482","0.0000185","0.107","0.509","108.97","4","","Arista","P (P) 2003 Arista Records LLC"
"spotify:track:3aImJnJlAgcE7bJ1NxthGt","Trick Me","spotify:artist:0IF46mUS8NXjgHabxk2MCM","Kelis","spotify:album:7zesXMFikT4DdgkklIk3Jz","Tasty","spotify:artist:0IF46mUS8NXjgHabxk2MCM","Kelis","2003-12-05","https://i.scdn.co/image/ab67616d0000b273e928de086eef7d3491b4390b","1","2","206106","https://p.scdn.co/mp3-preview/0242afdc296b6920e49075c3454d25aff50a9335?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USAR10301288","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T18:17:47Z","dance pop,electropop,hip pop,neo soul,r&b,urban contemporary","0.97","0.72","1","-3.347","0","0.149","0.0369","0.000389","0.326","0.962","107.17","4","","Virgin Records","C © 2003 Arista Records Ltd, P ℗ 2003 Arista Records Ltd"
"spotify:track:05IbhAKODbXn8og9uaUgpc","Permanence","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:19HFRWmRCl27kTk6LeqAO8","David Guetta, MORTEN","spotify:album:1Sq58aXNrzbQxmczMAtTGg","Permanence","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:19HFRWmRCl27kTk6LeqAO8","David Guetta, MORTEN","2022-01-07","https://i.scdn.co/image/ab67616d0000b273e469d452909ad1933ec36a5d","1","1","231290","https://p.scdn.co/mp3-preview/579afcd1afdf6223d32c3a36b7793430468446de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","NLZ542101922","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-24T06:11:27Z","big room,dance pop,edm,pop,pop dance,danish electronic,scandipop","0.32","0.799","2","-10.464","1","0.389","0.0564","0.584","0.31","0.032","165.492","3","","Musical Freedom","C © 2022 Musical Freedom Label Ltd., P ℗ 2022 Musical Freedom Label Ltd."
"spotify:track:4LjfIjS8iweFCPdKxLnEoV","Let Me Think About It","spotify:artist:30ut8L4gmEz4vNr1zNhpbh, spotify:artist:7dc6hUwyuIhrZdh80eaCEE","Ida Corr, Fedde Le Grand","spotify:album:4nLyl2aEgi2qQrcPiFlmD7","Singled Out","spotify:artist:30ut8L4gmEz4vNr1zNhpbh","Ida Corr","2013-05-03","https://i.scdn.co/image/ab67616d0000b273568636ad464813b16a94292a","1","5","151983","https://p.scdn.co/mp3-preview/af50276164338b6713717d0794049b55186725a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","DKUCA0700015","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-04T08:19:00Z","scandipop,dance pop,disco house,dutch house,edm,electro house,house,pop dance,pop edm,progressive electro house,progressive house,tropical house,vocal house","0.762","0.754","0","-3.425","0","0.046","0.00022","0.0665","0.146","0.715","129.026","4","","Lifted House","C (C) 2013 Lifted House"
"spotify:track:4wSmqFg31t6LsQWtzYAJob","Genesis","spotify:artist:1gR0gsQYfi6joyO1dlp76N","Justice","spotify:album:4GGazqHvuKwxBjWLFaJkDL","Justice","spotify:artist:1gR0gsQYfi6joyO1dlp76N","Justice","2007-06-11","https://i.scdn.co/image/ab67616d0000b2731c0bcf8b536295438d26c70d","1","1","234960","https://p.scdn.co/mp3-preview/95625c43d2e708b7b32da76427f14c7796bab7ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FR0NT0700300","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T14:52:28Z","alternative dance,electro house,electronica,filter house,new rave","0.693","0.789","9","-5.13","1","0.384","0.0168","0.366","0.0985","0.283","117.055","4","","Ed Banger Records","C 2007 Ed Banger Records under exclusive license to Because Music, P 2007 Ed Banger Records under exclusive license to Because Music"
"spotify:track:5fS6OJvDV6Gjj51vwVbLlj","Run","spotify:artist:0lpcim9mbdhneVMoTJDzud, spotify:artist:5nn0cIrXfm1pZ7jKFFexei, spotify:artist:6p8TIj6K0RhEhGSiM7rE7L","Stereo Cube, Atura, Zephire","spotify:album:0TjWwa2MUtV2qbRrcxV1Y5","The Adventures of Scoob Vol. 2: The Grand Scoob Hotel","spotify:artist:0lpcim9mbdhneVMoTJDzud","Stereo Cube","2017-01-22","https://i.scdn.co/image/ab67616d0000b273b180bfbda1ada99a8f41882b","1","2","318383","https://p.scdn.co/mp3-preview/310aac8c5d8ff42649ac80475180979cd59f7438?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","CA5KR1537023","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T17:47:54Z","future bass","0.429","0.638","1","-7.488","1","0.0553","0.0924","0.854","0.0742","0.0699","128.979","3","","Surreal Recordings","C 2017 Surreal Recordings, P 2017 Surreal Recordings"
"spotify:track:7gAr3qlzNMY1xBeu3kUQj5","Desperation - Primate Remix","spotify:artist:6p8TIj6K0RhEhGSiM7rE7L","Zephire","spotify:album:32VZ4p5bOeQmIzvN9AW9Ik","Sick Music 2019","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-01-25","https://i.scdn.co/image/ab67616d0000b273b9b2d5718cbcae4569e9a7be","1","23","304941","https://p.scdn.co/mp3-preview/bdc2f99b3f7fab4497d69bb2a5e8995ffbfad6dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","GBCJY1800277","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T18:09:51Z","","0.582","0.863","9","-5.046","0","0.0607","0.00177","0.79","0.392","0.29","170.098","4","","Hospital Records","C 2019 Hospital Records Limited, P 2019 Hospital Records Limited"
