"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7MV4NBFotO3y7Bpo9S6I2Y","New Guru","spotify:artist:7pXu47GoqSYRajmBCjxdD6, spotify:artist:1kkjXmcMmibTegsw0JtDwv, spotify:artist:7vWFpgyWJ9CXisL0x6vYJN","Vulfpeck, Vulf, Antwaun Stanley","spotify:album:3GcUSJfHkUDGlrN94sC5CF","New Guru","spotify:artist:7pXu47GoqSYRajmBCjxdD6, spotify:artist:1kkjXmcMmibTegsw0JtDwv","Vulfpeck, Vulf","2022-12-09","https://i.scdn.co/image/ab67616d0000b273fb905fd2d178c8c43e69d00e","1","1","204174","https://p.scdn.co/mp3-preview/4112b248e4c126f71776390502f841a718257f85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZTAZ2284640","spotify:user:","2022-12-09T05:00:00Z","ann arbor indie,funk rock,instrumental funk,praise","0.79","0.574","6","-9.073","0","0.176","0.0202","0","0.152","0.739","132.53","4","","Vulf Records","C 2022 Vulf Records, P 2022 Vulf Records"
"spotify:track:4z1AcciBLQ3PjnOiFCrEZd","Rock With Me - Jafunk Remix","spotify:artist:0DgTGEWTk0pHJ3SB0tDzzf, spotify:artist:3tTrvuZL6yAhHb1x2iWlBY, spotify:artist:5KtUig38eqxK2rOtHZnz0k","Sparkee, Liinks, Jafunk","spotify:album:20c9jp8MnyiEDthWVCsDYm","Rock With Me (Jafunk Remix)","spotify:artist:0DgTGEWTk0pHJ3SB0tDzzf, spotify:artist:5KtUig38eqxK2rOtHZnz0k","Sparkee, Jafunk","2022-10-28","https://i.scdn.co/image/ab67616d0000b273e4f9cc4ee1f1aa4e5d482422","1","1","125703","https://p.scdn.co/mp3-preview/53e2b06813809bcb948bbb14182c96afb75906da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QZTV32205287","spotify:user:","2022-10-28T04:01:00Z","funky house,indie soul,new french touch","0.753","0.573","11","-7.779","0","0.0508","0.00636","0.000285","0.0707","0.661","117.012","4","","Sparkee","C 2022 Sparkee, P 2022 Sparkee"
"spotify:track:2rAlaZWP0d14VyphXZEsZr","Park Your Car on My Face","spotify:artist:6uIst176jhzooPMetg2rtH","Louis Cole","spotify:album:57Xg6JumEnG5i5MBzJVdT7","Quality Over Opinion","spotify:artist:6uIst176jhzooPMetg2rtH","Louis Cole","2022-10-14","https://i.scdn.co/image/ab67616d0000b2737bed62fe63257e9edfe3bcb4","1","14","216040","https://p.scdn.co/mp3-preview/a961fc6c37dedac8564ac6b62dd6b5b02e52432a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","GBCFB2200269","spotify:user:","2022-10-17T14:55:07Z","la pop","0.782","0.955","8","-6.09","1","0.0688","0.436","0.00555","0.161","0.947","120.044","4","","Brainfeeder","C 2022 Brainfeeder, P 2022 Brainfeeder"
"spotify:track:2JRQQZzxZ9X0Mlq92q0jSy","Stop This Feeling","spotify:artist:2AQjGvtT0pFYfxR3neFcvz","Jordin Sparks","spotify:album:7xss4hIieMAnRHZgz8k6bF","Stop This Feeling","spotify:artist:2AQjGvtT0pFYfxR3neFcvz","Jordin Sparks","2022-11-11","https://i.scdn.co/image/ab67616d0000b273707a80b3332f9ef48f732e42","1","1","178000","https://p.scdn.co/mp3-preview/8c19fca309694dd4fc285b6e40b9a493d9334635?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","QZAKB2204426","spotify:user:","2022-11-11T05:01:00Z","dance pop,neo mellow,pop,post-teen pop,r&b,urban contemporary","0.826","0.736","5","-2.248","1","0.0512","0.0121","0.000843","0.0662","0.783","120.042","4","","Cozy Touring","C 2022 Cozy Touring, P 2022 Cozy Touring"
"spotify:track:3quWT2PJG1tbS1Q7T5yLKK","Fool For You","spotify:artist:4gdIEqgsdPdiAyNyArsLRz, spotify:artist:76wFPyb3pS7rjiDOJOeS7P","Apollo Theo, Jaz Lund","spotify:album:6rc9d2SLCNCHqAsmqyfYq4","Fool For You","spotify:artist:4gdIEqgsdPdiAyNyArsLRz, spotify:artist:76wFPyb3pS7rjiDOJOeS7P","Apollo Theo, Jaz Lund","2022-11-25","https://i.scdn.co/image/ab67616d0000b27324069c3ea0d4772d33b8e1c4","1","1","132209","https://p.scdn.co/mp3-preview/8066131e0618e28f21d6d0d60aae378cfd46f788?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","DEQ022291732","spotify:user:","2022-11-25T05:00:00Z","","0.7","0.815","1","-6.589","0","0.0665","0.0591","0","0.226","0.776","113.892","4","","For The Love Of It","C 2022 For The Love Of It. Distributed by Groove Attack, P 2022 For The Love Of It. Distributed by Groove Attack"
"spotify:track:3UmA9fMJcr6H8gJSKneZ1U","AA Side Single","spotify:artist:4r4tRC1EUpfUCLjwQXP5EA, spotify:artist:0ELXBCSsRl2m92MgnOsA69","Brooklyn Funk Essentials, Alison Limerick","spotify:album:6YGh1X0EPIt3kLJV91txRN","AA Side Single","spotify:artist:4r4tRC1EUpfUCLjwQXP5EA, spotify:artist:0ELXBCSsRl2m92MgnOsA69","Brooklyn Funk Essentials, Alison Limerick","2022-09-21","https://i.scdn.co/image/ab67616d0000b273478862f946f304fd92d80661","1","1","243808","https://p.scdn.co/mp3-preview/83dbc41a51365027b2b5d569846f566a960bf969?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","SEYAY2200103","spotify:user:","2022-09-23T04:00:00Z","modern funk,nu jazz,classic house,disco house,diva house,hip house,piano house,vocal house","0.904","0.695","9","-7.777","0","0.0423","0.202","0.000213","0.0928","0.947","102.978","4","","Dorado Records","C 2022 Black Plastic Magick under exclusive license to Dorado Records Limited, P 2022 Black Plastic Magick under exclusive license to Dorado Records Limited"
"spotify:track:440ldYsqevrNXmwwj9DD2B","Ice & Fire","spotify:artist:78mhiIF6AMT9bmfDp1P9NV, spotify:artist:4Ps1M3A9ck9G3gbPjllg7T, spotify:artist:6tQIsqw6DrDfdoPwOrOD6k, spotify:artist:4lujUKeO6nQAJXpq37Epn7","King Canyon, Otis McDonald, Eric Krasno, Son Little","spotify:album:1xauUnaLc4Baj0MmUbEggs","Ice & Fire","spotify:artist:78mhiIF6AMT9bmfDp1P9NV, spotify:artist:4Ps1M3A9ck9G3gbPjllg7T, spotify:artist:6tQIsqw6DrDfdoPwOrOD6k","King Canyon, Otis McDonald, Eric Krasno","2022-12-02","https://i.scdn.co/image/ab67616d0000b2732bddb5cdb1c9aefa159e9ec8","1","1","244835","https://p.scdn.co/mp3-preview/4558ffb3f585d351def220e36e3b7ad7e0bbf227?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QZWDD2241623","spotify:user:","2022-12-02T05:01:00Z","modern funk,funk,indie soul,soul","0.69","0.628","7","-9.388","0","0.0611","0.0048","0.000141","0.0955","0.495","79.967","4","","Mixto Records","C 2022 Mixto Records, P 2022 Mixto Records"
"spotify:track:0ucPJRg36w8HDRwi1GzYlQ","Better Off","spotify:artist:1wHteDz57DCfgztS5vR2jU, spotify:artist:1569hvm0IW3DHOfruYP2lM","The Past, Robbie Rosen","spotify:album:2Fl0KLMRuSOjCsUMKACIKJ","Better Off","spotify:artist:1wHteDz57DCfgztS5vR2jU, spotify:artist:1569hvm0IW3DHOfruYP2lM","The Past, Robbie Rosen","2022-11-25","https://i.scdn.co/image/ab67616d0000b27374d4d20ecd8d0b095d0de849","1","1","174300","https://p.scdn.co/mp3-preview/7b13acfcaf271448aa8b632eaf90b32aead79852?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QMDA62267205","spotify:user:","2022-11-25T05:00:00Z","","0.641","0.543","8","-8.066","0","0.0374","0.0138","0.00000113","0.167","0.667","100.009","4","","The Past","C (C) 2022 The Past, P (P) 2022 The Past"
"spotify:track:4hpVZXbR64gA01UCwFifdT","Humpty Dumpty","spotify:artist:1nOm8sUi8M1dyIAJ8B5SRc","Tendavillage","spotify:album:2tgHFkodm0ydkaJPgrd51k","Humpty Dumpty","spotify:artist:1nOm8sUi8M1dyIAJ8B5SRc","Tendavillage","2022-11-25","https://i.scdn.co/image/ab67616d0000b2732c82b7487bdaebdc4fc47e3d","1","1","170223","https://p.scdn.co/mp3-preview/c3b3de6bf682e2d4ad83a6c09033aa4af999486c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","CATU72189101","spotify:user:","2022-11-25T05:00:00Z","indie r&b","0.729","0.469","3","-11.107","0","0.216","0.295","0.00029","0.238","0.879","106.879","4","","Unbound By Sound","C 2022 Unbound by Sound, P 2022 Unbound by Sound"
"spotify:track:1TCb7N0GiCWBlYaV0veZ1X","made of","spotify:artist:1phSD0yoDFOv2kUbXzM1d4","Skyler Acord","spotify:album:6wHWVoohwI1MJZl3tiY28f","made of","spotify:artist:1phSD0yoDFOv2kUbXzM1d4","Skyler Acord","2022-11-23","https://i.scdn.co/image/ab67616d0000b2733dd2b2cfaacc248539dc7f56","1","1","182197","https://p.scdn.co/mp3-preview/b9a2e35e61bdd8029d4812c3ff265213c2fb63fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QMDA62298353","spotify:user:","2022-11-25T05:00:00Z","","0.581","0.836","3","-3.464","0","0.046","0.00109","0.119","0.13","0.834","155.106","4","","True Viridian","C (C) 2022 True Viridian, P (P) 2022 True Viridian"
