"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2liSXJK5oGKFch8OZ0Uinn","Picking Up (feat. Deb Never)","spotify:artist:4GoD5FJCgC0lbzde7ly44M, spotify:artist:55EarwWraRQY9diMo9Oeul","Biig Piig, Deb Never","spotify:album:1JSOuBXhYbc5c3IAnwTAHV","Picking Up (feat. Deb Never)","spotify:artist:4GoD5FJCgC0lbzde7ly44M, spotify:artist:55EarwWraRQY9diMo9Oeul","Biig Piig, Deb Never","2022-12-08","https://i.scdn.co/image/ab67616d0000b27383f2912ff1246e995d9c9d5c","1","1","175520","https://p.scdn.co/mp3-preview/75b873a840e11ae56ba0ae1a5cf906083e1265a2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","GBARL2202363","spotify:user:","2022-12-08T23:00:00Z","alternative r&b,indie soul,modern alternative pop,indie pop,modern indie pop","0.606","0.676","7","-7.427","1","0.0969","0.171","0","0.112","0.253","85.022","4","","RCA Records Label","P (P) 2022 Sony Music Entertainment UK Limited"
"spotify:track:6r836ND98CjgLGESPNV9c9","High","spotify:artist:587PA35pRGL1JwQr6idJbb, spotify:artist:23KIrX6iPiVOkx60F4bjNq","NEIL FRANCES, PawPaw Rod","spotify:album:3OI4BbvKr2O5KoehBvmqby","High","spotify:artist:587PA35pRGL1JwQr6idJbb, spotify:artist:23KIrX6iPiVOkx60F4bjNq","NEIL FRANCES, PawPaw Rod","2022-12-02","https://i.scdn.co/image/ab67616d0000b273a90e439969da7d349496cf02","1","1","164211","https://p.scdn.co/mp3-preview/26f1a019f537c7a2ddf0cea00e955e405cdbadd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","CAN112201175","spotify:user:","2022-12-08T23:00:00Z","indie soul,indie r&b","0.795","0.66","2","-10.331","1","0.164","0.181","0.0013","0.35","0.761","91.936","4","","Nettwerk Music Group","C 2022 NEIL FRANCES under exclusive license to Nettwerk Music Group Inc., P 2022 NEIL FRANCES under exclusive license to Nettwerk Music Group Inc."
"spotify:track:7GU2eDRZXYv1yAjF156ptF","Junk Sick (I'm on the run)","spotify:artist:1wWcqWYBaZeSYC0aAfh3qy","The Delta Riggs","spotify:album:3FLF7tU7Rc4CUSeY6D4XJ0","Junk Sick (I'm on the run)","spotify:artist:1wWcqWYBaZeSYC0aAfh3qy","The Delta Riggs","2022-12-09","https://i.scdn.co/image/ab67616d0000b273538305c624d356112d88208d","1","1","100066","https://p.scdn.co/mp3-preview/4ad42f710981f39f4c46bf4415901bde45d09cc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","DGA062275695","spotify:user:","2022-12-08T23:00:00Z","australian garage punk,australian indie","0.718","0.847","4","-3.221","0","0.134","0.00108","0.000957","0.0852","0.878","130.039","4","","The Delta Riggs","C 2022 The Delta Riggs, P 2022 The Delta Riggs"
"spotify:track:4EduJEjwxnq3bw8ITCxpQf","Queen of the Night","spotify:artist:2IjiuEObrCKyZvSb8xLxG9","filous","spotify:album:7AX7iptabwUqOi4rFekYgp","A Producer From Vienna","spotify:artist:2IjiuEObrCKyZvSb8xLxG9","filous","2022-12-09","https://i.scdn.co/image/ab67616d0000b2734a5009734f1cc95aaba88aee","1","7","147690","https://p.scdn.co/mp3-preview/37025a4b5b16f82b1e0f12c6e8830a5a91684c78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USUS12200845","spotify:user:","2022-12-08T23:00:00Z","deep tropical house,tropical house","0.782","0.646","0","-10.902","1","0.0354","0.345","0.781","0.133","0.759","123.588","4","","Ultra Records, LLC","P (P) 2022 Ultra Records, LLC"
"spotify:track:2mJYqrE4YIJxNAA5bGYOay","Monsoon","spotify:artist:0lIIsJafIVVi3ruN2vFzpS, spotify:artist:0z3YxKBfeFgP4PK1JQAdTw, spotify:artist:6rdwSiFsCT89qffpb3Q4hR","Moglii, Lion Sphere, Joel Miles","spotify:album:6fP7ehQYOXlGjbuLoHTl1c","Monsoon / Just a Feeling","spotify:artist:0lIIsJafIVVi3ruN2vFzpS, spotify:artist:0z3YxKBfeFgP4PK1JQAdTw, spotify:artist:6rdwSiFsCT89qffpb3Q4hR","Moglii, Lion Sphere, Joel Miles","2022-11-25","https://i.scdn.co/image/ab67616d0000b273116ef5c9bba91e1e7e55568c","1","1","166400","https://p.scdn.co/mp3-preview/8d2e9d4df09665aa7c926e12221c797fee8e2026?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QMDA72208189","spotify:user:","2022-12-08T23:00:00Z","vapor soul,german indie","0.494","0.474","11","-11.287","0","0.293","0.695","0.00045","0.134","0.321","211.986","4","","Moglerecords","C (C) 2022 Moglerecords, P (P) 2022 Moglerecords"
"spotify:track:6mfM11rZkoXsU5xAArF4Ix","Like The Old Days","spotify:artist:0vTVU0KH0CVzijsoKGsTPl","Barry Can't Swim","spotify:album:1UKTx4oagTgTO2PVtoTWf3","Like The Old Days","spotify:artist:0vTVU0KH0CVzijsoKGsTPl","Barry Can't Swim","2022-11-15","https://i.scdn.co/image/ab67616d0000b27318ef527316c945aa9218fad1","1","1","240041","https://p.scdn.co/mp3-preview/97ce8bb333d5902220ae1c240b8fc48959cc82ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBCFB2200807","spotify:user:","2022-12-08T23:00:00Z","electronica,indie soul","0.654","0.79","0","-10.384","1","0.0388","0.0035","0.859","0.257","0.627","121.993","4","","Technicolour","C 2022 Technicolour, P 2022 Technicolour"
"spotify:track:2XyDgvJov4rPwMWdihlXiZ","Running Out Of Time","spotify:artist:57pf34Iuz55tqsKYxa3BOf, spotify:artist:4VFDBAAO80bu4bTcVJ6M8i, spotify:artist:1n3X60xWCyL1zytSiKeu4D","HANDSOME, flowerkid, St. South","spotify:album:1t3C39uMHC1kGCg28PGNHQ","Running Out Of Time","spotify:artist:57pf34Iuz55tqsKYxa3BOf, spotify:artist:4VFDBAAO80bu4bTcVJ6M8i, spotify:artist:1n3X60xWCyL1zytSiKeu4D","HANDSOME, flowerkid, St. South","2022-12-07","https://i.scdn.co/image/ab67616d0000b2735ba0eb6680aed92daca426d4","1","1","200470","https://p.scdn.co/mp3-preview/081c0a609a6fe6f78763df9388bb4b3f9436c00f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","AUDJ02202485","spotify:user:","2022-12-08T23:00:00Z","australian electropop,transpop,electropop,vapor soul","0.545","0.646","10","-7.434","0","0.0417","0.00296","0.0000285","0.087","0.228","169.981","4","","Dot Dash Recordings","C 2022 Dot Dash Recordings, P 2022 Dot Dash Recordings"
"spotify:track:2xoqcZ8vR9eH3bOsUeg8r6","Kiss - Konstantin Sibold & Colyn Alternative Edit","spotify:artist:6e9wIFWhBPHLE9bXK8gtBI, spotify:artist:5Ls75umF4lBOQVp3pJAlbW, spotify:artist:5vr1GvUstxr6nwxniKqLOh","Editors, Konstantin Sibold, Colyn","spotify:album:04IxzyKjiLFRXO6Pi15osR","Kiss (Colyn & Konstantin Sibold Remix)","spotify:artist:6e9wIFWhBPHLE9bXK8gtBI, spotify:artist:5vr1GvUstxr6nwxniKqLOh, spotify:artist:5Ls75umF4lBOQVp3pJAlbW","Editors, Colyn, Konstantin Sibold","2022-12-07","https://i.scdn.co/image/ab67616d0000b27334ed8b9ed556313eba2a26d8","1","2","453604","https://p.scdn.co/mp3-preview/bcd43f46786c7cb5e88c5bcca74833eb03c448ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBENL2203510","spotify:user:","2022-12-08T23:00:00Z","alternative dance,britpop,indie rock,modern rock,rock,melodic techno","0.556","0.815","6","-6.979","0","0.0431","0.000702","0.271","0.0639","0.236","123.986","4","","Play It Again Sam","C 2022 Play It Again Sam, P 2022 Play It Again Sam"
"spotify:track:0fER4siVB8s68N3JkFAI4O","Sensitive Child - Soulwax Remix","spotify:artist:4KDu9uqzqseVCpQXMa8Pvm, spotify:artist:43mWhBXSflupNLuNjM5vff","Oliver Sim, Soulwax","spotify:album:1j93UmCt06HQ9XCVqAitcA","Sensitive Child (Soulwax Remix)","spotify:artist:4KDu9uqzqseVCpQXMa8Pvm, spotify:artist:43mWhBXSflupNLuNjM5vff","Oliver Sim, Soulwax","2022-12-01","https://i.scdn.co/image/ab67616d0000b27384063bd70b1289d9555aacd1","1","1","346093","https://p.scdn.co/mp3-preview/61989d41625d725636f01fb0596fef4b95f470bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","UK7MC2200219","spotify:user:","2022-12-08T23:00:00Z","art pop,electronica,alternative dance,belgian electronic,belgian indie,belgian indie rock,belgian rock,big beat,electro house,electronica,filter house,ghent indie,mashup,new rave","0.714","0.933","0","-5.207","1","0.0433","0.0251","0.592","0.108","0.782","120.008","4","","Young","C 2022 Young, P 2022 Young"
"spotify:track:6lvkerHwEFR7Vm8ey2gEX2","01.39 AM","spotify:artist:3QD8Op2asIft2YDqX154NB","Effemar","spotify:album:13nkkmqmEUw72oBSPmXEFk","At Night EP","spotify:artist:3QD8Op2asIft2YDqX154NB","Effemar","2022-12-09","https://i.scdn.co/image/ab67616d0000b27305d847064f1ebf8cfe907fa3","1","3","228338","https://p.scdn.co/mp3-preview/3aa4f4753333e8a77c2d030c634ad96073591d1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QMFME2206107","spotify:user:","2022-12-08T23:00:00Z","","0.503","0.663","11","-7.572","1","0.0953","0.0796","0.894","0.0675","0.163","139.68","4","","aube","C (C) 2022 aube, P (P) 2022 aube"
