"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6v3UX3KGvhYwphqipOO84l","Black Diamond - Remastered 2016","spotify:artist:1O8CSXsPwEqxcoBE360PPO","Stratovarius","spotify:album:0nNcvYfLnlpw3YGj4ka1QO","Best Of (Remastered)","spotify:artist:1O8CSXsPwEqxcoBE360PPO","Stratovarius","2016-05-20","https://i.scdn.co/image/ab67616d0000b27379cb965cf070dd1d40c820dd","1","24","341000","https://p.scdn.co/mp3-preview/ef8cffb30b22e035659d1b4a8c4798edbb4d46fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","DEH841600344","spotify:user:","2022-10-25T17:33:07Z","finnish power metal,melodic metal,metal,neo classical metal,power metal,progressive metal,symphonic metal","0.391","0.991","1","-5.934","0","0.0759","0.0000882","0.0687","0.0803","0.236","149.863","4","","earMUSIC","C 2016 Edel Germany GmbH. earMUSIC is a project of Edel., P 2016 Edel Germany GmbH. earMUSIC is a project of Edel."
"spotify:track:6imjJij6aCM0IbbODUzJQn","Kickstart My Heart","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","spotify:album:23krn1eEy7o3u9laLI1PLD","Dr. Feelgood (Deluxe Version)","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","1989-09-01","https://i.scdn.co/image/ab67616d0000b27357338231dc4a85d5aed03186","1","5","284026","https://p.scdn.co/mp3-preview/4ea9595ead27e38178e78f12298eeaabd1d9ac31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USBY29900215","spotify:user:","2022-10-25T17:33:07Z","glam metal,hard rock,metal,rock,sleaze rock","0.465","0.977","7","-3.839","0","0.175","0.00111","0.00298","0.201","0.233","89.535","4","","BMG Rights Management (US) LLC","C © 1989 BMG Rights Management (US) LLC, P ℗ 1989 BMG Rights Management (US) LLC"
"spotify:track:1jzDzZWeSDBg5fhNc3tczV","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:132qAo1cDiEJdA3fv4xyNK","Paranoid (2009 Remastered Version)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d","1","2","168440","https://p.scdn.co/mp3-preview/1f44282274e902ae77f39853a77694f15a93eb64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAJE7000057","spotify:user:","2022-10-25T17:33:07Z","album rock,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal","0.429","0.631","4","-11.514","0","0.0769","0.0000785","0.00411","0.175","0.376","162.734","4","","Sanctuary Records","C © 2009 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2009 Gimcastle Ltd. under exclusive licence to Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:57bgtoPSgt236HzfBOd8kj","Thunderstruck","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:4vu7F6h90Br1ZtYYaqfITy","The Razors Edge","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1990-09-24","https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508","1","1","292880","https://p.scdn.co/mp3-preview/01b367e5b8032faf123793fe7c1c5e7daf4cc7ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","AUAP09000014","spotify:user:","2022-10-25T17:33:07Z","australian rock,hard rock,rock","0.502","0.89","4","-5.175","1","0.0364","0.000147","0.0117","0.217","0.259","133.52","4","","Columbia","P (P) 1990 Leidseplein Presse B.V."
"spotify:track:7N3PAbqfTjSEU1edb2tY8j","Jump - 2015 Remaster","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","spotify:album:3REUXdj5OPKhuDTrTtCBU0","1984 (Remastered)","spotify:artist:2cnMpRsOVqtPMfq7YiFE6K","Van Halen","1984-01-04","https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed","1","2","241599","https://p.scdn.co/mp3-preview/afe282c3bd55e154592f1fc03eed3f119b672a2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB11403680","spotify:user:","2022-10-25T17:33:07Z","album rock,classic rock,hard rock,metal,rock","0.572","0.835","0","-6.219","1","0.0317","0.171","0.000377","0.0702","0.795","129.981","4","","Rhino/Warner Records","C © 1983 Warner Records Inc., P ℗ 1983 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:3D8KAebbZgAFdVjTrsNgOI","Race with the Devil","spotify:artist:2TRtXTjjmyzK5oUGec1Gv8","Girlschool","spotify:album:29pafrkScKO52XQZ4eluRa","Demolition","spotify:artist:2TRtXTjjmyzK5oUGec1Gv8","Girlschool","1980-06-30","https://i.scdn.co/image/ab67616d0000b273dee30addcbeea529670a7f54","1","3","171960","https://p.scdn.co/mp3-preview/1004de84f89c03f105fa5a4db4627c804bb20b0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAJE8000032","spotify:user:","2022-10-25T17:33:07Z","hard rock,metal,nwobhm","0.21","0.882","0","-6.942","0","0.111","0.000238","0.671","0.318","0.329","169.758","4","","Sanctuary Records","C © 2004 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2004 Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:6xq5DxZWGgdStAxGAil0yw","Since You Been Gone","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:1xlTRhgWQSEvu9DPHVn8uJ","Down To Earth","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","1979-01-01","https://i.scdn.co/image/ab67616d0000b273380a8be605d3765f34ec54f7","1","5","197160","https://p.scdn.co/mp3-preview/b07f2cc08920ffcbbea284ec32b6f482ffa7fe05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USPR37930021","spotify:user:","2022-10-25T17:33:07Z","album rock,blues rock,classic rock,glam metal,hard rock,metal,rock","0.733","0.726","7","-6.514","1","0.0371","0.379","0.00000258","0.471","0.915","120.814","4","","Polydor","C © 1979 Polydor Ltd. (UK), P ℗ 1979 Polydor Ltd. (UK)"
"spotify:track:6EPRKhUOdiFSQwGBRBbvsZ","Ace of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:3rxF05Aux0QTrN533Kjc91","Ace of Spades (Expanded Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b2732051e219a4af7648223953c1","1","1","166360","https://p.scdn.co/mp3-preview/bc5489ee6d088bed57343a92d0c896b4560ba94f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAJE8000033","spotify:user:","2022-10-25T17:33:07Z","album rock,hard rock,metal,rock,speed metal","0.342","0.91","4","-7.748","1","0.0758","0.0000402","0.000121","0.0823","0.547","140.452","4","","Sanctuary Records","C © 2008 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2005 Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:6S9q9mEifNdnTNlli2xSuD","I Was Made For Lovin' You","spotify:artist:07XSN3sPlIlB2L2XNcTwJw","KISS","spotify:album:4ZI8J8xcvFTje53q91yAFs","Dynasty (Remastered Version)","spotify:artist:07XSN3sPlIlB2L2XNcTwJw","KISS","1979-03-23","https://i.scdn.co/image/ab67616d0000b27364167a22238ce39af0f4994d","1","1","271240","https://p.scdn.co/mp3-preview/0e07a02216e2f47ae7d4f1eccecbbe39170d32b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USPR39330175","spotify:user:","2022-10-25T17:33:07Z","album rock,glam rock,hard rock,metal,rock","0.768","0.852","4","-6.215","1","0.038","0.213","0.0000745","0.0723","0.867","128.374","4","","Mercury","C © 1997 Kiss Catalog, Ltd., P ℗ 1979 The Island Def Jam Music Group"
"spotify:track:4Zc7TCHzuNwL0AFBlyLdyr","Run to the Hills - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:5S3gls8Kjn8KVmqlIDEBbO","The Number of the Beast (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322","1","6","233506","https://p.scdn.co/mp3-preview/c315f66924d7e6427784fbda66d1772f3cbfda89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBCHB1800025","spotify:user:","2022-10-25T17:33:07Z","hard rock,metal,nwobhm,rock","0.249","0.943","0","-5.188","1","0.0669","0.0286","0.00401","0.162","0.458","173.671","4","","Parlophone UK","C © 2018 Iron Maiden LLP, P ℗ 1982, 2015 Iron Maiden LLP under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:5F4PRUrsZQ8zTppxd6OA9a","Only the Brave","spotify:artist:1MZ8NERIuOS610KBhr6yna","Tygers Of Pan Tang","spotify:album:3amo8Qg9VoTutpiftk6oAO","Tygers of Pan Tang","spotify:artist:1MZ8NERIuOS610KBhr6yna","Tygers Of Pan Tang","2016-10-21","https://i.scdn.co/image/ab67616d0000b2737d9045f72e71e384ed306c26","1","1","303546","https://p.scdn.co/mp3-preview/0f09fbda8fd6533db1c8a00b86d37d82e21a6e16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DKQ4A1615601","spotify:user:","2022-10-25T17:33:07Z","hard rock,metal,modern hard rock,nwobhm","0.356","0.894","9","-6.825","0","0.0796","0.0000267","0.00806","0.0602","0.237","153.098","4","","Mighty Music","C Mighty Music, P Mighty Music"
"spotify:track:7txxAtOMwLLnQTpKeBL6bp","Mother","spotify:artist:34c4iQ5tkaZKu6Sv28BTde","Danzig","spotify:album:3elIDlrTtrgKfbxYVgp3uW","Danzig","spotify:artist:34c4iQ5tkaZKu6Sv28BTde","Danzig","1988-01-01","https://i.scdn.co/image/ab67616d0000b273bc8d8db760af7b9d0c91747f","1","6","204866","https://p.scdn.co/mp3-preview/f64c1adbd9ea0e4c8c48e78fbae0aacf230ea3c8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USSM18800169","spotify:user:","2022-10-25T17:33:07Z","alternative metal,hard rock,metal,rock","0.365","0.763","11","-9.45","0","0.0591","0.00726","0.000457","0.0865","0.342","148.366","4","","American Recordings Catalog P&D","C © 1988 American Recordings, LLC, P ℗ 1988 American Recordings, LLC"
"spotify:track:4ie42LCUKcp68EnZOMw9PG","Wheels of Steel - 2009 Remastered Version","spotify:artist:71vVmHeNgCVSa5SVmfvscU","Saxon","spotify:album:6EGEGr4oY0PsV6yGBxeQ8J","Wheels of Steel (2009 Remastered Version)","spotify:artist:71vVmHeNgCVSa5SVmfvscU","Saxon","1980","https://i.scdn.co/image/ab67616d0000b2732910519edbe59770831f77ed","1","4","358698","https://p.scdn.co/mp3-preview/6d48a679e18b39f5104e20aac3ef2610d2877972?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GB01A0900049","spotify:user:","2022-10-25T17:33:07Z","album rock,glam metal,hard rock,metal,nwobhm,power metal,rock","0.539","0.783","8","-6.651","1","0.0517","0.00147","0.742","0.151","0.143","131.374","4","","Union Square","C © 2009 Union Square Music Limited, a BMG Company, P ℗ 1980 2009 Union Square Music Limited, a BMG Company"
"spotify:track:2SiXAy7TuUkycRVbbWDEpo","You Shook Me All Night Long","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6mUdeDZCsExyJLMdAfDuwh","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae","1","7","210173","https://p.scdn.co/mp3-preview/ca7869f25dd152e58aa5a37addf6d44f7da1fe21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","AUAP08000047","spotify:user:","2022-10-25T17:33:07Z","australian rock,hard rock,rock","0.532","0.767","7","-5.509","1","0.0574","0.00287","0.000513","0.39","0.755","127.361","4","","Columbia","P (P) 1980 Leidseplein Presse B.V."
"spotify:track:5XcZRgJv3zMhTqCyESjQrF","Poison","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","spotify:album:033cvSPAuSU5ArRfIgQSDU","Trash","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","1989-07-25","https://i.scdn.co/image/ab67616d0000b2735d149c05419231f335e35bb7","1","1","270080","https://p.scdn.co/mp3-preview/2bb00531c30fc16a7105e7c88a77e0b904fb9f65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USSM18900004","spotify:user:","2022-10-25T17:33:07Z","album rock,blues rock,classic rock,detroit rock,glam metal,glam rock,hard rock,metal,protopunk,rock","0.28","0.908","2","-5.509","0","0.109","0.0327","0.00000885","0.18","0.26","118.698","4","","Epic","P (P) 1989 Sony Music Entertainment Inc."
"spotify:track:1mIEtP4RLqJn5xk8omStDv","Mexican Radio","spotify:artist:4ZISAmHmQUDCpv8xydqeKG","Celtic Frost","spotify:album:2itSTDBhhVmJc5287zvnq0","Into the Pandemonium (Expanded Version)","spotify:artist:4ZISAmHmQUDCpv8xydqeKG","Celtic Frost","1987-01-01","https://i.scdn.co/image/ab67616d0000b2735b18074196855bf61d2599c5","1","1","209320","https://p.scdn.co/mp3-preview/e749dd3746ca8f9d39a8e754b5549b5ecdc203e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","DEA249919001","spotify:user:","2022-10-25T17:33:07Z","black metal,black thrash,death metal,deathrash,doom metal,metal,old school thrash,swiss black metal,swiss metal","0.242","0.931","7","-7.779","1","0.0777","0.00000983","0.0792","0.0371","0.424","178.937","4","","Noise Records","C © 2017 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2017 Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:2MuWTIM3b0YEAskbeeFE1i","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Lq2qX3hYhiuPckC8Flj21","Master Of Puppets (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20","1","2","515386","https://p.scdn.co/mp3-preview/3ea11805dc036eb98ff7435839ca4caba9a95c40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","QMKHM1600219","spotify:user:","2022-10-25T17:33:07Z","hard rock,metal,old school thrash,rock,thrash metal","0.543","0.836","4","-9.11","0","0.0353","0.000647","0.431","0.153","0.56","105.173","4","","Blackened Recordings / Universal Music","C © 2017 Blackened Recordings Inc., under exclusive licence to Universal International Music B.V., P ℗ 2017 Blackened Recordings Inc., under exclusive licence to Universal International Music B.V."
