"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:317IZhdCGvInrl3vcmxOlq","Shout","spotify:artist:0jYKX08u1XxmHrl5TdM2QZ","Lulu","spotify:album:1bCXn9wG3R40gzR5hwRWmP","The EP Collection","spotify:artist:0jYKX08u1XxmHrl5TdM2QZ","Lulu","1996-11-07","https://i.scdn.co/image/ab67616d0000b273b1515d891366ca464b90f52b","1","23","172133","https://p.scdn.co/mp3-preview/d248b1a024456630c4da5961c92bf44914be6f1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBVVQ1302154","spotify:user:","2022-05-06T19:58:09Z","british invasion,bubblegum pop,classic uk pop,merseybeat,rock-and-roll","0.443","0.715","4","-10.329","1","0.0372","0.248","0.000541","0.459","0.872","143.655","4","","See For Miles","C 1996 See For Miles Records Ltd, P 1996 See For Miles Records Ltd"
"spotify:track:667HVkr7MavlBv2DhzQS3k","Tanze Samba mit mir","spotify:artist:1GGf6x5AG09cZo9sDRnhAA","Tony Holiday","spotify:album:2UacSsDzKWdJyhCZsUXEkO","Tanze Samba mit mir (Originale)","spotify:artist:1GGf6x5AG09cZo9sDRnhAA","Tony Holiday","2012-01-01","https://i.scdn.co/image/ab67616d0000b2730674b37a595ddc1134f162ab","1","7","159200","https://p.scdn.co/mp3-preview/362bcebdce9222ddb93869f68c6725b3d8895bc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DEF067803940","spotify:user:","2022-05-06T19:58:09Z","classic schlager","0.575","0.855","0","-5.89","1","0.138","0.56","0","0.0682","0.877","125.284","4","","Koch Music","C © 2012 Koch/Universal Music - a division of Universal Music GmbH / Germany, P This Compilation ℗ 2012 Koch/Universal Music - a division of Universal Music GmbH / Germany"
"spotify:track:3Vby4nGmtbDo7HDJamOWkT","Stuck In The Middle With You","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","spotify:album:5ApN9lqru1t3Xh1IaEGTll","Stealers Wheel","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","1972-01-01","https://i.scdn.co/image/ab67616d0000b273a5ce236c22035a02cf87d4de","1","2","208946","https://p.scdn.co/mp3-preview/b6aec4b728d43e96744a903152d6c6305db4ec67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBAAM7200002","spotify:user:","2022-05-06T19:58:09Z","classic rock,classic uk pop,folk rock","0.82","0.575","7","-9.144","1","0.0408","0.0936","0.000135","0.109","0.964","123.765","4","","UMC (Universal Music Catalogue)","C © 2008 Mercury Records Limited, P ℗ 1972 A&M Records"
"spotify:track:2HoqbEOXgbDSLZ5XCePEXt","Hit the Road Jack","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","spotify:album:6ARDVnSbcuiC1ROfWYY4SD","Soul","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","2021-06-04","https://i.scdn.co/image/ab67616d0000b273afb055fcddab0300b316b54a","1","1","119880","https://p.scdn.co/mp3-preview/5cc15bc6958a120ffa3d6b0e589e66d0e08173bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","QZR8K2111005","spotify:user:","2022-05-06T19:58:09Z","adult standards,classic soul,jazz blues,piano blues,soul,soul blues,vocal jazz","0.598","0.571","8","-12.616","0","0.139","0.704","0","0.513","0.962","173.141","4","","Tangerine Records","C 2021 Tangerine Records Released Under Exclusive License to Exceleration Music Partners LLC by the Ray Charles Foundation, P 2021 Tangerine Records Released Under Exclusive License to Exceleration Music Partners LLC by the Ray Charles Foundation"
"spotify:track:4GhtDORJiSRYxj6M1bv0vX","Love Really Hurts Without You","spotify:artist:5IDs1CK15HegSAhGEbSYXo","Billy Ocean","spotify:album:6o3pySsbnUSjfJvLFSMZgz","Billy Ocean (Expanded Edition)","spotify:artist:5IDs1CK15HegSAhGEbSYXo","Billy Ocean","1976-01-05","https://i.scdn.co/image/ab67616d0000b273da8119b8c2aea9f623289862","1","5","179013","https://p.scdn.co/mp3-preview/c4a620aaded9abc4e811013b0777cd474a1964a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAHK9700121","spotify:user:","2022-05-06T19:58:09Z","disco,mellow gold,new romantic,new wave pop,soft rock,yacht rock","0.518","0.907","5","-3.732","1","0.0343","0.00221","0.0000115","0.0838","0.961","140.982","4","","Sony Music UK","P This compilation (P) 2010 Sony Music Entertainment UK Limited"
"spotify:track:5gOd6zDC8vhlYjqbQdJVWP","Baker Street","spotify:artist:7tjbDPvrdvDshcpEMXKRVb","Gerry Rafferty","spotify:album:35yZZTWeSrszSKjRlFETwf","City to City","spotify:artist:7tjbDPvrdvDshcpEMXKRVb","Gerry Rafferty","1978","https://i.scdn.co/image/ab67616d0000b273dc60cf9a010f86354e6735dd","1","2","365626","https://p.scdn.co/mp3-preview/675fae4d349f14c2980d5f72b5894aa6b010d9f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBAYE7800619","spotify:user:","2022-05-06T19:58:09Z","album rock,art rock,classic rock,classic uk pop,country rock,folk rock,mellow gold,singer-songwriter,soft rock","0.497","0.349","7","-14","1","0.0297","0.0929","0.028","0.259","0.421","113.762","4","","Parlophone UK","C © 1978 Parlophone Records Ltd, P ℗ 1978 Parlophone Records Ltd. All rights reserved. Unauthorized reproduction is a violation of applicable laws."
"spotify:track:6FT83pFXKhDlXDsNJFAHWz","You Never Can Tell","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","spotify:album:6ITR4bqkKZGyanAlQgXtyK","St. Louis To Liverpool","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","1964-11-01","https://i.scdn.co/image/ab67616d0000b273e226488b7af9f296c95be551","1","6","161906","https://p.scdn.co/mp3-preview/e1f027fe4cf2ed65e361ab95c4d5c961927bd433?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USMC16419660","spotify:user:","2022-05-06T19:58:09Z","blues rock,classic rock,rock,rock-and-roll,rockabilly","0.525","0.852","7","-9.519","1","0.222","0.731","0.0000511","0.218","0.884","157.404","4","","Geffen","C © 1964 UMG Recordings, Inc., P A Geffen Records Release; This Compilation ℗ 1964 UMG Recordings, Inc."
"spotify:track:4gIBVzdQutBd809V7cxyhg","Keep On Running - Mono Version","spotify:artist:3i9hP422d2KMjaupTzBNVS","The Spencer Davis Group","spotify:album:2VzPbH9M7hVNDF1PvY2dTA","The Second Album","spotify:artist:3i9hP422d2KMjaupTzBNVS","The Spencer Davis Group","1966","https://i.scdn.co/image/ab67616d0000b273a8e5e1f9943c9a7fb365ab29","1","2","166573","https://p.scdn.co/mp3-preview/ad24e4cf57ab52f9c5bfe9b5a26bd275f107b9c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAAN6500004","spotify:user:","2022-05-06T19:58:09Z","blues rock,british blues,british invasion,bubblegum pop,classic rock,folk rock,merseybeat,protopunk,psychedelic rock,rock,rock-and-roll","0.66","0.768","9","-5.731","1","0.127","0.189","0","0.225","0.737","138.3","4","","UMC (Universal Music Catalogue)","C © 1966 Universal-Island Records Ltd., P This Compilation ℗ 1966 Universal-Island Records Ltd."
"spotify:track:6rpljHv0NRZ5pH8gV2zG4U","Do You Love Me","spotify:artist:2ugPdplEWBmyU6EcIzlcY1","The Contours","spotify:album:1qyWvg7BnT9G2bhm2G2AXk","The Very Best of the Contours","spotify:artist:2ugPdplEWBmyU6EcIzlcY1","The Contours","2011-03-29","https://i.scdn.co/image/ab67616d0000b273f078364e78e91d8af68c5005","1","1","174986","https://p.scdn.co/mp3-preview/283cf25895c6c3542c710b8e8fe4a4230eb49179?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USXTN1047114","spotify:user:","2022-05-06T19:58:09Z","motown,northern soul,soul","0.62","0.808","5","-6.566","1","0.0382","0.455","0","0.0758","0.788","150.768","4","","Classic Music International","C 2011 Classic Music International, P 2011 Classic Music International"
"spotify:track:29SyMC0plk6qw8NMF7lfRL","You Really Got Me","spotify:artist:1SQRv42e4PjEYfPhS0Tk9E","The Kinks","spotify:album:08G3mGQXuHItbbsFAz50gJ","Kinks (Deluxe)","spotify:artist:1SQRv42e4PjEYfPhS0Tk9E","The Kinks","1964-10-02","https://i.scdn.co/image/ab67616d0000b273ca00601a3a6563bf2fc9c1f0","1","7","134253","https://p.scdn.co/mp3-preview/dcb78f6ee8870c24a77fc2463e315196996e10ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAJE6400005","spotify:user:","2022-05-06T19:58:09Z","album rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock,singer-songwriter","0.573","0.939","8","-6.441","1","0.0808","0.493","0","0.0994","0.963","137.382","4","","Castle Communications","C © 2004 Sanctuary Records Group Ltd., a BMG Company, P ℗ 1998 Sanctuary Records Group Ltd., a BMG Company"
