"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5ebO6yhTYv3iJhRlPhAzLj","Higher - Freaks & Geeks Remix","spotify:artist:5fKpGPlcEvjFMDDWDKniND, spotify:artist:7IVvHpo698q6w0VadlUxCL, spotify:artist:6Qcn4TflUyLRoA6w44IQSU","ReauBeau, Ekko & Sidetrack, Freaks & Geeks","spotify:album:4Mma5ArPYnC8sz3EAcgEbn","Higher (Freaks & Geeks Remix)","spotify:artist:5fKpGPlcEvjFMDDWDKniND, spotify:artist:7IVvHpo698q6w0VadlUxCL, spotify:artist:6Qcn4TflUyLRoA6w44IQSU","ReauBeau, Ekko & Sidetrack, Freaks & Geeks","2020-11-17","https://i.scdn.co/image/ab67616d0000b273cc3a8b8ee0eb180ab3ed3fca","1","1","215172","https://p.scdn.co/mp3-preview/aca9478baa0711156417b1272af952ea2aa59396?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBUM92000139","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T04:39:11Z","dutch edm,dancefloor dnb,liquid funk,dancefloor dnb","0.496","0.953","10","-1.11","0","0.0452","0.000128","0.00222","0.0915","0.0582","114.997","5","","Circus Records","C 2020 Circus Records, P 2020 Circus Records"
"spotify:track:7rPaFoaK4CjcFujFhIWMcO","Talk To Me","spotify:artist:35dxfY1wywqVRUEaVuMm13","Bou","spotify:album:2GcGH4Ad6HLvI8Vr1Pu54K","Talk To Me","spotify:artist:35dxfY1wywqVRUEaVuMm13","Bou","2021-07-29","https://i.scdn.co/image/ab67616d0000b273858de04b640d816675217163","1","1","266057","https://p.scdn.co/mp3-preview/5a1f5bf01c3b597400615a48d7b18088bf1de6aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GB8KE2155651","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T04:39:20Z","bass house,deep rai","0.538","0.856","11","-1.549","0","0.0728","0.0229","0.0157","0.21","0.113","175.052","4","","Gossip","C 2021 Hatfish music LTD, P 2021 Gossip"
"spotify:track:5DefvNg1sAqdAA70wftzc7","Levitate Your Mind","spotify:artist:7gYMOxGbwZZgvaOc6z5VJG, spotify:artist:3AXcevvp1Kd1KEyHiUEsrC","Degs, Unglued","spotify:album:25DOda0LmE84bkIcx0Eiz1","Letters From Ndegwa","spotify:artist:7gYMOxGbwZZgvaOc6z5VJG","Degs","2020-03-27","https://i.scdn.co/image/ab67616d0000b2738296281a21852276df55f1ca","1","3","251210","https://p.scdn.co/mp3-preview/606837f3e6615073012a58137714ee2461d4b7bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBCJY2000001","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T23:10:57Z","liquid funk,uk dnb,drum and bass,jungle,uk dnb","0.623","0.909","10","-3.847","0","0.0839","0.0135","0.00405","0.0829","0.668","171.981","4","","Hospital Records","C 2020 Hospital Records Limited, P 2020 Hospital Records Limited"
"spotify:track:11IS9sbmnAqSdLQaEvZGbb","Just One Second - Apex Remix","spotify:artist:4CbuwI3bEF7gQOwpxBKtal","London Elektricity","spotify:album:5m7RGCRrbEhHCrCkNsRPN5","Sick Music","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-06-29","https://i.scdn.co/image/ab67616d0000b273470d2676353f68bb5f9c8009","1","11","377840","https://p.scdn.co/mp3-preview/46d37a4dc014bcb6d4781bee8210b15718bc38d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBCJY0915411","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T04:43:11Z","drum and bass,liquid funk,uk dnb","0.427","0.838","1","-7.443","0","0.0451","0.000464","0.00171","0.114","0.157","172.951","4","","Hospital Records","C 2009 Hospital Records Limited, P 2009 Hospital Records Limited"
"spotify:track:0pzhMLIiPapZgpDdxUnGHB","Unfreezing","spotify:artist:3qUqOS7IsoSLktl7OWApCc, spotify:artist:5JHQXxk6Sn1ilM87TptEBr, spotify:artist:01QdfMidctuieFa8ERASX4, spotify:artist:6BZteNwG1mxgEFJvBaAGLx","Iskia, Odyssy, Immy Odon, DnB Allstars","spotify:album:7Bx82vzchaXNipwB98anYS","Unfreezing","spotify:artist:3qUqOS7IsoSLktl7OWApCc, spotify:artist:5JHQXxk6Sn1ilM87TptEBr, spotify:artist:01QdfMidctuieFa8ERASX4","Iskia, Odyssy, Immy Odon","2021-11-12","https://i.scdn.co/image/ab67616d0000b27355a857fddadbdbdddadf64aa","1","1","247800","https://p.scdn.co/mp3-preview/272631bcf92b0dd86847e9c93db4a5d6ac8b87a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GB8KE2161967","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T22:55:22Z","","0.59","0.977","5","-2.557","1","0.0806","0.00361","0.826","0.146","0.661","175.018","4","","Allstars RAW","C 2021 Allstars RAW, P 2021 Allstars RAW"
"spotify:track:1r7Qev6sUTp5ngVcRW2vln","Total XTC","spotify:artist:3AXcevvp1Kd1KEyHiUEsrC","Unglued","spotify:album:1Y63ujaPca60oCPpovoGgl","Total XTC","spotify:artist:3AXcevvp1Kd1KEyHiUEsrC","Unglued","2020-09-04","https://i.scdn.co/image/ab67616d0000b273de19416402479fbd3a6ef241","1","1","255456","https://p.scdn.co/mp3-preview/cfc785863ce3b2ddda5393844be7a6aae8580d6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GBCJY2000408","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-18T14:31:09Z","drum and bass,jungle,uk dnb","0.637","0.875","8","-4.346","0","0.0468","0.014","0.752","0.32","0.468","160.098","4","","Hospital Records","C 2020 Hospital Records Limited, P 2020 Hospital Records Limited"
"spotify:track:0FeFdREOOdb8ihdWXn5RZH","Allstars MIC (feat. DnB Allstars)","spotify:artist:7q33wxvdJ95u6w3fY2q5ai, spotify:artist:6WzWO3A5YAYxLVD224S9P0, spotify:artist:6BZteNwG1mxgEFJvBaAGLx","Coco, Alcemist, DnB Allstars","spotify:album:5HTD3yCkiyvuMKzSc5vOL3","Allstars MIC (feat. DnB Allstars)","spotify:artist:7q33wxvdJ95u6w3fY2q5ai, spotify:artist:6WzWO3A5YAYxLVD224S9P0, spotify:artist:6BZteNwG1mxgEFJvBaAGLx","Coco, Alcemist, DnB Allstars","2022-05-31","https://i.scdn.co/image/ab67616d0000b273fa86cec995c59e074f0d8f25","1","1","135771","https://p.scdn.co/mp3-preview/2b5ec36d5ffab6de66e01a5de82fd1a00598686f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ZZOPM2231757","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-02T23:01:54Z","ukg revival,bass house","0.653","0.978","2","-1.829","1","0.325","0.0363","0.000177","0.126","0.328","174.892","4","","DnB Allstars Records","C © 2022 DnB Allstars Records, P ℗ 2022 DnB Allstars Records"
"spotify:track:38rZzRfTNj2DUA3KDrr2Ys","Roll On My Level","spotify:artist:6aHsSKsoKqugfzhP4gWJ3Z, spotify:artist:3ZPcdmekbVNWL762ahQu48","Scott Molloy, Summer Rayne","spotify:album:011mLpMTiiU40VC4rw1I8h","Roll On My Level","spotify:artist:6aHsSKsoKqugfzhP4gWJ3Z","Scott Molloy","2016-07-08","https://i.scdn.co/image/ab67616d0000b273a682f2cd132fad343b0c1cfc","1","1","181596","https://p.scdn.co/mp3-preview/6dedf2e493117f91ea7a25b4b29f62ae811d6800?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBUM71603344","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T21:14:32Z","bass house","0.575","0.888","5","-2.544","0","0.0611","0.00466","0.0000164","0.341","0.2","173.117","4","","Universal-Island Records Ltd.","C © 2016 Real Playaz Records Ltd, under exclusive license to Island Records, a division of Universal Music Operations Limited, P ℗ 2016 Real Playaz Records Ltd, under exclusive license to Island Records, a division of Universal Music Operations Limited"
"spotify:track:2h4aeMaw5bKOuk1DES6JJT","Can't Keep Me Down","spotify:artist:501MfkAIop4dRLvOqjlMHl, spotify:artist:1dALWnW29ss1hlKMGoxtRW, spotify:artist:1erBTcAMRYO1WTjsdv0Dma","Murdock, Shystie, Sena","spotify:album:6yw4Cg8oct1tAsCv1prGk9","Stronger","spotify:artist:501MfkAIop4dRLvOqjlMHl","Murdock","2019-10-18","https://i.scdn.co/image/ab67616d0000b2734666fd8e3769dccde1d7e41b","1","7","190344","https://p.scdn.co/mp3-preview/952d26e2ea7cbb1197a3a01c4480d276f6cfce99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBTMZ1800745","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T21:24:11Z","belgian dnb,belgian edm,dancefloor dnb,drum and bass,grime,uk funky","0.484","0.87","11","-3.352","0","0.0755","0.0303","0","0.158","0.717","173.988","4","","Viper Recordings","C 2019 Viper Recordings, P 2019 Viper Recordings"
"spotify:track:5TGdeBW6v7BuGYjtiFKwyC","Devotion (ft. Cameron Hayes)","spotify:artist:1QMgre3BHX161ZHtWMUu6S, spotify:artist:1YXcpHpeg9PwsUBJwe9fgX","Dimension, Cameron Hayes","spotify:album:1GUMG0SjpoP5ulPmB0WJbP","Devotion (ft. Cameron Hayes)","spotify:artist:1QMgre3BHX161ZHtWMUu6S, spotify:artist:1YXcpHpeg9PwsUBJwe9fgX","Dimension, Cameron Hayes","2019-05-03","https://i.scdn.co/image/ab67616d0000b27333dfc02bccea38523b7ddb46","1","1","190344","https://p.scdn.co/mp3-preview/fa7ae7f08a748e1abda083117c3458b3d117ff60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","UKFTL1600132","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T23:16:04Z","dancefloor dnb,drum and bass,uk dnb","0.456","0.987","5","-0.756","0","0.0887","0.0134","0.0273","0.0469","0.306","173.971","4","","Dimension","C © 2019 Dimension, P ℗ 2019 Dimension"
