"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","Blinding Lights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","1","9","200040","https://p.scdn.co/mp3-preview/579494c4709a8cc91687e487566c315dee104f9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USUG11904206","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-07T18:57:11Z","canadian contemporary r&b,canadian pop,pop","0.514","0.73","1","-5.934","1","0.0598","0.00146","0.0000954","0.0897","0.334","171.005","4","","Republic Records","C © 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc., P ℗ 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc."
"spotify:track:6CDzDgIUqeDY5g8ujExx2f","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:69K1zrf6TkXHdYUO8n2qVi","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-06-29","https://i.scdn.co/image/ab67616d0000b273ab9d1ae18b640b7b0ce390d4","1","1","238805","https://p.scdn.co/mp3-preview/1ac449e52145d1c44dc4346afdb2d8b70e93969b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBUM72000433","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-07T18:57:22Z","gauze pop,indietronica,shiver pop","0.761","0.525","11","-6.9","1","0.0944","0.44","0.0000067","0.0921","0.531","80.87","4","","Polydor Records","C © 2020 Wolf Tone Records, a division of Universal Music Operations Limited, P ℗ 2020 Wolf Tone Records, a division of Universal Music Operations Limited"
"spotify:track:2N3U8uTYhjX2KwGT0pf5x0","Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT, spotify:artist:360IAlyVv4PCEVjgyMZrxK, spotify:artist:3hv9jJF3adDNsBSIQDqcjp","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2015-05-26","https://i.scdn.co/image/ab67616d0000b27381a6a2cafab2e7a4066b5eec","1","17","260986","https://p.scdn.co/mp3-preview/cf7effdc8ba7f64b214fd3578c9e057065791702?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC11500811","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-07T21:17:04Z","east coast hip hop,hip hop,rap,mellow gold,soft rock,dance pop,hip hop,pop,r&b,urban contemporary,dance pop,pop","0.394","0.661","4","-8.684","1","0.192","0.00996","0","0.343","0.335","149.818","4","","A$AP Worldwide/Polo Grounds Music/RCA Records","P (P) 2015 A$AP Rocky Recordings LLC/RCA Records. Marketed & Distributed by Polo Grounds Music/RCA Records."
"spotify:track:0j2T0R9dR9qdJYsB7ciXhf","Stronger","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","3","311866","https://p.scdn.co/mp3-preview/23771e17f5cc8853beee8ffee1ddc99fdefbcfa1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM70741299","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-22T15:36:20Z","chicago rap,rap","0.617","0.717","10","-7.858","0","0.153","0.00564","0","0.408","0.49","103.992","4","","Roc-A-Fella","C © 2007 UMG Recordings, Inc., P A Roc-A-Fella Records release; ℗ 2007 UMG Recordings, Inc."
"spotify:track:49gruEYzuJZoy4R2q5xVlT","Levitating (feat. DaBaby)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Dua Lipa, DaBaby","spotify:album:0nRVAnU410D5nOyVWCadJh","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2731f7c48d7efee22e04ce91917","1","12","203064","https://p.scdn.co/mp3-preview/af9d74bb7cdc07f0dfa2e4a0c211d33ff4593b69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAHT2000942","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-25T18:03:48Z","dance pop,pop,uk pop,north carolina hip hop,rap,trap","0.708","0.796","6","-4.821","0","0.061","0.00886","0","0.0668","0.923","103.026","4","","Urban","C © 2020 Dua Lipa Limited, under exclusive license to Universal Music GmbH, P An URBAN release; ℗ 2020 Dua Lipa Limited, under exclusive license to Universal Music GmbH"
"spotify:track:4q8PHoRsPUB52LFylX8Ulz","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz","Axwell /\ Ingrosso","spotify:album:5wtHzowB37Fre3iXWQW5v5","More Than You Know","spotify:artist:2XnBwblw31dfGnspMIwgWz, spotify:artist:1xNmvlEiICkRlRGqlNFZ43, spotify:artist:6hyMWrxGBsOx6sWcVj1DqP","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","2017-05-24","https://i.scdn.co/image/ab67616d0000b2738f24ce68154603cffe698779","1","1","203000","","false","0","GBUM71701735","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-23T17:04:48Z","dance pop,edm,electro house,pop,pop dance,pop rap,tropical house","0.645","0.741","5","-4.989","0","0.0339","0.0323","0","0.29","0.534","123.07","4","","Universal Music Group","C © 2017 Axwell Music AB and Refune Music Ltd, under exclusive license to Virgin EMI Records, a division of Universal Music Operations Ltd, P ℗ 2017 Axwell Music AB and Refune Music Ltd, under exclusive license to Virgin EMI Records, a division of Universal Music Operations Ltd"
"spotify:track:0CAfXk7DXMnon4gLudAp7J","Low (feat. T-Pain)","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:3aQeKQSyrW4qWr35idm0cy","Flo Rida, T-Pain","spotify:album:5j1wrOAOm5KFd17pPiSvle","Mail on Sunday","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2008-03-17","https://i.scdn.co/image/ab67616d0000b273f9bd7a6c772ac496015be3f8","1","5","231400","https://p.scdn.co/mp3-preview/f978a18a30f5623a02e9d1a61e8dadb2afeffdd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USAT20705841","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-23T19:20:17Z","dance pop,edm,miami hip hop,pop,pop rap,dance pop,hip hop,pop rap,r&b,rap,southern hip hop,urban contemporary","0.918","0.609","10","-5.64","0","0.0791","0.0928","0","0.139","0.304","128.008","4","","Poe Boy/Atlantic","C © 2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
"spotify:track:6I9VzXrHxO9rA9A5euc8Ak","Toxic","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:0z7pVBGOD7HCIB7S8eLkLI","In The Zone","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2003-11-13","https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4","1","6","198800","https://p.scdn.co/mp3-preview/7e3699a5a8b20b5847234627839a1c68bfaf5fb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USJI10301005","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-23T19:43:48Z","dance pop,pop","0.774","0.838","5","-3.914","0","0.114","0.0249","0.025","0.242","0.924","143.04","4","","Jive","P (P) 2003 Zomba Recording LLC"
"spotify:track:6ic8OlLUNEATToEFU3xmaH","Gimme More","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:1ePkYcH5ZQCb1b4tQeiEDj","Blackout","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2007-10-25","https://i.scdn.co/image/ab67616d0000b273ca10fae7d292c52f7e8b11ca","1","1","251240","https://p.scdn.co/mp3-preview/759be80fb1378fd49f6c7ad48c3513c05c53a7d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USJI10700609","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-25T07:31:16Z","dance pop,pop","0.788","0.844","2","-3.131","1","0.0334","0.25","0.000678","0.0723","0.382","113.324","4","","Jive","P (P) 2007 Zomba Recording LLC"
"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","INDUSTRY BABY (feat. Jack Harlow)","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq, spotify:artist:2LIk90788K0zvyj2JJVwkJ","Lil Nas X, Jack Harlow","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","3","212352","https://p.scdn.co/mp3-preview/31e16e1bc7aad79a7785b12d6f34421943080b5b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM12104539","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-26T09:10:33Z","lgbtq+ hip hop,pop,deep underground hip hop,kentucky hip hop,pop,rap","0.741","0.691","10","-7.395","0","0.0672","0.0221","0","0.0476","0.892","150.087","4","","Columbia","P (P) 2021 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3E7dfMvvCLUddWissuqMwr","Party In The U.S.A.","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:0IuHVgAvbNDJnJepuSZ8Oz","The Time Of Our Lives (International Version)","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2009-01-01","https://i.scdn.co/image/ab67616d0000b2734ea6653890e297d53e93e3e0","1","2","202066","https://p.scdn.co/mp3-preview/38622ff19d0a088d9b3335a3cecb802dcb2bb5b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USHR10924519","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-26T09:10:58Z","dance pop,pop,post-teen pop","0.652","0.698","10","-4.667","0","0.042","0.00112","0.000115","0.0886","0.47","96.021","4","","Hollywood Records","C © 2009 Hollywood Records, Inc., P ℗ 2009 Hollywood Records, Inc."
"spotify:track:22L7bfCiAkJo5xGSQgmiIO","All Of The Lights","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2010-11-22","https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f","1","5","299613","https://p.scdn.co/mp3-preview/92e2009566e3c32776a77b63bbbe3bc25f1bd3f7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USUM71027273","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-30T07:51:32Z","chicago rap,rap","0.531","0.803","1","-3.284","1","0.0717","0.0796","0.0000171","0.176","0.221","142.113","4","","Roc-A-Fella","C © 2010 UMG Recordings, Inc., P ℗ 2010 UMG Recordings, Inc."
