"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0qI1sBGz9cVtTzuH27p7kS","Nova","spotify:artist:62SCu33InHVq97VaWw3eof","MPH","spotify:album:7sazFc43XxnDbMxhO2EWJh","Nova","spotify:artist:62SCu33InHVq97VaWw3eof","MPH","2021-02-12","https://i.scdn.co/image/ab67616d0000b273227d42e116df3438c18f69e5","1","4","213000","https://p.scdn.co/mp3-preview/fcd68819ae385249337e7554ff7795ade03c08a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USYBL2002201","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T07:46:17Z","bass house","0.797","0.602","10","-7.231","0","0.141","0.149","0.845","0.109","0.478","131.998","4","","Night Bass Records","C 2021 Night Bass Records, P 2021 Night Bass Records"
"spotify:track:5ReLOUboXvaOVariwEJnl3","Like It Is - Mixed","spotify:artist:3OoNpyvA82LedOZWG3WE8Z","Coeo","spotify:album:21vNE48kEQUwOIDNfG8Ihm","Defected In The House Radio Show Episode 041 (hosted by Sam Divine)","spotify:artist:25XngRrWAsddVHfhxUXIE5","Defected Radio","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f6963c80613d0c95808c9543","1","6","262923","https://p.scdn.co/mp3-preview/9fc5171ae2cec1b11febfb1c2c1585e8cd39e5ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBCPZ1710834","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:02:17Z","deep house,disco house,float house,munich electronic","0.881","0.797","6","-6.732","0","0.0622","0.0332","0.167","0.206","0.711","123.003","4","","Defected Records","C © 2017 Defected Records Limited, P ℗ 2017 Defected Records Limited"
"spotify:track:1kmhdq0RfZFdfSLaTsiTVi","Relax, Take It Easy","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:2FgwL1GHWKTbuHzAIjEeFa","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2007-02-05","https://i.scdn.co/image/ab67616d0000b2732b16992e49be4a199e7dad2c","1","5","270000","https://p.scdn.co/mp3-preview/e1b761d5a06fa0893eba51a40c7e2b8ffb7c5589?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USC7R0600114","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:24:13Z","dance pop,europop,pop","0.698","0.693","6","-8.218","0","0.0329","0.0567","0.0161","0.129","0.608","121.859","4","","Casablanca Records/Island UK","C © 2007 Casablanca Music, LLC, P ℗ 2007 Casablanca Music, LLC"
"spotify:track:2mkBHN67xLpHrpqOuj79Yz","Chase the Sun","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","spotify:album:4DcIgdBbqm0Fqhmh5RcoCD","Non Zero Sumness Plus One","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","2003-01-01","https://i.scdn.co/image/ab67616d0000b2730eae7423e0918e5699af1545","1","2","233040","https://p.scdn.co/mp3-preview/50285ee90a94064c4144888311f1d0fd10161c7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITB150200002","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-18T14:27:08Z","big beat,electronic rock","0.591","0.765","9","-7.511","0","0.0305","0.0152","0.028","0.357","0.485","128.014","4","","JE | Just Entertainment","C 2020 JE | Just Entertainment under exclusive license of Wisemama srl, P 2020 JE | Just Entertainment under exclusive license of Wisemama srl"
"spotify:track:5ah8n1zTdzGsJyZWjhrjJ8","Both Of Us - Edit","spotify:artist:3NKVm2Jedcf6ibJr6pMUVx","Jayda G","spotify:album:2w6dTlyOrn383x0L6aV9Xm","Both Of Us / Are U Down","spotify:artist:3NKVm2Jedcf6ibJr6pMUVx","Jayda G","2020-11-02","https://i.scdn.co/image/ab67616d0000b273b286039bfc28a4f636d3d296","1","1","229424","https://p.scdn.co/mp3-preview/a78c297c3052daeb1c0ce25ce465bcfaa8b5ec97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBCFB2000297","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-21T14:21:23Z","canadian electronic","0.735","0.71","11","-10.222","1","0.0766","0.00851","0.762","0.0684","0.507","123.962","4","","Ninja Tune","C 2020 Ninja Tune, P 2020 Ninja Tune"
"spotify:track:3bc6MVpDA0hm4DbuqD2r9C","Promised Land","spotify:artist:4BIamAD25vwYldaOWTEsXd","Joe Smooth","spotify:album:5s0R9Z5puLbKlzZp2kJAI9","House Top 1000 - The Anthems","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-02-21","https://i.scdn.co/image/ab67616d0000b27371167dd1af3ef0c61b93a9e2","1","4","201734","https://p.scdn.co/mp3-preview/787900e2adb46505ebaf886b2ab44e41441fbb11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","NLF711903489","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T13:11:50Z","chicago house,classic house,hip house,vocal house","0.72","0.923","11","-4.494","0","0.0369","0.00297","0.0307","0.0997","0.592","128.744","4","","Armada Music Albums","C 2020 Armada Music B.V., P 2020 Armada Music B.V."
"spotify:track:34MXWVSEJ9yHBLMs1pZv2R","Take Me Away - 2018 Remaster","spotify:artist:1jpQ5Xepnpx5YAqKQITP4A, spotify:artist:4wfoAaFRdaZdrn782iDlCD","StoneBridge, Therese","spotify:album:5s0R9Z5puLbKlzZp2kJAI9","House Top 1000 - The Anthems","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-02-21","https://i.scdn.co/image/ab67616d0000b27371167dd1af3ef0c61b93a9e2","1","17","222933","https://p.scdn.co/mp3-preview/6e44804927d6f9c4927a187bc2b2c7e3bfcf41aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","SEXMA1800014","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T13:27:07Z","disco house,vocal house,french folk pop","0.647","0.79","8","-5.502","1","0.0307","0.00014","0.00559","0.0599","0.904","128.023","4","","Armada Music Albums","C 2020 Armada Music B.V., P 2020 Armada Music B.V."
"spotify:track:4Hp78I5rUnRkEvhp9ZXk5Z","Night Goggles - Rome in Silver Remix","spotify:artist:1He0ZKninbT4FMEV9hUZKn, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Mindchatter, Rome in Silver","spotify:album:7js3eob7PU1CkZhcB5Ueve","Night Goggles (Rome in Silver Remix)","spotify:artist:1He0ZKninbT4FMEV9hUZKn, spotify:artist:0Hh9X3QxTHPE2dlAS1g8IN","Mindchatter, Rome in Silver","2021-03-10","https://i.scdn.co/image/ab67616d0000b2738e90d78532505bb9a363093f","1","1","201680","https://p.scdn.co/mp3-preview/3741bb23af514c6613de85155c654fc0caeed9fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZFZ62158999","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T14:03:24Z","indie soul,proto-hyperpop,vapor soul,vapor twitch,future bass,vapor twitch","0.814","0.606","10","-5.497","1","0.13","0.257","0.0000685","0.0499","0.475","119.004","4","","Mind of a Genius","C 2021 Mind of a Genius, P 2021 Mind of a Genius"
"spotify:track:5Dz6wdHlI45KAOBAfMSJRS","Gold","spotify:artist:43UmVQp9qZILibJ5vHq21k, spotify:artist:5ITI6SEoUZMIXXkzCfr4oE","Austin Millz, Aluna","spotify:album:7jlUFBjbua4L7eZXpncXIG","Gold","spotify:artist:43UmVQp9qZILibJ5vHq21k, spotify:artist:5ITI6SEoUZMIXXkzCfr4oE","Austin Millz, Aluna","2021-09-10","https://i.scdn.co/image/ab67616d0000b2739602f981942e60b3605f7eed","1","1","175416","https://p.scdn.co/mp3-preview/f902bed1b2f4f2e9cd7f3014a15235239b6c698f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QM24S2105660","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T20:05:32Z","dance pop,edm,electro house,electropop,house,pop dance,tropical house","0.713","0.737","8","-5.462","1","0.0894","0.265","0.0000722","0.211","0.533","117.085","4","","Boom.Records (Austin Millz)","P 2021 Boom.Records (Austin Millz)"
"spotify:track:3UY3nN9ENMxdwxtRs7nats","Dreaming - Gibson Parker Remix","spotify:artist:01olvHW7uzIInQx9VTNuJm, spotify:artist:4CzzY9kG8C2BLOuTuy3oLe, spotify:artist:7pmS98qub9BnSfqTHvogQD","Rootkit, Cammie Robinson, Gibson Parker","spotify:album:66RnIHASNgBNHBCMGzWCda","Recursion (Remixes)","spotify:artist:01olvHW7uzIInQx9VTNuJm","Rootkit","2021-12-03","https://i.scdn.co/image/ab67616d0000b273ecb71d0b8f3543c48eb735a7","1","8","205714","https://p.scdn.co/mp3-preview/0af549d62b74be3122ff4bd3db3addceba6f6baf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLRD51632864","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T20:13:14Z","chillstep,complextro,edm,electro house,future bass,gaming edm,melodic dubstep","0.566","0.89","0","-5.793","0","0.0353","0.0606","0.501","0.134","0.444","126.062","4","","bitbird","C 2021 bitbird, P 2021 bitbird"
