"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3rgTS3933lMWoPiN6CW4qY","Kids (feat. MKLA)","spotify:artist:2wX6xSig4Rig5kZU6ePlWe, spotify:artist:5v3JgLiZtNnw6ablRjjNKK, spotify:artist:57Vnemieu10x71jR2UWc4o","KSHMR, Stefy De Cicco, MKLA","spotify:album:3iYUmg1PpY33KH7QW0goe1","Kids (feat. MKLA)","spotify:artist:2wX6xSig4Rig5kZU6ePlWe, spotify:artist:5v3JgLiZtNnw6ablRjjNKK, spotify:artist:57Vnemieu10x71jR2UWc4o","KSHMR, Stefy De Cicco, MKLA","2020-08-14","https://i.scdn.co/image/ab67616d0000b273aa7da12269b584a1d978fbb9","1","1","184687","https://p.scdn.co/mp3-preview/4b98c3f4578e12e964cbc041bbba1c061f8455f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","NLZ542001288","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-30T21:00:05Z","big room,edm,electro house,indian edm,pop dance,progressive electro house,slap house,tropical house","0.744","0.866","9","-4.834","1","0.106","0.0107","0.0537","0.528","0.302","128.027","4","","Dharma","C Dharma, © 2020 SpinninRecords.com, P Dharma, ℗ 2020 SpinninRecords.com"
"spotify:track:2zJ5nuyOQi4jBvToG3HHys","Another Chance","spotify:artist:1HT9k1ZSUL9IczSstOAgWJ, spotify:artist:5nki7yRhxgM509M5ADlN1p","Roger Sanchez, Oliver Heldens","spotify:album:2duIDdyqxZxcvJkhoGi8Bp","Another Chance","spotify:artist:1HT9k1ZSUL9IczSstOAgWJ, spotify:artist:5nki7yRhxgM509M5ADlN1p","Roger Sanchez, Oliver Heldens","2021-09-10","https://i.scdn.co/image/ab67616d0000b273e98006aae5a2aed019495dad","1","1","254130","https://p.scdn.co/mp3-preview/5173141e98830c505a1443e19d932066f2af54dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBCEN2100134","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-16T07:32:09Z","disco house,diva house,tribal house,vocal house,dance pop,edm,electro house,future house,house,pop dance,progressive electro house,progressive house,tropical house","0.643","0.913","7","-5.744","0","0.049","0.0212","0.0254","0.376","0.0441","128.01","4","","Ministry of Sound Recordings","P (P) 2021 Sony Music Entertainment UK Limited / Ministry of Sound Recordings Limited"
"spotify:track:2prnn41CblB8B4yWACDljP","Love Tonight - David Guetta Remix Edit","spotify:artist:2TcGJdSOiOvITBzhvfX8XB, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Shouse, David Guetta","spotify:album:2HYufzr6XUqSurRZdY0D9w","Love Tonight (David Guetta Remix)","spotify:artist:2TcGJdSOiOvITBzhvfX8XB, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Shouse, David Guetta","2021-06-11","https://i.scdn.co/image/ab67616d0000b27328eec1bed4fe754299ea1e96","1","1","158095","https://p.scdn.co/mp3-preview/f5247d3eee64efba8a0f84bcdc5dff650a26f351?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USA2P2120718","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-30T21:00:01Z","aussietronica,edm,pop dance,tropical house,big room,dance pop,edm,pop,pop dance","0.621","0.989","10","-4.225","0","0.0434","0.015","0.357","0.184","0.0348","126.002","4","","Hell Beach","C © 2021 Hell Beach, a division of ONELOVE Recordings, P ℗ 2021 Hell Beach, a division of ONELOVE Recordings"
"spotify:track:0SyxZC4wlqAwf20cHE6Xon","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","spotify:album:5TSSlGJmfkBNC4M3uoMswL","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","2021-05-21","https://i.scdn.co/image/ab67616d0000b273b3bf3ba5d8ef6fb0bb564e4e","1","1","162213","https://p.scdn.co/mp3-preview/e2f863a8016efaf0276696ca4913a443215edff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBUM72102497","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:33:10Z","alternative dance,dance pop,electropop,neo-synthpop,deep house,deep tropical house,edm,german dance,pop dance,pop edm,tropical house","0.752","0.771","6","-5.95","1","0.0311","0.00341","0.0000173","0.0905","0.527","126.02","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor Records & Virgin Records Germany release with courtesy of Big Top Amsterdam; ℗ 2021 Universal Music Operations Limited"
"spotify:track:5p4jRRMRUafVtZuvgMnRGe","Runnin'","spotify:artist:5OImcY3khBn9UFjzgaapob, spotify:artist:0m6f0nNS9GEq41eIJ288ff","Low Steppa, Kelli-Leigh","spotify:album:4JccofkRkK0jckWb2BzTb7","Runnin'","spotify:artist:5OImcY3khBn9UFjzgaapob","Low Steppa","2016-04-08","https://i.scdn.co/image/ab67616d0000b2738dbd562a176b6b7569149cb0","1","1","138536","https://p.scdn.co/mp3-preview/459fca3ac80813943c618b74525877c65b8db8c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","NLF711600423","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-16T07:43:57Z","deep groove house,deep house,house,pop dance,uk dance,uk pop","0.551","0.935","0","-4.101","1","0.0368","0.000653","0.00217","0.298","0.324","123.037","4","","Kontor Records","C 2016 Armada Music B.V. under exclusive license to Kontor Records GmbH, P 2016 Armada Music B.V. under exclusive license to Kontor Records GmbH"
"spotify:track:3mC9L7eDVsaAqnLbOya3U4","Body Pump - Lady Bee Remix","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE, spotify:artist:5WuoHUDzojO8oto22ahnwN","Aluna, Lady Bee","spotify:album:3bk3p9RSvYg3o7823tFSB7","Body Pump (Lady Bee Remix)","spotify:artist:5ITI6SEoUZMIXXkzCfr4oE, spotify:artist:5WuoHUDzojO8oto22ahnwN","Aluna, Lady Bee","2021-01-26","https://i.scdn.co/image/ab67616d0000b27374ba62a4f0f8273f93a6365b","1","1","176097","","false","0","USZ4V2100016","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:33:10Z","dance pop,edm,electro house,electropop,house,pop dance,tropical house,bass trap,moombahton","0.667","0.927","10","-6.183","0","0.0489","0.00265","0.103","0.108","0.544","122.997","4","","Mad Decent","C 2021 Mad Decent under exclusive licence to Because Music, P 2021 Mad Decent under exclusive licence to Because Music"
"spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q","Rasputin","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:54R6Y0I7jGUCveDTtI21nb","Majestic, Boney M.","spotify:album:6PzYuR9c0CYCPJTnqylPhd","Rasputin","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:54R6Y0I7jGUCveDTtI21nb","Majestic, Boney M.","2021-02-26","https://i.scdn.co/image/ab67616d0000b273f05cf0af79d057704dc994f4","1","1","186209","https://p.scdn.co/mp3-preview/c2fb8741a6521cd8e6d02493e46ebff2f89dac88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","DEE862100256","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:51:09Z","house,pop dance,tropical house,uk dance,europop","0.758","0.913","6","-2.926","0","0.113","0.00364","0.0000692","0.193","0.658","128.04","4","","NITRON music","P (P) 2021 NITRON music a division of Sony Music Entertainment Germany GmbH / Ministry of Sound Recordings Limited"
"spotify:track:6GomT970rCOkKAyyrwJeZi","Move Your Body","spotify:artist:37czgDRfGMvgRiUKHvnnhj, spotify:artist:0aOIluXr131XqrXFwFCFGT","Öwnboss, Sevek","spotify:album:4l9wMVL4XAM5jPMXP5RAbL","Move Your Body","spotify:artist:37czgDRfGMvgRiUKHvnnhj, spotify:artist:0aOIluXr131XqrXFwFCFGT","Öwnboss, Sevek","2021-10-29","https://i.scdn.co/image/ab67616d0000b273dbe45fee4e36211b4bf8de71","1","1","157444","https://p.scdn.co/mp3-preview/a432eeb945ae176fe2478cb0515c9b9d98f035ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","NLZ542101576","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-30T20:59:36Z","brazilian edm","0.848","0.821","2","-5.408","0","0.0527","0.0169","0.000403","0.0962","0.249","125.051","4","","Musical Freedom","C © 2021 Musical Freedom Label Ltd., P ℗ 2021 Musical Freedom Label Ltd."
"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:1gALaWbNDnwS2ECV09sn2A, spotify:artist:4L2dV3zY7RmkeiNO035Fi0, spotify:artist:3Edve4VIATi0OZngclQlkN","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","spotify:album:39qsmsNRXjVaFqTZj9af0j","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:1gALaWbNDnwS2ECV09sn2A, spotify:artist:4L2dV3zY7RmkeiNO035Fi0","Riton, Nightcrawlers, Mufasa & Hypeman","2021-01-15","https://i.scdn.co/image/ab67616d0000b273815cb538fd7821595b2bc8c5","1","1","169153","https://p.scdn.co/mp3-preview/298f47543a9e721733b6bb1cace0603cf300829a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBCEN2000163","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:22:00Z","dance pop,edm,house,pop dance,tropical house,uk dance,disco house,hip house,vocal house,pop dance,tropical house","0.824","0.862","2","-3.424","1","0.126","0.0076","0.000132","0.303","0.801","122.98","4","","Ministry of Sound Recordings","P (P) 2021 Ministry of Sound Recordings Limited"
"spotify:track:0NIC4unbe5KZOp1d9T7OaF","Secrets","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:2wX6xSig4Rig5kZU6ePlWe, spotify:artist:7HqEmV7FeCi16bQyHMpIrF","Tiësto, KSHMR, VASSY","spotify:album:57bABnvvPfNhBQRI70dqlU","Club Life, Vol. 4 - New York City","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2015-05-18","https://i.scdn.co/image/ab67616d0000b273de5f51296e162e8ec5d56899","1","2","250946","https://p.scdn.co/mp3-preview/8f5860084ff69755f0291f33d2b0c65cdae2fd6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","CYA111500019","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-30T22:06:25Z","big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house,big room,edm,electro house,indian edm,pop dance,progressive electro house,slap house,tropical house,australian dance","0.648","0.812","11","-7.585","0","0.0414","0.000329","0.0369","0.0857","0.122","128.178","4","","Universal Music, a division of Universal International Music BV","C © 2015 Musical Freedom Label Ltd, under exclusive license to PM:AM Recordings/Universal Music, a division of Universal International Music B.V., P ℗ 2015 Musical Freedom Label Ltd, under exclusive license to PM:AM Recordings/Universal Music, a division of Universal International Music B.V."
