"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5anCkDvJ17aznvK5TED5uo","Hail to the King","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","spotify:album:0ks45m1bsP2JsZpM5D2FFA","Hail to the King","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","2013-08-23","https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2","1","2","305906","https://p.scdn.co/mp3-preview/3beeb74a560e641095168746adfc84f253d85ecc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USWB11302191","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-05T21:48:51Z","alternative metal,nu metal","0.58","0.916","3","-4.358","0","0.0387","0.000297","0.0259","0.126","0.683","118.004","4","","Warner Records","C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc."
"spotify:track:4UEo1b0wWrtHMC8bVqPiH8","Nightmare","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","spotify:album:7vfuTRXIAYJz5Uc8SddnTr","Nightmare","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","2010-07-23","https://i.scdn.co/image/ab67616d0000b2738b4d1c3dadc474e4abf751db","1","1","374453","https://p.scdn.co/mp3-preview/b62131be57466d250944fdd30fcf2f4bc812fb7d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USWB11001149","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-05T21:49:00Z","alternative metal,nu metal","0.554","0.949","2","-4.928","1","0.0787","0.000318","0.0000998","0.2","0.233","129.984","4","","Warner Records","C © 2010 Warner Records Inc., P ℗ 2010 Warner Records Inc."
"spotify:track:0KGIbrNYktDXYyHopcDI2L","Make Me Wanna Die","spotify:artist:2R57sY41L9XvGPiIgHOaYq","The Pretty Reckless","spotify:album:0moY5BetMaS0Vyi0Hh3zpb","Light Me Up","spotify:artist:2R57sY41L9XvGPiIgHOaYq","The Pretty Reckless","2010-01-01","https://i.scdn.co/image/ab67616d0000b2735659133a6233890265306fee","1","3","235653","https://p.scdn.co/mp3-preview/4e719c038fc712f8100ab6ccaac22f41671a2906?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUM71002835","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-06T10:40:44Z","alternative metal,candy pop","0.495","0.905","8","-3.768","1","0.0653","0.00227","0.00000329","0.142","0.215","97.106","4","","DAS Label / Interscope Records","C © 2010 Interscope Records, P ℗ 2010 Interscope Records"
"spotify:track:3nlGByvetDcS1uomAoiBmy","The Number of the Beast - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:5S3gls8Kjn8KVmqlIDEBbO","The Number of the Beast (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322","1","5","290586","https://p.scdn.co/mp3-preview/e5eec14e5f92f1a6156ba6a689131625d504b57b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBCHB1800024","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-11T09:21:45Z","hard rock,metal,nwobhm,rock","0.409","0.89","0","-6.839","1","0.0558","0.088","0.107","0.0935","0.268","100.409","4","","Parlophone UK","C © 2018 Iron Maiden LLP, P ℗ 1982, 2015 Iron Maiden LLP under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:4OROzZUy6gOWN4UGQVaZMF","The Trooper - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:7I9Wh2IgvI3Nnr8Z1ZSWby","Piece of Mind (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1983","https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff","1","5","252733","https://p.scdn.co/mp3-preview/a373cf851d1635e2cc904d7b83a2dc9eb80dc00e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBCHB1800032","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-11T09:21:59Z","hard rock,metal,nwobhm,rock","0.285","0.908","4","-4.601","0","0.0705","0.0318","0.00909","0.311","0.669","159.756","4","","Parlophone UK","C © 2018 Iron Maiden LLP, P ℗ 1983, 2015 Iron Maiden LLP under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:6p8eFfPw3nQkf37aT3AkmK","Fear of the Dark - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:16Su3EUFLPqWVyrwN1q5wO","Fear of the Dark (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1992","https://i.scdn.co/image/ab67616d0000b2730dda9c11454b9053d07f585a","1","12","438120","https://p.scdn.co/mp3-preview/3dfbef8f1bf0394fb693dc7a203314325e9f23db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBCHB1800082","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-11T09:23:09Z","hard rock,metal,nwobhm,rock","0.308","0.866","2","-5.671","0","0.059","0.000739","0.00141","0.232","0.227","109.825","4","","Parlophone UK","C © 2018 Iron Maiden LLP, P ℗ 1992, 2015 Iron Maiden LLP under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:6EPRKhUOdiFSQwGBRBbvsZ","Ace of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:3rxF05Aux0QTrN533Kjc91","Ace of Spades (Expanded Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b2732051e219a4af7648223953c1","1","1","166360","https://p.scdn.co/mp3-preview/bc5489ee6d088bed57343a92d0c896b4560ba94f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAJE8000033","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-11T09:23:43Z","album rock,hard rock,metal,rock,speed metal","0.342","0.91","4","-7.748","1","0.0758","0.0000402","0.000121","0.0823","0.547","140.452","4","","Sanctuary Records","C © 2008 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2005 Sanctuary Records Group Ltd., a BMG Company"
"spotify:track:2SrVGpjv0mqCR6j9EZPSm2","2 Minutes to Midnight - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:309KOMEivisMmBuzk09635","Powerslave (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1984","https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d","1","2","363586","https://p.scdn.co/mp3-preview/26db09ecb26c0ee9fee06d1cb5e50ce08937859d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBCHB1800038","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-11T09:47:30Z","hard rock,metal,nwobhm,rock","0.446","0.97","9","-5.004","0","0.0508","0.00754","0.000275","0.199","0.595","94.233","4","","Parlophone UK","C © 2018 Iron Maiden LLP, P ℗ 1984, 2015 Iron Maiden LLP under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:7zAt4tdL44D3VuzsvM0N8n","Afterlife","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","spotify:album:3Id3VUk9jSKBD1guNo1buF","Avenged Sevenfold","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","2007-10-26","https://i.scdn.co/image/ab67616d0000b27333c52ca8309741c6999ca742","1","4","352426","https://p.scdn.co/mp3-preview/cf645a49f67b0c5bb66cc904dc254b1b20c2b87c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB10703995","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-11T09:47:37Z","alternative metal,nu metal","0.487","0.949","2","-4.217","0","0.0798","0.000429","0.0000291","0.231","0.406","110.02","4","","Warner Records","C © 2007 Warner Records Inc., P ℗ 2007 Warner Records Inc."
"spotify:track:1jzDzZWeSDBg5fhNc3tczV","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:132qAo1cDiEJdA3fv4xyNK","Paranoid (2009 Remastered Version)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d","1","2","168440","https://p.scdn.co/mp3-preview/1f44282274e902ae77f39853a77694f15a93eb64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAJE7000057","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-03-11T09:53:06Z","album rock,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal","0.429","0.631","4","-11.514","0","0.0769","0.0000785","0.00411","0.175","0.376","162.734","4","","Sanctuary Records","C © 2009 Sanctuary Records Group Ltd., a BMG Company, P ℗ 2009 Gimcastle Ltd. under exclusive licence to Sanctuary Records Group Ltd., a BMG Company"
