"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2DjZ7Ytv2UDKXSoQXTXPkN","Like Wooh Wooh","spotify:artist:3qkIL3op4KtFFUHj19LuLg","Rnbstylerz","spotify:album:2tPlR2MrouxMfxuumYUzIb","Like Wooh Wooh","spotify:artist:3qkIL3op4KtFFUHj19LuLg","Rnbstylerz","2019-07-30","https://i.scdn.co/image/ab67616d0000b273b15479ebbc13f9a8016be6a0","1","1","196044","https://p.scdn.co/mp3-preview/31a50ea0b7633e56fc4dd32d705581e225268baf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","QZGWW1945477","spotify:user:","2022-12-02T05:00:00Z","klubowe","0.813","0.807","10","-5.354","1","0.0845","0.0414","0.815","0.0709","0.577","125.009","4","","Virgin","C © 2019 Rnbstylerz, under exclusive license to Universal Music GmbH, P A Virgin Records release; ℗ 2022 Rnbstylerz, under exclusive license to Universal Music GmbH"
"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","spotify:album:060SvgMzLKrNzpvVLK5gSo","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","2022-09-16","https://i.scdn.co/image/ab67616d0000b273a8270fb7bd24767babe59423","1","1","235785","https://p.scdn.co/mp3-preview/2821aaabf84159313db20566c5822d3993ef54ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBK6Y2251421","spotify:user:","2022-12-02T05:00:00Z","","0.683","0.932","8","-10.402","1","0.0513","0.0389","0.605","0.0615","0.553","125.002","4","","Island Records UK / Republic Records / Virgin Records Germany","C © 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited, P Island Records UK / Republic Records / Virgin Records Germany; ℗ 2022 Repopulate Mars LLC, under exclusive licence to Universal Music Operations Limited"
"spotify:track:3VQWkf0zg6397V3ql6mwMq","BUBBLEGUM","spotify:artist:2ucdZN7GyBGxIKHIzksnXc","ESSEL","spotify:album:0Wi614PbxDMUurzK8xJDwe","BUBBLEGUM","spotify:artist:2ucdZN7GyBGxIKHIzksnXc","ESSEL","2022-08-19","https://i.scdn.co/image/ab67616d0000b27326b0284f3860151a0b453cb6","1","1","148538","https://p.scdn.co/mp3-preview/f2515838ddb299c3617d48e62ab028c4b5498238?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBSXS2200187","spotify:user:","2022-12-02T05:00:00Z","deep groove house,house,uk dance","0.838","0.803","6","-5.583","0","0.0713","0.00117","0.152","0.04","0.577","126.026","4","","3Beat","C © 2022 3Beat Productions Limited, P ℗ 2022 3Beat Productions Limited"
"spotify:track:5URyPutSQvq9tTbBYybv5n","We Don’t Need","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:5FD9tbbiWd6th8FaOdCtnB","Oliver Heldens, Piero Pirupa","spotify:album:1b2GlCzIW4CaMIfaRA9mjE","We Don’t Need","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:5FD9tbbiWd6th8FaOdCtnB","Oliver Heldens, Piero Pirupa","2022-07-29","https://i.scdn.co/image/ab67616d0000b2733e024b3ec10d480da86ddabf","1","1","188644","https://p.scdn.co/mp3-preview/8eefdc2710e9ec549226eae557aeccdfbef393e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","NLZ542200979","spotify:user:","2022-12-02T05:00:00Z","dance pop,edm,electro house,future house,house,pop dance,progressive electro house,progressive house,tropical house,italian tech house","0.739","0.858","0","-5.301","1","0.0413","0.0999","0.012","0.593","0.518","124.981","4","","Spinnin' Records","C © 2022 Spinnin' Records, P ℗ 2022 Spinnin' Records"
"spotify:track:6GomT970rCOkKAyyrwJeZi","Move Your Body","spotify:artist:37czgDRfGMvgRiUKHvnnhj, spotify:artist:0aOIluXr131XqrXFwFCFGT","Öwnboss, Sevek","spotify:album:4l9wMVL4XAM5jPMXP5RAbL","Move Your Body","spotify:artist:37czgDRfGMvgRiUKHvnnhj, spotify:artist:0aOIluXr131XqrXFwFCFGT","Öwnboss, Sevek","2021-10-29","https://i.scdn.co/image/ab67616d0000b273dbe45fee4e36211b4bf8de71","1","1","157444","https://p.scdn.co/mp3-preview/a432eeb945ae176fe2478cb0515c9b9d98f035ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","NLZ542101576","spotify:user:","2022-12-02T05:00:00Z","brazilian edm","0.848","0.821","2","-5.408","0","0.0527","0.0169","0.000403","0.0962","0.249","125.051","4","","Musical Freedom","C © 2021 Musical Freedom Label Ltd., P ℗ 2021 Musical Freedom Label Ltd."
"spotify:track:4v7kKFlEDmpVToHOICsXaM","Hooked","spotify:artist:1uRVM0wBdtyEuU582EeKJM","NOTION","spotify:album:69QTaXErGkvPW9pQ0GYY4H","Hooked","spotify:artist:1uRVM0wBdtyEuU582EeKJM","NOTION","2019-11-01","https://i.scdn.co/image/ab67616d0000b273669e196874273595fb78bb1b","1","1","206250","https://p.scdn.co/mp3-preview/1e0e6413ab939ab55cb5c18f4814ed67e784466d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","CYA111900402","spotify:user:","2022-12-02T05:00:00Z","bass house","0.783","0.789","6","-3.899","0","0.0797","0.135","0.33","0.213","0.853","128.019","4","","Musical Freedom","C © 2019 Musical Freedom Label Ltd., P ℗ 2019 Musical Freedom Label Ltd."
"spotify:track:57UFzhgsL7Q4lxaEKosMSb","B€NZ","spotify:artist:18pzORU0ImCwhbZgPZYTI9, spotify:artist:47z7ZrgFoBvVpCnElCE3Zh, spotify:artist:0rjNEyvqvYCFdCG2a3Y2yq","€URO TRA$H, Yellow Claw, Syaqish","spotify:album:5xLgpnSUHopno8qcuJA67z","B€NZ","spotify:artist:18pzORU0ImCwhbZgPZYTI9, spotify:artist:47z7ZrgFoBvVpCnElCE3Zh","€URO TRA$H, Yellow Claw","2022-08-05","https://i.scdn.co/image/ab67616d0000b273213ae70bc5155d669bc0f27d","1","1","245039","https://p.scdn.co/mp3-preview/20ef1122b6f306e532f28ab9524b3834e3da1fce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USA2P2230007","spotify:user:","2022-12-02T05:00:00Z","electro house,bass trap,edm,electro house,electronic trap,pop dance","0.817","0.763","9","-4.861","0","0.0561","0.0137","0.703","0.0649","0.384","125.012","4","","Barong Family","C © 2022 Barong Family, P ℗ 2022 Barong Family"
"spotify:track:2dwnD6tMYqp8zQmfg1XvNQ","Way It Is","spotify:artist:19VDJ9IKyBSUMDJxLsasP6, spotify:artist:5pkU7zjIzHgfN1n91e51r3","Mr. Belt & Wezol, RSCL","spotify:album:3eh4ktE7LJNFljqBMn0ZnO","Way It Is","spotify:artist:19VDJ9IKyBSUMDJxLsasP6, spotify:artist:5pkU7zjIzHgfN1n91e51r3","Mr. Belt & Wezol, RSCL","2021-01-25","https://i.scdn.co/image/ab67616d0000b273b329d430a991f074082dab96","1","1","192905","https://p.scdn.co/mp3-preview/548e55e47cfa0619f583e5b0b5f643278afd9792?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","NLZ542002192","spotify:user:","2022-12-02T05:00:00Z","deep groove house,disco house,dutch edm,edm,electro house,house,pop dance,tropical house","0.868","0.69","3","-5.606","0","0.0856","0.0227","0.0526","0.059","0.457","123.997","4","","Spinnin' Records","C © 2021 SpinninRecords.com, P ℗ 2021 SpinninRecords.com"
"spotify:track:5MvvEKnfgMVLLBkzsgStpD","Silent","spotify:artist:1ic0FHNGIjXZAWH6O6Reif","Ship Wrek","spotify:album:2crRb5Zqd38VCkh4kiadvs","Silent","spotify:artist:1ic0FHNGIjXZAWH6O6Reif","Ship Wrek","2022-05-13","https://i.scdn.co/image/ab67616d0000b273f3c396ec4ffc9f45f4372b77","1","1","190498","https://p.scdn.co/mp3-preview/97623af4f1de22e801e7639d0904494c200ad542?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","NLZ542200648","spotify:user:","2022-12-02T05:00:00Z","bass house,edm,electro house","0.79","0.84","2","-4.637","1","0.0609","0.0025","0.422","0.0783","0.627","126.001","4","","Spinnin' Records","C © 2022 Spinnin' Records, P ℗ 2022 Spinnin' Records"
"spotify:track:65nn7e1DOFh5MRHHQ7GWBi","No Diggity","spotify:artist:0oPeHAZ3BpdlD8EyeBLady, spotify:artist:6BhuVLszd4KFPknoq0TIHD","HÄWK, BEYGE","spotify:album:7A9oXyND4uZWxz4wpH8Wmj","No Diggity","spotify:artist:0oPeHAZ3BpdlD8EyeBLady, spotify:artist:6BhuVLszd4KFPknoq0TIHD","HÄWK, BEYGE","2022-01-07","https://i.scdn.co/image/ab67616d0000b27385430cb0fa4bb4db1f0ad4dc","1","1","218880","https://p.scdn.co/mp3-preview/33577259a5240c785bc2ae2bc78b8b95305bd213?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QZDA62261365","spotify:user:","2022-12-02T05:00:00Z","covertronica,covertronica","0.809","0.777","6","-8.677","0","0.0498","0.016","0.83","0.0721","0.436","125.034","4","","Élite Collectiv","C 2022 Élite Collectiv, P 2022 Élite Collectiv"
"spotify:track:5czwOsSExLRO25zcnaJuRr","Insomnia","spotify:artist:4o5VpOIpQtpayG0gbDaNzO, spotify:artist:5AzHtrPXDhfNECgcGOjQse, spotify:artist:7eehGkMnqCS6Hp7HJIXH9e","Marc Kiss, ThomTree, Crystal Rock","spotify:album:4kfORdPZiXbOTGFBceUrf9","Insomnia","spotify:artist:4o5VpOIpQtpayG0gbDaNzO, spotify:artist:5AzHtrPXDhfNECgcGOjQse, spotify:artist:7eehGkMnqCS6Hp7HJIXH9e","Marc Kiss, ThomTree, Crystal Rock","2022-06-03","https://i.scdn.co/image/ab67616d0000b273a37ad248daf80f59d85ada4b","1","1","156093","https://p.scdn.co/mp3-preview/cedbc5457447815b2a2caf5f8d5e6c4bcd9adde4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","BEIW12200278","spotify:user:","2022-12-02T05:00:00Z","german dance,covertronica,slap house","0.728","0.971","7","-4.732","1","0.0606","0.219","0.813","0.0852","0.141","128.037","4","","Smash The House","C (C) 2022 Smash The House, P (P) 2022 Smash The House"
