"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0Y1FLqg7c4YFCKP2F6HXsG","It's Getting Boring By The Sea","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:0uOyWZz1ZnQczjvuF9SWWf","Box of Secrets","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2008-01-01","https://i.scdn.co/image/ab67616d0000b273b97fcffd5a292c391bc065bb","1","9","176160","https://p.scdn.co/mp3-preview/e3e38c61c6c75cfc8f8fac409e5f0e8118af8ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBBLK0700175","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-22T08:32:43Z","alternative dance,brighton indie,garage rock,indie rock,modern alternative rock,modern rock,new rave,rock","0.476","0.978","11","-3.018","0","0.172","0.0273","0","0.166","0.137","151.963","4","","EMI","C © 2008 V2 Records International Limited, P ℗ 2008 V2 Records International Limited"
"spotify:track:0N5x5UmYcbBeHFJtCCqf62","Ruby","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:0mKKqokWGSgKoL2bzdyTpd","Yours Truly, Angry Mob","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b273d3db35e2f0f570b2ae20986b","1","1","204200","","false","0","GBDVX0600080","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-22T08:34:01Z","alternative rock,modern rock,rock","0.451","0.939","5","-2.82","0","0.0512","0.00673","0.00000485","0.0774","0.448","93.416","4","","Universal Music Group","C © 2007 B-Unique Records, Under exclusive license to Polydor Records Ltd. (UK), P ℗ 2007 B-Unique Records, except Track 1, (p) 2006 B-Unique Records. Under exclusive license to Polydor Records Ltd. (UK)"
"spotify:track:7ouMYWpwJ422jRcDASZB7P","Knights of Cydonia","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:0lw68yx3MhKflWFqCsGkIs","Black Holes and Revelations","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2006-06-19","https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400","1","11","366213","https://p.scdn.co/mp3-preview/4de2570644eeff4b10cef0770fddfc50e1e2b666?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAHT0500600","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-22T10:52:05Z","modern rock,permanent wave,rock","0.366","0.963","11","-5.301","0","0.142","0.000273","0.0122","0.115","0.211","137.114","4","","Warner Records","C © 2006 A&E Records Limited, P ℗ 2006 A&E Records Limited"
"spotify:track:1bCmvezFg5MRcENzCGG1Cy","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:7avNT7QnpWXl1Khqnsguaw","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b273adba877024420660db2f124e","1","4","215306","https://p.scdn.co/mp3-preview/d99c2f345ece217f10103e789de3aded6d4be325?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBUM70601571","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-04-23T13:49:00Z","alternative rock,garage rock,modern rock,rock,scottish rock","0.511","0.815","7","-3.14","1","0.144","0.0491","0","0.0826","0.586","154.514","4","","Universal-Island Records Ltd.","C © 2006 Universal Island Records Ltd. A Universal Music Company., P ℗ 2006 Universal Island Records Ltd. A Universal Music Company."
"spotify:track:4pGyVqnlxhNZ5UZmDF4ivQ","Radioactive","spotify:artist:3hE8S8ohRErocpkY7uJW4a","Within Temptation","spotify:album:3YqT2htKc9ayYPmP1bGITO","Hydra (Deluxe Edition)","spotify:artist:3hE8S8ohRErocpkY7uJW4a","Within Temptation","2014-02-04","https://i.scdn.co/image/ab67616d0000b273c337ca37478fbb28ad302e7b","1","11","193625","https://p.scdn.co/mp3-preview/cea7c213089229224c4c8b1d3c5d0a03fb19c09b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","NLR261200109","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T20:21:47Z","dutch metal,gothic metal,gothic symphonic metal,power metal,symphonic metal","0.557","0.908","1","-5.091","1","0.0435","0.00171","0","0.244","0.371","136.533","4","","BMG Rights Management Benelux B.V.","C © 2014 Within Temptation Recordings B.V. under exclusive licence to BMG Rights Management (Benelux) B.V., P ℗ 2014 Within Temptation Recordings B.V. under exclusive licence to BMG Rights Management (Benelux) B.V."
"spotify:track:6ZOBP3NvffbU4SZcrnt1k6","Kryptonite","spotify:artist:2RTUTCvo6onsAnheUk3aL9","3 Doors Down","spotify:album:5gO2acKSOaJnP0Mcy8IpU6","The Better Life","spotify:artist:2RTUTCvo6onsAnheUk3aL9","3 Doors Down","2000","https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1","1","1","233933","https://p.scdn.co/mp3-preview/8eea4101791149dfe71f9cc5e2b4606b9e29bada?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUR19980187","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T20:56:16Z","alternative metal,nu metal,pop rock,post-grunge","0.545","0.865","11","-5.708","0","0.0286","0.00664","0.000011","0.168","0.543","99.009","4","","Universal Records","C © 2000 Universal Records Inc., P ℗ 1999 Universal Motown Records, a division of UMG Recordings, Inc."
"spotify:track:7uJLdyIAaYLGT0oLw7I6b3","New Fang","spotify:artist:4zYQWYmtimAEmI6WWEzGfO","Them Crooked Vultures","spotify:album:0Z6IBizcq7DLXpenjSHqF3","Them Crooked Vultures","spotify:artist:4zYQWYmtimAEmI6WWEzGfO","Them Crooked Vultures","2009-11-17","https://i.scdn.co/image/ab67616d0000b2737355bb17937d57983e09f9f9","1","3","228639","https://p.scdn.co/mp3-preview/51d8c8e1d20850cc1670400f61b0271a89fa7f11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRW30900005","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-15T18:56:09Z","alternative metal,alternative rock,blues rock,modern alternative rock,modern rock,rock,supergroup","0.278","0.961","7","-3.845","1","0.0607","0.00000736","0.000662","0.0268","0.752","189.664","4","","Them Crooked Vultures","C 2009 Them Crooked Vultures, P 2009 Them Crooked Vultures"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remaster","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","spotify:album:7HvIrSkKGJCzd8AKyjTJ6Q","Blur (Special Edition)","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","1997-02-10","https://i.scdn.co/image/ab67616d0000b273de114203356c1f7b136960b6","1","2","121160","https://p.scdn.co/mp3-preview/1eb7619e3936856cf3d36541eee4eba4d01ed58a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAYE1200348","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-18T10:59:10Z","alternative rock,britpop,madchester,modern rock,permanent wave,pop rock,rock","0.674","0.789","8","-6.903","1","0.0676","0.00178","0.00708","0.0753","0.918","129.802","4","","Parlophone UK","C © 2012 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2012 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:484UpguHIy1FNQgCZRDvU4","Changing","spotify:artist:6uNOBEATMcW8SSunnKy9a3","Witch","spotify:album:5y2SajUtaw9VZjkuKlMsJQ","Witch","spotify:artist:6uNOBEATMcW8SSunnKy9a3","Witch","2006-03-07","https://i.scdn.co/image/ab67616d0000b273f7cc211e4c17b7991b1613eb","1","4","402440","https://p.scdn.co/mp3-preview/f5cf6263266b4ef877d1248305ec938f4be6b6ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","US33R0610014","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-23T19:59:08Z","psychedelic doom,stoner rock","0.272","0.87","4","-6.796","0","0.0485","0.0162","0.692","0.122","0.22","109.216","4","","Outer Battery Records","C (C) 2006 Witch Seers, P (P) 2006 Witch Seers"
"spotify:track:2UKARCqDrhkYDoVR4FN5Wi","Plug in Baby","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:1Dh27pjT3IEdiRG9Se5uQn","Origin of Symmetry","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2001","https://i.scdn.co/image/ab67616d0000b2735225e9931a558f6d2f541a7d","1","5","218000","https://p.scdn.co/mp3-preview/72c7346f7d53a7a5a57afe4171547791800222f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBCVT0000025","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T16:37:36Z","modern rock,permanent wave,rock","0.408","0.965","2","-4.232","1","0.05","0.00000694","0.000402","0.11","0.349","136.018","4","","WM UK","C © 2001 A&E Records Limited, P ℗ 2001 A&E Records Limited"
