"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:432hUIl3ISDeytYW5XBQ5h","Wolves","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","13","301586","https://p.scdn.co/mp3-preview/e9a6620f1a6ebecca3ce935d75ae9e030a6a7bce?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUM71603082","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-21T18:15:54Z","chicago rap,rap","0.395","0.392","1","-8.034","1","0.0925","0.219","0.00173","0.134","0.103","155.856","4","","Rock The World/IDJ/Kanye LP7","C © 2016 Getting Out Our Dreams II, LLC, Distributed By Def Jam, A Division of UMG Recordings, Inc.Good Music ™ and associated logo are trademarks of Mascotte Holdings, Inc. All rights reserved., P ℗ 2016 Getting Out Our Dreams II, LLC, Distributed By Def Jam, A Division of UMG Recordings, Inc.Good Music ™ and associated logo are trademarks of Mascotte Holdings, Inc. All rights reserved."
"spotify:track:6Nle9hKrkL1wQpwNfEkxjh","Chanel","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:6OGzmhzHcjf0uN9j7dYvZH","Chanel","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2017-03-10","https://i.scdn.co/image/ab67616d0000b273a0b780c23fc3c19bd412b234","1","1","210285","https://p.scdn.co/mp3-preview/d438cfce57996afee52e9cae5826859a5d29712c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","QZ5C81600019","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-21T18:20:51Z","hip hop,lgbtq+ hip hop,neo soul,pop","0.776","0.503","0","-5.732","0","0.237","0.874","0","0.112","0.473","110.134","4","","Blonded","P 2017 Blonded"
"spotify:track:7H7NyZ3G075GqPx2evsfeb","Chamber Of Reflection","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","spotify:album:2sij95QgjmgrhNv33achzn","Salad Days","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","2014-04-01","https://i.scdn.co/image/ab67616d0000b273ec6e9c13eeed14eedbd5f7c9","1","9","231723","https://p.scdn.co/mp3-preview/d56ae3a4b83d176bd69d012b995286e7947c42bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","QMMZN1300568","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-21T19:58:45Z","edmonton indie,lo-fi indie","0.538","0.557","11","-8.678","1","0.0914","0.262","0.914","0.102","0.506","131.03","4","","Captured Tracks","C 2014 Captured Tracks, P 2014 Captured Tracks"
"spotify:track:4tqcoej1zPvwePZCzuAjJd","Wet Dreamz","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","3","239266","https://p.scdn.co/mp3-preview/89d6de6c3b5f733bbccef3bfdc2abdaa3a5205d0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USQX91402592","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-22T20:08:17Z","conscious hip hop,hip hop,north carolina hip hop,rap","0.495","0.722","6","-8.108","0","0.357","0.0697","0","0.113","0.539","175.627","4","","Roc Nation Records LLC","C © 2014 Cole World/Interscope Records, P ℗ 2014 Cole World/Interscope Records"
"spotify:track:68Dni7IE4VyPkTOH9mRWHr","No Role Modelz","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","9","292799","https://p.scdn.co/mp3-preview/f4193a62bb89ab3a642ec766123349d8382a7bfe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USQX91402598","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-22T20:10:08Z","conscious hip hop,hip hop,north carolina hip hop,rap","0.69","0.521","10","-8.492","0","0.339","0.324","0","0.0534","0.494","100.028","4","","Roc Nation Records LLC","C © 2014 Cole World/Interscope Records, P ℗ 2014 Cole World/Interscope Records"
"spotify:track:7eqoqGkKwgOaWNNHx90uEZ","Nights","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","9","307151","https://p.scdn.co/mp3-preview/c714ddeded011a51a83255cae76419e7545ead49?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","QZ5C81600009","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-22T22:11:44Z","hip hop,lgbtq+ hip hop,neo soul,pop","0.457","0.551","5","-9.36","0","0.167","0.427","0.00000115","0.113","0.428","89.87","4","","Boys Don't Cry","P 2016 Boys Don't Cry"
"spotify:track:6A5oBZXRtUmGqLrOhdUTHr","Cocaine Model","spotify:artist:28j8lBWDdDSHSSt5oPlsX2","ZHU","spotify:album:51X6B9TCvmpxueMQFpUr7s","THE NIGHTDAY","spotify:artist:28j8lBWDdDSHSSt5oPlsX2","ZHU","2014-04-20","https://i.scdn.co/image/ab67616d0000b273108df9d447edd1760539edd8","1","6","255094","https://p.scdn.co/mp3-preview/6175076734f2d154cdbe87c7b237ec19f998318f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QMALR1400006","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-22T22:25:07Z","edm,electro house","0.786","0.707","9","-6.212","0","0.0532","0.253","0.217","0.142","0.311","120.01","4","","Mind of a Genuis","C 2014 Mind of a Genuis, P 2014 Mind of a Genuis"
"spotify:track:44I7sqKYCAa7bQdVywkShO","Hurricane","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:5f7VJjfbwm532GiveGC0ZK","Kanye West, The Weeknd, Lil Baby","spotify:album:4YV1qBdn6O6thyg18kBo0N","Hurricane","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Kanye West, The Weeknd","2021-08-27","https://i.scdn.co/image/ab67616d0000b27331a80d2686b8a10d7925efb6","1","1","238182","https://p.scdn.co/mp3-preview/d6f2d95c159d9f9492d236cdc6bce6ccf377a138?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUM72118369","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-23T10:22:15Z","chicago rap,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,atl trap,rap,trap","0.477","0.566","0","-6.521","1","0.214","0.0344","0","0.127","0.361","78.293","4","","Getting Out Our Dreams II, LLC / Def Jam Recordings","C © 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam, A Division of UMG Recordings, Inc., P ℗ 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam, A Division of UMG Recordings, Inc."
"spotify:track:7CC6UbCs4iGsePSzFxYxNn","Moon","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:5CnpZV3q5BcESefcB3WJmz","Donda","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-08-29","https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd","1","13","156091","https://p.scdn.co/mp3-preview/6a72ac64ec03a61e0a9425baa396b96041560421?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM72116291","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-23T10:25:43Z","chicago rap,rap","0.319","0.236","5","-9.644","1","0.0318","0.898","0.0000162","0.272","0.254","162.351","4","","Rock The World/IDJ/Kanye LP7","C © 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam Recordings, A Division of UMG Recordings, Inc., P ℗ 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam Recordings, A Division of UMG Recordings, Inc."
"spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z","ZEZE (feat. Travis Scott & Offset)","spotify:artist:46SHBwWsqBkxI7EeeBEQG7, spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Kodak Black, Offset, Travis Scott","spotify:album:5n1GSzC1Reao29ScnpLYqp","Dying to Live","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","2018-12-14","https://i.scdn.co/image/ab67616d0000b273f9508eb3070b95ceeb82788b","1","5","228759","https://p.scdn.co/mp3-preview/453b83cc7be76ec2ee4b59cb801aef95960cd8ab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USAT21811523","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-24T08:28:38Z","florida rap,hip hop,melodic rap,miami hip hop,rap,trap,trap latino,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,viral rap,rap,slap house","0.861","0.603","8","-5.788","0","0.176","0.0521","0","0.0924","0.504","98.043","4","","Atlantic Records","C © 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside the United States., P ℗ 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside the United States."
