"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4nliTt7jzYzGhSdrC8ZGnW","Solitary Native","spotify:artist:4e6pQ61gYReORJoXcrQH1Z, spotify:artist:3PKtLIse00UsAqumIrz0VO","Alix Perez, Sabre","spotify:album:2Iwa6Rl3qMNYSw1aaLJHE4","Solitary Native / Old Flame","spotify:artist:4e6pQ61gYReORJoXcrQH1Z, spotify:artist:3PKtLIse00UsAqumIrz0VO","Alix Perez, Sabre","2007-04-06","https://i.scdn.co/image/ab67616d0000b273137d4a972e98d91b7e41144d","1","1","451226","https://p.scdn.co/mp3-preview/4536f0428131071e41d484edb7c342eaa4cebb5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBPWR0610007","spotify:user:ifunnyplayer6","2020-12-27T16:05:44Z","belgian edm,drum and bass,drumfunk,halftime dnb,jungle,liquid funk,neurofunk,drumfunk,minimal dnb,uk dnb","0.595","0.758","10","-15.259","0","0.0656","0.0155","0.877","0.0699","0.485","172.027","4","","SGN:LTD","C Shogun Audio, P Shogun Audio"
"spotify:track:6JCuqRrPGc3DtjQKdDkx3W","Lost & Proud","spotify:artist:4e6pQ61gYReORJoXcrQH1Z, spotify:artist:022EiWsch2zvty0qBUksDO","Alix Perez, Liam Bailey","spotify:album:4ffOjbA1L97UtrSUTuSQus","Lost & Proud","spotify:artist:4e6pQ61gYReORJoXcrQH1Z","Alix Perez","2020-09-03","https://i.scdn.co/image/ab67616d0000b273aa5375cfaa391ea9d3f21396","1","1","342068","https://p.scdn.co/mp3-preview/477fedd87e13a6f088bf3daa2d581a51f38ed158?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","UKEWB1600169","spotify:user:ifunnyplayer6","2020-12-27T16:06:00Z","belgian edm,drum and bass,drumfunk,halftime dnb,jungle,liquid funk,neurofunk,british soul,funk","0.345","0.787","9","-4.339","1","0.0455","0.00464","0.00454","0.0972","0.166","86.928","4","","1985 Music","C 2020 1985 Music, P 2020 1985 Music"
"spotify:track:11pOZ9ccmozJ1isB5iJlDj","SWRV","spotify:artist:4e6pQ61gYReORJoXcrQH1Z","Alix Perez","spotify:album:6yPMBu2pEEmdbkCSEKRuJv","SWRV","spotify:artist:4e6pQ61gYReORJoXcrQH1Z","Alix Perez","2019-08-30","https://i.scdn.co/image/ab67616d0000b27314df5c5d0e97ddc365978418","1","1","295091","https://p.scdn.co/mp3-preview/0ae59a5f188751fce9f9adf166de993af3554390?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","UKEWB1600117","spotify:user:ifunnyplayer6","2021-01-04T13:59:12Z","belgian edm,drum and bass,drumfunk,halftime dnb,jungle,liquid funk,neurofunk","0.562","0.876","10","-3.738","0","0.0577","0.00214","0.854","0.0745","0.373","173.999","4","","1985 Music","C 2019 1985 Music, P BMG"
"spotify:track:37flb0SuzcfnlfkmmYCFRr","Organise - Halogenix Remix","spotify:artist:3E7kohsPyhMW7wAqAXs6SR, spotify:artist:24eQxPRLv3UMwEIo6mawVW, spotify:artist:1BkbKNEeE8QuGkhsccNNGc, spotify:artist:52daryZMe3vvpHyMyJK6SM, spotify:artist:3U8KQdzVbGObS4dvUi2A9L, spotify:artist:5CGvGuiXIVbG7aME4rLb2m","NOT4MANY, Halogenix, Chunky, Chimpo, Rago Loco, Rolla","spotify:album:3GvKAryaOKwowOFbxhKTjr","Organise (Halogenix Remix)","spotify:artist:3E7kohsPyhMW7wAqAXs6SR, spotify:artist:24eQxPRLv3UMwEIo6mawVW","NOT4MANY, Halogenix","2020-08-14","https://i.scdn.co/image/ab67616d0000b273cbd992c647cd7ab8848ec40c","1","1","301395","https://p.scdn.co/mp3-preview/bf83d9baf51429a175c40177a82324767bf27399?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBKQU2080284","spotify:user:ifunnyplayer6","2021-01-04T14:22:46Z","uk dnb,deep liquid bass,liquid funk,uk dnb,manchester hip hop,ninja,manchester hip hop","0.7","0.868","7","-3.745","0","0.0765","0.0183","0.0012","0.603","0.383","86.012","4","","Box N Lock","C 2020 Box N Lock, P 2020 Box N Lock"
"spotify:track:77EU6IESxSZ6oDJ9S1hMYl","Rain","spotify:artist:4IKdJSimREJMIKDfvYvJHF, spotify:artist:2UZjIISzcezFJLo0ngik2Z","Lenzman, Children of Zeus","spotify:album:3pQni96ENZH1JtBXAmOgZ1","Bobby","spotify:artist:4IKdJSimREJMIKDfvYvJHF","Lenzman","2019-03-29","https://i.scdn.co/image/ab67616d0000b27390c7a2599fcec7f314b01fe1","1","3","277867","https://p.scdn.co/mp3-preview/ed24b4389749ec81e7cc20a66e3ef968ee23fcd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBBHF1310507","spotify:user:ifunnyplayer6","2021-01-04T14:31:04Z","drum and bass,drumfunk,dutch dnb,jazzy dnb,liquid funk,alternative r&b,indie r&b,indie soul,manchester hip hop,uk alternative hip hop","0.563","0.79","1","-4.437","1","0.0648","0.00946","0.0126","0.0829","0.453","172.016","4","","Metalheadz","C 2019 Metalheadz Ltd, P 2019 Metalheadz Ltd"
"spotify:track:009pjwnOrxcHjdg2uCuszR","Her Waves","spotify:artist:24eQxPRLv3UMwEIo6mawVW","Halogenix","spotify:album:6L06e2Inbj1eG9gj4ZH9Xz","Critical Presents : Systems 001","spotify:artist:24eQxPRLv3UMwEIo6mawVW","Halogenix","2014-06-23","https://i.scdn.co/image/ab67616d0000b27310bebfbb847aa0c3a7f2b3bd","1","1","343103","https://p.scdn.co/mp3-preview/d3a269284cf3e35565ead15cef5930213464273c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBVPL1400001","spotify:user:ifunnyplayer6","2021-01-05T17:43:58Z","deep liquid bass,liquid funk,uk dnb","0.616","0.67","11","-5.958","0","0.05","0.189","0.396","0.0385","0.213","172.006","4","","Critical Music","C 2014 Critical Music, P 2014 Critical Music"
"spotify:track:6Jtsd3odMpY7p5XOS3VgY0","Come and Go - Halogenix Remix","spotify:artist:3VwKSHAfgzV1DOHV0aANCI, spotify:artist:0Ek89uaJyo6NfWK22awFvI, spotify:artist:24eQxPRLv3UMwEIo6mawVW","TOKiMONSTA, VanJess, Halogenix","spotify:album:6cC6x6bk3lsebSLz2CzGCP","Oasis Nocturno (Remixed)","spotify:artist:3VwKSHAfgzV1DOHV0aANCI","TOKiMONSTA","2020-09-23","https://i.scdn.co/image/ab67616d0000b273b665592e72d684e997dc2e3a","1","15","248907","https://p.scdn.co/mp3-preview/b2f2b1c4136616f1f92aa521392a8137a322cf62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USA2P2026516","spotify:user:ifunnyplayer6","2021-01-05T17:51:46Z","chillwave,electra,vapor twitch,wonky,alternative r&b,chill r&b,indie r&b,indie soul,r&b,deep liquid bass,liquid funk,uk dnb","0.694","0.738","7","-6.438","0","0.0475","0.0437","0.00127","0.347","0.318","87.021","4","","Young Art Records","C © 2020 Young Art Records, P ℗ 2020 TOKiMONSTA Publishing"
"spotify:track:5VUf53TPbrX38BDCfrhSmF","In Your Soul - Lenzman Remix","spotify:artist:3cMDoNqsP4MKPN7sHhkX3P, spotify:artist:6OwnHoDYszPivlUgbApZbR, spotify:artist:4IKdJSimREJMIKDfvYvJHF, spotify:artist:27Sc6g0Utbc8hvWrzTFVc8","Ill Truth, Satl, Lenzman, Charli Brix","spotify:album:401OmaMBJrGoqOQ4PcpHzG","In Your Soul (Lenzman Remix)","spotify:artist:3cMDoNqsP4MKPN7sHhkX3P, spotify:artist:6OwnHoDYszPivlUgbApZbR, spotify:artist:4IKdJSimREJMIKDfvYvJHF","Ill Truth, Satl, Lenzman","2019-08-02","https://i.scdn.co/image/ab67616d0000b273b3a63b8a6f06ddb7c309b866","1","1","318444","https://p.scdn.co/mp3-preview/8cfd06c1c8be8fd345fc8068070b8095b822d9a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBXJH1000150","spotify:user:ifunnyplayer6","2021-01-05T17:51:48Z","bristol electronic,deep dnb,liquid funk,drum and bass,drumfunk,dutch dnb,jazzy dnb,liquid funk,uk dnb","0.557","0.877","1","-3.508","0","0.0692","0.00343","0.438","0.0851","0.423","173.997","4","","Symmetry Recordings","C 2019 Symmetry Recordings, P Copyright Control"
"spotify:track:0iqT5BeQEHBds5RSsJDMJL","Open Page","spotify:artist:4IKdJSimREJMIKDfvYvJHF, spotify:artist:5XPW5vMGMW4tA1Z3qosShb","Lenzman, Riya","spotify:album:6fmfcUWI0g4HqXrqdNlfzq","Open Page","spotify:artist:4IKdJSimREJMIKDfvYvJHF","Lenzman","2010-06-07","https://i.scdn.co/image/ab67616d0000b273031b8ad5ab89883ef55cbcf4","1","1","344440","https://p.scdn.co/mp3-preview/2b87e917c0b524aa0bfc627bb55bbccb48f93804?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBBHF0930068","spotify:user:ifunnyplayer6","2021-01-08T18:07:23Z","drum and bass,drumfunk,dutch dnb,jazzy dnb,liquid funk,uk dnb","0.587","0.749","10","-4.752","0","0.0424","0.00028","0.853","0.0639","0.252","171.052","4","","Metalheadz","C 2009 Metalheadz Ltd, P 2009 Metalheadz Ltd"
"spotify:track:7I62FqLYE105ulbd7fSO8b","Parallel - LSB Remix","spotify:artist:1LhB1j0Zq3tjBeG3k8gq7V, spotify:artist:1RlBDEXSFnqeYBx70UxZn2, spotify:artist:7M5ogsZnEm96Va8wLKvftN","Technimatic, Zara Kershaw, LSB","spotify:album:5sgAguwXnYDSlursedgL56","Technimatic Remixed","spotify:artist:1LhB1j0Zq3tjBeG3k8gq7V","Technimatic","2017-09-15","https://i.scdn.co/image/ab67616d0000b273082feeb5273addc5e2b438d1","1","3","406395","https://p.scdn.co/mp3-preview/c4d191117bd1cd6f85ff2943f6361701c3ddd946?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBPWR1600590","spotify:user:ifunnyplayer6","2021-01-08T18:08:35Z","dancefloor dnb,drum and bass,liquid funk,drum and bass,jazzy dnb,liquid funk","0.566","0.765","0","-4.116","0","0.0319","0.0108","0.00656","0.332","0.142","86.993","4","","Shogun Audio","C 2017 Shogun Audio, P 2017 Shogun Audio"
