"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:40a21E18KVhIEnS6zcNHaI","Leave the Bells","spotify:artist:0Cken6ZqYuE1snzABRPM8P, spotify:artist:1AeYteGuRWeFyptpSz0y5b, spotify:artist:3cefl59zXfd8Mh6w7YKR4w","DJ Cosm, Ghettosocks, HalfCut","spotify:album:4U2kjRGLldqa1uEVk4AyVA","Natural Within","spotify:artist:0Cken6ZqYuE1snzABRPM8P","DJ Cosm","2021-01-01","https://i.scdn.co/image/ab67616d0000b2730dce1d329072921697a52904","1","8","196276","https://p.scdn.co/mp3-preview/6defbbe17d589ac54e69c500afebe62fc82b345f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","13","usx9p2046287","spotify:user:1231174271","2021-02-05T07:30:24Z","underground boom bap,atlantic canada hip hop,halifax indie,alberta hip hop","0.671","0.86","10","-6.2","0","0.078","0.15","0","0.187","0.884","98.147","4","","Makebelieve Records","C 2021 Adam Michael Hicks, P 2021 Adam Michael Hicks"
"spotify:track:1q6xOQsaMIKNfdu8cREwV0","Too Much Birthday","spotify:artist:0av074qUwLn5eyzwqoq3xh","People Under The Stairs","spotify:album:4ZZOgZ1MOnTrN3X6bIOEIW","Highlighter","spotify:artist:0av074qUwLn5eyzwqoq3xh","People Under The Stairs","2012-03-06","https://i.scdn.co/image/ab67616d0000b273c21453e7178fe50b10d1b82e","1","6","198586","https://p.scdn.co/mp3-preview/372d625e5171f9f71c455558ef4c19615da8944f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","16","USQY51244541","spotify:user:1231174271","2014-11-20T15:07:28Z","alternative hip hop,hip hop,jazz rap","0.773","0.953","11","-5.008","0","0.149","0.106","0.000117","0.869","0.649","95.998","4","","Piecelock 70",""
"spotify:track:66iAObXkp1vx2LE6nlqO4F","Shoot Your Shot","spotify:artist:72tRiBHei5G9M8it4h4sfC","Oddisee","spotify:album:1zup2oq7FzE7h5KnhhoC4a","Odd Cure","spotify:artist:72tRiBHei5G9M8it4h4sfC","Oddisee","2020-07-17","https://i.scdn.co/image/ab67616d0000b2737626fd1bb4871784bf3b78d3","1","3","261141","https://p.scdn.co/mp3-preview/008723cb5fa1b9d37804c4d25a26ec5df9cd5430?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QM6P42011835","spotify:user:1231174271","2020-07-21T08:15:03Z","alternative hip hop,dmv rap,hip hop,sudanese pop","0.724","0.585","2","-10.068","1","0.316","0.12","0.000417","0.0935","0.555","79.973","4","","Outer Note Label LLC","C (C) 2020 Outer Note Label LLC, P (P) 2020 Outer Note Label LLC"
"spotify:track:1RMPNcsNPhAtlpzbuSgH57","So Far To Go feat. Common & D'Angelo","spotify:artist:0IVcLMMbm05VIjnzPkGCyp","J Dilla","spotify:album:5CvK63NJiwT83pP4cJVLlW","The Shining","spotify:artist:0IVcLMMbm05VIjnzPkGCyp","J Dilla","2006-08-21","https://i.scdn.co/image/ab67616d0000b273db807009fa6223f6ce3faad0","1","6","336813","","false","0","US6240400062","spotify:user:1231174271","2014-03-29T14:31:15Z","alternative hip hop,detroit hip hop,hip hop","0.653","0.551","5","-5.383","0","0.0416","0.0075","0.000117","0.291","0.298","90.376","4","","BBE","C 2006 BBE, P 2006 BBE"
"spotify:track:6Fl4rMNemcYz51HteJQBv5","Whatever Happens, Happens","spotify:artist:7D5OcHOXl3X6oiQ01RC1TJ, spotify:artist:0TG32Vlorjeyoc9aKn0Kcd","Yung Senju, F***head Bell","spotify:album:1DDnNs6wrdWHDcF9M5X9mr","Whatever Happens, Happens","spotify:artist:7D5OcHOXl3X6oiQ01RC1TJ","Yung Senju","2020-01-06","https://i.scdn.co/image/ab67616d0000b273bc0357243b8f24d6cf07d9b4","1","1","264973","https://p.scdn.co/mp3-preview/6ccaf7869108f83b76787ae5d960ec440193bccf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","12","QZFYW2020717","spotify:user:1231174271","2021-04-16T09:41:21Z","","0.694","0.867","6","-5.149","0","0.16","0.0107","0","0.0579","0.609","102.353","4","","Sensuki Records","C 2020 Sensuki Records, P 2020 Sensuki Records"
"spotify:track:7DVByIoPMjA7ULW84z0hBI","Har Hanz (feat. Ohmega Watts)","spotify:artist:2bz6GlqjAN5fTFWvy0rmSP, spotify:artist:5upHj0MnOX1kIBXf7zzoZb, spotify:artist:11DVVDXpf5IiKmTTZTWD0X","Tall Black Guy, Ozay Moore, Ohmega Watts","spotify:album:7rl90FpsoJE8v5FCd3Duqc","Har Hanz (feat. Ohmega Watts)","spotify:artist:2bz6GlqjAN5fTFWvy0rmSP, spotify:artist:5upHj0MnOX1kIBXf7zzoZb, spotify:artist:11DVVDXpf5IiKmTTZTWD0X","Tall Black Guy, Ozay Moore, Ohmega Watts","2020-11-19","https://i.scdn.co/image/ab67616d0000b273024e70f3378ff75097dc7a46","1","1","280080","https://p.scdn.co/mp3-preview/b7407be40310ebdbbcb656ecc088db7180bf578e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USLD91729688","spotify:user:1231174271","2020-12-09T06:43:47Z","bass trip,indie jazz,indie soul,neo r&b,jazz rap","0.762","0.758","11","-8.479","1","0.376","0.782","0.00000117","0.12","0.649","96.105","4","","Coalmine Records","C 2020 Coalmine Records, P 2020 Coalmine Records"
"spotify:track:1fb6b2Mas9q2mWxJazzeRI","Waves","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","spotify:album:2R6wefBXnMzCkRoqD7FdNk","Waves","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","2012-11-13","https://i.scdn.co/image/ab67616d0000b2731084187a4343004a04592a2b","1","1","213333","","false","0","QMKSC1200001","spotify:user:1231174271","2017-08-18T07:03:16Z","conscious hip hop,hip hop,rap,underground hip hop","0.591","0.892","8","-6.114","0","0.293","0.0944","0","0.113","0.712","89.849","4","","Cinematic Music Group","C (C) 2012 Cinematic Music Group / Pro Era, P (P) 2012 Cinematic Music Group / Pro Era"
"spotify:track:4vTfXktjuhBSvPlf17xcxZ","More Life (feat. Q Tip)","spotify:artist:0huGjMyP507tBCARyzSkrv, spotify:artist:3ZotbHeyVQKxQCPDJuQ4SU","Cordae, Q-Tip","spotify:album:0mRCQ9zhXQTjXusVJfSXoW","Just Until....","spotify:artist:0huGjMyP507tBCARyzSkrv","Cordae","2021-04-22","https://i.scdn.co/image/ab67616d0000b2732361ec64ab57e2ec088beff7","1","1","191032","https://p.scdn.co/mp3-preview/3d1dcaa64ca400d80a33e7d0c5df12e6cdb01efd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","USAT22101721","spotify:user:1231174271","2021-04-24T00:05:08Z","dmv rap,hip hop,rap,trap,underground hip hop,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,neo soul,queens hip hop","0.573","0.571","6","-6.943","1","0.558","0.343","0.00000209","0.145","0.347","82.585","4","","Art@War/Atlantic Records","C © 2021 Atlantic Recording Corporation, P ℗ 2021 Atlantic Recording Corporation"
"spotify:track:3RhwTkS8dLHtC9WKrlUc9U","Shinin'","spotify:artist:2JOM9U6c8ef5pDlJwHAbjO","Ghostboyrj","spotify:album:1glPcTucpEIy9TY840Npcs","GTR Presents: Phantom Opera","spotify:artist:2JOM9U6c8ef5pDlJwHAbjO","Ghostboyrj","2021-02-25","https://i.scdn.co/image/ab67616d0000b2737c266c8d99c7a1813486d8d4","1","8","142785","https://p.scdn.co/mp3-preview/f66a9521c394ecb75966484a9f746f427aa0067b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","QZFZ72175212","spotify:user:1231174271","2021-03-01T11:33:48Z","","0.651","0.833","2","-6.186","0","0.212","0.312","0","0.196","0.669","89.06","4","","GHO$TOWN RECORD$","C 2021 GHO$TOWN RECORD$, P 2021 GHO$TOWN RECORD$"
"spotify:track:6ds6v5C6S0OkRpV4Dvt8c5","Highly Favored","spotify:artist:03lFyWOEdgNdHvpdxZbfC6, spotify:artist:5bqmIGLgPwllSrz4zzIo0j, spotify:artist:3gkvPVQi7D6qstqC5urqvP","Noa James, FrankieOG, NugLife","spotify:album:2vrd5UL4KXWVhio37dXiWc","Highly Classified EP","spotify:artist:03lFyWOEdgNdHvpdxZbfC6, spotify:artist:5bqmIGLgPwllSrz4zzIo0j, spotify:artist:3gkvPVQi7D6qstqC5urqvP","Noa James, FrankieOG, NugLife","2021-07-30","https://i.scdn.co/image/ab67616d0000b2732e8ae6ca8ff503c2fe910751","1","2","155294","https://p.scdn.co/mp3-preview/43207cc3b77ea5f3507b1cd454cd4a6593f387d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","14","QZK6K2132398","spotify:user:1231174271","2021-08-30T16:46:57Z","underground boom bap","0.64","0.685","10","-6.032","0","0.311","0.0985","0","0.155","0.569","119.133","4","","High Def Ent. / BrickToYaFace / OG97 Music","C 2021 High Def Ent. / BrickToYaFace / OG97 Music, P 2021 High Def Ent. / BrickToYaFace / OG97 Music"
