"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4SrS0LdOu9yBfCcXnmhkQ4","Run Run Run (Calibre Remix)","spotify:artist:6ExL8nLVBOmIHKK5Iqm0Pi, spotify:artist:0sklgkoO5JeS7YNhHS5EmH","Goldie, Calibre","spotify:album:3voI4kAa8IhPzj5sAXwZkz","The Journey Man Remixes, Pt. 2","spotify:artist:6ExL8nLVBOmIHKK5Iqm0Pi","Goldie","2020-09-25","https://i.scdn.co/image/ab67616d0000b27319771e3e25c8984e7f814cbb","1","2","346908","https://p.scdn.co/mp3-preview/7c7c4fcfacd964bfefd0fc9f29da193011b7252e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBBHF1310601","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-05T19:35:28Z","drum and bass,drumfunk,jazzy dnb,liquid funk,uk dnb","0.562","0.64","7","-5.922","0","0.045","0.00108","0.804","0.0924","0.0381","172.991","4","","Metalheadz","C 2020 Metalheadz Ltd, P 2020 Metalheadz Ltd"
"spotify:local:::Adam+F+-+Circles+%28Album+Edit%29-LDRNYUucKvA:435","Adam F - Circles (Album Edit)-LDRNYUucKvA","","","","","","","","","0","0","435000","","false","0","","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-05T19:37:04Z","","","","","","","","","","","","","","","",""
"spotify:track:1444onOjS2vvrBP874CWuT","Watercolours","spotify:artist:5Wfn5sc1w3DhMTpU7oPJZL","LTJ Bukem","spotify:album:5wZngiW5puuoM0QGajqBoY","Journey Inwards","spotify:artist:5Wfn5sc1w3DhMTpU7oPJZL","LTJ Bukem","2000","https://i.scdn.co/image/ab67616d0000b2732828e206ee2b1f98a9642094","1","2","458066","https://p.scdn.co/mp3-preview/cd044c36ac4e59bfb4b47ee7005bb88c41634ce4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBCCH9900248","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-06T15:02:13Z","atmospheric dnb,downtempo,drum and bass,jazzy dnb,jungle","0.473","0.794","7","-8.953","0","0.0443","0.0278","0.933","0.353","0.374","170.214","4","","goodlooking Records","C 2013 goodlooking, P 2013 goodlooking"
"spotify:track:6tW3U7obAotfcyPruXdpM4","Walk This Land","spotify:artist:2DRV8CWHnuapa1bpbvHjCl","E-Z Rollers","spotify:album:2fdAkcqAzhesitKe2q91RL","Music From The Motion Picture Lock, Stock And Two Smoking Barrels","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998","https://i.scdn.co/image/ab67616d0000b2731482b9376e50c5f8f6f65112","1","7","230333","https://p.scdn.co/mp3-preview/1f09d0e99edef58e2e69247e96b14d9eba2ca513?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USMV29900010","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-06T15:16:40Z","drum and bass,drumfunk","0.669","0.851","1","-5.075","1","0.0473","0.0106","0.862","0.308","0.945","163.389","4","","Rhino/Warner Records","C © 1999 Maverick Records Produced Under License From SKA Productions, P ℗ 1999 Maverick Records Produced Under License From SKA Productions"
"spotify:track:2h7w0KHwHbx4WbG6WxjO7U","Pacific State","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","spotify:album:0mwlWFUpsVDeDw5kkUlDzV","ESP: The 808 State Effect","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","2021-09-03","https://i.scdn.co/image/ab67616d0000b2737cc69fb85af30da6dd6c40d5","1","1","351400","https://p.scdn.co/mp3-preview/579c61f878fec5bd95a2f22e12fb3a06491a62fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAHW1100023","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-06T21:26:58Z","acid house,big beat,classic house,electronica,hardcore techno,hip house,intelligent dance music,madchester,rave,techno","0.682","0.979","10","-6.496","0","0.0733","0.0649","0.882","0.14","0.277","124.188","4","","ZTT Records","C © 2021 ZTT Records Limited, P This Compilation ℗ 2021 ZTT Records Limited"
"spotify:track:0wrg4FXpFKz1y1tYsZPJOw","Mr Majestic","spotify:artist:0sklgkoO5JeS7YNhHS5EmH, spotify:artist:0bxHci3JIhhKA53n8rH3tT","Calibre, High Contrast","spotify:album:5vJVHRuapQS98n2Oj0Nnso","Mr. Majestic","spotify:artist:0sklgkoO5JeS7YNhHS5EmH, spotify:artist:0bxHci3JIhhKA53n8rH3tT","Calibre, High Contrast","2004","https://i.scdn.co/image/ab67616d0000b27382abaa222442117b25d9c3c6","1","1","321440","https://p.scdn.co/mp3-preview/b8befdaa9327f9de5f0cf1bb8ede6eaaa8ebfff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBZSD0400009","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-06T21:39:56Z","drum and bass,drumfunk,jazzy dnb,liquid funk,uk dnb,drum and bass,jump up,uk dance,uk dnb","0.48","0.925","4","-5.748","0","0.0513","0.00028","0.543","0.486","0.179","173.044","4","","Signature","C 2004 Signature Recordings, P 2004 Signature Recordings"
"spotify:track:65u7hdwGqo3J1kEDOLkOtZ","Fools Gold - Grooverider's Mix","spotify:artist:1lYT0A0LV5DUfxr6doRP3d, spotify:artist:65g8RO3JqCUTigI7YR3dAw","The Stone Roses, Grooverider","spotify:album:2Mulw0iaKua3geVj9awHDW","The Remixes","spotify:artist:1lYT0A0LV5DUfxr6doRP3d","The Stone Roses","2000-11-21","https://i.scdn.co/image/ab67616d0000b2731a676aa92265d25171fb8e67","1","7","365666","","false","35","GBAHJ0000014","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-06T21:46:28Z","alternative rock,britpop,dance rock,madchester,modern rock,rock,drum and bass,jungle","0.65","0.87","7","-9.588","1","0.041","0.00259","0.817","0.57","0.93","130.002","4","","Silvertone","P (P) 2000 Silvertone Records Ltd."
"spotify:track:4oAlACpQMYNkMPGja4PPgg","Saltwater - Extended Mix","spotify:artist:5GxyeQagayzZOg4UwffQlD, spotify:artist:3ZvmmlF8EMEpnnK90jfuJv","Chicane, Moya Brennan","spotify:album:3rHFzqu7ZvViHVIq4Yvxve","Saltwater","spotify:artist:5GxyeQagayzZOg4UwffQlD","Chicane","2000","https://i.scdn.co/image/ab67616d0000b2733e2e53bcee0453fa79f74b41","1","2","591640","https://p.scdn.co/mp3-preview/e2b031c6d2bae21638c04df0232a7338ea1f3cac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","NLF711203803","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-19T15:23:36Z","disco house,trance,celtic,new age,operatic pop","0.577","0.807","5","-10.126","0","0.0393","0.0987","0.921","0.111","0.577","130.998","4","","Modena Records","C 2012 Modena Records under exclusive license to Armada Music B.V., P 2000 Armada Music B.V. under exclusive license from Hidden Man Music Ltd"
"spotify:track:2527WUoKIauHY1tx5TCetu","Atlantis (I Need You)","spotify:artist:5Wfn5sc1w3DhMTpU7oPJZL","LTJ Bukem","spotify:album:2YgeSuxQWw3NjUPYhjoTFl","Producer 01","spotify:artist:5Wfn5sc1w3DhMTpU7oPJZL","LTJ Bukem","2013-01-28","https://i.scdn.co/image/ab67616d0000b2735da6acaf9750589cb216deaf","1","9","394000","https://p.scdn.co/mp3-preview/63e6952172458e8db503cd11f3187d1aeeda61dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBCCH9900022","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-19T16:11:50Z","atmospheric dnb,downtempo,drum and bass,jazzy dnb,jungle","0.601","0.988","10","-4.542","1","0.183","0.209","0.921","0.267","0.264","155.013","4","","goodlooking Records","C 2013 goodlooking, P 2013 goodlooking"
"spotify:track:29rrJBtcsOk3IjLfe5YUHI","Brown Paper Bag","spotify:artist:5UjqeSp9dX6Nrge7WdDukr, spotify:artist:17Ytfl1DntgvVdragJEqx8","Roni Size, Reprazent","spotify:album:2wa0kOg4mJ94Iw17Gcv4IL","New Forms","spotify:artist:5UjqeSp9dX6Nrge7WdDukr, spotify:artist:17Ytfl1DntgvVdragJEqx8","Roni Size, Reprazent","1997-01-01","https://i.scdn.co/image/ab67616d0000b2734a2cbb6cfe876eb08b4e91ba","1","2","542933","https://p.scdn.co/mp3-preview/cbd8ab2552040145bfb75dd96c5242f7d21569c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBF089700307","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-31T11:08:43Z","big beat,breakbeat,drum and bass,electronica,hardcore techno,jungle","0.53","0.944","11","-3.863","1","0.0844","0.0000568","0.856","0.394","0.487","169.778","4","","Island Mercury","C © 1997 Mercury Records Limited, P ℗ 1997 Mercury Records Limited"
"spotify:track:4tPdFPzwtSwWFBn8viXtl6","Tell No Soul","spotify:artist:2JckSanHaR24IYLgQv60zn, spotify:artist:0WQqE2ce2AqX2MXe4g935H","AC13, King DeepField","spotify:album:2uYBhW7m7guq1qnEujnpj5","Tell No Soul","spotify:artist:2JckSanHaR24IYLgQv60zn","AC13","2020-09-18","https://i.scdn.co/image/ab67616d0000b27311292fccfb82723faa25b672","1","1","238664","https://p.scdn.co/mp3-preview/431993adf8450a129ea957bf03c3f2828c61af14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GB6TC2074001","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T21:36:25Z","bass house,uk dnb","0.548","0.566","1","-4.565","0","0.0572","0.0981","0.00281","0.0875","0.0357","173.973","4","","Soulvent Records","C 2020 Soulvent Records LTD, P 2020 Soulvent Records LTD"
"spotify:track:0BkY9FbAZOqNqMgdgrwr1G","The Edge of Time","spotify:artist:7FtCGMC0pcHPlrZWmYe9XM, spotify:artist:3csmRSEQR7fizAR0WAmSLZ","Break, Kyo","spotify:album:5dMxKztEZWXumdAprhiLdm","Another Way","spotify:artist:7FtCGMC0pcHPlrZWmYe9XM","Break","2018-11-16","https://i.scdn.co/image/ab67616d0000b273a0428064658ce1805e7e8df9","1","8","279624","https://p.scdn.co/mp3-preview/f3ec27ac0c05463738473f703a18a170c85bca7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBXJH1000128","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-02T23:23:57Z","drum and bass,drumfunk,jump up,jungle,liquid funk,neurofunk,uk dnb","0.835","0.686","1","-6.32","0","0.14","0.00156","0.0209","0.144","0.233","86.994","4","","Symmetry Recordings","C 2018 Symmetry Recordings, P Copyright Control"
"spotify:track:04KFWnc7aEXoddtAaw2Djn","Breathe","spotify:artist:501MfkAIop4dRLvOqjlMHl, spotify:artist:0Aj1plSc6rHBG6BmNpUL0A","Murdock, Goldi Phone Home","spotify:album:6yw4Cg8oct1tAsCv1prGk9","Stronger","spotify:artist:501MfkAIop4dRLvOqjlMHl","Murdock","2019-10-18","https://i.scdn.co/image/ab67616d0000b2734666fd8e3769dccde1d7e41b","1","5","247630","https://p.scdn.co/mp3-preview/8e883000f84fd28a9a4c93248245c4efde7daf04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","GBTMZ1900957","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-14T07:07:46Z","belgian dnb,belgian edm,dancefloor dnb,drum and bass","0.643","0.924","11","-2.575","0","0.0679","0.000973","0.339","0.201","0.107","173.019","4","","Viper Recordings","C 2019 Viper Recordings, P 2019 Viper Recordings"
"spotify:track:6Pztf7vxEwNsVgYu6fnEX7","Dance Together","spotify:artist:5MGgLwsKBivm7H5lJn5xRu, spotify:artist:68mfV6tyHCTHZrNWNbVXmu","Mollie Collins, Ruth Royall","spotify:album:5qYfy7BTH9aoDD0XoGBITb","Dance Together","spotify:artist:5MGgLwsKBivm7H5lJn5xRu, spotify:artist:68mfV6tyHCTHZrNWNbVXmu","Mollie Collins, Ruth Royall","2021-07-19","https://i.scdn.co/image/ab67616d0000b273b2566c1fc8d0636f674bfe30","1","1","242250","https://p.scdn.co/mp3-preview/1088c4c5598f53a5b825285cd1520ae9b2d7c65d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GB2LD2110193","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-14T07:18:25Z","uk dnb","0.609","0.802","2","-3.894","1","0.077","0.0539","0.0000471","0.0997","0.0338","173.849","4","","UKF","C 2021 UKF, P 2021 UKF"
