"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1tqT6DhmsrtQgyCKUwotiw","I Heard It Through The Grapevine","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","spotify:album:36VMWZPLjg9rucvMxdA2Pz","In The Groove","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","1968-08-26","https://i.scdn.co/image/ab67616d0000b273aff6573c5110e0732fbab3d8","1","4","194293","https://p.scdn.co/mp3-preview/eb499ecb5287601354b2fb14acd7e005ea4036ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USMO19582697","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-01T19:54:22Z","classic soul,funk,motown,northern soul,quiet storm,soul","0.711","0.362","3","-10.851","0","0.0381","0.272","0","0.127","0.616","117.287","4","","Motown","C © 1968 Motown Records, a Division of UMG Recordings, Inc., P ℗ 1968 Motown Records, a Division of UMG Recordings, Inc."
"spotify:track:6MN6yRVriszuyAVlyF8ndB","Coffee Cold","spotify:artist:3b6TinIPahsS8iSCYAeinr","Galt MacDermot","spotify:album:6f4b9wVTkKAf096k4XG6x5","Shapes of Rhythm/Woman Is Sweeter","spotify:artist:3b6TinIPahsS8iSCYAeinr","Galt MacDermot","2000-01-01","https://i.scdn.co/image/ab67616d0000b273b7dbeff91b0f87b7a3032365","1","3","205720","https://p.scdn.co/mp3-preview/b08fdd5fa473581ef5cc7b5b6b7e29d1a09256e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ushm20403133","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-01T21:01:34Z","","0.685","0.472","9","-9.691","0","0.0298","0.785","0.284","0.224","0.475","80.487","4","","Kilmarnock Records","C 2000 Galt MacDermot, P 2000 Galt MacDermot"
"spotify:track:3Vby4nGmtbDo7HDJamOWkT","Stuck In The Middle With You","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","spotify:album:5ApN9lqru1t3Xh1IaEGTll","Stealers Wheel","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","1972-01-01","https://i.scdn.co/image/ab67616d0000b273a5ce236c22035a02cf87d4de","1","2","208946","https://p.scdn.co/mp3-preview/b6aec4b728d43e96744a903152d6c6305db4ec67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBAAM7200002","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-01T21:22:24Z","classic rock,classic uk pop,folk rock","0.82","0.575","7","-9.144","1","0.0408","0.0936","0.000135","0.109","0.964","123.765","4","","UMC (Universal Music Catalogue)","C © 2008 Mercury Records Limited, P ℗ 1972 A&M Records"
"spotify:track:0a4agFmqHXxcZl1nho1BxM","Heart Of Glass - Special Mix","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","spotify:album:7mEjsBlRmfP63cH1gdPT6A","Best Of Blondie","spotify:artist:4tpUmLEVLCGFr93o8hFFIB","Blondie","1981-10-31","https://i.scdn.co/image/ab67616d0000b2738cf86a9be38868f1d73cdb58","1","1","275733","https://p.scdn.co/mp3-preview/f769d352195782042c9225dbcb64638563fc1243?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USCH39600074","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-01T21:24:47Z","candy pop,new wave,new wave pop,permanent wave,power pop,rock","0.694","0.577","4","-14.63","1","0.0308","0.015","0.00836","0.0853","0.845","114.478","4","","Chrysalis\EMI Records (USA)","C © 1981 Capitol Records, LLC, P This Compilation ℗ 1981 Capitol Records, LLC"
"spotify:track:66LhCsc06aTa2Ig7iYPDSP","Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster","spotify:artist:7crPfGd2k81ekOoSqQKWWz, spotify:artist:4tX2TplrkIP4v05BNC903e","Stevie Nicks, Tom Petty and the Heartbreakers","spotify:album:0IomjU2bXFng4LQBYn7Het","Bella Donna (2016 Remastered)","spotify:artist:7crPfGd2k81ekOoSqQKWWz","Stevie Nicks","1981-07-27","https://i.scdn.co/image/ab67616d0000b273af14d74d5e308ce2f3ec22f8","1","3","244440","https://p.scdn.co/mp3-preview/ad7fb125a04ba1de90bdcb349e0bcbcda8fb22b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USRH11604195","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-01T21:28:59Z","album rock,heartland rock,mellow gold,rock,album rock,classic rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock","0.631","0.597","4","-7.382","0","0.026","0.379","0.00273","0.146","0.665","107.26","4","","Rhino Atlantic","C © 1981 Modern Records, Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company. All Rights Reserved., P ℗ 1981 Modern Records, Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company. All Rights Reserved."
"spotify:track:57vGEVtio2O4ocFHSiKxJN","La Valse De Amelie (Piano Instrumental version)","spotify:artist:5AQ0fpfsKytULmzNdjis1W","Benedikt Waldheuer","spotify:album:5Xv5Fo2JnoG4HFVJd4cjX6","Benedikt Waldheuer (Piano Instrumental version)","spotify:artist:5AQ0fpfsKytULmzNdjis1W","Benedikt Waldheuer","2020-06-06","https://i.scdn.co/image/ab67616d0000b27370880eab3c98ba2412251a91","1","21","158999","","false","0","NL1AP2035143","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-02T21:25:17Z","","0.188","0.214","0","-16.331","1","0.0415","0.991","0.864","0.0944","0.18","55.98","4","","Spinnup","C © 2020 Benedikt Waldheuer, P ℗ 2020 Benedikt Waldheuer"
"spotify:track:70gbuMqwNBE2Y5rkQJE9By","Going to California - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:44Ig8dzqOkvkGDzaUof9lK","Led Zeppelin IV (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69","1","7","212160","https://p.scdn.co/mp3-preview/85bbb9572e554786b320555e9bab071986fe73de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAT21300962","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-03T08:38:44Z","album rock,classic rock,hard rock,rock","0.503","0.265","2","-15.913","1","0.0333","0.943","0.045","0.0867","0.522","78.044","4","","Atlantic Records","C © 2014 Atlantic Recording Corporation. All Rights Reserved, P ℗ 2014 Atlantic Recording Corporation, a Warner Music Group Company. Marketed by Warner Music Group Company. All Rights Reserved"
"spotify:track:3YfS47QufnLDFA71FUsgCM","The Sound of Silence","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","2","4","184786","https://p.scdn.co/mp3-preview/ab8a021647205bf2f2213af6fe55ccf6769e71b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM16401137","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-03T09:12:40Z","classic rock,folk,folk rock,melancholia,mellow gold,rock","0.535","0.225","6","-13.865","1","0.0301","0.869","0.00000157","0.0988","0.338","107.384","4","","Columbia/Legacy","P This compilation (P) 2012 Sony Music Entertainment. All rights reserved."
"spotify:track:54eZmuggBFJbV7k248bTTt","A Horse with No Name","spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:0tcbedGX7n5UHrMhVsGmIU","America, George Martin","spotify:album:0E5IKYhiKgbYQkmfsFonbZ","America","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1972","https://i.scdn.co/image/ab67616d0000b273afb855e6461310dff4046c56","1","5","252239","https://p.scdn.co/mp3-preview/fd1339af75eb92bc03084e161ecf13f0a9d2c78c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USWB19901792","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-03T09:13:14Z","album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock","0.654","0.506","11","-17.18","0","0.0535","0.686","0.0155","0.155","0.831","123.179","4","","Warner Records","C © 1987 Warner Records Inc., P ℗ 1972 Warner Records Inc."
"spotify:track:626wlz3bovvpH06PYht5R0","Us And Them - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","7","472626","https://p.scdn.co/mp3-preview/190dc2ab678b75c6a81e16c3fc3826aebfdcc8e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBN9Y1100082","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-03T16:17:52Z","album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock","0.361","0.259","2","-16.279","1","0.0306","0.835","0.303","0.612","0.137","72.759","4","","Pink Floyd Records","C © 2016 Pink Floyd Music Ltd., P ℗ 2016 Pink Floyd Music Ltd., marketed and distributed by Parlophone Records Ltd., a Warner Music Group Company"
