"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2aJDlirz6v2a4HREki98cP","Glue","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:4psDRFbIlUM1KUb1omccXo","Bicep","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2017-09-01","https://i.scdn.co/image/ab67616d0000b273d4322a9004288009f6da2975","1","2","269149","https://p.scdn.co/mp3-preview/9b73b25a688372b983d5afa31e8101760a0b939d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBCFB1700229","spotify:user:12142276298","2020-09-09T18:14:39Z","ambient house,electronica","0.853","0.798","4","-7.995","0","0.068","0.0158","0.948","0.0967","0.42","129.983","4","","Ninja Tune","C 2017 Ninja Tune, P 2017 Ninja Tune"
"spotify:track:5TWQZfWeXydAYN7HsRR55O","Love On The Brain - RY X Remix","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:2KjAo6wVc9d2WcxdxSArpV","Rihanna, RY X","spotify:album:1VnigYslPngqIZaFs7Ofk7","Love On The Brain (Dance Remixes)","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2016-10-17","https://i.scdn.co/image/ab67616d0000b273ff30a9cedc7827619e9d818e","1","4","217066","https://p.scdn.co/mp3-preview/bef62e78f8de0139b7a293ea9fa650262fc3a258?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QM5FT1600221","spotify:user:12142276298","2020-09-09T18:14:40Z","barbadian pop,dance pop,pop,urban contemporary,indie folk","0.523","0.332","4","-15.942","0","0.0322","0.27","0.0605","0.0991","0.0388","124.959","4","","Roc Nation / Rihanna","C © 2016 Westbury Road Entertainment. Distributed by Roc Nation Records, P ℗ 2016 Westbury Road Entertainment. Distributed by Roc Nation Records"
"spotify:track:1uhGW4jUw12CdZCnXBKanD","Rain","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:4psDRFbIlUM1KUb1omccXo","Bicep","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2017-09-01","https://i.scdn.co/image/ab67616d0000b273d4322a9004288009f6da2975","1","9","351252","https://p.scdn.co/mp3-preview/8a9da6863e5be289304d6449b4885922cfbd4221?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBCFB1700237","spotify:user:12142276298","2020-09-09T18:14:41Z","ambient house,electronica","0.505","0.904","10","-4.849","0","0.0781","0.0494","0.854","0.072","0.237","123.023","4","","Ninja Tune","C 2017 Ninja Tune, P 2017 Ninja Tune"
"spotify:track:4Z4i631BesV0P6LTvfLAdL","Talk to Me You'll Understand","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","spotify:album:6c94J2yum9wHxmbSB27YXE","You'll Understand","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","2017-02-10","https://i.scdn.co/image/ab67616d0000b273088d99c85e6de4f30b39679c","1","1","417099","https://p.scdn.co/mp3-preview/c83519526e88ff9ea5d24457fc1d9ade858ffeac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","UKA2G1608004","spotify:user:12142276298","2020-09-09T18:14:41Z","deep house,electronica,float house,lo-fi house","0.741","0.619","1","-11.366","0","0.0514","0.661","0.674","0.125","0.146","126.008","4","","Distant Hawaii","C 2016 Lobster Theremin, P 2016 Lobster Theremin"
"spotify:track:2t16D9V5FmmRAJjsSpwvZf","When I R.I.P.","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","spotify:album:788r22Bhr3IHLTNPy8pZea","Euphoria (Original Score from the HBO Series)","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","2019-10-04","https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867","1","24","174567","https://p.scdn.co/mp3-preview/b0a3c806c1eaab8c2e892031a00c25548b82c921?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USQX91902519","spotify:user:12142276298","2020-09-09T18:14:42Z","indie poptimism,pop","0.417","0.551","8","-6.456","0","0.174","0.73","0.00166","0.0907","0.444","87.614","4","","Masterworks","P (P) 2019 HBO under exclusive license to Sony Music Entertainment"
"spotify:track:72Qo3U5apeuv91j9BEqJBM","I Don't Wanna Waste My Time","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:6ZksrxRWlJ7ExylPyJwfLJ","In Tongues (Deluxe)","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2018-02-14","https://i.scdn.co/image/ab67616d0000b2738e947f66f6d4eeaa56a28767","1","8","164430","https://p.scdn.co/mp3-preview/cc92b53438bf75eabfa4391fa0146d3541a0ebd2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUYG1179137","spotify:user:12142276298","2020-09-09T18:14:43Z","viral pop","0.403","0.234","4","-17.865","1","0.0531","0.761","0.0618","0.123","0.13","144.226","4","","88rising Music / EMPIRE","C 2018 88rising Music / EMPIRE, P 2018 88rising Music / EMPIRE"
"spotify:track:0wf9rSX8ds3yEI2gf2QdPs","Dreams","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","NF","spotify:album:1KOmHyNLuOe5YrPhD3Juuf","Perception","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","NF","2017-10-06","https://i.scdn.co/image/ab67616d0000b273cd733919ee57d0cc466e152f","1","5","221573","https://p.scdn.co/mp3-preview/53cdceb5ae401a09a8a68a5e0f33a21828e759de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUM71708222","spotify:user:12142276298","2020-09-09T18:14:43Z","hip hop,pop rap,rap","0.501","0.354","11","-13.031","0","0.177","0.354","0.00000266","0.111","0.301","86.289","4","","NF Real Music","C © 2017 NF Real Music, LLC, P Capitol Records; ℗ 2017 NF Real Music, LLC"
"spotify:track:3nfj9Fdbl30TvcZE9sU0Vx","Suffer With Me","spotify:artist:3xFXCUS8RN65oCwsO4PJRI","líue","spotify:album:6G8FJ9OgqUFa5p7qxhAqki","Suffer With Me","spotify:artist:3xFXCUS8RN65oCwsO4PJRI","líue","2019-01-14","https://i.scdn.co/image/ab67616d0000b2734fe83775017dd8af28079187","1","1","207936","https://p.scdn.co/mp3-preview/6a16b1850ae21de0bba5f9a1cdbbd5aeb29df0ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","QZ8LD1911187","spotify:user:12142276298","2020-09-09T18:14:44Z","weirdcore","0.564","0.95","8","-3.82","1","0.101","0.00911","0.0686","0.589","0.215","161.451","4","","1120498 Records DK","C 2019 1120498 Records DK, P 2019 1120498 Records DK"
"spotify:track:1Hy3CoHThqF0NBSmkmeR21","Fingerprint","spotify:artist:27gtK7m9vYwCyJ04zz0kIb","Lane 8","spotify:album:1VsvNunss80y4GmqT4dr1j","Fingerprint","spotify:artist:27gtK7m9vYwCyJ04zz0kIb","Lane 8","2016-07-11","https://i.scdn.co/image/ab67616d0000b273e96a7cf14f2d32c679d86e02","1","1","404391","https://p.scdn.co/mp3-preview/d012d9ba3172d18dd5c46d073ae336fedb094b86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FR2X41686056","spotify:user:12142276298","2020-09-09T18:14:45Z","edm,gauze pop,progressive house,tropical house","0.637","0.821","5","-8.781","0","0.0345","0.00857","0.866","0.154","0.303","123.988","4","","This Never Happened","C 2016 This Never Happened, P 2016 This Never Happened"
"spotify:track:1aaIYTqoRDzRUilU2Q6vTe","Archangel","spotify:artist:0uCCBpmg6MrPb1KY2msceF","Burial","spotify:album:1CI5OW60s9W41YLI80Jjdr","Untrue","spotify:artist:0uCCBpmg6MrPb1KY2msceF","Burial","2007","https://i.scdn.co/image/ab67616d0000b2737c6cb4ecf83050e244c456da","1","2","238426","https://p.scdn.co/mp3-preview/66cd3c6d78601a53043d8386e5fcb98e12c92923?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBLZC0700013","spotify:user:12142276298","2020-09-09T18:14:45Z","classic dubstep,electronica,hauntology,intelligent dance music,microhouse,uk bass,wonky","0.622","0.852","1","-10.184","1","0.153","0.431","0.663","0.114","0.513","135.207","4","","Hyperdub","C 2007 Hyperdub, P 2007 Hyperdub"
