"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:619bJQ9uDi8dnXzLebFI7y","When Love Takes Over (feat. Kelly Rowland)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","spotify:album:27255AeNTU1KuApN9KjmjM","When Love Takes Over","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2009-04-17","https://i.scdn.co/image/ab67616d0000b2730b64786c7e075b16d4c8c646","1","1","189000","https://p.scdn.co/mp3-preview/2658a95fb5ddf87b1a659c1a38103a00c0a7eda7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRZID0900200","spotify:user:","2022-10-27T14:56:03Z","big room,dance pop,edm,pop,pop dance","0.658","0.863","11","-4.64","1","0.0255","0.0144","0.000193","0.2","0.496","129.972","4","","Parlophone (France)","C © 2009 Gum Prod, licence exclusive Parlophone Music France, P ℗ 2009 Gum Prod, licence exclusive Parlophone Music France"
"spotify:track:3Fzlg5r1IjhLk2qRw667od","Dancing in the Moonlight","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","spotify:album:2ww2PXKiHk7rNv26rjVJ5z","Onka's Big Moka","spotify:artist:6xeFne1rkxMhKSW3ipvkdV","Toploader","2000","https://i.scdn.co/image/ab67616d0000b273e16a6534cd5a968a5b725d03","1","2","232693","https://p.scdn.co/mp3-preview/d3ebc26617284b756aedf4e9176163ad050a5205?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBBBL9902165","spotify:user:","2022-10-27T14:56:03Z","british alternative rock","0.632","0.856","10","-3.463","1","0.0348","0.0624","0","0.347","0.867","119.397","4","","Sony Soho Square","P (P) 2001 Sony Music Entertainment (UK) Ltd."
"spotify:track:1qEHgdFqUxFebMPk8s2HLY","I Don't Feel Like Dancin' - Radio Edit","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","spotify:album:6LPpLYrjQYKtMfDUT1qjOz","I Don't Feel Like Dancin'","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","2006-01-01","https://i.scdn.co/image/ab67616d0000b273d0a50cacfb47854fa416cd6c","1","1","248640","https://p.scdn.co/mp3-preview/4378588f9193db051896bf43d8209b3d4bb29efd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBUM70602112","spotify:user:","2022-10-27T14:56:03Z","dance pop,dance rock,electropop","0.711","0.924","7","-3.398","1","0.0282","0.0156","0","0.114","0.912","108.033","4","","Polydor Records","C © 2006 Polydor Ltd. (UK), P ℗ 2006 Polydor Ltd. (UK)"
"spotify:track:2LEF1A8DOZ9wRYikWgVlZ8","Good Feeling","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","spotify:album:7eLwoxxWs6lfkVYJGkGNbk","Wild Ones","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2012-06-22","https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09","1","4","248133","https://p.scdn.co/mp3-preview/a8f1c619eda21dcfcaa3f9d154a3b09658c0d76d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USAT21101961","spotify:user:","2022-10-27T14:56:03Z","dance pop,edm,miami hip hop,pop,pop rap","0.706","0.89","1","-4.444","0","0.0688","0.0588","0.00286","0.306","0.684","128.011","4","","Poe Boy/Atlantic","C © 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
"spotify:track:2He3NOyqtLNE3RQPpeDdSb","Groove Is in the Heart","spotify:artist:4eQJIXFEujzhTVVS1gIfu5","Deee-Lite","spotify:album:4sTAgYLZy5zwqR3kT1g0oh","World Clique","spotify:artist:4eQJIXFEujzhTVVS1gIfu5","Deee-Lite","1990-08-07","https://i.scdn.co/image/ab67616d0000b273cbcb5083c56df2a557625bca","1","9","231786","https://p.scdn.co/mp3-preview/4bd4aca0f8d8a6304956ee45dad0830696fe9bbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USEE19687204","spotify:user:","2022-10-27T14:56:03Z","hip house","0.694","0.881","1","-4.053","0","0.0701","0.0153","0.0196","0.0851","0.924","121.554","4","","Elektra Records","C © 1990 Elektra Entertainment., P ℗ 1990 Elektra Entertainment. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:07K4GcCDSTiXUF5ssyTRUM","The Sweet Escape","spotify:artist:4yiQZ8tQPux8cPriYMWUFP, spotify:artist:0z4gvV4rjIZ9wHck67ucSV","Gwen Stefani, Akon","spotify:album:4LAtUD0YzywA2DdzxEAoEU","The Sweet Escape","spotify:artist:4yiQZ8tQPux8cPriYMWUFP","Gwen Stefani","2006-01-01","https://i.scdn.co/image/ab67616d0000b273ed29b3ed6596d0bb0df132e1","1","2","246466","https://p.scdn.co/mp3-preview/40701cf8d35740051acd68d1c76a7e623fa3832f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUM70618684","spotify:user:","2022-10-27T14:56:03Z","dance pop,pop,post-teen pop,dance pop","0.756","0.77","1","-3.502","1","0.0343","0.191","0","0.178","0.73","119.961","4","","Interscope","C © 2006 Interscope Records, P ℗ 2006 Interscope Records"
"spotify:track:3wpLkju0bJy89kjgdRys0j","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:75CDFLAqMl6VgmPJtaTHmg","The Essential Earth, Wind & Fire","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","2014-03-25","https://i.scdn.co/image/ab67616d0000b273d8cf89522a24e6c9b90cb2c2","1","14","215080","https://p.scdn.co/mp3-preview/12f43c1be2dd4187764927962adb3a1673552709?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM17800845","spotify:user:","2022-10-27T14:56:03Z","disco,funk,jazz funk,quiet storm,soul","0.694","0.831","9","-7.288","1","0.0301","0.165","0.000892","0.25","0.98","125.901","4","","Columbia/Legacy","P This compilation (P) 2014 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:254bXAqt3zP6P50BdQvEsq","Everywhere - 2017 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:4AsXQ17Arq1cUVoa9dKJ3F","Tango In the Night (Deluxe Edition)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1987-04-13","https://i.scdn.co/image/ab67616d0000b273aaba065944cd82a6f15c86b6","1","3","226653","https://p.scdn.co/mp3-preview/9f7ca4c61f18a45d800c1242d377b4c787896a7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRH11602189","spotify:user:","2022-10-27T14:56:03Z","album rock,classic rock,rock,soft rock,yacht rock","0.73","0.487","4","-10.991","1","0.0303","0.258","0.01","0.0852","0.731","114.965","4","","Rhino/Warner Records","C © 2017 Warner Records Inc. for the U.S. and WEA International Inc. for the world outside the U.S. All Rights Reserved., P ℗ 2017 Warner Records Inc. Marketed by Warner Strategic Marketing, a Warner Music Group Company."
"spotify:track:1jDJFeK9x3OZboIAHsY9k2","I'm Still Standing","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:0OmYuz9hwn1XoqmDaU0yJ7","Too Low For Zero","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1983-05-30","https://i.scdn.co/image/ab67616d0000b273eb11e2abccdca41f39ad3b89","1","2","183440","https://p.scdn.co/mp3-preview/e841b922ebf0913991e7552e7f9e1769dc27bdec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBALX8300190","spotify:user:","2022-10-27T14:56:03Z","glam rock,mellow gold,piano rock","0.504","0.904","6","-6.863","1","0.179","0.356","0.121","0.14","0.772","176.808","4","","EMI","C © 1998 Mercury Records Limited, P ℗ 1998 Mercury Records Limited"
"spotify:track:2V65y3PX4DkRhy1djlxd9p","Don't You Worry Child - Radio Edit","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:2auikkNYqigWStoHWK1Grq","Swedish House Mafia, John Martin","spotify:album:3RKhRsifs4RWrqvWV1YpPY","Don't You Worry Child","spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","2012-09-14","https://i.scdn.co/image/ab67616d0000b2739cfe80c0c05ce104f7bab18e","1","1","212862","https://p.scdn.co/mp3-preview/68ba649e5233a128a3c95a28375dee8522892a4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAAA1200728","spotify:user:","2022-10-27T14:56:03Z","dance pop,edm,electro house,pop,pop dance,progressive electro house,pop edm","0.612","0.84","11","-3.145","0","0.0509","0.112","0","0.116","0.438","129.042","4","","Virgin Records","C © 2012 EMI Records Ltd, P ℗ 2012 EMI Records Ltd"
