"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7tqhbajSfrz2F7E1Z75ASX","Ain't No Mountain High Enough","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","spotify:album:5LqviduT0g0J0ypFrFSwCE","United","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","1967-08-29","https://i.scdn.co/image/ab67616d0000b2739173e50e99bdea2400222f02","1","1","151666","https://p.scdn.co/mp3-preview/090809c54f002e1493e134d36f5ff3efed0b934c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USMO16700534","spotify:user:","1970-01-01T00:00:00Z","classic soul,funk,motown,northern soul,quiet storm,soul,motown","0.663","0.6","7","-10.87","1","0.032","0.43","0","0.184","0.8","129.991","4","","UNI/MOTOWN","C © 1967 UMG Recordings, Inc., P A Motown Records Release; ℗ 1967 UMG Recordings, Inc."
"spotify:track:4w7nHS3WCD0u25SkMUvq3a","Hit The Road Jack","spotify:artist:3wlGboM57eZwqMIM2o31GL, spotify:artist:4fnabfYrvg3fMDspxKcGRl","Jeff Zavac, The Craetts","spotify:album:5j7NYV0Nk1lPR70kqIDvDF","Miami Lighthouse for the Blind Presents: Instrumental Magic","spotify:artist:3wlGboM57eZwqMIM2o31GL","Jeff Zavac","2006-10-01","https://i.scdn.co/image/ab67616d0000b27318370586c1d82a4e4db168d1","1","6","129906","https://p.scdn.co/mp3-preview/36ec67dd0cf7a2f70bccbf0acc28d8a2cc08b808?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USBEN0680107","spotify:user:","1970-01-01T00:00:00Z","fake","0.591","0.758","8","-6.596","0","0.033","0.079","0.00246","0.199","0.936","172.061","4","","Stone Music Family, LLC","C 2006 Henstone Music, Inc., P 2006 Henstone Music USA, Inc"
"spotify:track:7hhclvecTpNxNNRCk7NUoc","Little L","spotify:artist:6J7biCazzYhU3gM9j1wfid","Jamiroquai","spotify:album:6cLYs4e403jQk6PJ8PG9rs","A funk odyssey","spotify:artist:6J7biCazzYhU3gM9j1wfid","Jamiroquai","2001-08-29","https://i.scdn.co/image/ab67616d0000b273909ebb0c355f14d0ee7f9974","1","2","295400","https://p.scdn.co/mp3-preview/cd23877ce24818b98bfdb852468aedf1148ec0f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBBBN0102227","spotify:user:","1970-01-01T00:00:00Z","dance pop","0.878","0.724","10","-5.373","0","0.129","0.168","0.0116","0.133","0.904","121.906","4","","Epic","P (P) 2001 Sony Music Entertainment (UK) Ltd."
"spotify:track:4f2GB5ZC7vOUYPAg69N2Xw","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:2L8rj8VnahryOqg7vKHYzx","Now, Then & Forever","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","2013-09-11","https://i.scdn.co/image/ab67616d0000b273b5b47988d371870d37a48584","2","9","221520","https://p.scdn.co/mp3-preview/0537091c76250e4c5909f088134788a5c4101985?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM17800419","spotify:user:","1970-01-01T00:00:00Z","disco,funk,jazz funk,quiet storm,soul","0.684","0.864","9","-4.819","1","0.0312","0.131","0.00526","0.344","0.978","125.395","4","","Legacy Recordings","P (P) 2013 All Ways Gone Touring, under exclusive license to Sony Music Entertainment/This compilation (P) 2013 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:4zwq3QUKgMNk0NSLl7fpbP","Why Why Why Why Why","spotify:artist:1uRxRKC7d9zwYGSRflTKDR","SAULT","spotify:album:57EkTny9UjqpLhFzMO4Hdb","5","spotify:artist:1uRxRKC7d9zwYGSRflTKDR","SAULT","2019-05-05","https://i.scdn.co/image/ab67616d0000b273f022f99fe759ce4c573bdb0e","1","4","238679","https://p.scdn.co/mp3-preview/72788728d2b2b8a93fd5720394f7f62e01b7d0e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","UKMEH1900013","spotify:user:","1970-01-01T00:00:00Z","alternative r&b,indie soul,pop soul","0.805","0.61","9","-6.64","0","0.0357","0.338","0.0616","0.112","0.686","114.762","4","","Forever Living Originals","C 2019 Forever Living Originals, P 2019 Forever Living Originals"
"spotify:track:15ifyO8wYntwyXAptfxhKr","Everybody Dance - 2018 Remaster","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","spotify:album:388S3dsftPqG1nwgauItcx","Chic (2018 Remaster)","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","1977-01-01","https://i.scdn.co/image/ab67616d0000b27353afe19ee3a695205550ed02","1","4","402693","https://p.scdn.co/mp3-preview/139620adddea0c3a99ec725e689831f8b4be9316?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRH11803124","spotify:user:","1970-01-01T00:00:00Z","disco,funk,post-disco,quiet storm,soul","0.722","0.66","5","-13.438","0","0.0538","0.05","0.000901","0.0907","0.906","129.727","4","","Rhino Atlantic","C © 2018, 1977 Atlantic Recording Corporation. All Rights Reserved., P ℗ 2018, 1977 Atlantic Recording Corporation. All Rights Reserved. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:20aIE1E2mAoDcSWGnnLPRR","Get off the Phone","spotify:artist:3w4FwUyrFv29eAKSYQvWYr","Epicentre","spotify:album:0STlQOEHRO9dUU8a0ohOd5","Wheedle's Groove: Seattle Funk, Modern Soul & Boogie Volume II 1972-1987","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-05-20","https://i.scdn.co/image/ab67616d0000b273b913bf21755d75578cd55c45","1","1","191826","https://p.scdn.co/mp3-preview/2460a5f66d6747d2a8fc7d606142fa625be93086?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USDEA1410801","spotify:user:","1970-01-01T00:00:00Z","jungle","0.7","0.562","0","-9.586","1","0.0697","0.471","0","0.0747","0.756","105.669","4","","Light In The Attic","C (C) 2014 Light in the Attic Records & Distribution"
"spotify:track:3KzgdYUlqV6TOG7JCmx2Wg","Beyond the Sea","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","spotify:album:5MsJK0kqiYIJDmd3cjkGMn","That's All","spotify:artist:0EodhzA6yW1bIdD5B4tcmJ","Bobby Darin","1959","https://i.scdn.co/image/ab67616d0000b273e774643594281699bde1e4ed","1","2","172480","https://p.scdn.co/mp3-preview/95fd2d5ccca641d554937a64def734da54256ff2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USEW10000026","spotify:user:","1970-01-01T00:00:00Z","adult standards,easy listening,lounge,rock-and-roll,rockabilly,soul,swing,vocal jazz","0.521","0.516","2","-7.456","0","0.0369","0.723","0","0.257","0.569","136.483","4","","Rhino Atlantic","C © 2004 Elektra Entertainment Group Manufactured & Marketed by Warner Strategic Marketing, P ℗ 2004 Elektra Entertainment Group Manufactured & Marketed by Warner Strategic Marketing"
"spotify:track:6J3HNhDBIwEX11bX8hzx5u","Colors","spotify:artist:6eU0jV2eEZ8XTM7EmlguK6","Black Pumas","spotify:album:3g8HE8pB8nq6DbHf71I2Wa","Black Pumas","spotify:artist:6eU0jV2eEZ8XTM7EmlguK6","Black Pumas","2019-06-21","https://i.scdn.co/image/ab67616d0000b2733b14d2d2c0bc40021dcd9a3b","1","2","246586","https://p.scdn.co/mp3-preview/17d2f497de808f648ba553df4a94f223d107da27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USATO1900023","spotify:user:","1970-01-01T00:00:00Z","retro soul","0.546","0.696","4","-6.537","1","0.0335","0.0887","0.0000184","0.195","0.596","89.882","4","","ATO Records","C 2019 ATO Records, under exclusive license to [PIAS], P 2019 ATO Records, under exclusive license to [PIAS]"
"spotify:track:76ICmoJ4PcoMWoooaTxnQs","Land of 1000 Dances","spotify:artist:0N5PyKJzS3M1XNlaCL7bbE","Wilson Pickett","spotify:album:3fxWzXNMhTz01uShzMARnm","The Exciting Wilson Pickett","spotify:artist:0N5PyKJzS3M1XNlaCL7bbE","Wilson Pickett","1966","https://i.scdn.co/image/ab67616d0000b273e9417411c156207132d4c003","1","1","146973","https://p.scdn.co/mp3-preview/1c21d6f0381ea501c2c2755defec61f5c9e1389e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAT29902208","spotify:user:","1970-01-01T00:00:00Z","classic soul,funk,memphis soul,rock-and-roll,soul,southern soul","0.618","0.588","2","-11.624","1","0.0735","0.0128","0.0266","0.351","0.768","86.903","4","","Rhino Atlantic","C © 1993 Atlantic Record Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 1993 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
