"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6ztstiyZL6FXzh4aG46ZPD","Boogie Wonderland","spotify:artist:4QQgXkCYTt3BlENzhyNETg, spotify:artist:64CuUOOirKmdAYLQSfaOyr","Earth\, Wind & Fire, The Emotions","spotify:album:4RLVTxnuVN5ZWZqBFnaaQt","I Am","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1979-06","https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988","1","5","288293","https://p.scdn.co/mp3-preview/9ac9265a2edd03091665103429ca7f3eb25b71d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM19922860","spotify:user:","2020-04-14T18:41:41Z","disco,funk,jazz funk,quiet storm,soul,chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul,southern soul,urban contemporary","0.802","0.756","2","-10.791","0","0.0349","0.0843","0.00765","0.0521","0.963","131.715","4","","Columbia/Legacy","P (P) 1979 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:0qemIQjSxcKyf42VPfZnfa","Night Fever - From ""Saturday Night Fever"" Soundtrack","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:4vAhQeeWkSjVn0p5GAaLBx","How Can You Mend A Broken Heart","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","2020-12-11","https://i.scdn.co/image/ab67616d0000b273a1f748bf1c1e69b3e36a21ea","1","16","212800","https://p.scdn.co/mp3-preview/02aca568297ac214ea34fbceb7beda9f4b2056c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","NLF057790035","spotify:user:","2020-04-14T18:41:41Z","disco,mellow gold,soft rock","0.726","0.779","1","-7.057","0","0.0251","0.0178","0.00178","0.104","0.841","109.133","4","","UME - Global Clearing House","C © 2020 Capitol Records; Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb under exclusive license to UMG Recordings, Inc., P ℗ 2020 Capitol Records; Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb under exclusive license to UMG Recordings, Inc."
"spotify:track:28285KFbyCq8sJofn58qlD","Love Train","spotify:artist:38h03gA85YYPeDPd9ER9rT","The O'Jays","spotify:album:09jTPeDoSuJLLAwFGNUKCX","Back Stabbers","spotify:artist:38h03gA85YYPeDPd9ER9rT","The O'Jays","1972-01-01","https://i.scdn.co/image/ab67616d0000b2737bc09ea8d6c7db1993dfb77d","1","10","178400","https://p.scdn.co/mp3-preview/89870665a3bb9017f8b8bace2209d78ed58fe048?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USSM17200048","spotify:user:","2020-04-14T18:41:41Z","classic soul,disco,funk,philly soul,quiet storm,soul,southern soul,urban contemporary","0.743","0.572","0","-9.627","1","0.0493","0.186","0.0000144","0.163","0.675","122.658","4","","Legacy/Epic Associated","P (P) 1972 Epic Records, a division of Sony Music Entertainment"
"spotify:track:5D24mVHltrDuUEDEtUapSG","Lady Marmalade","spotify:artist:3DznKagEU8yMQZR9z33Da5","LaBelle","spotify:album:0Um71BYb1Zl8Oa6vSvn2ox","The Best of Disco","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1996-11-25","https://i.scdn.co/image/ab67616d0000b2731c76dd4f82e782ffe0f014a6","1","14","235746","https://p.scdn.co/mp3-preview/aef21669c205dc980ef752e2660f70f88c664434?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USSM17400284","spotify:user:","2020-04-14T18:41:41Z","disco,quiet storm","0.554","0.795","0","-4.883","1","0.0671","0.335","0","0.058","0.795","118.058","4","","Sony BMG Music Entertainment","P This compilation (P) 2007 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:4vYauy3ABO65vTXggGYaZg","Don't Leave Me This Way (feat. Teddy Pendergrass)","spotify:artist:438JBZR1AR0l04AzcYW9gy, spotify:artist:68kACMx6A3D2BYiO056MeQ","Harold Melvin & The Blue Notes, Teddy Pendergrass","spotify:album:1Wb0jUJH0wKwtqhfwoclU0","Wake Up Everybody (feat. Teddy Pendergrass)","spotify:artist:438JBZR1AR0l04AzcYW9gy","Harold Melvin & The Blue Notes","1975-11-01","https://i.scdn.co/image/ab67616d0000b27332140dac935b95f7e4628a7b","1","4","363973","https://p.scdn.co/mp3-preview/8a9f239424928e8cdc4a0dcf73c95df18c4cce9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USLIC0500354","spotify:user:","2020-04-14T18:41:41Z","classic soul,disco,funk,philly soul,quiet storm,soul,southern soul,classic soul,disco,funk,philly soul,post-disco,quiet storm,soul,urban contemporary","0.472","0.71","0","-8.852","1","0.0599","0.278","0.00000136","0.103","0.527","120.052","4","","Philadelphia International Records/Epic/Legacy","P (P) 1975 Sony Music Entertainment"
"spotify:track:3qI94hINNNeb4S7xQi18lS","Blame It on the Boogie","spotify:artist:2yrbLiuBmc9j81lTX3XUuI","The Jacksons","spotify:album:46yTC334aJI4QTv4lkzj3a","Destiny","spotify:artist:2yrbLiuBmc9j81lTX3XUuI","The Jacksons","1978-12-17","https://i.scdn.co/image/ab67616d0000b27386e5468d84ed66f06d9a799e","1","1","214200","https://p.scdn.co/mp3-preview/e0f664400f80b207f2d87fe458f9f2124b529a78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM17801024","spotify:user:","2020-04-14T18:41:41Z","disco,funk,motown,quiet storm,soul","0.774","0.641","1","-10.193","1","0.0799","0.0765","0","0.0867","0.875","113.256","4","","Epic","P (P) 1978 Epic Records, a division of Sony Music Entertainment"
"spotify:track:7zpm7lTY2EZn7AfFm3mGg2","Lost in Music - 1995 Remaster","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","spotify:album:4L1Astvd0LwOkF49jQ2Uyt","The Best of Sister Sledge (1973-1985)","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","1992-08-11","https://i.scdn.co/image/ab67616d0000b2733bf5ea3a790675d745115e93","1","7","287440","https://p.scdn.co/mp3-preview/92c219af03be2384deb17a343d0d32396ce80a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USAT20102163","spotify:user:","2020-04-14T18:41:41Z","dance pop,disco,philly soul,post-disco,quiet storm,soul","0.758","0.841","0","-7.509","1","0.0319","0.0544","0.000153","0.103","0.849","114.487","4","","Rhino","C © 1992 Atlantic Recording Corp., P ℗ 1992 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
"spotify:track:2grjqo0Frpf2okIBiifQKs","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:2FW0uQ4WL25umm5p2VrZO7","The Best Of Earth, Wind & Fire Vol. 1","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1978-11-23","https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69","1","7","215093","https://p.scdn.co/mp3-preview/0537091c76250e4c5909f088134788a5c4101985?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM17800845","spotify:user:","2020-04-14T18:41:41Z","disco,funk,jazz funk,quiet storm,soul","0.697","0.832","9","-7.264","1","0.0298","0.168","0.00131","0.269","0.979","125.926","4","","Columbia/Legacy","P This compilation (P) 1978 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:6UW4Uo5zRI5gJw5urNwiwN","Relight My Fire - Single Version","spotify:artist:1HvcqyRLS9nF8hAbTWOqpr","Dan Hartman","spotify:album:0zHX5CKQciDiMewajwcAf4","Relight My Fire (Expanded Edition)","spotify:artist:1HvcqyRLS9nF8hAbTWOqpr","Dan Hartman","1979-06-01","https://i.scdn.co/image/ab67616d0000b273c621f99f139041b0fbe1061b","1","9","225893","https://p.scdn.co/mp3-preview/c80b2a154d46c3a652ad7bcc6e627cf2bbe2ca56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USSM17900565","spotify:user:","2020-04-14T18:41:41Z","disco,post-disco","0.787","0.662","0","-11.447","1","0.0378","0.0148","0","0.328","0.868","119.734","4","","Epic/Legacy","P (P) 1979 Sony Music Entertainment"
"spotify:track:1a4JG31yqWFwsFccPIxAYO","Going Back to My Roots - 12"" Version","spotify:artist:5b4SvpTqll0LSqJWPpXya5","Odyssey","spotify:album:1yvcYE6kYQR2OOdEgdkIKz","The Greatest Hits","spotify:artist:5b4SvpTqll0LSqJWPpXya5","Odyssey","1997-09-22","https://i.scdn.co/image/ab67616d0000b27327b546ab65d835f1726291ff","1","8","326093","https://p.scdn.co/mp3-preview/3ef975e3ebce7e63b61668f7ee1e487ed7d01a1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USRC17908018","spotify:user:","2020-04-14T18:41:41Z","classic uk pop,disco,hammond organ,post-disco,quiet storm","0.705","0.813","6","-9.408","1","0.0347","0.0579","0.0733","0.0502","0.861","107.169","4","","RCA Camden","P (P) 1997 & 2003 BMG UK & Ireland Limited"
