"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0CVsKBGIBzghRFdir2aK5q","Who We Are","spotify:artist:2P61EzT5otQxziQyFX59xZ","Noyze Jynx","spotify:album:30UrlsZ9c3bofhh39pZY6p","Who We Are","spotify:artist:2P61EzT5otQxziQyFX59xZ","Noyze Jynx","2021-03-26","https://i.scdn.co/image/ab67616d0000b273a2a69e1593750dcd7dab82cc","1","1","169600","https://p.scdn.co/mp3-preview/4a2c71f03e09776ba4c49b3c9820d64cee9b22a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","GBMA22159365","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2021-03-29T18:31:06Z","","0.42","0.692","1","-6.696","1","0.0319","0.000691","0.895","0.617","0.318","150.042","4","","Holy Records","C 2021 HOLY. Records, P 2021 HOLY. Records"
"spotify:track:4fqX7lcKmTXa4Aofqbf54D","BLAME (feat. dzyre)","spotify:artist:0OirGRY55NlQeqOHKhvpbm, spotify:artist:5gWMVoPT8oAlJaOfxqOiLJ","Jordan Comolli, dzyre","spotify:album:5jpbLvmdP1OXPRTDhWbFK1","BLAME (feat. dzyre)","spotify:artist:0OirGRY55NlQeqOHKhvpbm, spotify:artist:5gWMVoPT8oAlJaOfxqOiLJ","Jordan Comolli, dzyre","2021-02-12","https://i.scdn.co/image/ab67616d0000b2737333937d3ef415b48d429e7e","1","1","214333","https://p.scdn.co/mp3-preview/ca9f55d24a239d4e98b01b7032140a00fdec2e71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBLFP2042444","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2021-02-12T15:26:45Z","bass trap,electronic trap,traprun","0.51","0.936","8","-5","1","0.415","0.0097","0.000103","0.0913","0.2","149.993","4","","Holy Records","C 2021 Holy Records, P 2021 Holy Records"
"spotify:track:33PqZiAyVTGfHDHpNW7IJ9","Glow","spotify:artist:6qjhYs5KNSoSU6fNJqDGIo, spotify:artist:1ELhwVuttnZmGrSCTYHTfH, spotify:artist:277nGroq41wkET9HuG4LB0","Sanjoy, Piques, SYRN","spotify:album:1DOBkb9PSF4iezG69GEQmn","Glow","spotify:artist:6qjhYs5KNSoSU6fNJqDGIo, spotify:artist:1ELhwVuttnZmGrSCTYHTfH","Sanjoy, Piques","2020-12-04","https://i.scdn.co/image/ab67616d0000b273ecf18027be0fb6c91ef0e79f","1","1","219897","https://p.scdn.co/mp3-preview/f810c70f7935ee70f4dd5561ca75da92e7c857e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QMFF92000009","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-12-09T13:50:37Z","desi pop","0.812","0.748","1","-5.055","0","0.0547","0.0272","0.00237","0.0926","0.348","119.991","4","","PORT22","C 2020 PORT22, P 2020 PORT22"
"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","The Business","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","spotify:album:2adSO4KU3FDjeM1PXCRDZm","The Business","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2020-09-16","https://i.scdn.co/image/ab67616d0000b273f461bbc21a9bcec43a926973","1","1","164000","https://p.scdn.co/mp3-preview/0eab33c8cf88fdd3046bd58133b6cbf2fe31773c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","CYA112000624","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-10-30T08:56:56Z","big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house","0.798","0.62","8","-7.079","0","0.232","0.414","0.0192","0.112","0.235","120.031","4","","Atlantic Records","C © 2020 Musical Freedom Label, LLC under exclusive license to Atlantic Recording Corporation for the world., P ℗ 2020 Musical Freedom Label, LLC under exclusive license to Atlantic Recording Corporation for the world."
"spotify:track:0uH5ORp6Ai5PP0SUofxoc7","Tomorrow (feat. 433)","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:2MT1u0GqGp2d8XLjY3F8ln","Tiësto, 433","spotify:album:6PGjlC64lf5ChodLjQGLlf","Tomorrow (feat. 433)","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:2MT1u0GqGp2d8XLjY3F8ln","Tiësto, 433","2020-06-12","https://i.scdn.co/image/ab67616d0000b273b9242c2e259395bb45bd4c96","1","1","165000","https://p.scdn.co/mp3-preview/28c1b244841406209ceb39b8a3301dae4663f7e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","CYA112000447","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-09-28T07:21:18Z","big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house","0.661","0.942","10","-3.75","0","0.282","0.00607","0.44","0.0778","0.203","127.947","4","","Musical Freedom","C © 2020 Musical Freedom Label Ltd., P ℗ 2020 Musical Freedom Label Ltd."
"spotify:track:0qaWEvPkts34WF68r8Dzx9","Turn Me On (feat. Vula)","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:6YqhcZlSE8ugUcmoHLw9gz","Riton, Oliver Heldens, Vula","spotify:album:7mtnp7B5yFt3D3PAznGzc8","Turn Me On (feat. Vula)","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:5nki7yRhxgM509M5ADlN1p","Riton, Oliver Heldens","2019-09-13","https://i.scdn.co/image/ab67616d0000b273216a271725a34eba54dd0b55","1","1","208473","https://p.scdn.co/mp3-preview/2e2901431547d1f3701caa98e6dfb90916a07784?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBCEN1900052","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-09-28T07:21:18Z","dance pop,edm,house,pop dance,tropical house,uk dance,dance pop,edm,electro house,future house,house,pop dance,progressive electro house,progressive house,tropical house","0.737","0.828","11","-4.711","1","0.0396","0.0149","0.000588","0.0862","0.517","124.051","4","","Ministry of Sound Recordings","P (P) 2019 Ministry of Sound Recordings Limited"
"spotify:track:19eIZmuXlBmLTha1lPHef7","Alors On Danse - DubDogz Remix","spotify:artist:5j4HeCoUlzhfWtjAfM1acR, spotify:artist:4cdyqaBREB68H77QKCrKP1","Stromae, Dubdogz","spotify:album:1hOCJ4eNjtYKIH9ZmNGc8p","Alors On Danse (DubDogz Remix)","spotify:artist:5j4HeCoUlzhfWtjAfM1acR, spotify:artist:4cdyqaBREB68H77QKCrKP1","Stromae, Dubdogz","2019-05-03","https://i.scdn.co/image/ab67616d0000b2735327653f3d3215a4e3fae684","1","1","168576","https://p.scdn.co/mp3-preview/495bd11c026c148ff1867339359692ce8d9bbd90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","BET671800003","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-09-28T07:21:18Z","belgian pop,g-house,brazilian bass,brazilian edm","0.789","0.752","1","-4.274","0","0.164","0.027","0.0000269","0.613","0.739","122.98","4","","Musical Freedom","C © 2019 Moasert under exclusive license to Musical Freedom Ltd., P ℗ 2019 Musical Freedom Label Ltd."
"spotify:track:3RkwO9256FFaRQk2Tvf0lM","Lose You - Chico Rose Remix","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:6mzs66iVW15C5iLt0JLt41, spotify:artist:5OdVywqKqyCWwfE2fZb7IX","Tiësto, ILIRA, Chico Rose","spotify:album:1vHgGXkEnKe5ttIbcJ4zfa","Lose You (Chico Rose Remix)","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2020-06-26","https://i.scdn.co/image/ab67616d0000b2735cb2cda8a8436f61ced9ec5c","1","1","155213","https://p.scdn.co/mp3-preview/7eb952254af8167ee8c60c6d07f6639ba49b3627?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","CYA112000492","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-09-28T07:21:18Z","big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house,albanian pop,covertronica,edm,pop dance,pop edm,slap house,tropical house","0.786","0.867","6","-4.333","0","0.0755","0.0564","0.00389","0.0609","0.243","123.014","4","","Universal Music, a division of Universal International Music BV","C © 2020 Musical Freedom Label Ltd., under exclusive license to PM:AM Recordings/Universal Music, a division of Universal International Music B.V., P ℗ 2020 Musical Freedom Label Ltd., under exclusive license to PM:AM Recordings/Universal Music, a division of Universal International Music B.V."
"spotify:track:4D0AFLieBjqaJnFOBAPA56","Secrets - Tom Field Remix","spotify:artist:4ofCBoyEiGSePFAG500xev, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2, spotify:artist:0JqlUcGSL0pX3GMKfdTUwk","Regard, RAYE, Tom Field","spotify:album:4WqCZy3nmN9B8vSVSxFxk6","Secrets (Remixes)","spotify:artist:4ofCBoyEiGSePFAG500xev, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2","Regard, RAYE","2020-07-31","https://i.scdn.co/image/ab67616d0000b2730d5dd9a1bfdbd4e231d9638c","1","3","157619","https://p.scdn.co/mp3-preview/41630311819615658bc9ca918e14ead7a85f1c7a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","GBCEN2000063","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-09-28T07:21:18Z","dance pop,edm,electro house,pop,pop dance,pop edm,slap house,tropical house,dance pop,pop,pop dance,post-teen pop,tropical house,uk contemporary r&b,uk pop,belgian edm","0.711","0.922","6","-2.534","0","0.0402","0.0297","0.0000174","0.144","0.352","125.979","4","","Ministry of Sound Recordings","P (P) 2020 Ministry of Sound Recordings Limited"
"spotify:track:3vrm4dNThrhQ0BArrLIUOV","Somebody's Watching Me","spotify:artist:5OdVywqKqyCWwfE2fZb7IX, spotify:artist:7rYojRyXBLPrX6UWfnAkaC","Chico Rose, 71 Digits","spotify:album:2p62jUmltlSQua2IViQBaz","Somebody's Watching Me","spotify:artist:5OdVywqKqyCWwfE2fZb7IX, spotify:artist:7rYojRyXBLPrX6UWfnAkaC","Chico Rose, 71 Digits","2020-04-17","https://i.scdn.co/image/ab67616d0000b273d463b62f7a061f0bd9498892","1","1","176640","https://p.scdn.co/mp3-preview/ad60b577052e943a09e3a12fd9a46387d339e17b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","NLZ542000058","spotify:user:oawqqjnk7m4bdnexh1ls3pi77","2020-09-28T07:21:18Z","covertronica,edm,pop dance,pop edm,slap house,tropical house","0.712","0.857","1","-4.922","0","0.052","0.0855","0.0000998","0.0723","0.207","124.963","4","","Spinnin' Records","C © 2020 SpinninRecords.com, P ℗ 2020 SpinninRecords.com"
