"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:40SBS57su9xLiE1WqkXOVr","Afraid To Feel","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","spotify:album:528LrHfHcB7PMAvyp8Obhp","Afraid To Feel","spotify:artist:0HxX6imltnNXJyQhu4nsiO","LF SYSTEM","2022-05-02","https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438","1","1","177524","https://p.scdn.co/mp3-preview/127d8691ff65a9c521813cbfb973ac5302b7840f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBAHT2200492","spotify:user:","2022-11-20T13:31:10Z","","0.578","0.912","1","-3.929","1","0.114","0.0166","0.00362","0.273","0.68","127.87","4","","Warner Records","C © 2022 Warner Music UK Limited, P ℗ 2022 Warner Music UK Limited"
"spotify:track:1M8t1j3Kv2qp97bdq5q4Vl","Rainfall (Praise You)","spotify:artist:1dTEPvUhxpFzL7UMKHWFfZ","Tom Santa","spotify:album:4VanY5i4E59Mhz52qznJ95","Rainfall (Praise You)","spotify:artist:1dTEPvUhxpFzL7UMKHWFfZ","Tom Santa","2022-02-18","https://i.scdn.co/image/ab67616d0000b273e3fc464799df99dc5a66ea85","1","1","166569","https://p.scdn.co/mp3-preview/675f7cbb1e9fee672c56457cf22e2ab11cf11793?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBUM72200893","spotify:user:","2022-11-20T13:31:10Z","","0.767","0.862","5","-5.464","0","0.0606","0.14","0.0092","0.252","0.509","128.039","4","","Polydor Records","C © 2022 Universal Music Operations Limited, P A Polydor Records Release; ℗ 2022 Universal Music Operations Limited"
"spotify:track:0SyxZC4wlqAwf20cHE6Xon","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","spotify:album:5TSSlGJmfkBNC4M3uoMswL","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","2021-05-21","https://i.scdn.co/image/ab67616d0000b273b3bf3ba5d8ef6fb0bb564e4e","1","1","162213","https://p.scdn.co/mp3-preview/e2f863a8016efaf0276696ca4913a443215edff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBUM72102497","spotify:user:","2022-11-20T13:31:10Z","alternative dance,dance pop,electropop,neo-synthpop,deep house,deep tropical house,edm,german dance,pop dance,pop edm,tropical house","0.752","0.771","6","-5.95","1","0.0311","0.00341","0.0000173","0.0905","0.527","126.02","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor Records & Virgin Records Germany release with courtesy of Big Top Amsterdam; ℗ 2021 Universal Music Operations Limited"
"spotify:track:2LxdNADWier3MKTei8FbOY","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:3yDIp0kaq9EFKe07X1X2rz, spotify:artist:1ilcpQQeF5mmvfO682aDgJ","Oliver Heldens, Nile Rodgers, House Gospel Choir","spotify:album:7rE2qU0GsiIiNd4VPupV3B","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","spotify:artist:5nki7yRhxgM509M5ADlN1p, spotify:artist:3yDIp0kaq9EFKe07X1X2rz, spotify:artist:1ilcpQQeF5mmvfO682aDgJ","Oliver Heldens, Nile Rodgers, House Gospel Choir","2022-05-06","https://i.scdn.co/image/ab67616d0000b273873997a27febe78aa5276669","1","1","157205","https://p.scdn.co/mp3-preview/ddafc503166d7a3478146b5cfde62ee4112c4485?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC12201414","spotify:user:","2022-11-20T13:31:10Z","dance pop,edm,electro house,future house,house,pop dance,progressive electro house,progressive house,tropical house,disco,cedm","0.686","0.892","10","-3.186","0","0.0498","0.0577","0.00000711","0.0838","0.752","126.03","4","","Kangarooli Tracks/RCA Records","P (P) 2022 Kangarooli Tracks B.V., under exclusive license to RCA Records, a division of Sony Music Entertainment"
"spotify:track:7MIhUdNJtaOnDmC5nBC1fb","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX, spotify:artist:2u3rmzZC0psTER2sDfUebm","Alok, Ella Eyre, Kenny Dope, Never Dull","spotify:album:3KpxpdySrMR2S7noneu1bI","Deep Down (feat. Never Dull)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:66TrUkUZ3RM29dqeDQRgyA, spotify:artist:1TrfxjXu8quyDw05p2bacX","Alok, Ella Eyre, Kenny Dope","2022-06-17","https://i.scdn.co/image/ab67616d0000b273ed443f0fff29eee63c9ede20","1","1","165752","https://p.scdn.co/mp3-preview/b4d439ac9a810e7d2a47f0eb9d2cca1341799398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","DEE862200810","spotify:user:","2022-11-20T13:31:10Z","electro house,pop nacional,slap house,dance pop,post-teen pop,tropical house,uk pop,soulful house,disco house,funky house","0.687","0.818","0","-4.221","1","0.0778","0.0112","0","0.248","0.886","125.952","4","","Columbia/B1 Recordings","P (P) 2022 Alok Music/B1 Recordings, a Sony Music Entertainment company, in conjunction with High Fashion Music B.V."
"spotify:track:3FN7IJMnUMWZXDw08ix3ot","Stop This Flame - Celeste x MK","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","spotify:album:1G6SH7CRZ5qtYVaGnUVhSK","Stop This Flame (Celeste x MK)","spotify:artist:49HlOY4gkHqsYG9GCuhkcc, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Celeste, MK","2021-06-25","https://i.scdn.co/image/ab67616d0000b273b61ad93c3ca363ef040bf226","1","1","203946","https://p.scdn.co/mp3-preview/f0a355b18c22fce0ae1849df4a579414e0472d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBUM72103464","spotify:user:","2022-11-20T13:31:10Z","british soul,dance pop,edm,house,pop dance,tropical house","0.692","0.846","8","-5.72","1","0.0559","0.0194","0.0000291","0.324","0.827","124.007","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P Atlas Artists / Polydor Records; ℗ 2021 Universal Music Operations Limited"
"spotify:track:5r3aYGutXgsxSqB6W3RrzJ","Sunlight (feat. Years and Years) - Radio Edit","spotify:artist:4WUGQykLBGFfsl0Qjl6TDM, spotify:artist:5vBSrE1xujD2FXYRarbAXc","The Magician, Years & Years","spotify:album:7yDiBp7t2j6OT7KopH2ulG","Sunlight (feat. Years & Years) [Radio Edit]","spotify:artist:4WUGQykLBGFfsl0Qjl6TDM","The Magician","2014-08-15","https://i.scdn.co/image/ab67616d0000b273419b0aec29b934f46ab318f6","1","1","193481","https://p.scdn.co/mp3-preview/9795e3cdb10ccea66e7c33202b6b7bd3ac8da7c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GB01A1400003","spotify:user:","2022-11-20T13:31:10Z","belgian edm,edm,house,pop dance,tropical house,dance pop,edm,electropop,gauze pop,pop,pop dance,tropical house","0.633","0.818","1","-5.437","1","0.0376","0.0114","0","0.259","0.337","121.975","4","","Potion/ FFRR","C © 2014 Stephen Fasano under exclusive licence to Parlophone Records Ltd, Potion/FFRR, a Warner Music Group Company., P ℗ 2014 Stephen Fasano under exclusive licence to Parlophone Records Ltd, Potion/FFRR, a Warner Music Group Company."
"spotify:track:2rCeodRGSEE9N1iHCBVbG2","Down Under - feat. Colin Hay","spotify:artist:20cmhoGvN0eyzhmsHJH1Mg, spotify:artist:5mxB08ktCukEhGMg2YZeEv","Luude, Colin Hay","spotify:album:3VzKRZzMsJ80MPSjae1gA2","Down Under (feat. Colin Hay)","spotify:artist:20cmhoGvN0eyzhmsHJH1Mg, spotify:artist:5mxB08ktCukEhGMg2YZeEv","Luude, Colin Hay","2021-11-19","https://i.scdn.co/image/ab67616d0000b2731628c614222defef761ba2db","1","1","158774","https://p.scdn.co/mp3-preview/9e7ff1b5680e249b0cf1d96129f7a19ba40e2791?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","AUDCB1701966","spotify:user:","2022-11-20T13:31:10Z","aussietronica,neo mellow,solo wave","0.308","0.853","11","-4.115","0","0.174","0.012","0.000825","0.277","0.0387","171.964","4","","Kontor Records","C 2021 Sweat It Out under exclusive license from Colin Hay, P 2021 Sweat It Out under exclusive license from Colin Hay distributed exclusively by Kontor Records GmbH"
"spotify:track:39JofJHEtg8I4fSyo7Imft","B.O.T.A. (Baddest Of Them All) - Edit","spotify:artist:4XC335ouK6pXyq4QiIb8bP, spotify:artist:6uJ51uV5rYzu1MJkC4CceI","Eliza Rose, Interplanetary Criminal","spotify:album:2lQgd3Svp1ZWAzZPLobAPK","B.O.T.A. (Baddest Of Them All)","spotify:artist:4XC335ouK6pXyq4QiIb8bP, spotify:artist:6uJ51uV5rYzu1MJkC4CceI","Eliza Rose, Interplanetary Criminal","2022-08-12","https://i.scdn.co/image/ab67616d0000b273eb15b994e15a3a6634d1694e","1","1","226626","https://p.scdn.co/mp3-preview/ef846b1bc7718027bfc7e91e121aed7618a72ad3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","QZAKB2166405","spotify:user:","2022-11-20T13:31:10Z","house,breaks,experimental house","0.736","0.906","0","-7.589","1","0.048","0.164","0.585","0.106","0.698","137.001","4","","Warner Records","C Under exclusive licence to Warner Music UK Limited, © 2022 One House X Limited, P Under exclusive licence to Warner Music UK Limited, ℗ 2022 One House X Limited"
"spotify:track:26zt79lTciS4tfncBX1qPV","Boyz N Da Club - Radio Edit","spotify:artist:4Siyzg8kWayQfPQsPSl6JI","Shermanology","spotify:album:0W9rKo615E4R4jTAsE4vZM","Boyz N Da Club (Radio Edit)","spotify:artist:4Siyzg8kWayQfPQsPSl6JI","Shermanology","2021-04-30","https://i.scdn.co/image/ab67616d0000b273f2125ecd752ae34fcbc673ed","1","1","141395","https://p.scdn.co/mp3-preview/f456ca26acc8e354224e5fc41e39420d25d66447?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","SE6QE2127427","spotify:user:","2022-11-20T13:31:10Z","dutch house,house","0.907","0.707","4","-7.627","0","0.185","0.00983","0.444","0.166","0.566","129.097","4","","D'EAUPE","C 2021 D'EAUPE, P 2021 D'EAUPE"
