"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4ePP9So5xRzspjLFVVbj90","Two Princes","spotify:artist:2PSiyldxmJze7xiqbz658m","Spin Doctors","spotify:album:2TWdmpnFNCMlZDQROleupK","Pocket Full Of Kryptonite","spotify:artist:2PSiyldxmJze7xiqbz658m","Spin Doctors","1991-08-27","https://i.scdn.co/image/ab67616d0000b273436e38032cf3389d01426eca","1","7","256348","https://p.scdn.co/mp3-preview/1ae1a57fbbfa7b51d3405778783335d4d4da60d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM19000350","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-17T17:29:47Z","alternative rock,pop rock,rock","0.543","0.912","7","-10.71","1","0.0601","0.00162","0.0000021","0.0565","0.836","103.731","4","","Epic","P (P) 1991 SONY BMG MUSIC ENTERTAINMENT"
"spotify:track:1Cwsd5xI8CajJz795oy4XF","You Get What You Give","spotify:artist:0Grjlu7ncIuCaSYvCs9fcd","New Radicals","spotify:album:13btXEnBerpA1UjIVtsMAR","Maybe You've Been Brainwashed Too","spotify:artist:0Grjlu7ncIuCaSYvCs9fcd","New Radicals","1998-01-01","https://i.scdn.co/image/ab67616d0000b273dfdedd4553b40bbaab342dae","1","2","300773","https://p.scdn.co/mp3-preview/07e03c3d40e5e12febd40f6f58eec98f8c610339?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USMC19858327","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T15:23:25Z","pop rock","0.621","0.901","2","-5.396","1","0.0302","0.17","0","0.0875","0.744","113.967","4","","Geffen*","C © 1998 MCA Records Inc., P ℗ 1998 UMG Recordings, Inc."
"spotify:track:3yrSvpt2l1xhsV9Em88Pul","Brown Eyed Girl","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:7dsWupQRlFuhG8FGiQAUjC","Blowin' Your Mind!","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","1967-09","https://i.scdn.co/image/ab67616d0000b2733f29a976eea00141514ab936","1","1","183306","https://p.scdn.co/mp3-preview/f7bcd608e31984a6d8f4eed66a89e3c9f523fd41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM16700357","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-25T13:53:27Z","classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock","0.491","0.583","7","-10.964","1","0.0376","0.185","0","0.406","0.908","150.566","4","","Columbia/Legacy","P Originally released 1967. All rights reserved by Columbia Records, a division of Sony Music Entertainment"
"spotify:track:6ZLGthToczpvnL5Eoy6yrY","Pure Shores","spotify:artist:5TDVKqW9uhqGjwwwKGuma4","All Saints","spotify:album:2gQvc1j1WnM5EAORW7u01W","Saints & Sinners","spotify:artist:5TDVKqW9uhqGjwwwKGuma4","All Saints","2000-08-16","https://i.scdn.co/image/ab67616d0000b273c919cc963e27a28375201a5a","1","1","268746","https://p.scdn.co/mp3-preview/79acfd85f42dc3f95138e20bb4e3c4d87b3637a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAAP0000001","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-28T17:38:43Z","dance pop,europop,girl group,new wave pop,pop rock","0.631","0.664","6","-9.197","1","0.0242","0.0498","0.00042","0.0696","0.407","100.618","4","","Rhino","C 2000 Warner Music UK Limited, © 2000 Warner Music UK Limited, P 2000 Warner Music UK Limited, ℗ 2000 Warner Music UK Limited"
"spotify:track:0aJrYfARfCKzv6gXjhs4SZ","Upside Down","spotify:artist:3GBPw9NK25X1Wt2OUvOwY3","Jack Johnson","spotify:album:4nvgSs9EQXS5AIwprqq8OU","Upside Down","spotify:artist:3GBPw9NK25X1Wt2OUvOwY3","Jack Johnson","2006-02-24","https://i.scdn.co/image/ab67616d0000b273f401bb58442523100aee4869","1","1","209546","https://p.scdn.co/mp3-preview/1041dab43ab7648ffa1d8cd2ddbaeeb2c4b04de2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USUG10500591","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-01T13:39:41Z","neo mellow","0.792","0.647","4","-8.314","1","0.045","0.255","0.000223","0.132","0.694","102.477","4","","Brushfire Records/Universal","C © 2006 UMG Recordings, Inc., P A Republic Records release; ℗ 2006 UMG Recordings, Inc."
"spotify:track:5WJPT0BSPyvp0Z7AzFgOyI","Message In A Bottle - Remastered 2003","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:0QV6T4VzyWkF1eJed2eRcP","The Police","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","2007-01-01","https://i.scdn.co/image/ab67616d0000b273ea323c465cb97aa95bc68e0d","1","8","289253","https://p.scdn.co/mp3-preview/28a01aaa719f62680bcf3ab22930e68efe81b3bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBAAM0201170","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-05T15:38:26Z","album rock,classic rock,mellow gold,permanent wave,rock","0.573","0.807","1","-7.062","0","0.0383","0.034","0.0000111","0.257","0.876","150.982","4","","Polydor Associated Labels","C © 2007 A&M Records Limited, P This Compilation ℗ 2007 A&M Records Limited"
"spotify:track:0N5x5UmYcbBeHFJtCCqf62","Ruby","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:0mKKqokWGSgKoL2bzdyTpd","Yours Truly, Angry Mob","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b273d3db35e2f0f570b2ae20986b","1","1","204200","","false","0","GBDVX0600080","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-05T15:38:26Z","alternative rock,modern rock,rock","0.451","0.939","5","-2.82","0","0.0512","0.00673","0.00000485","0.0774","0.448","93.416","4","","Universal Music Group","C © 2007 B-Unique Records, Under exclusive license to Polydor Records Ltd. (UK), P ℗ 2007 B-Unique Records, except Track 1, (p) 2006 B-Unique Records. Under exclusive license to Polydor Records Ltd. (UK)"
"spotify:track:2x8evxqUlF0eRabbW2JBJd","Fluorescent Adolescent","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:1XkGORuUX2QGOEIL4EbJKm","Favourite Worst Nightmare","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2007-04-22","https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface","1","5","183893","https://p.scdn.co/mp3-preview/587afea3572534332147681ae1034d948eb05287?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBCEL0700067","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-05T15:38:26Z","garage rock,modern rock,permanent wave,rock,sheffield indie","0.654","0.828","1","-5.377","0","0.0281","0.00146","0.000144","0.122","0.79","112.056","4","","Domino Recording Co","C 2007 Domino Recording Co Ltd, P 2007 Domino Recording Co Ltd"
"spotify:track:1QEEqeFIZktqIpPI4jSVSF","More Than a Feeling","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","spotify:album:2QLp07RO6anZHmtcKTEvSC","Boston","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","1976","https://i.scdn.co/image/ab67616d0000b27390ef9760e57fafd8f966d17a","1","1","285133","https://p.scdn.co/mp3-preview/c2218bba50a716621add2095ecee716282ac3f5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM17600941","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-05T15:38:26Z","album rock,art rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock","0.377","0.681","7","-8.039","1","0.0298","0.00088","0.0023","0.0504","0.285","108.789","4","","Epic/Legacy","P (P) 1976, 2006 Epic Records, a division of Sony Music Entertainment"
"spotify:track:1mSClObliRtgPVT399COQH","Under Pressure","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d, spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","Queen, David Bowie","spotify:album:0fZCqpTHYq2k89uG6pPTYE","Hot Space","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1982-05-03","https://i.scdn.co/image/ab67616d0000b27370f9e1cf71793ee37d5e6730","1","11","245506","https://p.scdn.co/mp3-preview/e634bea0e7cd1b3c37181c7121123d8b2479ffbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBCEG8100001","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-05T15:38:26Z","classic rock,glam rock,rock,art rock,classic rock,glam rock,permanent wave,rock","0.659","0.545","2","-12.768","1","0.0514","0.394","0","0.0859","0.406","113.458","4","","Hollywood Records","C © 1991 Hollywood Records, Inc., P This Compilation ℗ 1991 Hollywood Records, Inc."
