"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5wODQFU7NP7VbWRlBeXS72","Why Don't You Dance With Me - RMB's Radio Mix","spotify:artist:2Qa4UBwzhEFt1Tpj95cZls","Future Breeze","spotify:album:0QLGJ3McDkyzWS7uLYvNCd","Why Don't You Dance with Me (Remixes)","spotify:artist:2Qa4UBwzhEFt1Tpj95cZls","Future Breeze","1996-10-04","https://i.scdn.co/image/ab67616d0000b273965608c43f43d763616f0bca","1","1","227266","https://p.scdn.co/mp3-preview/fa9e6d28367a5b6d812ad9f2c03c41d70fe54ddb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","DEG840902640","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-04T20:27:03Z","acid trance,bubble trance,dream trance,german techno,german trance","0.774","0.692","8","-10.643","0","0.0819","0.0164","0.788","0.215","0.815","144.959","4","","Alphabet Classix","C 1996 Alphabet City GmbH, P 1996 Alphabet City GmbH"
"spotify:track:3sPFQ06EiKW4w1X88RiOYA","Club Bizarre - Steve Baltes Remix","spotify:artist:0RhnKJThw36HFitqY6dYgd, spotify:artist:4Z7vn8IGju0ooPgKWA6fGb","U96, Steve Baltes","spotify:album:1DMPRhwkrs7cB7iYs880uP","Club Bizarre (Remix)","spotify:artist:0RhnKJThw36HFitqY6dYgd","U96","1995","https://i.scdn.co/image/ab67616d0000b273d4ce4c023b53443096cc626b","1","4","297466","https://p.scdn.co/mp3-preview/cc4b2e43fc8921ad5006a3b9162d236c3d46bd9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","DEPI82107538","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-04T20:30:30Z","bubble trance,bubblegum dance,eurodance,europop,german techno,hamburg electronic,hip house,rave,acid trance","0.57","0.918","11","-10.68","0","0.0368","0.00859","0.465","0.302","0.699","158.038","4","","Kingsize Records","C 1995 Kingsize Records, P 1995 Kingsize Records"
"spotify:track:6oE5yvroDXWNYWpIFz2JJB","Toca's Miracle - Radio Edit","spotify:artist:2t9efDsc10DtZpi4LP3BJJ","Fragma","spotify:album:2snIy07hupBGM5rLYtgImH","Toca (20th Anniversary Edition)","spotify:artist:2t9efDsc10DtZpi4LP3BJJ","Fragma","2022-04-22","https://i.scdn.co/image/ab67616d0000b27300bb96c6e6b5efd789ca1c2c","1","1","200483","https://p.scdn.co/mp3-preview/90aa949f516c9e58a050054fa03df4ab691f48b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","DEP992200001","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-08T10:24:54Z","bubble trance,disco house,eurodance,german techno,trance,vocal house","0.781","0.851","4","-5.748","0","0.0319","0.0143","0.00458","0.0709","0.865","135.106","4","","Front of House Recordings","C (C) 2022 Front of House Recordings, P (P) 2022 Front of House Recordings"
"spotify:track:5csONwULEf10DdoeC4x8fo","Matrix","spotify:artist:1GVuCyb4PlArufUZDUnRQi","southstar","spotify:album:68KqgAtY2T2J0jJS5hyCv9","Matrix","spotify:artist:1GVuCyb4PlArufUZDUnRQi","southstar","2022-06-12","https://i.scdn.co/image/ab67616d0000b27317b484f6fe6a816c9903bd72","1","1","258206","","false","34","DEZC62274641","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-02T17:44:03Z","","0.744","0.59","8","-9.612","1","0.038","0.000316","0.819","0.178","0.256","145.029","4","","recordJet","C 2022 Southstar, P 2022 Southstar"
"spotify:track:2e9GFQn2nNXTbnTl02U7YJ","We Are The People - Southstar Remix","spotify:artist:1GVuCyb4PlArufUZDUnRQi","southstar","spotify:album:68KqgAtY2T2J0jJS5hyCv9","Matrix","spotify:artist:1GVuCyb4PlArufUZDUnRQi","southstar","2022-06-12","https://i.scdn.co/image/ab67616d0000b27317b484f6fe6a816c9903bd72","1","4","238400","","false","51","DEZC62274994","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-02T17:51:46Z","","0.744","0.786","7","-7.851","1","0.0425","0.00547","0.0964","0.0792","0.106","149.993","4","","recordJet","C 2022 Southstar, P 2022 Southstar"
"spotify:track:52LJ3hyknOijCrE5gCD0rE","L'Amour Toujours","spotify:artist:1OAjDaKgg00KCUYqDe68un","Gigi D'Agostino","spotify:album:61hGQNFwmqGHXm5eeMkd4d","L'Amour Toujours","spotify:artist:1OAjDaKgg00KCUYqDe68un","Gigi D'Agostino","2001-05-23","https://i.scdn.co/image/ab67616d0000b27395c70cc04573417548b47199","1","1","242053","https://p.scdn.co/mp3-preview/dc966d9a7f3ad4aea060fa4f9cf3798b0b899597?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","NLS241000174","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-24T06:20:25Z","eurodance,europop,italo dance","0.638","0.877","7","-4.449","1","0.0302","0.0771","0.0221","0.364","0.743","139.052","4","","ZYX Music","C 2001 ZYX Music GmbH & Co. KG, P 2001 ZYX Music GmbH & Co. KG"
"spotify:track:3UPBOL5UtCZmJRwioMkfLD","Encore Une Fois - Future Breeze Edit","spotify:artist:5XTxV2ifoYkmNb13Gb6cKz, spotify:artist:2Qa4UBwzhEFt1Tpj95cZls","Sash!, Future Breeze","spotify:album:2YBkamwn6VqpPO2wOfDVjS","It's My Life","spotify:artist:5XTxV2ifoYkmNb13Gb6cKz","Sash!","1997-06-30","https://i.scdn.co/image/ab67616d0000b273481ecf6365d84be80cad59d7","1","13","221160","https://p.scdn.co/mp3-preview/8dcf08374542f132007635d1705bdbeb9555114a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DEF069615240","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-12T16:43:29Z","bubblegum dance,eurodance,europop,german techno,hip house,acid trance,bubble trance,dream trance,german techno,german trance","0.663","0.925","9","-6.775","1","0.0449","0.00683","0.703","0.185","0.843","132.687","4","","High Fashion Music","C 1997 High Fashion Music under excl license from Tokapi Recordings, P 1997 High Fashion Music under excl license from Tokapi Recordings"
"spotify:track:5OM89WvJDxl5Bvam8Id6Vi","Hymn - Single Edit","spotify:artist:5ABXE3bvPqzR2qUVPiDdW2","Music Instructor","spotify:album:1EY8xzsj7wwNvV3H60XR2a","Hymn","spotify:artist:5ABXE3bvPqzR2qUVPiDdW2","Music Instructor","1995-05-07","https://i.scdn.co/image/ab67616d0000b27304c492aab5bd697c94c7e841","1","1","236333","https://p.scdn.co/mp3-preview/025fe04b69c2c07174ae7aaa203677d6a9fff3b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","DEPI82102399","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T15:31:09Z","","0.572","0.9","11","-7.049","0","0.0666","0.0316","0.135","0.0746","0.291","170.317","4","","S.W. Global","C 2021 S.W. Global, P 2021 S.W. Global"
"spotify:track:2sW7CSAb02YOAF32uRXBbX","Black Russian","spotify:artist:2xrOogbM0l6NzOSp4zZ3IP","DVS1","spotify:album:2fviTxFqw78pKQMR2XJZUK","Klockworks 13","spotify:artist:2xrOogbM0l6NzOSp4zZ3IP","DVS1","2014-07-15","https://i.scdn.co/image/ab67616d0000b273f4339ba097096ce01e4e934a","1","1","391611","https://p.scdn.co/mp3-preview/78cd0a657e7f48d020081f6c87eae5b2182541e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEMM41401227","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-05T15:31:09Z","minimal dub","0.818","0.549","6","-10.481","0","0.0592","0.109","0.869","0.109","0.416","130.009","4","","Klockworks","C 2014 Klockworks, P 2014 Klockworks"
"spotify:track:3oXiddNGiWhpmlQCWkJoJ9","District 8","spotify:artist:4qG1qjeHfkASTdyRGbLWbV","FJAAK","spotify:album:1hWdAnaS9tsIcwYM3hC48Y","SYS02","spotify:artist:4qG1qjeHfkASTdyRGbLWbV","FJAAK","2021-03-05","https://i.scdn.co/image/ab67616d0000b2732fcb0792f78c8865da629a95","1","2","301995","https://p.scdn.co/mp3-preview/0a74ab1378fb5edb19cf45b47deea0f6df5dfed2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEWX41800052","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-18T14:47:33Z","raw techno","0.658","0.808","10","-6.792","0","0.182","0.0154","0.766","0.11","0.202","138.212","4","","FJAAK","C 2021 FJAAK, P 2021 FJAAK"
