"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7GpgT7sHaTg9nHUM8g888k","Light Up the Sky","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:6DAq2tDWMqPP7MTdb3aIDi","No Tourists","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2018-11-02","https://i.scdn.co/image/ab67616d0000b2737c13addc6b19119c18fff960","1","2","199715","https://p.scdn.co/mp3-preview/174d0c877c8062a5273960effdb1200e82ad3d0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GB5KW1802031","spotify:user:","1970-01-01T00:00:00Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.198","0.951","1","-5.786","1","0.122","0.00168","0.783","0.312","0.326","159.872","5","","BMG Rights Management (UK) Ltd","C © 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited, P ℗ 2018 Take Me To The Hospital Limited under exclusive licence to BMG Rights Management (UK) Limited"
"spotify:track:20ztml2STRF7Sq1UaBB6ox","Future Club","spotify:artist:244uLu9lkdw39BJwlul3k8","Perturbator","spotify:album:0GzBfwarPFhAdfLNHfgaRT","Dangerous Days","spotify:artist:244uLu9lkdw39BJwlul3k8","Perturbator","2014-06-17","https://i.scdn.co/image/ab67616d0000b2737be0bdb1f8731f9af3e95812","1","4","289186","https://p.scdn.co/mp3-preview/7e22b52696ace9dfaedf91217cad4fd2c064dc57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","TCABW1462862","spotify:user:","1970-01-01T00:00:00Z","cyberpunk,darksynth,synthwave","0.448","0.955","5","-2.945","0","0.0441","0.00108","0.837","0.371","0.39","99.994","4","","Blood Music","C 2014 Blood Music, P 2014 Blood Music"
"spotify:track:3cJh89D0za2SW705fNBo3b","Where's Your Head At","spotify:artist:4YrKBkKSVeqDamzBPWVnSJ","Basement Jaxx","spotify:album:6CYhVDuSbAWmy9ku7E2wrP","Rooty","spotify:artist:4YrKBkKSVeqDamzBPWVnSJ","Basement Jaxx","2001-06-25","https://i.scdn.co/image/ab67616d0000b273b771a85837ca1e08e560088f","1","9","285533","https://p.scdn.co/mp3-preview/458a26e0a86967a01168e9838b5d2dcd8b109c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBBKS0100014","spotify:user:","1970-01-01T00:00:00Z","alternative dance,big beat,dance pop,electronica,filter house,new rave,vocal house","0.61","0.918","0","-4.817","1","0.0298","0.0000642","0.0853","0.273","0.415","127.864","4","","XL Recordings","C 2001 XL Recordings Ltd, P 2001 XL Recordings Ltd"
"spotify:track:1hEh8Hc9lBAFWUghHBsCel","Porcelain","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:1xB1tmm50ZhXwrNs89u7Jx","Play","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","1999-05-17","https://i.scdn.co/image/ab67616d0000b27373b063d18cd9be91eb12284a","1","3","238920","https://p.scdn.co/mp3-preview/047b6fde73eebeaf69c9641799f2c5852579f1c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAJH9900036","spotify:user:","1970-01-01T00:00:00Z","downtempo,electronica","0.515","0.613","0","-8.423","0","0.0305","0.00147","0.202","0.449","0.357","94.925","4","","Mute, a BMG Company","C © 1999 Mute Records Ltd., a BMG Company, P ℗ 1999 Mute Records Ltd., a BMG Company"
"spotify:track:5JLrVTFMGGeeB5Iz4Oci0R","Lust For Life - The Prodigy Remix","spotify:artist:33EUXrFKGjpUSGacqEHhU4, spotify:artist:4k1ELeJKT1ISyDv8JivPpB, spotify:artist:3UKIiIkOIj6NEzAPClAM3t","Iggy Pop, The Prodigy, Liam Howlett","spotify:album:4qHxDHh1Go7ZR6d8fPC2Pd","Lust For Life (The Prodigy Remix)","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","2017-08-04","https://i.scdn.co/image/ab67616d0000b273005a96aa94df4e7f21139152","1","1","300133","https://p.scdn.co/mp3-preview/775bdd48ae596c40708502e20cf5b6f249d9bad6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QMS371600001","spotify:user:","1970-01-01T00:00:00Z","classic rock,glam rock,new wave,permanent wave,protopunk,punk,rock,big beat,breakbeat,dance rock,hardcore techno,rave","0.426","0.983","9","-5.387","1","0.174","0.000201","0.000633","0.115","0.236","193.946","4","","Virgin Catalog (V81)","C © 2017 Thousand Mile, Inc., under exclusive license to Capitol Records, LLC, P A Virgin Records Release; ℗ 2017 Thousand Mile, Inc., under exclusive license to Capitol Records, LLC"
"spotify:track:2fAIfPLrPUTW1AmJRR428Q","Ruby","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:4J2DGuw6IwLdEwQL94msiU","Yours Truly, Angry Mob","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738ed8466b86827be1104b410a","1","1","204200","https://p.scdn.co/mp3-preview/5483bac7db73208997e0599fb401fea841c725df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBDVX0600080","spotify:user:","1970-01-01T00:00:00Z","alternative rock,modern rock,rock","0.451","0.939","5","-2.82","0","0.0512","0.00673","0.00000485","0.0774","0.448","93.416","4","","Polydor Records","C © 2007 B-Unique Records, Under exclusive license to Polydor Records Ltd. (UK), P ℗ 2007 B-Unique Records, except Track 1, (p) 2006 B-Unique Records. Under exclusive license to Polydor Records Ltd. (UK)"
"spotify:track:6cYJBIE9FC1QAoPw5EhdLA","Out of Space","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:7uSC6NXKlE3zGo0mu8Ik5r","Experience","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1992-09-21","https://i.scdn.co/image/ab67616d0000b273a205dcce0738cb0b21df9c1d","1","7","302106","https://p.scdn.co/mp3-preview/cd148a1469d854b6870793127288acd7218eac00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBBKS9200028","spotify:user:","1970-01-01T00:00:00Z","big beat,breakbeat,dance rock,hardcore techno,rave","0.652","0.944","9","-4.804","1","0.0515","0.00225","0.276","0.103","0.454","147.078","4","","XL Recordings","C 1992 XL Recordings Ltd, P 1992 XL Recordings Ltd"
"spotify:track:4exGSaz6lVTxxZVF1xVD4k","God is A DJ","spotify:artist:5T4UKHhr4HGIC0VzdZQtAE, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Faithless, David Guetta","spotify:album:5hoygc74uvTK3cNAK7DAkE","God Is a DJ","spotify:artist:5T4UKHhr4HGIC0VzdZQtAE, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Faithless, David Guetta","2021-12-10","https://i.scdn.co/image/ab67616d0000b2737912e8e0630f25445240929d","1","1","155000","https://p.scdn.co/mp3-preview/09553e097cda8bf2acabf9c9381e207655968b62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCEN2100218","spotify:user:","1970-01-01T00:00:00Z","big beat,downtempo,electronica,trip hop,big room,dance pop,edm,pop,pop dance","0.598","0.964","6","-4.173","1","0.0523","0.0444","0.654","0.234","0.115","126.015","4","","Ministry of Sound Recordings","P (P) 2021 Ministry of Sound Recordings / Sony Music Entertainment UK Limited"
"spotify:track:0Ln5tJyLX5qusquBOtq7wf","Fire","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:2DHGeuRTttjurZDb0pSjx6","West Ryder Pauper Lunatic Asylum","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2009","https://i.scdn.co/image/ab67616d0000b273358f726999166b87f00e7066","1","11","252279","https://p.scdn.co/mp3-preview/998461fe11aa595f639fe16eb83f20a0b57c9c16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBARL0801805","spotify:user:","1970-01-01T00:00:00Z","alternative rock,britpop,garage rock,indie rock,leicester indie,modern rock,rock","0.525","0.742","10","-5.643","1","0.0311","0.0874","0.149","0.117","0.179","117.029","4","","Columbia","P Track 4 (P) 2007; all other tracks (P) 2009 Sony Music Entertainment UK Limited"
"spotify:track:5yjkPZwi0XR98q30SegwEq","Be There","spotify:artist:6UnvX7Zx85VNjOpLdaq49W, spotify:artist:4k1ELeJKT1ISyDv8JivPpB, spotify:artist:0owBSCgnjezb2wj643FKQY","Havoc, The Prodigy, Nyce","spotify:album:5iCV8aH7TpuJUXg9xPnPzs","The Kush","spotify:artist:6UnvX7Zx85VNjOpLdaq49W","Havoc","2007-09-18","https://i.scdn.co/image/ab67616d0000b273b311556dbb7709cf5c481360","1","9","292493","https://p.scdn.co/mp3-preview/461f4dbe7b0fee72086bd70a8335d3415b41c2be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","17","USHKR0913309","spotify:user:","1970-01-01T00:00:00Z","boom bap,hardcore hip hop,big beat,breakbeat,dance rock,hardcore techno,rave","0.527","0.861","8","-4.819","0","0.107","0.0000274","0.0699","0.0854","0.148","167.342","4","","Nature Sounds","C 2007 Nature Sounds, P 2007 Nature Sounds"
