"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3L8WgDYS5TtwbyxOPSAiFf","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:714ndVxSx8lIWhQxdbcXIs","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b273cfa6ec6d5374ce8aec1a73f5","1","2","167933","","false","0","GBAJE7000057","spotify:user:","2010-08-19T21:51:01Z","album rock,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal","0.418","0.668","6","-11.297","0","0.082","0.000143","0.00113","0.173","0.379","162.663","4","","Universal Music Ltd.","C (C) 2004 Sanctuary Records Group Ltd., P (P) 1970 Sanctuary Records Group Ltd."
"spotify:track:47FyQCd3TYLrZ9TU6MPaWK","Ace Of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:46a9whRz5DF0PC97HrZrqz","Ace Of Spades (Reissue - Expanded Bonus Track Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b273dbb4a4384c36fb422b3f070a","1","1","166706","","false","0","GBAJE8000033","spotify:user:","2010-08-19T21:51:22Z","album rock,hard rock,metal,rock,speed metal","0.324","0.991","6","-4.465","1","0.197","0.00247","0.00895","0.104","0.195","140.245","4","","Sanctuary Records Group Ltd.","C (C) 2005 Sanctuary Records Group Ltd., P (P) 2005 Sanctuary Records Group Ltd."
"spotify:track:3ao8tE7CIEo3KehDQYYoWv","Crazy Train","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:5FxbYXWhCbyQkUaVzj6hlo","Blizzard Of Ozz","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","1980-09-20","https://i.scdn.co/image/ab67616d0000b273ed5c19fd9206d2d7e73c140c","1","2","290066","","false","0","USSM10204723","spotify:user:","2010-08-19T21:51:36Z","album rock,birmingham metal,hard rock,metal,rock","0.473","0.918","9","-3.58","1","0.0566","0.0145","0.00248","0.327","0.586","137.606","4","","Epic","P (P) 1981 Sony Music Entertainment Inc."
"spotify:track:1s4Ie0cT6P73SRSfh3oyGW","The Number Of The Beast - 1998 Remastered Version","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:6q5MEna6Fg46powSoeZJe3","The Number Of The Beast (1998 Remastered Edition)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b273a633718a1d28f157193bd865","1","5","291373","","false","0","GBAYE9801381","spotify:user:","2010-08-19T21:52:22Z","hard rock,metal,nwobhm,rock","0.42","0.93","2","-5.583","0","0.0638","0.0189","0.00675","0.264","0.344","99.641","4","","Parlophone UK","C 1998 Iron Maiden Holdings Ltd. This label copy information is the subject of copyright protection. All rights reserved. (C) 1998 Parlophone Records Ltd, P 1998 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:1iGXvUsVVkYBas0Cniw6NB","Hallowed Be Thy Name - 1998 Remastered Version","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:6q5MEna6Fg46powSoeZJe3","The Number Of The Beast (1998 Remastered Edition)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b273a633718a1d28f157193bd865","1","9","432800","","false","0","GBAYE9801385","spotify:user:","2010-08-19T21:52:34Z","hard rock,metal,nwobhm,rock","0.304","0.909","9","-5.162","1","0.0362","0.00185","0.122","0.362","0.348","103.99","4","","Parlophone UK","C 1998 Iron Maiden Holdings Ltd. This label copy information is the subject of copyright protection. All rights reserved. (C) 1998 Parlophone Records Ltd, P 1998 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:1mnXT8zNssefzrRkeuD8Ov","War Pigs","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:714ndVxSx8lIWhQxdbcXIs","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b273cfa6ec6d5374ce8aec1a73f5","1","1","474560","","false","0","GBAJE7000063","spotify:user:","2010-08-19T21:52:53Z","album rock,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal","0.452","0.701","9","-9.534","1","0.0677","0.145","0.00817","0.267","0.519","90.157","4","","Universal Music Ltd.","C (C) 2004 Sanctuary Records Group Ltd., P (P) 1970 Sanctuary Records Group Ltd."
"spotify:track:6SPOlvJok6QmNWkvUVPQMs","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:19QZHLQTSVlL8jPbPxb709","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b2731d3cfbea013f3dd590cfd735","1","6","255200","","false","0","AUAP08000046","spotify:user:","2010-08-19T21:53:58Z","australian rock,hard rock,rock","0.436","0.71","9","-5.666","1","0.035","0.0113","0.00811","0.0767","0.735","92.887","4","","Columbia","C (P) 1980 Leidseplein Presse B.V."
"spotify:track:5TFyNdCLlC1ZRuwczqaS97","Iron Man","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:714ndVxSx8lIWhQxdbcXIs","Paranoid","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b273cfa6ec6d5374ce8aec1a73f5","1","4","354240","","false","0","GBAJE7000085","spotify:user:","2010-08-19T21:54:13Z","album rock,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal","0.339","0.824","9","-9.522","1","0.0938","0.00521","0.00432","0.0803","0.538","154.573","4","","Universal Music Ltd.","C (C) 2004 Sanctuary Records Group Ltd., P (P) 1970 Sanctuary Records Group Ltd."
"spotify:track:6O6mF9dYWqJrvS6eWs5iIp","Heaven And Hell","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:2xlljcaxcJxmnGO4xJq7YZ","Heaven And Hell","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1980-04-25","https://i.scdn.co/image/ab67616d0000b273a6c7686870e2761c038958ca","1","4","417600","","false","0","GBUM70900392","spotify:user:","2010-08-19T21:54:25Z","album rock,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal","0.346","0.576","3","-11.495","0","0.0286","0.0156","0.0945","0.175","0.308","93.174","4","","Universal Music Ltd.","C (C) 2004 Sanctuary Records Group Ltd., P (P) 1980 Sanctuary Records Group Ltd."
"spotify:track:0L7zm6afBEtrNKo6C6Gj08","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:7LgrhuKnAXpNEv8qzcVd2t","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1990-09-26","https://i.scdn.co/image/ab67616d0000b27360db4ca924d17bc6754e89aa","1","1","365826","https://p.scdn.co/mp3-preview/8300d443f522eecdbfbc3a589c34a8d731e2f3a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBBBN0102557","spotify:user:klaust","2010-08-19T21:54:35Z","album rock,birmingham metal,hard rock,metal,power metal,rock","0.435","0.987","1","-4.667","0","0.16","0.000195","0.0847","0.268","0.101","103.16","4","","Columbia","P (P) 2001 Sony Music Entertainment (UK) Ltd."
