"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4LRPiXqCikLlN15c3yImP7","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:2pqdSWeJVsXAhHFuVLzuA8","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-03-31","https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14","1","1","167303","https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","USSM12200612","spotify:user:","2022-12-08T13:20:42Z","pop","0.52","0.731","6","-5.338","0","0.0557","0.342","0.00101","0.311","0.662","173.93","4","","Columbia","P (P) 2022 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:6oJ6le65B3SEqPwMRNXWjY","Higher Love","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:6XpaIBNiVzIetEPCWDvAFP","Kygo, Whitney Houston","spotify:album:4wquJImu8RtyEuDtIAsfcE","Higher Love","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:6XpaIBNiVzIetEPCWDvAFP","Kygo, Whitney Houston","2019-06-28","https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7","1","1","228267","https://p.scdn.co/mp3-preview/8772605531b4f52d163e620baad093b5e2cb3f18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USRC11901901","spotify:user:","2022-12-08T13:20:42Z","edm,pop,pop dance,tropical house,dance pop,pop,urban contemporary","0.693","0.678","8","-7.159","1","0.0324","0.0151","0.00000571","0.101","0.404","103.952","4","","Kygo/RCA Records","P (P) 2019 RCA Records, a division of Sony Music Entertainment"
"spotify:track:5YDD6DuZ04mKQtm0avJTJd","Break My Heart","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:0nRVAnU410D5nOyVWCadJh","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2731f7c48d7efee22e04ce91917","1","9","221820","https://p.scdn.co/mp3-preview/fc6d9c0fdc5bc7ab538e1799614b647137b2e71d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAHT1901303","spotify:user:","2022-12-08T13:20:42Z","dance pop,pop,uk pop","0.729","0.693","4","-4.47","0","0.0896","0.167","0.00000106","0.331","0.49","112.975","4","","Urban","C © 2020 Dua Lipa Limited, under exclusive license to Universal Music GmbH, P An URBAN release; ℗ 2020 Dua Lipa Limited, under exclusive license to Universal Music GmbH"
"spotify:track:4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","2022-08-26","https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4","1","1","175238","https://p.scdn.co/mp3-preview/f387f0bdbce0f044f7bf9e2e6a87f59cd78f20a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","97","UKWLG2200055","spotify:user:","2022-12-08T13:20:42Z","big room,dance pop,edm,pop,pop dance,dance pop,edm,pop,post-teen pop","0.561","0.965","7","-3.673","0","0.0343","0.00383","0.00000707","0.371","0.304","128.04","4","","Parlophone UK","C Under license to Warner Music UK Limited, © 2022 What A DJ Ltd, P Under license to Warner Music UK Limited, ℗ 2022 What A DJ Ltd"
"spotify:track:7wMq5n8mYSKlQIGECKUgTX","Hall of Fame (feat. will.i.am)","spotify:artist:3AQRLZ9PuTAozP28Skbq8V, spotify:artist:085pc2PYOi8bGKj0PNjekA","The Script, will.i.am","spotify:album:7JOCOjZTcLysDMkZGWlcIj","#3 Deluxe Version","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","The Script","2012-09-10","https://i.scdn.co/image/ab67616d0000b2732e3049fef96abebf336b7366","1","3","202533","https://p.scdn.co/mp3-preview/a887360f6897298991dd402161835e86480fd9c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1201055","spotify:user:","2022-12-08T13:20:42Z","celtic rock,neo mellow,pop,pop rock,dance pop,pop,pop rap","0.421","0.873","10","-4.343","1","0.0564","0.0654","0","0.123","0.629","84.786","4","","Epic/Phonogenic","P (P) 2012 Sony Music Entertainment UK Limited"
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:3WNxdumkSMGMJRhEgK80qx","...Baby One More Time (Digital Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","1999-01-12","https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02","1","1","211066","https://p.scdn.co/mp3-preview/fd353f288358cb29fa0628254152ec6aab2ee99c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USJI19810404","spotify:user:","2022-12-08T13:20:42Z","dance pop,pop","0.759","0.699","0","-5.745","0","0.0307","0.202","0.000131","0.443","0.907","92.96","4","","Jive","P (P) 1999 Zomba Recording LLC"
"spotify:track:4qu63nuBpdn0qHUHuObEj1","Leave Before You Love Me (with Jonas Brothers)","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Marshmello, Jonas Brothers","spotify:album:66JuK41D3LpkbX3HCTGcQk","Leave Before You Love Me","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Marshmello, Jonas Brothers","2021-05-21","https://i.scdn.co/image/ab67616d0000b273ae40468931087f78919b86ce","1","1","154983","https://p.scdn.co/mp3-preview/a4f38e5a14237b882fafa2f0dee903bee1f3fc8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USUG12102313","spotify:user:","2022-12-08T13:20:42Z","brostep,dance pop,edm,pop,pop dance,progressive electro house,boy band,dance pop,pop,post-teen pop","0.721","0.738","7","-4.77","1","0.0403","0.00226","0.00000441","0.118","0.637","119.976","4","","Republic Records","C © 2021 Joytime Collective, under exclusive license to UMG Recordings, Inc., P Republic Records; ℗ 2021 Joytime Collective, under exclusive license to UMG Recordings, Inc."
"spotify:track:6Qn5zhYkTa37e91HC1D7lb","Whatever It Takes","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:33pt9HBdGlAbRGBHQgsZsU","Evolve","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2017-06-23","https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a","1","3","201240","https://p.scdn.co/mp3-preview/f61613d498f5f5a56509df93ca61281bbf30f05b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUM71703515","spotify:user:","2022-12-08T13:20:42Z","modern rock,rock","0.672","0.655","10","-5.021","0","0.0311","0.0362","0","0.117","0.556","134.945","4","","Kid Ina Korner / Interscope","C © 2018 KIDinaKORNER/Interscope Records, P ℗ 2018 KIDinaKORNER/Interscope Records"
"spotify:track:72yP0DUlWPyH8P7IoxskwN","Hold Me Closer","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:26dSoYclwsYLMAKD3tpOr4","Elton John, Britney Spears","spotify:album:4QQWpCEX4BxMXwRQmtkKY6","Hold Me Closer","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:26dSoYclwsYLMAKD3tpOr4","Elton John, Britney Spears","2022-08-26","https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8","1","1","202245","https://p.scdn.co/mp3-preview/20dbd2f390581eb21701397a07dcd94b38ae22ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBUM72205030","spotify:user:","2022-12-08T13:20:42Z","glam rock,mellow gold,piano rock,dance pop,pop","0.667","0.75","0","-4.602","1","0.0906","0.0746","0.000198","0.197","0.486","126.041","4","","EMI","C © 2022 HST Global Limited, under exclusive licence to Mercury Records Limited, P An EMI release; ℗ 2022 HST Global Limited, under exclusive licence to Mercury Records Limited"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/657ab16e3f9b2d47ffbb2bc969db17ffcfc9198c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","USUM72206227","spotify:user:","2022-12-08T13:20:42Z","piano rock,pop","0.704","0.797","0","-5.927","1","0.0475","0.0826","0.000745","0.0546","0.825","139.994","4","","Interscope Records","C © 2022 Paramount Pictures, P ℗ 2022 Mosley Music/Interscope Records"
