"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4v7kKFlEDmpVToHOICsXaM","Hooked","spotify:artist:1uRVM0wBdtyEuU582EeKJM","NOTION","spotify:album:69QTaXErGkvPW9pQ0GYY4H","Hooked","spotify:artist:1uRVM0wBdtyEuU582EeKJM","NOTION","2019-11-01","https://i.scdn.co/image/ab67616d0000b273669e196874273595fb78bb1b","1","1","206250","https://p.scdn.co/mp3-preview/1e0e6413ab939ab55cb5c18f4814ed67e784466d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","CYA111900402","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:33:42Z","bass house","0.783","0.789","6","-3.899","0","0.0797","0.135","0.33","0.213","0.853","128.019","4","","Musical Freedom","C © 2019 Musical Freedom Label Ltd., P ℗ 2019 Musical Freedom Label Ltd."
"spotify:track:05y860js7tl7pqqleQz1Ib","Seven Nation Army (feat. KOYSINA)","spotify:artist:3HphLd0XiELTvIPYf55dYC, spotify:artist:0U3b0BjITtQHwjwBVtiGcO, spotify:artist:5n7PIY3yS7npRtQuI5qgjF","Dance Fruits Music, DMNDS, KOYSINA","spotify:album:7pIIUWLZIILWaeeB876mmP","Strange Fruits Music","spotify:artist:3HphLd0XiELTvIPYf55dYC","Dance Fruits Music","2021-06-09","https://i.scdn.co/image/ab67616d0000b273f49ec05534259ca4381ad671","1","7","133000","https://p.scdn.co/mp3-preview/a10f3f7715dc7a4fdc993a536556b5de3b9c9120?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBSMU9004597","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:36:31Z","lo-fi product","0.785","0.8","4","-3.673","0","0.0673","0.21","0.0162","0.446","0.517","124.938","4","","Strange Fruits","C © 2022 Strange Fruits, P ℗ 2022 Strange Fruits"
"spotify:track:4bCmNtxTlcWaiYCRV5oTZX","Club Addict","spotify:artist:3q2dSq7VZnj8TmoJUyRm40, spotify:artist:6P6fVBXZjnqdgq2z2b8WlO, spotify:artist:15VeucLAy98diDPJ0T3J2V","Cat Dealers, FTampa, Spankox","spotify:album:6h9YS888ld8a40S1YjOfFk","Club Addict","spotify:artist:3q2dSq7VZnj8TmoJUyRm40, spotify:artist:6P6fVBXZjnqdgq2z2b8WlO, spotify:artist:15VeucLAy98diDPJ0T3J2V","Cat Dealers, FTampa, Spankox","2022-03-04","https://i.scdn.co/image/ab67616d0000b27361284c8a2e608b44ffc4a527","1","1","159360","https://p.scdn.co/mp3-preview/b8806e951831b79efeb148e644253f0c0c4b398f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","NLF712200924","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-14T07:14:45Z","brazilian edm,brazilian edm,complextro","0.728","0.875","1","-5.676","1","0.0772","0.311","0.000441","0.281","0.788","124.992","4","","Armada Music","C 2022 Armada Music B.V., P 2022 Armada Music B.V."
"spotify:track:6ho0GyrWZN3mhi9zVRW7xi","Losing It","spotify:artist:1VJ0briNOlXRtJUAzoUJdt","FISHER","spotify:album:143cxYCazoiNfviHRmxkdv","Losing It","spotify:artist:1VJ0briNOlXRtJUAzoUJdt","FISHER","2018-07-13","https://i.scdn.co/image/ab67616d0000b2739367c1ee2eec0bf3a04b4868","1","1","248035","https://p.scdn.co/mp3-preview/c91aa1ce49f2470628455bf82532c32ddf67d3d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","CA5KR1821202","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-16T07:08:20Z","australian house","0.76","0.964","2","-5.844","1","0.0577","0.00181","0.703","0.0975","0.643","125.003","4","","Fisher - Follow the FISH, LLC","C © 2018 Follow The FISH, LLC, under exclusive license to UMG Recordings, Inc., P Catch & Release/Astralwerks; ℗ 2018 Follow The FISH, LLC, under exclusive license to UMG Recordings, Inc."
"spotify:track:6Dy1jexKYriXAVG6evyUTJ","OUT OUT (feat. Charli XCX & Saweetie)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:4Q6nIcaBED8qUel8bBx6Cr, spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6cK3NBO6uP7hh0oyuVELFl","Joel Corry, Jax Jones, Charli XCX, Saweetie","spotify:album:5wJb3DBSoSMKYJA8TrNKi8","OUT OUT (feat. Charli XCX & Saweetie)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:4Q6nIcaBED8qUel8bBx6Cr, spotify:artist:25uiPmTg16RbhZWAqwLBy5","Joel Corry, Jax Jones, Charli XCX","2021-08-13","https://i.scdn.co/image/ab67616d0000b2730abb7463b44d1be6243642f4","1","1","162603","https://p.scdn.co/mp3-preview/5b2cf591a635363077cc4292f234f3980b036157?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","UK4ZF2100518","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-16T18:09:26Z","dance pop,edm,pop,pop dance,tropical house,uk dance,dance pop,edm,electro house,house,pop,pop dance,pop rap,tropical house,uk dance,art pop,candy pop,dance pop,electropop,metropopolis,pop,post-teen pop,uk pop,cali rap,dance pop,pop,rap,trap queen","0.787","0.833","8","-4.403","1","0.0478","0.018","0.00747","0.0374","0.796","123.97","4","","Atlantic Records UK","C Under exclusive license to Warner Music UK Limited. An Asylum Records UK release, © 2021 Perfect Havoc Limited, P Under exclusive license to Warner Music UK Limited. An Asylum Records UK release, ℗ 2021 Perfect Havoc Limited"
"spotify:track:3vrm4dNThrhQ0BArrLIUOV","Somebody's Watching Me","spotify:artist:5OdVywqKqyCWwfE2fZb7IX, spotify:artist:7rYojRyXBLPrX6UWfnAkaC","Chico Rose, 71 Digits","spotify:album:2p62jUmltlSQua2IViQBaz","Somebody's Watching Me","spotify:artist:5OdVywqKqyCWwfE2fZb7IX, spotify:artist:7rYojRyXBLPrX6UWfnAkaC","Chico Rose, 71 Digits","2020-04-17","https://i.scdn.co/image/ab67616d0000b273d463b62f7a061f0bd9498892","1","1","176640","https://p.scdn.co/mp3-preview/ad60b577052e943a09e3a12fd9a46387d339e17b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","NLZ542000058","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-16T18:21:00Z","covertronica,edm,pop dance,pop edm,slap house,tropical house","0.712","0.857","1","-4.922","0","0.052","0.0855","0.0000998","0.0723","0.207","124.963","4","","Spinnin' Records","C © 2020 SpinninRecords.com, P ℗ 2020 SpinninRecords.com"
"spotify:track:0GiwV6v3AgJfdu59tj719Y","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","spotify:album:3D8C4a5lYbpEu5bPQmOpJj","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","2019-09-13","https://i.scdn.co/image/ab67616d0000b27331355fb0f556ede9c6b651cd","1","1","150635","https://p.scdn.co/mp3-preview/a8aa97197daea0c1b167a67c8f5585187b1f718d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBCPZ1916610","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-19T06:10:54Z","scottish rock","0.899","0.894","1","-7.255","1","0.222","0.203","0.0000995","0.0606","0.654","129.047","4","","Defected Records","C © 2019 Defected Records Limited, P ℗ 2019 Defected Records Limited"
"spotify:track:4BAc3BAru7sZajWAftSsAA","Magic Carpet","spotify:artist:7LJSAfWhO7jhjnewy6pKyZ, spotify:artist:6Lo8eDoMJqDyDBKENRlPMU","Kyle Watson, MAY BBY","spotify:album:7bjaj1UGXKRZA9SiOtBNu4","Magic Carpet","spotify:artist:7LJSAfWhO7jhjnewy6pKyZ","Kyle Watson","2021-02-12","https://i.scdn.co/image/ab67616d0000b27325b311e93e80007e26a9931f","1","1","168170","https://p.scdn.co/mp3-preview/eb6ba2d7a22853e661b5e44eb48b7dc0f21ecee3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","NLUM72100048","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-21T14:50:59Z","bass house,edm,electro house,fidget house,house","0.794","0.684","1","-7.594","1","0.0668","0.00634","0.298","0.0881","0.542","123.024","4","","Universal Music, a division of Universal International Music BV","C © 2021 Kyle Watson, under exclusive license to Universal Music, a division of Universal International Music B.V., P Universal Music; ℗ 2021 Kyle Watson, under exclusive license to Universal Music, a division of Universal International Music B.V."
"spotify:track:59ujQJCSRNgLtKQ1ly3b7c","Wait A Minute","spotify:artist:052B9SONfhoScw7dgYWw5o","Biscits","spotify:album:2rieP0vqq7SkCqyOnDDb69","Wait A Minute","spotify:artist:052B9SONfhoScw7dgYWw5o","Biscits","2021-10-15","https://i.scdn.co/image/ab67616d0000b27300038a11a5c1101e2b0e835b","1","1","215000","https://p.scdn.co/mp3-preview/0afd748ade2949d93401445977d7fa9952c6c4f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ZZOPM2108899","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-21T14:54:25Z","bass house,deep groove house,edm,house,pop dance,uk tech house","0.861","0.998","10","-6.256","0","0.202","0.0496","0.0581","0.0342","0.0629","125.983","4","","Solotoko","C © 2021 Solotoko, P ℗ 2021 Solotoko"
"spotify:track:5alFLxnNmBmTdNM6Oq0nqD","SLIME","spotify:artist:3M3wTTCDwicRubwMyHyEDy","Shygirl","spotify:album:1VCGsWYP7dY5fLXUrEPG6L","SLIME","spotify:artist:3M3wTTCDwicRubwMyHyEDy","Shygirl","2020-10-21","https://i.scdn.co/image/ab67616d0000b27312870547b30fedb9184cea84","1","1","159000","https://p.scdn.co/mp3-preview/b507ea6895ed950ab7cdd95d3e8e8ea60cab6932?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","GBMVH2000800","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-22T09:59:47Z","alternative r&b,art pop,dance pop,electra,electropop,escape room,grimewave,hyperpop,pop","0.793","0.717","1","-8.726","0","0.115","0.0303","0.0421","0.1","0.382","98.47","4","","Because Music Ltd.","C 2020 Because Music Ltd, P 2020 Because Music Ltd"
