"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1eXDhV76Gea8XuPqcAw0s5","Spicy Snapper","spotify:artist:1m4GViPjIy4T8Pd0Iz6hRS","Ian Pooley","spotify:album:74FdEWxQOWLu9lBEuMmdmM","Since Then. 2017","spotify:artist:1m4GViPjIy4T8Pd0Iz6hRS","Ian Pooley","2017-11-17","https://i.scdn.co/image/ab67616d0000b2732db86cc8632c1f3de087bc00","1","8","336586","https://p.scdn.co/mp3-preview/29a74dc3e4aa2e3261765762f87259950dc2aeb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","DECY51736428","spotify:user:","2021-06-25T10:16:08Z","deep house,disco house,filter house,tech house","0.805","0.789","10","-6.804","0","0.0547","0.00503","0.728","0.415","0.657","93.013","4","","Pooled Music","C 2017 Pooled Music, P 2017 Pooled Music"
"spotify:track:5DRfoGTpzVbyddq2LMe6ZD","Galactic Funk","spotify:artist:1O8yrjjifkCO8txB4CxuOm","DJ Spooky","spotify:album:3evzzoWZxpu1buDbcSc2fn","This Is Home Entertainment","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1996-01-23","https://i.scdn.co/image/ab67616d0000b27372a26e3e393ef36866cc6776","1","2","367786","https://p.scdn.co/mp3-preview/40aca8919027088bf2bd8342e62745c6757c69d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USYBL0800620","spotify:user:","2021-06-25T10:16:08Z","illbient,trip hop,turntablism","0.592","0.956","9","-10.39","0","0.159","0.111","0.871","0.177","0.61","92.9","4","","Home Entertainment","C 1996 Liquid Sky Music, P 1996 Liquid Sky Music"
"spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp","Ghostwriter","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","spotify:album:7DmNwRBDJRUEFUlk3oa2Aj","Deadringer: Deluxe","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","2002","https://i.scdn.co/image/ab67616d0000b273482be3c0abad6a3c2bcd2efd","1","6","317933","https://p.scdn.co/mp3-preview/2278fb24ccc5de5a2459a3275010389b9e76505b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USA4T0403506","spotify:user:","2021-06-25T10:16:08Z","alternative hip hop,electronica,jazztronica,ninja,nu jazz,turntablism","0.747","0.68","1","-6.187","1","0.0346","0.0107","0.803","0.0964","0.594","93.804","4","","RJ's Electrical Connections","C (C) 2002 RJ's Electrical Connections"
"spotify:track:7g7Pauld8mf8CNpdzad7FW","Rodney Yates","spotify:artist:10kGEgP8MxhlfeA2tMinsL","David Holmes","spotify:album:5CVZGhLQA0ndG1tV1G3se1","Let's Get Killed","spotify:artist:10kGEgP8MxhlfeA2tMinsL","David Holmes","1997-01-01","https://i.scdn.co/image/ab67616d0000b2739d839aa3d234e48e0c6e3d59","1","6","384226","https://p.scdn.co/mp3-preview/9744625bbdb81531f3d80cdb8b9e077a5d5be523?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBARA9700050","spotify:user:","2021-06-25T10:16:08Z","big beat,electronica,ninja,trip hop","0.577","0.672","5","-11.825","0","0.0343","0.0454","0.0126","0.107","0.973","149.991","4","","Polydor Associated Labels","C © 1997 Polydor Go! Beat, P ℗ 1997 Go Beat Ltd."
"spotify:track:2eALAfP2PfljNcjlHPXDQY","Dark Lady","spotify:artist:4NZM5xKuDpGc4vEHDwGO1Q","DJ Food","spotify:album:53H309agelso6rosSg8eKr","Ninja Cuts - Funkjazztical Tricknology","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1995-03-01","https://i.scdn.co/image/ab67616d0000b2734721922c6b5176c116e8ce71","1","4","245946","https://p.scdn.co/mp3-preview/377d5110509ad19e4695c3fe512c1b4ee717ac16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBCFB0408220","spotify:user:","2021-06-25T10:16:08Z","big beat,electronica,ninja,nu jazz,trip hop,turntablism","0.598","0.911","9","-6.908","1","0.0405","0.111","0.356","0.229","0.875","100.019","4","","Ninja Tune","C 1995 Ninja Tune, P 1995 Ninja Tune"
"spotify:track:1LYMWLIvXHWehNAUUC32rO","Legend of the Golden Snake - Single Version","spotify:artist:7wFngDXS0agMESGg1qYM4u","Depth Charge","spotify:album:49gzntLtRO6MdCYh6YfOfD","Spill","spotify:artist:7wFngDXS0agMESGg1qYM4u","Depth Charge","2002-01-01","https://i.scdn.co/image/ab67616d0000b2733db5803ec009c3bec895ea44","1","1","266693","https://p.scdn.co/mp3-preview/0391ddd2531c48a175618bb9a1b57767fa019c73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBHKS9500001","spotify:user:","2021-06-25T10:16:08Z","big beat,trip hop","0.676","0.716","7","-10.255","1","0.171","0.00973","0.87","0.384","0.381","91.47","4","","DC Recordings","C © 2002 DC Recordings, P ℗ 2002 DC Recordings"
"spotify:track:7Bz6aEEf7l0z1aNPyUMxNL","Livin' Free (Soundtrack Mix)","spotify:artist:1d6bpJp3mEcOPPuYJ79p59","Small World","spotify:album:2UNjYtZots0OThWimId057","The Livin' Free EP","spotify:artist:1d6bpJp3mEcOPPuYJ79p59","Small World","1996-01-29","https://i.scdn.co/image/ab67616d0000b273026cb49a4e1d29d7c3bb8be7","1","1","451400","https://p.scdn.co/mp3-preview/d7d9e86ce8973e4e8d6d2fb51d34749278632d58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBBAN0600030","spotify:user:","2021-06-25T10:16:08Z","mod revival","0.667","0.71","1","-12.581","0","0.0773","0.15","0.795","0.234","0.853","167.966","4","","Hard Hands","C 1996 Hard Hands, P 1996 Hard Hands"
"spotify:track:6P5Mhl2WB7HVXQ6Yil3coB","The Rhyme Goes On","spotify:artist:1dU3l4m2BOP4QJuUstwPMZ","Poets of Thought","spotify:album:1xK2wmIA6nazBG1orPKB4y","Earth, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-01-28","https://i.scdn.co/image/ab67616d0000b273b9853c8a4b12c2ac063b3e0e","1","1","255500","https://p.scdn.co/mp3-preview/be82304acc53b1177d4f8ba764e38a4c03a8d8ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBCCH9600294","spotify:user:","2021-06-25T10:16:08Z","atmospheric dnb,drum and bass","0.666","0.889","10","-7.295","0","0.096","0.113","0.88","0.161","0.78","79.026","4","","Earth Records","C 2013 goodlooking, P 2013 goodlooking"
"spotify:track:4SYVoeYf6tMll3e0UHKInU","Get Your Head Down","spotify:artist:0HfxCluo7N2dhr4oRM0wBv","Luke Vibert","spotify:album:2pIjSXfVTFQsoSGKrtqF8B","Cold Krush Cuts","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1997-02-18","https://i.scdn.co/image/ab67616d0000b27302d8aeda98b838e01481986c","1","5","462240","https://p.scdn.co/mp3-preview/374de99123bbb40b1cbdc7d5775689af0b37cc00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBCFB0408228","spotify:user:","2021-06-25T10:16:08Z","acid house,deep idm,drill and bass,electro,intelligent dance music,microhouse,ninja,trip hop","0.575","0.802","2","-8.357","0","0.049","0.0462","0.815","0.22","0.229","203.817","4","","Ninja Tune","C 1997 Ninja Tune, P 1997 Ninja Tune"
"spotify:track:3ZidgUvrmVNhroQqjSpVYE","Bug Powder Dust - Kruder & Dorfmeister Session","spotify:artist:1G3Eh23f2hwhEnAMw7HsZ6, spotify:artist:7FsYhkJR8zX4NeEqifNqDA","Bomb The Bass, Justin Warfield","spotify:album:0THgn0SNHFx0tqqYqQlt4R","Island Records Post Punk Box Set - Out Come The Freaks","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-01","https://i.scdn.co/image/ab67616d0000b2738b6ffb9ba1f93ef2731f595b","3","7","447213","https://p.scdn.co/mp3-preview/c8bdcfe965bf91eb547fc7f1e2006de60d15bf47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBUM70911459","spotify:user:","2021-06-25T10:16:08Z","big beat,electronica,hip house,old school uk hip hop,trip hop,trip hop","0.775","0.605","11","-10.696","0","0.0437","0.0827","0.000915","0.201","0.418","98.896","4","","UMC (Universal Music Catalogue)","C © 2009 Universal-Island Records Ltd., P This Compilation ℗ 2009 Universal-Island Records Ltd."
