"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5SkRLpaGtvYPhw02vZhQQ9","All Falls Down","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1lE6SEy8f84Zhjvp7r8yTD","Kanye West, Syleena Johnson","spotify:album:4Uv86qWpGTxf7fU7lG5X6F","The College Dropout","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2004-02-10","https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78","1","4","223506","https://p.scdn.co/mp3-preview/1d85eddad1a4210fe3224afacb5e785c614b7b9b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USDJ20301703","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T20:55:23Z","chicago rap,rap,contemporary r&b,hip pop,neo soul,r&b,urban contemporary","0.657","0.734","8","-4.832","0","0.484","0.149","0","0.139","0.434","91.03","4","","Roc-A-Fella","C © 2004 UMG Recordings, Inc., P A Def Jam Records release;; ℗ 2004 UMG Recordings, Inc."
"spotify:track:7yotKA30dwTKNEGomV9ZsI","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4Wv5UAieM1LDEYVq5WmqDd","KOD","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2018-04-20","https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706","1","2","191436","https://p.scdn.co/mp3-preview/ee478a077561ba3461bcff1ff8f19fb8823c8df0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","QMJMT1801596","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:14:27Z","conscious hip hop,hip hop,north carolina hip hop,rap","0.823","0.783","0","-6.274","1","0.154","0.21","0","0.113","0.199","141.882","4","","J. Cole P&D","C © 2018 Dreamville, Inc., Under exclusive license to Roc Nation Records, P ℗ 2018 Dreamville, Inc., Under exclusive license to Roc Nation Records"
"spotify:track:6E90gq0KO6FYZVOXx8kCcC","Astronaut In The Ocean","spotify:artist:1uU7g3DNSbsu0QjSEqZtEd","Masked Wolf","spotify:album:6qNMYsx5OUFDXWAoct9Pge","Astronomical","spotify:artist:1uU7g3DNSbsu0QjSEqZtEd","Masked Wolf","2021-09-10","https://i.scdn.co/image/ab67616d0000b273580a07f13ece1bd30d37bd80","1","17","132780","https://p.scdn.co/mp3-preview/25243b032639be974f9ba0cc5b7d3010bd7fe371?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USAT22100017","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:47:31Z","australian hip hop,viral rap","0.778","0.695","4","-6.865","0","0.0913","0.175","0","0.15","0.472","149.996","4","","Elektra (NEK)","C © 2021 Elektra Records LLC, P ℗ 2021 Elektra Records LLC"
"spotify:track:4xkOaSrkexMciUUogZKVTS","Till I Collapse","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:1Oa0bMld0A3u5OTYfMzp5h","Eminem, Nate Dogg","spotify:album:2cWBwpqMsDJC1ZUwz813lo","The Eminem Show","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2002-05-26","https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4","1","18","297786","https://p.scdn.co/mp3-preview/5b3f004468ea54351d1a656577faa94a6a193b61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USIR10211066","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:48:37Z","detroit hip hop,hip hop,rap,g funk,gangster rap,hip hop,pop rap,rap,west coast rap","0.548","0.847","1","-3.237","1","0.186","0.0622","0","0.0816","0.1","171.447","4","","Aftermath","C © 2002 Aftermath Records, P ℗ 2002 Aftermath Records"
"spotify:track:7BMO7O7ImjV8HNTH74Tshv","Cleanin' Out My Closet","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2cWBwpqMsDJC1ZUwz813lo","The Eminem Show","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2002-05-26","https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4","1","4","297840","https://p.scdn.co/mp3-preview/41708bbf683059fe37560b4774cadafd27d01bcc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USIR10211054","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:48:51Z","detroit hip hop,hip hop,rap","0.908","0.758","9","-4.753","0","0.174","0.0687","0","0.0783","0.87","148.015","4","","Aftermath","C © 2002 Aftermath Records, P ℗ 2002 Aftermath Records"
"spotify:track:3yfqSUWxFvZELEM4PmlwIR","The Real Slim Shady","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","8","284200","https://p.scdn.co/mp3-preview/38fc12a77916a43bea470d18bef6a3542f8e9fae?cid=9950ac751e34487dbbe027c4fd7f8e99","true","88","USIR10000448","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-01T21:49:19Z","detroit hip hop,hip hop,rap","0.949","0.661","5","-4.244","0","0.0572","0.0302","0","0.0454","0.76","104.504","4","","Interscope","C © 2000 Interscope Records, P ℗ 2000 Aftermath Entertainment/Interscope Records"
"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Without Me","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2cWBwpqMsDJC1ZUwz813lo","The Eminem Show","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2002-05-26","https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4","1","10","290320","https://p.scdn.co/mp3-preview/1d63d428f0ac2ffe2f4434265031124747363500?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USIR10211038","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:20:44Z","detroit hip hop,hip hop,rap","0.908","0.669","7","-2.827","1","0.0738","0.00286","0","0.237","0.662","112.238","4","","Aftermath","C © 2002 Aftermath Records, P ℗ 2002 Aftermath Records"
"spotify:track:6REbwUNlppTfcnV4d4ZoZi","Swimming Pools (Drank)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:2XPrwlaAHHXnJzP9tBcIzH","Swimming Pools (Drank)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012-01-01","https://i.scdn.co/image/ab67616d0000b273b5ef185d28724c5573c2ac9c","1","1","247800","https://p.scdn.co/mp3-preview/85bbe66f28854e7ceb82400901bff56fed0b8025?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUM71207642","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:47:00Z","conscious hip hop,hip hop,rap,west coast rap","0.577","0.447","8","-5.892","1","0.277","0.00627","0.00022","0.0899","0.189","74.236","4","","Aftermath","C © 2012 Aftermath/Interscope Records, P ℗ 2012 Aftermath/Interscope Records"
"spotify:track:7wdzLe2Gsx1RGqbvYZHASz","i","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:51C65YqHrDODM1hD5FEL5x","i","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2014-09-23","https://i.scdn.co/image/ab67616d0000b2736d89f336fbfbdf2089701da0","1","1","231933","https://p.scdn.co/mp3-preview/aac058e154e36782ed807a7e5f1f34c3add0aec7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USUM71414120","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:47:14Z","conscious hip hop,hip hop,rap,west coast rap","0.755","0.884","10","-5.296","0","0.0638","0.0208","0.00000297","0.248","0.897","121.927","4","","Aftermath","C © 2014 Aftermath/Interscope Records, P ℗ 2014 Aftermath/Interscope Records"
"spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z","ZEZE (feat. Travis Scott & Offset)","spotify:artist:46SHBwWsqBkxI7EeeBEQG7, spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Kodak Black, Offset, Travis Scott","spotify:album:5n1GSzC1Reao29ScnpLYqp","Dying to Live","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","2018-12-14","https://i.scdn.co/image/ab67616d0000b273f9508eb3070b95ceeb82788b","1","5","228759","https://p.scdn.co/mp3-preview/453b83cc7be76ec2ee4b59cb801aef95960cd8ab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USAT21811523","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:48:26Z","florida rap,hip hop,melodic rap,miami hip hop,rap,trap,trap latino,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,viral rap,rap,slap house","0.861","0.603","8","-5.788","0","0.176","0.0521","0","0.0924","0.504","98.043","4","","Atlantic Records","C © 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside the United States., P ℗ 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside the United States."
"spotify:track:0NfYAsKygCYwPA2BgTZ1qg","Now Or Never - Bonus Track","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:1XkoF8ryArs86LZvFOkbyr","Kendrick Lamar, Mary J. Blige","spotify:album:748dZDqSZy6aPXKcI9H80u","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012-10-22","https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5","2","3","256213","https://p.scdn.co/mp3-preview/ea9dfaac9b7f2695298a52abb5ebe8950f1638cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USUM71210775","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T14:51:08Z","conscious hip hop,hip hop,rap,west coast rap,dance pop,hip pop,neo soul,r&b,urban contemporary","0.528","0.708","7","-5.879","0","0.207","0.264","0","0.305","0.781","97.8","4","","Aftermath","C © 2013 Aftermath/Interscope Records, P ℗ 2013 Aftermath/Interscope Records"
"spotify:track:44I7sqKYCAa7bQdVywkShO","Hurricane","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:5f7VJjfbwm532GiveGC0ZK","Kanye West, The Weeknd, Lil Baby","spotify:album:4YV1qBdn6O6thyg18kBo0N","Hurricane","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Kanye West, The Weeknd","2021-08-27","https://i.scdn.co/image/ab67616d0000b27331a80d2686b8a10d7925efb6","1","1","238182","https://p.scdn.co/mp3-preview/d6f2d95c159d9f9492d236cdc6bce6ccf377a138?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUM72118369","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:21:56Z","chicago rap,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,atl trap,rap,trap","0.477","0.566","0","-6.521","1","0.214","0.0344","0","0.127","0.361","78.293","4","","Getting Out Our Dreams II, LLC / Def Jam Recordings","C © 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam, A Division of UMG Recordings, Inc., P ℗ 2021 Getting Out Our Dreams II, LLC Distributed By Def Jam, A Division of UMG Recordings, Inc."
"spotify:track:33ZXjLCpiINn8eQIDYEPTD","Shook Ones, Pt. II","spotify:artist:6O2zJ0tId7g07yzHtX0yap","Mobb Deep","spotify:album:1cCAb1vN8uUsdfEylVmTLs","The Infamous","spotify:artist:6O2zJ0tId7g07yzHtX0yap","Mobb Deep","1995-04-25","https://i.scdn.co/image/ab67616d0000b273a2203fa0656cede30f879b97","1","15","325506","https://p.scdn.co/mp3-preview/197b3f33fe658cb05ca663c8a54511565fa2fb57?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC19401295","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:54:01Z","east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap","0.763","0.786","10","-6.472","0","0.229","0.0146","0.0114","0.0817","0.504","93.857","4","","RCA Records Label","P (P) 1995 RCA Records, a division of Sony Music Entertainment"
"spotify:track:3A4cpTBPaIQdtPFb5JxtaX","Slow Jamz","spotify:artist:6vbY3hOaCAhC7VjucswgdS, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7LnaAXbDVIL75IVPnndf7w","Twista, Kanye West, Jamie Foxx","spotify:album:4Uv86qWpGTxf7fU7lG5X6F","The College Dropout","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2004-02-10","https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78","1","12","316053","https://p.scdn.co/mp3-preview/b37ed3a6bd4cda8b6090dfa0fc83d6bdcdde2c63?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USAT20303708","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:54:01Z","chicago rap,dirty south rap,gangster rap,hip hop,pop rap,r&b,rap,trap,urban contemporary,chicago rap,rap,hip hop,hip pop,neo soul,pop rap,r&b,southern hip hop,urban contemporary","0.559","0.733","2","-5.659","0","0.171","0.314","0","0.284","0.611","145.115","4","","Roc-A-Fella","C © 2004 UMG Recordings, Inc., P A Def Jam Records release;; ℗ 2004 UMG Recordings, Inc."
"spotify:track:3ia3dJETSOllPsv3LJkE35","California Love - Original Version","spotify:artist:1ZwdS5xdxEREPySFridCfh, spotify:artist:3GMoVpWJy4smKuxFuFTwXC, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","2Pac, Roger, Dr. Dre","spotify:album:1WBZyULtlANBKed7Zf9cDP","Greatest Hits","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","1998-01-01","https://i.scdn.co/image/ab67616d0000b273d81a092eb373ded457d94eec","2","6","284906","https://p.scdn.co/mp3-preview/605fb2ee3948bd652941c33125ac374280660975?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUG10702628","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:54:01Z","g funk,gangster rap,hip hop,rap,west coast rap,funk,g funk,gangster rap,hip hop,rap,west coast rap","0.763","0.85","7","-3.052","1","0.0417","0.0304","0.00000121","0.371","0.761","91.519","4","","2Pac Greatest Hits","C © 1998 Death Row Records/Interscope Records, P This Compilation ℗ 1998 Death Row Records/Interscope Records"
"spotify:track:503OTo2dSqe7qk76rgsbep","Still D.R.E.","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Dr. Dre, Snoop Dogg","spotify:album:7q2B4M5EiBkqrlsNW8lB7N","2001","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","Dr. Dre","1999-11-16","https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5","1","4","270586","https://p.scdn.co/mp3-preview/79e15e078c4208e2b41f2e5c2510e9a9c062c0be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USIR19905031","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:54:01Z","g funk,gangster rap,hip hop,rap,west coast rap,g funk,gangster rap,hip hop,pop rap,rap,west coast rap","0.816","0.775","11","-3.323","1","0.234","0.16","0.00031","0.0543","0.527","93.431","4","","Aftermath","C © 2008 Aftermath Entertainment/Interscope Records, P ℗ 2008 Aftermath Entertainment/Interscope Records"
"spotify:track:4INDiWSKvqSKDEu7mh8HFz","Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster","spotify:artist:5me0Irg2ANcsgc93uaYrpb, spotify:artist:1wiBLzTI7z9RUwEpNPdFT6, spotify:artist:59wfkuBoNyhDMQGCljbUbA","The Notorious B.I.G., Mase, Diddy","spotify:album:7dRdaGSxgcBdJnrOviQRuB","Life After Death (2014 Remastered Edition)","spotify:artist:5me0Irg2ANcsgc93uaYrpb","The Notorious B.I.G.","1997-03-04","https://i.scdn.co/image/ab67616d0000b273fde79b88e2a659c394c5ae30","1","10","257399","https://p.scdn.co/mp3-preview/a32cdf00c93f70f87aed3802b3d0f4d7de106bc2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT21402732","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:54:01Z","east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,gangster rap,hardcore hip hop,harlem hip hop,hip hop,hip pop,pop rap,rap,southern hip hop,urban contemporary,dance pop,east coast hip hop,hip hop,hip pop,pop rap,r&b,rap","0.845","0.884","6","-4.506","0","0.0759","0.0128","0.0000021","0.203","0.904","104.536","4","","Rhino Atlantic","C © 1997 Bad Boy Records, LLC., P ℗ 1997 Bad Boy Records, LLC. Marketed By Rhino Entertainment Company, a Warner Music Group Company. All Rights Reserved."
"spotify:track:6HCjE39NPrRs2gErcMtY1M","Gin and Juice","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","spotify:album:11HthC8RO0cxFOwXeZa9ZY","Hip Hop Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-09-14","https://i.scdn.co/image/ab67616d0000b27361284bfa44d3b4f4041dfc84","1","2","211866","","true","5","SEWDL6001434","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:54:01Z","g funk,gangster rap,hip hop,pop rap,rap,west coast rap","0.687","0.796","7","-6.713","1","0.168","0.0989","0.0000231","0.398","0.37","94.623","4","","Warner Music Group - X5 Music Group","C 2018 Warner Music Group - X5 Music Group, P 2018 Warner Music Group - X5 Music Group"
"spotify:track:5qTvkDrSfvwDv6RBjjcfQr","Get Busy","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","spotify:album:3nAwSh2fcp3M8voQKZS2as","Dutty Rock","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","2002-11-12","https://i.scdn.co/image/ab67616d0000b273df82ce803b2a84ce68e66e6d","1","5","211666","https://p.scdn.co/mp3-preview/9a9eab3831dd47a764608402f422a58d63475711?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USAT20202575","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-29T21:34:35Z","dance pop,dancehall,pop rap","0.735","0.824","10","-4.143","0","0.036","0.615","0","0.158","0.726","100.202","4","","Atlantic Records","C © 2002 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2003 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States except track 6 (P) 2003 Sony Music Entertainment Inc."
