"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7tqhbajSfrz2F7E1Z75ASX","Ain't No Mountain High Enough","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","spotify:album:5LqviduT0g0J0ypFrFSwCE","United","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","1967-08-29","https://i.scdn.co/image/ab67616d0000b2739173e50e99bdea2400222f02","1","1","151666","https://p.scdn.co/mp3-preview/090809c54f002e1493e134d36f5ff3efed0b934c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USMO16700534","spotify:user:","2022-05-11T12:27:31Z","classic soul,funk,motown,northern soul,quiet storm,soul,motown","0.663","0.6","7","-10.87","1","0.032","0.43","0","0.184","0.8","129.991","4","","UNI/MOTOWN","C © 1967 UMG Recordings, Inc., P A Motown Records Release; ℗ 1967 UMG Recordings, Inc."
"spotify:track:2g2GkH3vZHk4lWzBjgQ6nY","(What A) Wonderful World","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","spotify:album:3Seie4YIVLWtPw2hQrouNY","The Man Who Invented Soul","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","2000-09-26","https://i.scdn.co/image/ab67616d0000b273cdea00c6905f588e1f72ccad","1","21","125440","https://p.scdn.co/mp3-preview/8c4b34f2f8346b53af239e36142a75f411e6c8e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRC10000389","spotify:user:","2022-05-11T12:27:31Z","adult standards,classic soul,rock-and-roll,soul","0.691","0.507","11","-10.23","1","0.0343","0.627","0","0.457","0.885","128.518","4","","RCA Records Label","P (P) Compilation 2000 RCA Records, a division of Sony Music Entertainment"
"spotify:track:745H5CctFr12Mo7cqa1BMH","My Girl","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","spotify:album:45tweuKI0zdh8zgKo05cTw","The Temptations Sing Smokey","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","1965-03-22","https://i.scdn.co/image/ab67616d0000b2731a5b6271ae1c8497df20916e","1","3","165000","https://p.scdn.co/mp3-preview/a5537fe5822851b3f11b42000f94cd6b7c75ece4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USMO16490001","spotify:user:","2022-05-11T12:27:31Z","classic soul,funk,memphis soul,motown,soul","0.572","0.418","0","-10.738","1","0.0349","0.635","0","0.0961","0.694","104.566","4","","UNI/MOTOWN","C © 1965 UMG Recordings, Inc., P A Motown Records release; ℗ 1965 UMG Recordings, Inc."
"spotify:track:0MHXrqn909p0LRTPsNsGEi","Move on Up - Single Edit","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","spotify:album:2EwoYRFQRJqw7BTVG6GlTw","Move on Up","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","1970","https://i.scdn.co/image/ab67616d0000b273b97b45e7885537d42ed46cdf","1","1","165789","https://p.scdn.co/mp3-preview/31452628b9bbdf0dfaa6e743d563bcba6b512b34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRH11509321","spotify:user:","2022-05-11T12:27:31Z","chicago soul,classic soul,funk,soul","0.538","0.969","11","-5.626","0","0.0906","0.417","0.00154","0.119","0.928","138.652","4","","Rhino","C © 1970 Curtom Records, P ℗ 1970 Curtom Records. Marketed by Rhino Entertainment, A Warner Music Group Company."
"spotify:track:2grjqo0Frpf2okIBiifQKs","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:2FW0uQ4WL25umm5p2VrZO7","The Best Of Earth, Wind & Fire Vol. 1","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1978-11-23","https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69","1","7","215093","https://p.scdn.co/mp3-preview/0537091c76250e4c5909f088134788a5c4101985?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM17800845","spotify:user:","2022-05-11T12:27:31Z","disco,funk,jazz funk,quiet storm,soul","0.697","0.832","9","-7.264","1","0.0298","0.168","0.00131","0.269","0.979","125.926","4","","Columbia/Legacy","P This compilation (P) 1978 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:4IN5LOq2UhGrCk2cBRlsmR","Are You Ready For Love? - Remastered","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:45F4Pmp3EJi3T6qYonm4Ml","Diamonds (Deluxe)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","2017-11-10","https://i.scdn.co/image/ab67616d0000b273904e306cf32fa5dc93dd927a","2","13","212440","https://p.scdn.co/mp3-preview/783c9fda2fa63b766a311f90fbb2c27de8ad3704?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBUM71702483","spotify:user:","2022-05-11T12:27:31Z","glam rock,mellow gold,piano rock","0.799","0.719","2","-5.179","1","0.032","0.308","0.00109","0.118","0.772","116.511","4","","UMC (Universal Music Catalogue)","C © 2022 Universal Music Operations Limited, P A Virgin EMI Records Release; This Compilation ℗ 2022 Universal Music Operations Limited"
"spotify:track:3pbtBomO4Zt5gGiqsYeiBH","Upside Down","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","spotify:album:3zgDLoVcpVGfFbDZJf3uHI","Diana","spotify:artist:3MdG05syQeRYPPcClLaUGl","Diana Ross","1980-05-22","https://i.scdn.co/image/ab67616d0000b273abc5193decc1a2984a93f31e","1","1","245600","https://p.scdn.co/mp3-preview/db898772f1164868d916d58e6e0a0e91aad17e34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USMO18000379","spotify:user:","2022-05-11T12:27:31Z","adult standards,dance pop,disco,motown,quiet storm,soul","0.873","0.855","5","-8.559","0","0.0615","0.179","0.0285","0.0377","0.884","107.868","4","","UNI/MOTOWN","C © 2003 Motown Records, a Division of UMG Recordings, Inc., P This Compilation ℗ 2003 Universal Motown Records, a division of UMG Recordings, Inc."
"spotify:track:2ce4RsJ38JH1iroQhoph3J","Going Back to My Roots - Single Version","spotify:artist:5b4SvpTqll0LSqJWPpXya5","Odyssey","spotify:album:2R9rEVibO3wDnB950OThmj","I Got the Melody (Expanded Edition)","spotify:artist:5b4SvpTqll0LSqJWPpXya5","Odyssey","1981-05-01","https://i.scdn.co/image/ab67616d0000b273010ecd0b1a0141ed97f908ee","1","8","205506","https://p.scdn.co/mp3-preview/82ec7a8760231052b7e3430c2a2767c3c6e73e31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRC10402124","spotify:user:","2022-05-11T12:27:31Z","classic uk pop,disco,hammond organ,post-disco,quiet storm","0.698","0.853","1","-9.667","1","0.0353","0.0551","0.00196","0.0388","0.879","107.347","4","","RCA/Legacy","P This compilation (P) 2014 RCA Records, a division of Sony Music Entertainment"
"spotify:track:4eGHlplaq1ME8oetnTuFFf","Soul Man","spotify:artist:2BVYdY4PyfCF9z4NrkhEB2","Sam & Dave","spotify:album:1DThdjKvkvxYaqlDUnQGzK","Soul Men","spotify:artist:2BVYdY4PyfCF9z4NrkhEB2","Sam & Dave","1967","https://i.scdn.co/image/ab67616d0000b273d526e12f9cf41ae9069660a8","1","1","159000","https://p.scdn.co/mp3-preview/ff6fa3c6640cdcb2e958cacefd0d856f7dbf0a03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT20001065","spotify:user:","2022-05-11T12:27:31Z","classic soul,funk,memphis soul,soul,southern soul","0.79","0.41","0","-13.241","1","0.0343","0.263","0.00314","0.174","0.815","112.345","4","","Rhino Atlantic","C © 1967 Atlantic Recording Corp., P ℗ 1967 Atlantic Recording Corp."
"spotify:track:687YZan9Gol1UVvbpUSO6Y","I Wish","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","6","252373","https://p.scdn.co/mp3-preview/85c0f1812eecdcd87139cd47c139eb6492141f1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USMO17682657","spotify:user:","2022-05-11T12:27:31Z","adult standards,motown,quiet storm,soul","0.821","0.721","10","-10.401","0","0.0515","0.0816","0.00000737","0.0664","0.885","105.866","4","","UNI/MOTOWN","C © 1976 UMG Recordings, Inc., P A Motown Records Release; ℗ 1976 UMG Recordings, Inc."
