"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0yMoJXVP6hFLV71DRVxRTk","Adagio For Strings - Radio Edit","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","spotify:album:4MKq1Buhkx4Ksu0ngWHhr3","Magikal Journey -The Hits Collection 1998 - 2008","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2010-05-17","https://i.scdn.co/image/ab67616d0000b2739c2a289765c7e35935081c0a","1","8","205053","https://p.scdn.co/mp3-preview/e15927bce5f236b20e018da52169aaeba8ff033b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","NLE710582353","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T14:14:09Z","big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house","0.49","0.916","10","-8.663","0","0.0461","0.0202","0.939","0.119","0.367","139.976","4","","Magik Muzik","C 2010 Magik Muzik, P 2010 Magik Muzik"
"spotify:track:4irArQHgo7Cs3Y7lOPYBCI","Sexiest Man In Jamaica","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","spotify:album:6U8KDODAS6jFOYAWPCIv9z","Sexiest Man In Jamaica","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","2018-08-31","https://i.scdn.co/image/ab67616d0000b273779c4a2fe7cfe75b3491fa0f","1","1","197429","https://p.scdn.co/mp3-preview/5b544ee8b6df64017a121a1bf1b6b1d4f8a860db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","UKAV81800009","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-28T14:18:23Z","scottish rock","0.89","0.781","4","-5.953","0","0.0679","0.000372","0.604","0.0828","0.18","122.977","4","","Endor","C 2018 Endor, P 2018 Endor"
"spotify:track:3EKYWF56Ipai4QkRQiZ6eG","Back Tomorrow - LP Giobbi Remix","spotify:artist:3cnAJv9gydgm52KFIsdvO8, spotify:artist:0AkL5tzM3UsDlWak9E0OwH, spotify:artist:3oKnyRhYWzNsTiss5n4Z1J","Ferreck Dawn, Jem Cooke, LP Giobbi","spotify:album:4q3PbpEpiSK8U24dUD05eY","Back Tomorrow (LP Giobbi Remix)","spotify:artist:3cnAJv9gydgm52KFIsdvO8, spotify:artist:0AkL5tzM3UsDlWak9E0OwH, spotify:artist:3oKnyRhYWzNsTiss5n4Z1J","Ferreck Dawn, Jem Cooke, LP Giobbi","2022-02-25","https://i.scdn.co/image/ab67616d0000b27345e72a28f79a64bda3b5f9d3","1","1","175258","https://p.scdn.co/mp3-preview/5960edffa4d464f65cb46067bb59d2455a28ef9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBCPZ2220585","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-01T20:29:48Z","deep groove house,deep house,disco house,edm,electro house,house,pop dance,tropical house,neo-singer-songwriter,dance pop,edm,electro house,house,pop dance,tropical house","0.683","0.687","0","-3.939","0","0.0582","0.0458","0.00209","0.726","0.653","126.016","4","","Defected Records","C © 2022 Defected Records Limited, P ℗ 2022 Defected Records Limited"
"spotify:track:0YEgVqBmj14YWgv7w32Qm4","Where I Want 2 B","spotify:artist:4FCzCS0KEgb0rgySWINItO","CID","spotify:album:31USpiwo0nxCexaClvJYkL","Where I Want 2 B","spotify:artist:4FCzCS0KEgb0rgySWINItO","CID","2021-08-13","https://i.scdn.co/image/ab67616d0000b273a30e9508b4527cd9f75fd4b0","1","1","201908","https://p.scdn.co/mp3-preview/3db9975aadc485119d919b08d56f089ef6774a70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FRX282162402","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T15:49:29Z","bass house,deep groove house,disco house,edm,electro house,house,pop dance,progressive house","0.769","0.885","9","-4.547","0","0.0542","0.00364","0.463","0.0796","0.824","126.017","4","","Solotoko","C 2021 Solotoko, P 2021 Solotoko"
"spotify:track:20on25jryn53hWghthWWW3","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd, spotify:artist:1c70yCa8sRgIiQxl3HOEFo","ACRAZE, Cherish","spotify:album:58cd90Jkrovggh556JPN9L","Do It To It","spotify:artist:4pnp4w9g30yLfVIAFnZMRd","ACRAZE","2021-08-20","https://i.scdn.co/image/ab67616d0000b27384d413b195aac8a69cc6e5c6","1","1","157890","https://p.scdn.co/mp3-preview/187aea9020bb024adfbb0e19e7b6022a2996e4ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","QZFPL2100100","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-22T15:52:22Z","atl hip hop,dance pop,girl group,hip pop,pop r&b,r&b,southern hip hop,urban contemporary","0.854","0.806","11","-8.262","0","0.0886","0.0209","0.0542","0.0703","0.637","124.927","4","","Thrive Music, LLC","C © 2021 Thrive Music, LLC, P ℗ 2021 Thrive Music, LLC"
"spotify:track:1slFEljMRFTqNSNYUheftz","La Danza - David Penn Remix","spotify:artist:7kNqXtgeIwFtelmRjWv205, spotify:artist:5kA0fIY29Fnfu4U2I2xvki","John Summit, David Penn","spotify:album:2xKmmbqLP8aB1Z5oWEyCNC","La Danza (David Penn Remix)","spotify:artist:7kNqXtgeIwFtelmRjWv205, spotify:artist:5kA0fIY29Fnfu4U2I2xvki","John Summit, David Penn","2022-08-19","https://i.scdn.co/image/ab67616d0000b2731f503565f0d1b87d46c32fac","1","1","184320","https://p.scdn.co/mp3-preview/c4c3cb59a1bf257171520996f30e5bab67243383?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBCPZ2221112","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-31T06:20:44Z","edm,electro house,house,pop dance,deep house,disco house,funky house,funky tech house,house,vocal house","0.724","0.938","1","-4.751","0","0.0412","0.00299","0.87","0.0475","0.338","125.002","4","","Defected Records","C © 2022 Defected Records Limited, P ℗ 2022 Defected Records Limited"
"spotify:track:3oXiddNGiWhpmlQCWkJoJ9","District 8","spotify:artist:4qG1qjeHfkASTdyRGbLWbV","FJAAK","spotify:album:1hWdAnaS9tsIcwYM3hC48Y","SYS02","spotify:artist:4qG1qjeHfkASTdyRGbLWbV","FJAAK","2021-03-05","https://i.scdn.co/image/ab67616d0000b2732fcb0792f78c8865da629a95","1","2","301995","https://p.scdn.co/mp3-preview/0a74ab1378fb5edb19cf45b47deea0f6df5dfed2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEWX41800052","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-03T13:07:42Z","raw techno","0.658","0.808","10","-6.792","0","0.182","0.0154","0.766","0.11","0.202","138.212","4","","FJAAK","C 2021 FJAAK, P 2021 FJAAK"
"spotify:track:5S8EMK8nyIlQkYnU1wyzIm","Pump It Up - BRKLYN Remix","spotify:artist:6F3vLfyutkUhpM50G84eMt, spotify:artist:0sSB3cIRBuBGa1UXLsQtaw","Endor, BRKLYN","spotify:album:2NVGCx3RHKfnxDl4HM5Bbt","Pump It Up (BRKLYN Remix)","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","2020-05-08","https://i.scdn.co/image/ab67616d0000b27355a77f53e8e8a64b1519dc51","1","1","165581","https://p.scdn.co/mp3-preview/11d81bed309d0981c54d28b0f7f277e0cd3c3dd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBCPZ2017438","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-14T09:18:16Z","scottish rock,pop edm","0.817","0.964","11","-4.773","0","0.0961","0.156","0.424","0.0985","0.651","128.96","4","","Defected Records","C © 2020 Defected Records Limited, P ℗ 2020 Defected Records Limited"
"spotify:track:08d1uFAAtQgLbuvyP2AkoH","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","spotify:album:2zL3pun7npuBMHeBPr7mtz","The Groovy Cat","spotify:artist:4E0HD2PMY8kQJIjlShrLUS","PAWSA","2017-12-22","https://i.scdn.co/image/ab67616d0000b2732fed09099502884eab4b4d77","1","1","272394","https://p.scdn.co/mp3-preview/e95d94778a24e694d3d9e5ca3752ea210bbc60e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBLV61724940","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-25T14:24:09Z","house","0.8","0.846","5","-7.518","1","0.0624","0.0277","0.877","0.0896","0.211","127.008","4","","PAWZ","C 2017 PAWZ, P Copyright Control"
"spotify:track:03xzgjqAYzMW72afLVD6Of","Romeo","spotify:artist:0cUPXn0AOgVrI413vJgBAJ","Corrupt (UK)","spotify:album:4Cr7UBcFIpgd2lxvqcOgaM","Romeo","spotify:artist:0cUPXn0AOgVrI413vJgBAJ","Corrupt (UK)","2021-02-26","https://i.scdn.co/image/ab67616d0000b273edb789b750ff5634029c4c18","1","1","148571","","false","59","CA5KR2140964","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-30T20:02:21Z","bass house,electro house","0.836","0.761","11","-6.034","0","0.0686","0.021","0.0314","0.0633","0.915","125.993","4","","House Call Records","C 2021 House Call Records, P 2021 House Call Records"
